科目,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"11,819,883,845.00","3,013,472,665.00","6,491,672,387.00","10,008,630,275.00","14,293,845,838.00","4,065,697,841.00","9,528,913,026.00","15,014,877,348.00","21,948,097,263.00","5,835,451,611.00","12,527,451,760.00","18,455,420,866.00","26,712,015,128.00","6,618,084,566.00","13,557,567,503.00","22,680,478,809.00","34,547,222,029.00","12,057,272,866.00","25,640,630,823.00","40,638,109,386.00","58,031,800,263.00","18,636,684,503.00","38,149,898,981.00","58,967,946,708.00","81,173,809,557.00","22,354,007,651.00","41,414,744,006.00"
取得子公司及其他营业单位支付的现金净额,,,,,"294,158,890.00",,,,,,,,,"76,780,666.00","76,780,666.00","76,780,666.00",,,,,,,,,,,"-157,246,945.00"
收到的税费返还,"60,927,834.00","16,075,631.00","33,565,896.00","56,187,123.00","126,090,727.00","13,226,678.00","23,263,482.00","53,915,388.00","190,656,838.00","8,795,651.00","50,098,954.00","75,399,907.00","86,264,998.00","12,212,973.00","39,485,949.00","48,501,279.00","69,814,023.00","2,355,456.00","8,660,336.00","24,633,552.00","37,524,070.00","883,765.00","1,462,249.00","2,293,208.00","3,538,793.00","887,099.00","4,767,783.00"
支付其他与投资活动有关的现金,"603,473,046.00","82,032,311.00","85,110,000.00","171,510,000.00","498,831,043.00","142,583,241.00","60,000,000.00","86,263,084.00","85,532,915.00","840,705.00","545,410,254.00","642,019,323.00","1,062,668,639.00","198,826,777.00","513,808,383.00","546,833,688.00","672,256,901.00","25,875,698.00","637,957,752.00","727,717,604.00","1,941,625,434.00","76,031,291.00","52,729,772.00","409,566,042.00","457,279,802.00","5,081,496.00","68,269,408.00"
收到其他与经营活动有关的现金,"1,858,438,440.00","345,443,169.00","1,037,696,779.00","1,240,848,234.00","1,284,675,663.00","183,089,790.00","612,626,948.00","1,608,261,378.00","1,388,327,560.00","651,277,017.00","1,295,292,537.00","1,797,993,680.00","2,095,007,188.00","499,461,987.00","1,035,931,726.00","1,751,514,883.00","2,527,373,961.00","503,867,032.00","996,913,074.00","2,029,025,002.00","2,086,384,673.00","1,179,690,989.00","1,740,123,993.00","2,874,930,632.00","3,258,157,662.00","873,183,528.00","1,713,456,607.00"
投资活动现金流出小计,"4,311,028,994.00","2,075,262,479.00","4,466,952,332.00","5,104,724,234.00","5,586,951,069.00","1,711,709,632.00","1,788,876,938.00","2,649,830,667.00","4,372,565,985.00","1,114,767,894.00","2,797,822,110.00","3,985,366,145.00","7,410,407,766.00","7,376,214,919.00","16,693,192,299.00","20,494,268,758.00","24,518,442,685.00","11,209,782,836.00","18,227,097,651.00","28,321,882,053.00","36,522,800,869.00","10,832,532,787.00","13,584,395,780.00","16,257,339,037.00","19,120,493,291.00","3,967,717,811.00","6,935,055,920.00"
经营活动现金流入小计,"13,739,250,119.00","3,374,991,465.00","7,562,935,062.00","11,305,665,632.00","15,704,612,228.00","4,262,014,309.00","10,164,803,456.00","16,677,054,114.00","23,527,081,661.00","6,495,524,279.00","13,872,843,251.00","20,328,814,453.00","28,893,287,314.00","7,129,759,526.00","14,632,985,178.00","24,480,494,971.00","37,144,410,013.00","12,563,495,354.00","26,646,204,233.00","42,691,767,940.00","60,155,709,006.00","19,817,259,257.00","41,711,437,756.00","62,358,599,417.00","92,959,428,415.00","19,698,694,084.00","41,193,545,979.00"
投资活动产生的现金流量净额,"2,471,538,627.00","-1,831,636,148.00","-893,359,138.00","458,876,737.00","-716,156,355.00","-1,294,830,837.00","1,435,539,112.00","901,583,010.00","-164,500,522.00","-809,692,382.00","600,616,737.00","-268,584,863.00","-474,454,546.00","-1,831,555,816.00","-1,969,266,767.00","-255,151,727.00","-3,078,249,081.00","-4,532,539,517.00","-2,707,833,057.00","-7,036,637,862.00","-3,082,110,100.00","-2,122,108,801.00","2,349,010,764.00","4,437,488,333.00","2,926,254,604.00","-3,018,424,100.00","-1,110,104,898.00"
购买商品、接受劳务支付的现金,"10,762,025,786.00","2,702,687,917.00","5,297,014,960.00","8,033,806,963.00","10,917,817,959.00","3,233,517,593.00","7,803,608,554.00","12,399,546,537.00","17,542,011,200.00","4,515,593,464.00","10,169,708,192.00","15,042,925,614.00","21,340,659,914.00","5,533,008,001.00","10,994,492,404.00","17,258,849,032.00","24,203,926,640.00","8,109,222,002.00","17,956,836,156.00","28,912,976,165.00","42,927,581,290.00","12,670,987,268.00","27,610,658,344.00","43,622,950,221.00","58,407,074,136.00","15,322,765,034.00","34,576,755,396.00"
吸收投资收到的现金,"279,120,055.00","7,900,000.00","7,900,000.00","34,080,000.00","19,080,000.00","18,469,668.00","30,593,444.00","30,593,444.00","31,372,271.00",,"3,849,937.00","93,849,937.00","248,849,938.00",,"64,831,460.00","161,750,000.00","254,300,000.00","4,000,000.00","34,850,000.00","123,500,000.00","275,331,582.00","6,137,352.00","12,153,995.00","79,239,209.00","15,050,324,259.00","14,329,408.00","266,371,190.00"
