科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,016,790,151.00","846,567,364.00","1,311,585,640.00","667,533,443.00","984,258,988.09","1,335,463,034.83","401,501,431.80","913,751,714.52","1,269,297,082.63","1,619,684,933.68","342,520,186.13","694,754,676.08","1,041,677,629.89","1,409,824,147.20","289,426,356.83","683,110,492.10","1,012,881,813.57","1,541,304,025.64","350,170,495.53"
取得子公司及其他营业单位支付的现金净额,"44,282,694.00","600,000.00","300,000.00",,,"19,937,410.40",,,,,,,,,,"8,490,087.06","8,490,087.06","8,989,332.53",
收到的税费返还,"26,199,135.00","48,578,755.00","30,240,234.00","4,713,221.00","12,473,692.03","31,099,985.26","4,514,139.19","17,108,571.14","23,108,422.62","27,959,576.33","10,848,507.89","37,079,056.81","52,752,322.40","74,463,418.30","11,672,570.50","26,720,782.89","34,492,111.99","45,066,440.32","18,568,561.67"
支付其他与投资活动有关的现金,,,,,,,,,,"8,213,640.50","905,476.27","15,617,976.62","15,903,636.82","27,591,503.62","2,145,239.60","3,046,602.60","3,053,019.10","9,598,130.50","6,179,588.50"
收到其他与经营活动有关的现金,"11,357,471.00","15,740,437.00","13,502,263.00","8,015,325.00","13,684,577.17","16,364,412.23","3,158,150.14","9,562,341.21","17,619,582.51","20,903,460.73","8,146,899.06","18,471,116.37","26,281,988.89","34,086,034.12","23,253,434.68","33,870,893.75","49,052,268.27","59,677,711.60","5,093,609.00"
投资活动现金流出小计,"986,220,415.00","981,798,235.00","1,215,216,058.00","616,894,576.00","901,421,093.82","1,400,703,207.91","293,405,348.60","1,600,678,681.57","2,340,326,967.99","2,775,500,777.50","1,744,352,763.66","3,028,559,235.32","3,525,851,927.43","4,027,326,275.24","474,121,639.21","1,551,214,371.18","2,314,744,438.57","2,675,846,087.18","397,970,718.55"
经营活动现金流入小计,"1,054,346,757.00","910,886,556.00","1,355,328,137.00","680,261,989.00","1,010,417,257.29","1,382,927,432.32","409,173,721.13","940,422,626.87","1,310,025,087.76","1,668,547,970.74","361,515,593.08","750,304,849.26","1,120,711,941.18","1,518,373,599.62","324,352,362.01","743,702,168.74","1,096,426,193.83","1,646,048,177.56","373,832,666.20"
投资活动产生的现金流量净额,"-796,349,400.00","-978,672,162.00","-1,191,327,009.00","-616,060,453.00","-896,757,272.41","-1,393,828,624.61","-293,405,348.60","-1,550,046,253.57","-2,089,674,019.99","-2,296,461,203.75","-1,282,524,243.12","-2,020,972,059.59","-2,452,491,336.22","-2,677,723,838.32","-469,579,459.31","-1,545,686,211.28","-2,308,167,711.25","-2,660,321,545.16","-396,996,918.55"
购买商品、接受劳务支付的现金,"39,682,555.00","45,434,532.00","60,241,479.00","27,337,950.00","42,362,073.67","86,495,228.07","18,460,511.70","35,678,089.56","56,654,120.21","94,950,497.38","21,966,293.49","36,812,925.34","53,849,429.55","97,603,515.07","28,949,411.65","48,393,114.19","86,122,337.09","126,172,849.96","40,605,786.03"
吸收投资收到的现金,,,,,"349,282,600.00","339,175,205.90",,,,"2,947,000,000.00",,,,,,,,,
