科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"234,778,645.87","409,346,801.78","260,654,323.37","332,301,555.06","604,137,674.61","100,098,263.37","202,567,373.04","539,192,457.59","1,071,714,030.96","167,386,215.03","330,663,166.52","481,297,343.95","892,383,406.70","235,875,166.41","449,130,520.36","707,800,581.57","1,386,401,582.40","530,238,355.78","748,358,377.55","1,022,968,863.41","2,013,963,791.47","204,530,454.45","483,811,624.28","957,819,182.91","2,389,022,826.74","629,023,875.49","1,293,043,074.37","1,993,004,268.21","3,873,565,085.38","766,721,858.52","1,468,134,381.45","2,151,592,162.21","3,503,457,272.67","543,731,910.49","1,465,863,805.45","2,419,301,348.51"
二、营业利润,"53,434,294.71","85,886,586.37","40,712,724.15","45,707,514.49","101,592,027.11","8,836,954.03","13,320,369.54","86,792,705.25","182,535,271.50","41,545,883.97","74,353,013.34","109,824,908.58","244,781,628.53","33,483,596.51","84,492,047.42","121,637,543.79","254,130,366.56","214,786,700.88","524,512,291.82","520,511,020.63","822,750,937.18","486,287,701.46","520,434,738.95","588,528,576.75","1,179,156,062.79","363,599,737.73","690,691,594.43","867,869,868.25","1,388,135,346.29","373,495,352.13","416,961,429.49","879,337,372.16","1,177,017,658.68","-63,959,933.78","619,292,362.12","730,139,316.18"
减:营业成本,"127,521,305.54","189,383,103.42","138,089,980.19","177,142,577.38","324,708,326.99","45,285,711.58","101,800,224.66","263,247,430.89","565,541,866.67","79,975,680.44","149,088,500.37","208,002,031.04","376,721,297.62","107,529,543.71","203,596,471.85","306,742,088.82","684,617,607.25","168,664,736.81","285,100,688.52","438,580,309.43","910,232,363.16","72,215,365.49","166,058,186.25","334,854,914.84","933,674,905.86","253,580,875.44","532,550,429.67","948,109,240.75","1,925,833,486.69","293,439,489.01","611,666,190.17","931,623,104.48","1,710,347,958.56","328,741,661.26","679,308,123.40","1,292,068,264.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"9,044,169.21","15,053,779.93","11,019,033.23","13,974,464.07","26,411,891.25","4,543,601.31","9,662,716.21","16,981,630.26","33,535,784.30","5,388,497.97","12,829,470.27","19,345,970.83","40,701,966.72","7,229,718.12","15,804,063.03","24,463,896.99","39,672,318.91","3,046,048.57","7,066,788.23","9,805,042.97","19,797,839.97","2,249,976.01","6,139,842.50","6,946,419.17","13,873,224.82","4,472,065.05","8,734,121.86","13,107,452.85","23,728,014.53","5,051,956.14","8,917,075.43","12,129,143.81","20,461,070.17","2,154,156.14","80,033,207.21","84,505,106.90"
营业外收入,"4,898,823.66","4,164,285.82","2,605,371.59","4,151,984.24","15,468,383.64","5,200,878.00","12,035,674.34","15,825,093.55","14,537,920.82","8,415,865.92","13,225,881.14","23,535,151.89","32,578,645.01","6,985,001.12","34,859,982.24","39,278,580.69","68,102,421.02","4,132,954.76","19,136,096.53","34,078,624.67","81,981,687.87","6,544,028.93","39,629,793.54","70,635,246.14","103,381,226.40","7,235,626.32","41,563,376.57","83,600,966.53","111,191,662.74","2,571,124.80","44,141,286.15","61,695,099.10","114,646,649.19","12,976,702.58","27,864,700.17","114,455,405.38"
销售费用,"26,744,897.67","63,136,206.41","36,414,438.69","50,447,843.64","88,322,033.16","29,504,226.96","55,003,070.07","136,026,030.17","232,032,579.83","32,240,403.01","69,173,592.07","106,121,551.73","153,513,547.72","56,121,782.58","123,959,229.43","188,080,231.89","281,046,798.38","102,766,596.80","178,382,855.71","258,573,227.63","382,666,937.65","97,284,840.16","172,776,888.38","295,017,274.58","329,827,311.82","131,757,029.84","236,981,774.07","403,995,903.71","585,761,094.03","200,894,104.85","334,378,897.43","494,628,221.24","812,489,070.69","122,734,199.81","261,148,997.92","441,556,715.66"
减:营业外支出,100.00,"6,113,300.50","105,515.97","1,126,198.37","1,657,027.14","818,343.14","2,218,343.17","4,993,524.86","6,733,112.56","514,900.69","4,856,671.32","4,994,690.22","4,053,342.84","51,725.61","465,910.88","998,407.39","1,248,158.82","1,780,308.89","2,969,299.25","5,532,323.83","6,967,231.28","1,083,204.37","1,157,481.55","4,720,017.45","3,435,038.08","653,154.42","1,216,751.49","1,478,431.00","2,897,452.20","887,418.11","2,126,452.27","2,270,197.43","3,899,770.19","280,839.01","13,775,609.35","14,678,448.09"
管理费用,"13,110,652.07","25,591,192.30","14,840,436.04","21,927,848.00","36,531,948.25","12,090,676.06","25,541,797.61","40,232,699.73","58,266,708.79","16,000,132.95","35,911,721.48","53,031,199.93","78,449,617.01","25,012,453.41","51,259,757.86","75,965,258.99","79,394,374.57","24,528,838.08","44,481,213.35","65,620,616.45","94,617,542.22","28,135,478.59","68,932,196.36","149,717,054.78","229,582,686.71","104,720,181.67","199,605,797.97","309,914,830.74","416,346,983.88","143,915,848.02","269,281,012.01","374,431,035.66","546,999,689.01","134,039,216.79","257,005,115.85","367,357,259.13"
其中:非流动资产处置净损失,,"44,070.95","5,515.97","5,515.97","5,515.97","102,573.24","102,573.24","102,573.24","105,309.24","105,405.51","126,692.22","126,960.12","255,262.70","25,671.14","127,015.69","159,650.11","331,769.15","21,095.72","109,513.64","1,076,955.67","2,259,578.03","100,719.08","159,920.04","308,063.59","459,852.61","122,135.83","406,901.53","793,020.83","950,159.86","40,164.40","47,475.06","51,266.38","643,940.60","4,270.00","281,050.25","348,989.75"
