科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"338,646,008.13","312,597,165.33","438,471,447.98","190,749,938.34","277,235,293.53","454,863,423.64","94,766,857.53","152,753,701.99","229,911,783.39","419,178,510.97","96,635,553.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,"992,798.55",,,,,,,,
支付其他与投资活动有关的现金,"97,000,000.00","29,000,000.00","81,000,000.00","30,000,000.00","40,000,000.00","55,000,000.00","30,000,000.00","155,000,000.00","255,000,000.00","255,000,000.00",
收到其他与经营活动有关的现金,"6,479,002.35","6,120,646.77","4,943,807.67","1,088,151.81","2,174,835.50","1,704,936.94","699,991.53","1,611,473.97","1,016,852.33","7,339,178.16","693,850.89"
投资活动现金流出小计,"101,497,822.62","35,895,627.88","86,689,215.87","31,363,874.28","41,701,331.84","57,412,175.04","30,423,942.66","156,552,870.03","263,057,872.70","261,703,695.58","1,062,346.36"
经营活动现金流入小计,"345,125,010.48","318,717,812.10","444,408,054.20","191,838,090.15","279,410,129.03","456,568,360.58","95,466,849.06","154,365,175.96","232,548,187.26","426,517,689.13","97,329,404.71"
投资活动产生的现金流量净额,"13,033,674.47","3,354,607.93","-5,452,309.90","-1,260,821.64","-1,560,711.87","-2,249,684.95","-399,218.36","-101,197,951.59","-107,742,972.70","-4,578,948.24","-1,039,718.44"
购买商品、接受劳务支付的现金,"176,340,116.92","199,534,718.06","250,527,288.46","128,590,489.43","174,959,024.90","257,137,647.77","63,940,248.42","117,868,257.09","155,394,669.30","224,337,671.72","67,859,255.35"
吸收投资收到的现金,,"60,000,000.00",,,,,"273,317,273.00","281,984,000.00","273,317,273.00","281,984,000.00",
支付给职工以及为职工支付的现金,"77,920,922.35","97,955,636.04","116,058,960.70","56,079,977.06","81,182,026.02","130,925,977.27","22,208,434.63","53,593,462.94","86,333,892.21","135,254,453.78","26,879,628.03"
取得借款收到的现金,,"21,000,000.00",,,,,,,,,
支付的各项税费,"37,767,580.30","23,224,356.57","35,924,397.62","16,664,348.21","23,306,374.16","32,228,525.43","8,053,845.95","20,461,727.41","26,209,646.86","32,881,828.09","7,218,774.88"
收到其他与筹资活动有关的现金,,,,,,,"8,666,727.00",,"8,666,727.00",,
支付其他与经营活动有关的现金,"18,106,130.26","20,572,643.00","17,712,407.68","10,993,810.78","13,573,823.20","18,225,336.01","6,452,331.06","8,340,261.64","7,859,215.55","27,160,004.28","6,289,429.32"
筹资活动现金流入小计,,"81,000,000.00",,,,,"281,984,000.00","281,984,000.00","281,984,000.00","281,984,000.00",
经营活动现金流出小计,"310,134,749.83","341,287,353.67","420,223,054.46","212,328,625.48","293,021,248.28","438,517,486.48","100,654,860.06","200,263,709.08","275,848,317.19","419,633,957.87","108,247,087.58"
偿还债务支付的现金,,"10,000,000.00","11,000,000.00",,,,,,,,
经营活动产生的现金流量净额,"34,990,260.65","-22,569,541.57","24,184,999.74","-20,490,535.33","-13,611,119.25","18,050,874.10","-5,188,011.00","-45,898,533.12","-43,300,129.93","6,883,731.26","-10,917,682.87"
分配股利、利润或偿还利息支付的现金,"11,900,000.00","60,404,132.49","30,613.33",,,,,,"6,000,000.00","6,000,000.00",
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"8,666,727.00","8,666,727.00","8,666,727.00","7,490,000.00",
取得投资收益收到的现金,,,,,,,,,,"1,625,479.42",
筹资活动现金流出小计,"11,900,000.00","70,404,132.49","11,030,613.33",,,,"8,666,727.00","8,666,727.00","14,666,727.00","13,490,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"531,497.09","250,235.81","236,905.97","103,052.64","140,619.97","162,490.09","24,724.30","354,918.44","314,900.00","499,267.92","22,627.92"
筹资活动产生的现金流量净额,"-11,900,000.00","10,595,867.51","-11,030,613.33",,,,"273,317,273.00","273,317,273.00","267,317,273.00","268,494,000.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,"114,000,000.00","39,000,000.00","81,000,000.00","30,000,000.00","40,000,000.00","55,000,000.00","30,000,000.00","55,000,000.00","155,000,000.00","255,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"114,531,497.09","39,250,235.81","81,236,905.97","30,103,052.64","40,140,619.97","55,162,490.09","30,024,724.30","55,354,918.44","155,314,900.00","257,124,747.34","22,627.92"
五、现金及现金等价物净增加额,"36,123,935.12","-8,619,066.13","7,702,076.51","-21,751,356.97","-15,171,831.12","15,801,189.15","267,730,043.64","126,220,788.29","116,274,170.37","270,798,783.02","-11,957,401.31"
购建固定资产、无形资产和其他长期资产支付的现金,"4,497,822.62","6,895,627.88","5,689,215.87","1,363,874.28","1,701,331.84","2,412,175.04","423,942.66","1,552,870.03","8,057,872.70","6,703,695.58","1,062,346.36"
期初现金及现金等价物余额,"40,006,168.05","76,130,103.17","67,511,037.04","75,213,113.55","75,213,113.55","75,213,113.55","91,014,302.70","91,014,302.70","91,014,302.70","91,014,302.70","362,713,085.72"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"76,130,103.17","67,511,037.04","75,213,113.55","53,461,756.58","60,041,282.43","91,014,302.70","358,744,346.34","217,235,090.99","207,288,473.07","361,813,085.72","350,755,684.41"
