科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"600,108,523.79","1,222,931,913.19","1,206,838,356.37","786,393,759.80","1,092,775,661.47","1,492,318,317.51","256,676,243.96","527,758,172.29","802,095,510.69","817,575,091.33","244,946,755.09","484,781,317.11","773,323,364.11","1,085,667,825.50","522,879,889.92","934,913,076.08","1,467,119,981.07","1,685,378,696.88","548,906,687.66","1,073,531,226.05","1,473,211,414.12","1,891,218,685.26","439,424,615.27","826,136,419.78","1,320,053,371.12","1,552,058,663.17","350,046,166.63","734,122,414.89","1,311,646,100.16","2,128,989,721.67","545,270,686.72","1,101,635,820.97","1,779,639,961.60","2,703,244,403.64","817,523,343.34","1,790,180,151.23"
取得子公司及其他营业单位支付的现金净额,,"90,000,000.00","38,840,599.00",,,,,,,"13,901,026.99",,,"80,400,000.00","91,132,622.33","21,862,997.87","36,582,997.87","36,582,997.87","36,582,997.87",,,,,"93,243,656.85","93,243,656.85","103,721,656.85","105,221,656.85",,,,,,,"467,194.18","467,194.18",,
收到的税费返还,"673,156.44","3,019,589.73","829,972.51","86,751.91","86,751.91","86,751.91",,,"3,273,186.15","3,273,186.15","19,093.96","19,093.96","45,738.41","45,738.41","1,131,063.77","1,248,422.28","2,270,739.73","5,127,696.03",,"784,712.67","1,274,277.08","2,239,724.18","249,691.68","900,634.37","2,062,871.37","3,283,561.28","301,222.95","3,675,656.29","7,061,628.81","3,876,665.82","734,131.81","1,965,847.79","2,598,556.57","8,715,711.35","172,451.32","3,621,013.13"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,190,000.00",,,,,,,,,,"11,625,707.88","11,625,707.88",,"4,481,547.50",,,,,"943,120,000.00"
收到其他与经营活动有关的现金,"23,764,159.32","37,750,960.10","20,573,188.41","87,880,712.47","139,055,690.07","97,112,645.97","30,215,991.34","76,827,041.47","102,954,840.16","59,479,404.66","20,806,878.91","35,379,038.38","187,823,756.47","43,092,032.81","2,061,945.22","26,668,891.21","25,431,516.43","80,118,325.64","38,055,304.01","91,585,669.92","203,030,063.96","188,581,980.77","217,038,281.32","308,198,344.20","453,567,698.85","524,557,914.11","82,871,863.85","134,817,840.80","264,189,674.78","312,884,828.15","100,997,724.52","356,710,263.78","597,630,897.99","569,152,712.75","82,418,610.98","160,917,566.84"
投资活动现金流出小计,"5,735,264.36","105,062,195.97","45,826,365.23","8,168,098.86","21,652,182.87","33,155,888.29","31,783,820.33","82,954,804.73","140,544,071.61","164,231,765.41","14,162,139.44","46,268,293.51","148,511,012.04","170,326,259.04","35,215,989.12","75,189,407.81","103,727,657.23","139,396,006.09","16,822,071.74","25,749,171.97","42,137,251.30","48,574,517.24","183,420,601.47","185,539,068.33","214,128,688.10","240,493,049.07","43,783,493.59","74,338,697.23","104,910,661.01","110,358,567.47","85,695,258.84","106,123,043.30","163,517,081.97","412,115,151.34","86,265,836.48","1,049,868,107.01"
经营活动现金流入小计,"624,545,839.55","1,263,702,463.02","1,228,241,517.29","874,361,224.18","1,231,918,103.45","1,589,517,715.39","286,892,235.30","604,585,213.76","908,323,537.00","880,327,682.14","265,772,727.96","520,179,449.45","961,192,858.99","1,128,805,596.72","526,072,898.91","962,830,389.57","1,494,822,237.23","1,770,624,718.55","586,961,991.67","1,165,901,608.64","1,677,515,755.16","2,082,040,390.21","656,712,588.27","1,135,235,398.35","1,775,683,941.34","2,079,900,138.56","433,219,253.43","872,615,911.98","1,582,897,403.75","2,445,751,215.64","647,002,543.05","1,460,311,932.54","2,379,869,416.16","3,281,112,827.74","900,114,405.64","1,954,718,731.20"
投资活动产生的现金流量净额,"-3,961,126.10","-105,062,195.97","-45,567,519.07","-7,132,298.86","-20,606,382.87","-32,123,968.23","-31,745,051.10","-82,131,420.12","-125,542,613.99","-163,055,169.10","-13,299,901.98","-38,788,058.81","-139,175,777.34","-167,371,021.58","-34,737,432.78","-74,321,390.40","-101,982,026.57","-136,043,707.18","-12,348,061.44","-19,752,833.50","-31,409,697.62","-32,226,863.59","-182,602,482.66","-184,018,378.66","-202,606,053.98","-203,960,360.77","-31,014,092.04","-55,576,017.33","-80,405,440.07","453,198,729.68","25,439,454.52","-7,504,806.62","-64,416,725.74","-215,524,560.09","-56,188,222.27","-869,679,014.67"
购买商品、接受劳务支付的现金,"600,293,690.50","1,133,633,090.67","913,604,639.98","610,342,794.55","1,141,580,161.54","1,570,978,819.74","359,285,563.67","685,525,373.81","1,008,312,633.62","1,001,660,043.91","198,105,474.14","391,056,985.56","712,847,181.33","1,096,182,016.06","482,472,370.63","853,981,199.56","1,267,795,763.77","1,373,274,019.16","500,399,165.29","835,945,199.81","1,012,221,361.32","1,240,057,023.41","223,761,607.25","443,960,590.17","721,004,176.51","895,965,820.17","281,036,419.26","488,533,718.69","795,514,361.52","1,295,037,395.30","426,329,924.71","938,118,426.73","1,541,537,242.86","2,128,247,125.59","516,582,531.46","1,151,212,293.14"
吸收投资收到的现金,"2,409,841.00","15,000,000.00",,,,,"940,071,408.00","940,071,408.00","947,539,308.00","940,071,408.00",,,,,,"13,441,600.00","14,641,600.00","14,641,600.00",,,,,,,,,,,,"1,835,304,525.67",,,,,,"800,000.00"
支付给职工以及为职工支付的现金,"5,772,807.35","12,286,855.50","18,838,228.70","14,392,910.49","21,084,023.08","28,845,441.50","8,449,352.65","19,334,397.83","30,939,013.79","43,134,708.44","12,716,832.42","28,192,570.28","54,763,372.47","85,050,812.83","31,683,755.58","69,608,493.02","106,476,478.52","146,791,796.77","40,739,470.03","83,577,237.19","117,838,346.16","157,491,539.12","50,170,347.02","96,705,912.39","138,294,724.71","180,370,315.09","42,382,374.45","86,255,973.98","152,353,485.17","262,103,261.89","131,027,213.79","241,926,525.40","348,113,288.47","483,622,154.82","174,730,195.15","305,609,649.35"
