科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"714,368,299.71","697,623,456.72","770,232,919.78","553,464,123.69","735,204,462.45","122,214,465.14","257,341,295.78","386,042,996.70","516,884,356.26","78,903,630.99","196,179,948.48","359,820,961.19","538,653,092.97","132,873,058.81","401,412,868.72","513,231,220.64","732,560,423.37","230,090,164.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"782,214,132.87",
收到的税费返还,"870,489.93","3,382,502.23","4,692,269.45","4,980,777.08","4,980,777.08",,"1,680,153.18","5,593,629.14","7,187,192.05","2,272,918.91","3,563,181.66","3,229,515.30","5,898,994.53","1,261,355.44","1,540,475.92","5,004,374.69","37,004,747.30","4,029,359.53"
支付其他与投资活动有关的现金,,,,,,,"60,000,000.00","60,000,000.00","100,000,000.00",,"80,000,000.00","150,000,000.00","160,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","155,000,000.00",
收到其他与经营活动有关的现金,"52,647,998.26","56,523,150.18","81,173,532.76","30,533,958.37","42,312,375.52","5,446,916.49","16,279,772.85","24,423,172.63","23,338,586.89","9,039,513.71","31,860,413.98","7,059,234.12","26,023,199.96","8,518,396.73","18,775,172.36","2,999,233.57","43,320,489.19","80,156,115.38"
投资活动现金流出小计,"138,277,659.55","188,422,111.80","206,760,823.94","198,034,773.97","244,655,093.67","36,275,854.16","211,984,878.29","248,856,200.22","306,510,616.33","45,848,652.11","117,686,272.14","244,378,271.09","250,615,419.04","92,046,880.10","141,714,634.07","201,158,967.65","1,101,617,436.54","12,446,794.04"
经营活动现金流入小计,"767,886,787.90","757,529,109.13","856,098,721.99","588,978,859.14","782,497,615.05","127,661,381.63","275,301,221.81","416,059,798.47","547,410,135.20","90,216,063.61","231,603,544.12","370,109,710.61","570,575,287.46","142,652,810.98","421,728,517.00","521,234,828.90","812,885,659.86","314,275,639.41"
投资活动产生的现金流量净额,"-124,977,005.15","-184,198,364.45","-160,715,443.65","-193,088,445.50","-240,635,902.04","-36,214,121.16","-211,293,856.54","-247,795,465.15","-264,563,885.42","4,799,685.80","-33,270,771.71","-87,930,487.29","17,395,377.28","-82,046,151.02","-100,431,109.71","-56,112,874.97","-931,572,969.62","-6,853,226.37"
购买商品、接受劳务支付的现金,"497,473,418.37","469,804,238.95","487,445,223.50","329,893,130.17","439,550,490.83","94,330,975.10","155,925,769.00","234,019,298.10","317,842,206.55","61,235,330.71","112,319,251.26","174,513,422.72","305,095,004.82","86,382,340.97","158,740,197.63","125,998,003.79","287,428,802.17","128,107,846.51"
吸收投资收到的现金,,,"6,000,000.00","1,600,000.00","1,600,000.00","342,630,000.00","329,411,000.00","329,411,000.00","329,411,000.00",,,,,,,,"300,000.00","300,000.00"
支付给职工以及为职工支付的现金,"64,451,349.60","71,340,468.68","79,332,582.94","73,283,789.33","96,245,740.23","32,246,811.52","65,376,498.11","88,999,905.39","121,060,882.99","37,013,708.01","68,639,009.82","96,249,812.47","124,103,440.84","37,163,504.73","66,681,512.58","95,210,881.41","131,085,449.45","48,064,031.15"
取得借款收到的现金,"414,041,190.00","573,412,495.44","676,424,365.00","531,153,255.91","763,629,675.10","179,418,654.30","421,418,654.30","458,418,654.30","577,418,654.30","225,000,000.00","608,548,800.00","608,548,800.00","746,808,800.00","213,278,729.57","401,076,428.86","340,964,381.09","1,219,396,851.17","105,154,872.01"
支付的各项税费,"35,368,040.65","42,489,358.04","35,503,603.71","50,374,254.13","64,198,146.27","18,408,647.97","13,186,622.90","27,846,439.80","38,479,168.46","16,617,266.30","33,685,869.72","51,877,698.76","59,177,732.60","10,083,846.18","30,078,167.08","17,391,155.25","60,898,943.38","33,651,523.61"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"55,000,000.00","55,000,000.00","402,516,111.72",
支付其他与经营活动有关的现金,"67,251,548.15","98,901,973.60","109,816,752.69","65,136,799.37","87,623,871.28","10,781,826.46","18,801,701.28","55,872,362.17","62,348,142.60","15,084,774.00","24,684,510.82","32,145,505.01","64,094,597.20","11,333,173.87","36,043,684.93","143,983,288.23","141,636,878.50","89,447,408.37"
