科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动产生的现金流量净额,"-19,596,600.81","-45,000,000.00","83,767,431.87","-16,155,153.61","-39,108,359.72","525,985,421.05","-10,383,446.50","-101,185,411.50","99,263,515.45","197,600,285.97","46,241,638.88","211,352,629.68"
处置子公司及其他营业单位收到的现金净额,,,,"5,543,756.13","5,543,756.13","5,543,756.13",,,,,,
四、汇率变动对现金的影响,"-49,866.10","-435,394.49","3,473,787.18","254,105.98","345,425.28","2,013,059.13","-41,560.28","-1,003,297.92","-3,267,284.63","-11,999,681.86","-1,314,195.83","3,535,293.67"
收到其他与投资活动有关的现金,"5,000,000.00","5,000,000.00","9,707,308.00","6,000,000.00","6,000,000.00","6,628,000.00",,,,"6,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"285,152,794.10","1,040,147,050.58","1,141,159,154.71","541,837,821.46","998,928,359.13","1,422,543,404.89","439,253,944.44","1,006,569,754.03","1,031,765,370.47","1,124,424,291.31","56,876,526.22","56,971,526.22"
五、现金及现金等价物净增加额,"154,544,966.54","11,341,443.83","62,340,235.49","-167,088,776.51","-197,950,624.55","-106,156,179.92","240,560,601.92","104,374,127.65","169,741,074.87","59,323,001.89","-30,498,618.61","464,326.23"
购建固定资产、无形资产和其他长期资产支付的现金,"22,903,385.23","169,733,981.36","133,597,971.33","121,113,450.07","174,119,467.44","294,500,443.91","108,394,019.72","229,120,760.94","421,125,482.72","585,783,216.75","148,535,877.45","317,870,395.45"
期初现金及现金等价物余额,"31,879,155.66","186,424,122.20","197,765,566.03","260,105,801.52","260,105,801.52","260,105,801.52","153,921,641.42","153,949,621.60","153,949,621.60","153,949,621.60","213,272,623.49","213,272,623.49"
投资支付的现金,"278,400,000.00","1,091,190,000.00","1,418,026,000.00","788,000,000.00","1,308,000,000.00","2,169,250,640.00","149,994,000.00","234,316,500.00","281,369,000.00","273,924,001.53","57,156,368.00","102,156,368.00"
期末现金及现金等价物余额,"186,424,122.20","197,765,566.03","260,105,801.52","93,017,025.01","62,155,176.97","153,949,621.60","394,482,243.34","258,323,749.25","323,690,696.47","213,272,623.49","182,774,004.88","213,736,949.72"
