科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"4,319,494,772.52","4,277,507,510.07","4,086,337,001.00","4,206,271,462.61","5,551,903,160.63","1,370,937,290.90","3,756,622,619.47","6,460,257,230.79","8,480,863,158.20","2,493,337,945.34","5,707,184,064.34","8,505,888,532.29","11,208,858,671.70","2,697,397,651.16","5,446,194,622.23","7,981,841,453.39","10,109,309,831.91","2,113,127,238.99","4,434,114,028.93","7,174,384,768.76","9,435,723,928.95","2,266,407,333.68","5,446,374,945.51","8,536,468,550.35","9,817,791,033.56","1,825,831,391.29","4,312,721,523.07","6,650,436,200.99","8,847,668,768.23","2,845,647,756.13","7,238,892,390.09","10,379,464,555.33","14,329,251,540.76","3,306,177,863.94","8,177,828,924.78"
二、营业利润,"51,700,105.45","89,140,620.35","92,250,856.62","101,060,882.42","134,944,199.14","36,181,513.89","60,672,836.74","118,862,826.09","100,500,529.26","15,830,629.41","51,376,215.02","55,152,560.75","21,959,428.04","17,453,730.02","40,437,848.59","31,413,259.41","56,305,155.93","32,745,131.86","79,105,186.90","114,812,765.31","153,191,825.97","16,869,739.04","104,533,615.14","174,307,195.73","196,985,993.28","29,878,517.54","94,197,777.58","87,075,462.75","75,168,440.16","50,187,704.25","110,293,938.73","147,856,212.41","176,601,637.98","64,588,458.75","144,826,890.39"
减:营业成本,"4,097,359,664.89","3,931,553,294.20","3,809,786,157.06","3,918,967,016.49","5,155,410,184.88","1,272,329,608.43","3,538,440,410.90","6,086,778,929.85","7,999,053,844.02","2,411,333,212.76","5,474,201,094.60","8,169,092,069.42","10,777,306,593.04","2,589,534,176.10","5,251,882,835.99","7,717,957,964.96","9,734,035,354.45","1,992,378,578.76","4,203,817,363.75","6,791,316,411.52","8,895,336,169.14","2,163,857,030.86","5,185,737,744.84","8,044,832,020.16","9,237,518,194.27","1,733,579,457.85","4,104,102,091.59","6,351,500,161.23","8,391,652,535.32","2,666,085,513.66","6,894,190,802.91","9,869,966,858.66","13,609,378,920.19","3,133,847,447.51","7,757,469,599.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"401,349.61","508,053.96","475,763.78","386,443.29","500,633.64","467,452.75","592,170.27","1,022,604.95","1,300,414.44","336,646.30","690,991.55","1,816,346.72","3,312,106.48","1,372,848.53","2,411,411.56","3,521,915.30","9,097,592.03","1,726,591.51","3,560,345.90","5,620,503.08","7,802,904.20","1,516,949.63","2,914,085.71","4,311,486.47","5,869,446.81","990,104.58","1,750,818.76","2,123,286.53","11,575,754.17","3,874,229.17","8,664,306.15","12,631,812.40","17,867,615.12","3,606,519.34","9,618,836.92"
营业外收入,"37,472,958.40","18,840,715.57","65,701,900.58","28,641,918.68","56,106,771.44","3,747,860.39","7,855,253.55","24,284,326.87","36,731,519.16","1,331,235.84","19,768,297.83","45,122,785.79","75,767,251.25","5,706,911.73","32,456,835.32","59,691,508.20","71,260,967.74","4,486,676.82","7,443,551.42","11,927,884.62","27,328,374.21","24,335,994.56","31,127,674.43","36,351,021.29","57,922,272.99","4,466,537.64","10,854,574.15","39,808,699.05","48,962,396.15","8,028,592.44","16,486,935.88","21,488,725.83","13,200,427.34","132,697.68","637,734.19"
销售费用,"108,218,726.26","166,060,815.86","109,350,816.04","102,755,590.17","152,058,986.35","27,074,429.52","83,890,932.98","135,325,580.52","188,003,762.55","34,626,555.74","88,521,610.76","144,575,744.05","208,833,945.17","52,486,443.86","98,055,176.99","156,997,670.69","211,431,365.59","50,020,923.80","84,860,305.24","150,850,553.59","233,511,180.31","45,832,488.35","102,978,543.30","224,317,616.00","252,956,284.31","36,052,785.02","89,198,645.73","140,634,076.25","203,315,474.72","76,593,073.07","132,685,452.91","206,668,026.33","303,390,302.16","64,924,044.24","167,239,005.95"
减:营业外支出,"808,073.20","2,526,085.24","2,921,071.61","144,516.46","152,942.47","94,389.21","102,449.81","311,936.98","690,734.61","21,608.99","22,577.04","511,133.36","2,029,641.03","92,348.11","570,866.73","655,476.40","1,922,303.18","280,309.57","378,573.76","475,023.64","3,303,174.64","12,473.05","684,849.90","921,304.54","10,409,695.60","48,777.86","56,434.10","243,231.12","1,056,914.69","878,165.83","918,604.85","1,110,587.23","4,610,878.38","44,362.62","47,129.12"
管理费用,"37,239,631.27","52,472,471.84","56,935,234.73","46,706,240.94","64,469,647.64","16,172,171.33","38,570,558.86","56,986,150.39","88,285,242.78","21,113,115.37","43,078,122.97","68,682,432.49","99,020,640.82","27,233,824.50","55,534,816.49","85,022,521.10","118,325,799.75","28,813,174.21","58,349,709.95","95,307,426.79","136,665,263.32","35,024,477.78","69,457,365.01","113,399,237.98","160,929,807.47","33,990,799.03","68,569,463.00","106,667,004.64","163,347,981.23","36,176,843.44","74,684,376.60","119,363,634.82","201,852,973.31","47,281,996.32","98,004,458.17"
其中:非流动资产处置净损失,"532,249.90","1,272,068.87","16,139.68","90,516.46","98,942.47","24,389.21","32,449.81","32,449.81","60,402.70","8,970.35","9,550.35","129,286.94","623,200.93",,"430,949.14","480,734.39","744,868.34","270,129.57","329,520.10","420,464.50","461,710.14","2,467.39","561,932.84","742,949.73","10,045,093.47","27,723.95","30,046.37","66,802.95","133,253.92","856,195.30","877,540.29","1,068,071.60",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"32,485,640.64","66,276,266.66","33,461,514.23","31,767,037.30","44,334,501.09","21,721,991.45","39,245,014.36","62,942,712.25","86,638,891.11","26,103,977.98","59,857,272.75","91,402,767.84","118,345,050.51","27,684,771.58","39,840,904.01","43,497,147.50","68,924,390.60","27,200,766.22","51,348,645.47","86,296,360.02","112,015,405.80","25,890,612.07","59,024,997.26","82,385,106.12","100,348,151.97","12,732,437.17","19,727,515.80","38,838,453.47","63,864,263.49","30,239,792.05","52,435,394.01","76,302,979.52","94,761,358.86","21,901,657.76","43,419,767.94"
