科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"54,437,811.56","38,440,689.45","38,925,650.14",,"390,045,585.12","291,601,329.70","309,218,265.91","126,518,484.49","56,322,281.21","353,558,294.26","363,737,933.41","401,009,720.98","316,921,284.82","376,915,619.30","369,599,382.42","308,100,744.78","195,837,805.02"
短期借款,"137,179,437.90","137,145,751.32","157,500,000.00",,"158,000,000.00","141,000,000.00","138,000,000.00","138,000,000.00","138,000,000.00","158,000,000.00","168,000,000.00","168,000,000.00","168,000,000.00","188,000,000.00","188,000,000.00","188,000,000.00","158,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"63,430,630.61","75,379,015.75","94,147,366.50",,"37,304,250.62","88,575,077.90","154,641,446.73","138,322,345.15","149,563,224.06","227,245,460.86","247,570,125.56","261,977,996.22","262,332,465.84","283,197,323.44","254,170,787.19","266,897,939.87","274,720,065.52"
应付票据,"49,910,000.00","25,900,000.00","24,200,000.00",,"24,800,000.00","78,100,000.00","78,100,000.00","24,800,000.00","34,876,000.00","75,166,000.00","134,752,000.00","149,082,000.00","154,340,000.00","151,070,000.00","132,649,723.73","200,297,000.00","209,797,587.30"
应收账款,"143,859,018.90","137,484,244.79","257,540,723.69",,"250,281,714.11","214,622,606.76","244,165,089.78","347,806,064.89","360,967,174.94","350,842,661.12","415,185,997.83","401,942,472.79","393,168,027.25","315,396,985.28","415,081,708.03","409,005,734.26","431,290,796.45"
应付账款,"105,452,515.81","106,735,906.11","110,680,996.42",,"97,459,978.68","113,942,388.42","131,772,930.90","145,408,930.10","150,311,781.16","166,951,381.81","187,871,301.06","206,830,795.67","165,856,330.85","160,919,339.42","233,423,741.85","228,552,116.31","209,298,452.18"
预付款项,"12,862,309.90","10,073,439.48","10,971,579.00",,"16,288,924.35","67,819,636.98","12,036,584.17","20,777,439.45","16,890,983.36","30,443,418.07","27,187,649.17","40,996,895.67","42,256,756.22","15,627,713.02","22,178,475.52","19,422,089.07","18,167,549.21"
预收款项,"660,320.05","706,870.47","1,795,204.02",,"740,681.24","660,533.92","750,835.63","656,642.69","761,026.43","796,616.90","875,653.68","9,398,426.87","10,427,178.27","9,561,262.34","1,054,261.64","1,207,947.17","918,756.53"
其他应收款,"1,663,460.82","1,614,051.62","2,412,028.43",,"2,008,391.39","1,515,972.26","1,273,065.80","2,592,574.06","3,258,670.29","2,904,907.45","8,354,568.87","6,483,426.30","6,710,227.48","6,434,440.06","6,479,715.06","4,581,389.53","1,564,046.55"
应付职工薪酬,"7,052,790.86","6,452,909.94","7,107,168.84",,"5,889,420.27","5,860,373.79","6,413,804.21","6,861,116.02","7,335,667.22","7,659,495.08","9,013,251.78","8,127,713.52","5,705,307.59","6,376,676.53","8,786,811.58","10,930,079.66","8,697,656.38"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"7,163,517.92","2,508,053.90","35,031,057.50",,"18,557,423.28","16,189,289.34","22,592,667.22","26,790,491.43","17,381,935.72","23,198,660.11","23,043,086.01","10,078,439.73","11,314,458.65","11,698,311.52","22,968,871.44","19,869,828.72","13,897,056.13"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"594,800.00","594,800.00","379,280.00","356,880.00","734,810.00"
存货,"154,491,058.04","166,190,143.69","156,488,012.02",,"169,859,565.34","199,269,896.41","235,423,845.44","225,932,436.05","226,115,779.67","214,646,009.38","227,831,531.77","251,545,033.82","244,990,981.83","259,034,853.95","257,139,543.17","317,451,228.16","379,718,940.90"
其他应付款,"12,150,389.41","12,720,809.27","4,497,248.20",,"4,035,987.70","2,227,219.24","2,593,770.56","5,191,602.50","4,652,428.18","5,445,713.67","91,160,854.58","97,115,555.97","98,061,500.97","100,266,593.99","66,049,793.30","65,374,207.49","59,296,755.25"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
