科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
偿还债务支付的现金,"231,150,000.00","487,284,216.98","671,661,466.91","601,000,000.00","830,268,055.02","896,474,823.02","132,000,000.00","283,793,470.00","297,793,470.00","317,793,470.00","94,901,100.00","201,901,100.00","250,901,100.00","369,901,100.00",,"70,000,000.00","84,000,000.00","96,000,000.00","32,000,000.00","102,000,000.00","116,000,000.00","128,000,000.00","32,000,000.00","142,000,000.00","156,000,000.00"
经营活动产生的现金流量净额,"10,236,667.29","144,456,722.93","92,135,995.39","-136,252,352.37","-148,339,308.22","94,521,656.47","-56,503,731.96","-223,325,091.49","-208,469,220.19","-150,240,256.74","72,752,926.90","40,838,736.41","85,062,836.36","153,635,302.52","15,453,649.66","33,364,905.04","38,018,106.56","102,925,326.65","-17,840,769.01","-18,143,134.04","-29,950,720.85","-29,395,858.11","-66,031,729.81","-50,326,602.50","-146,193,230.52"
分配股利、利润或偿还利息支付的现金,"24,847,807.06","58,389,464.52","62,794,240.74","33,946,534.29","42,371,614.71","44,698,760.96","3,967,070.32","33,621,572.18","36,355,360.80","60,431,380.80","5,103,008.60","8,926,133.89","14,856,510.29","17,369,250.30","2,028,518.99","4,587,988.31","6,591,163.31","8,366,333.85","1,833,708.68","3,524,395.79","5,166,833.34","6,789,594.34","1,587,808.00","4,400,605.89","6,410,002.77"
收回投资收到的现金,"3,213,162.25","2,521,997.33",,,,,,,,,,,,"797,546,652.36",,,,"158,000,000.00","100,000,000.00","250,000,000.00","300,000,000.00","540,017,000.00","340,685,000.00","340,685,000.00","340,685,000.00"
支付其他与筹资活动有关的现金,"15,170,000.00","71,687,823.81","9,000,000.00","8,490,377.49","1,000,377.87","5,010,350.00",,,,"300,000,000.00",1.87,,,,,,,,,,,,,,
取得投资收益收到的现金,,,"70,000.00",,"147,428.88","147,428.88",,"201,240.41","201,240.41","201,240.41","435,951.33","1,236,998.58","1,543,614.46","574,972.60",,"459,978.08","4,459,978.08","5,242,464.39","270,136.99","1,489,402.74","1,691,256.45","2,076,474.75","352,338.44","812,316.52","812,316.52"
筹资活动现金流出小计,"271,167,807.06","617,361,505.31","743,455,707.65","643,436,911.78","873,640,047.60","946,183,933.98","135,967,070.32","317,415,042.18","334,148,830.80","678,224,850.80","100,004,110.47","210,827,233.89","265,757,610.29","387,270,350.30","2,028,518.99","74,587,988.31","90,591,163.31","104,366,333.85","33,833,708.68","105,524,395.79","121,166,833.34","134,789,594.34","33,587,808.00","146,400,605.89","162,410,002.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,939,600.00","2,889,000.00","873,169.26","144,019.41","144,019.41","568,839.92","89,323.79","347,914.16","591,644.93","591,644.93",,"547,136.74","547,136.74","863,961.78",,"193,691.58","201,071.58","281,607.54","78,446.60","84,330.09","84,330.09","87,747.96",90.00,90.00,90.00
筹资活动产生的现金流量净额,"98,602,192.94","193,554,830.24","29,195,309.50","634,335,801.24","407,356,465.42","685,055,414.14","-55,880,870.32","-119,780,152.42","-109,611,530.80","-286,223,261.08","-100,004,110.47","-92,825,284.93","-135,040,661.33","-250,193,764.28","43,256,481.01","40,697,011.69","38,693,836.69","36,918,666.15","-1,833,708.68","-3,524,395.79","-5,166,833.34","-6,789,594.34","-1,587,808.00","-44,400,605.89","45,589,997.23"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,"-47,508.34","-6,377.84","12,105.26","8,433.19","-2,796.58","-81,388.22","-164,208.08","-139,853.59","-104,067.73","-48,452.12","-55,455.45","35,523.12","45,830.00","63,669.71","83,178.05","8,888.04","62,663.57","71,287.68"
收到其他与投资活动有关的现金,,,,,,,"249,247.32",,"1,154,090.42",,"4,179,314.67","6,359,637.06","6,359,637.06",,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"10,152,762.25","5,410,997.33","943,169.26","144,019.41","291,448.29","716,268.80","338,571.11","549,154.57","1,946,975.76","792,885.34","4,615,266.00","8,143,772.38","8,450,388.26","798,985,586.74",,"653,669.66","4,661,049.66","163,524,071.93","100,348,583.59","251,573,732.83","301,775,586.54","542,181,222.71","341,037,428.44","341,497,406.52","341,497,406.52"
五、现金及现金等价物净增加额,"39,364,106.86","175,081,298.16","-83,203,301.80","371,978,219.42","94,419,671.16","603,241,321.13","-148,803,303.27","-405,398,239.05","-404,369,352.57","-541,933,284.42","-88,566,956.59","-105,951,304.61","-108,581,736.04","-157,504,947.14","50,175,142.71","67,186,992.18","72,985,599.75","54,529,518.71","-23,119,863.88","54,283,656.89","40,741,973.66","37,287,961.53","-68,861,569.61","-96,086,140.37","-103,952,770.94"
购建固定资产、无形资产和其他长期资产支付的现金,"74,127,515.62","147,341,252.34","152,414,995.95","126,249,248.86","164,888,934.33","177,052,018.28","35,257,272.10","61,294,641.37","86,727,887.34","106,274,757.20","25,516,472.21","44,045,731.89","48,912,911.11","63,227,864.04","8,395,134.37","7,424,526.48","8,338,941.04","10,783,090.57","3,829,492.90","5,668,376.11","5,979,728.40","8,773,986.78","1,603,348.28","2,234,002.07","4,233,231.85"
期初现金及现金等价物余额,"19,387,581.57","58,751,688.43","233,832,986.59","150,629,684.79","150,629,684.79","150,629,684.79","753,871,005.92","753,871,005.92","753,871,005.92","753,871,005.92","211,937,721.50","211,937,721.50","211,937,721.50","211,937,721.50","123,370,764.91","54,432,774.36","54,432,774.36","54,432,774.36","108,962,293.07","108,962,293.07","108,962,293.07","108,962,293.07","146,250,254.60","146,250,254.60","146,250,254.60"
投资支付的现金,"5,500,000.00","21,000,000.00",,,,,"1,500,000.00","1,500,000.00","1,500,000.00",,"40,423,000.00","18,060,000.00","18,060,000.00","796,540,000.00",,,,"238,000,000.00","100,000,000.00","170,000,000.00","220,000,000.00","460,017,000.00","340,685,000.00","340,685,000.00","340,685,000.00"
期末现金及现金等价物余额,"58,751,688.43","233,832,986.59","150,629,684.79","522,607,904.21","245,049,355.95","753,871,005.92","605,067,702.65","348,472,766.87","349,501,653.35","211,937,721.50","123,370,764.91","105,986,416.89","103,355,985.46","54,432,774.36","173,545,907.62","121,619,766.54","127,418,374.11","108,962,293.07","85,842,429.19","163,245,949.96","149,704,266.73","146,250,254.60","77,388,684.99","50,164,114.23","42,297,483.66"
