科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"115,811,786.65","146,845,626.64","182,306,363.25","148,650,046.88","200,201,994.54","41,418,937.22","89,619,018.71","139,672,399.40","202,204,993.47","50,546,448.73","128,792,326.52","211,084,529.31","291,091,030.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"27,633,230.43"
收到的税费返还,"3,839,789.59","4,820,737.11","2,253,269.92","6,742,604.91","7,985,141.65",,"1,610,672.29","1,961,792.11","3,087,638.00","660,878.57","1,333,322.07","2,513,390.18","2,875,025.61"
支付其他与投资活动有关的现金,,,,,,,,"31,800,000.00",,,,,
收到其他与经营活动有关的现金,"7,473,235.15","10,900,881.82","14,519,150.95","15,062,868.36","20,864,239.13","21,341,745.13","3,257,363.81","6,712,094.15","7,558,582.78","2,172,533.40","12,182,349.16","16,524,270.74","18,022,000.48"
投资活动现金流出小计,"4,205,441.73","5,663,277.87","40,706,889.04","112,421,951.61","160,933,662.59","75,943,926.02","360,213,178.56","643,580,932.59","867,420,548.27","131,529,856.11","298,740,816.41","436,889,475.65","552,838,243.58"
经营活动现金流入小计,"127,124,811.39","162,567,245.57","199,078,784.12","170,455,520.15","229,051,375.32","62,760,682.35","94,487,054.81","148,346,285.66","212,851,214.25","53,379,860.70","142,307,997.75","230,122,190.23","311,988,056.52"
投资活动产生的现金流量净额,"-4,205,441.73","-5,663,277.87","-1,031,719.15","-33,044,859.35","-14,222,041.73","-75,943,926.02","-201,049,103.97","-302,201,547.61","-245,743,643.61","15,471,093.26","13,003,329.40","-33,434,981.42","9,399,754.35"
购买商品、接受劳务支付的现金,"54,500,237.08","55,608,797.08","57,344,034.26","69,315,442.37","86,753,743.01","25,517,931.62","46,881,752.87","66,625,639.62","100,560,162.23","29,285,137.94","75,628,389.10","115,208,032.98","140,253,517.80"
吸收投资收到的现金,,"1,500,000.00",,,,"274,449,944.00","274,449,944.00","274,449,944.00","274,449,944.00",,,,
支付给职工以及为职工支付的现金,"14,105,937.46","17,501,594.42","19,911,730.44","16,510,140.53","20,169,428.94","6,917,532.95","12,735,428.00","18,110,585.16","25,842,993.57","8,907,348.05","16,684,396.78","24,509,785.25","34,514,960.34"
取得借款收到的现金,"13,500,000.00",,,,,,,,,,,,
支付的各项税费,"11,292,518.70","18,466,272.61","24,557,630.36","17,321,586.80","22,131,398.54","8,008,381.35","14,427,531.90","19,613,004.07","19,405,056.19","6,706,124.01","15,349,445.99","23,996,429.91","26,655,741.88"
收到其他与筹资活动有关的现金,,,,,,"1,072.86",,,,,,,
支付其他与经营活动有关的现金,"20,730,153.09","42,587,477.42","34,459,963.17","37,380,032.76","46,722,074.73","16,156,026.05","16,483,692.43","22,134,102.06","33,580,681.83","6,295,182.98","40,112,122.02","54,928,945.14","55,474,133.49"
筹资活动现金流入小计,"13,500,000.00","1,500,000.00",,,,"274,451,016.86","274,449,944.00","274,449,944.00","274,449,944.00",,,,
经营活动现金流出小计,"100,628,846.33","134,164,141.53","136,273,358.23","140,527,202.46","175,776,645.22","56,599,871.97","90,528,405.20","126,483,330.91","179,388,893.82","51,193,792.98","147,774,353.89","218,643,193.28","256,898,353.51"
偿还债务支付的现金,"3,000,000.00","13,500,000.00",,,,,,,"10,000,000.00","5,000,000.00","7,000,000.00","7,000,000.00","12,000,000.00"
经营活动产生的现金流量净额,"26,495,965.06","28,403,104.04","62,805,425.89","29,928,317.69","53,274,730.10","6,160,810.38","3,958,649.61","21,862,954.75","33,462,320.43","2,186,067.72","-5,466,356.14","11,478,996.95","55,089,703.01"
分配股利、利润或偿还利息支付的现金,"659,710.70","15,118,053.06","18,000,000.00","20,000,000.00","20,000,000.00","77,600.00","25,087,670.00","25,087,670.00","27,058,995.72","109,970.00","25,255,343.88","25,560,520.97","26,993,754.29"
收回投资收到的现金,,,"39,300,000.00","78,700,000.00","146,711,620.86",,"158,500,000.00","340,100,000.00","614,950,870.76","145,800,000.00","308,295,000.00","399,295,000.00","555,227,521.76"
支付其他与筹资活动有关的现金,"16,378,071.11",,,,,"9,600,000.00","9,600,000.00","9,600,000.00","11,100,000.00",,,,"9,004,311.50"
取得投资收益收到的现金,,,"367,169.89","677,092.26",,,"664,074.59","1,279,384.98",,"1,200,949.37","3,449,145.81","4,159,494.23","6,922,476.17"
筹资活动现金流出小计,"20,037,781.81","28,618,053.06","18,000,000.00","20,000,000.00","20,000,000.00","9,677,600.00","34,687,670.00","34,687,670.00","48,158,995.72","5,109,970.00","32,255,343.88","32,560,520.97","47,998,065.79"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"8,000.00",,,,,,"280,610.00",,,,"88,000.00"
筹资活动产生的现金流量净额,"-6,537,781.81","-27,118,053.06","-18,000,000.00","-20,000,000.00","-20,000,000.00","264,773,416.86","239,762,274.00","239,762,274.00","226,290,948.28","-5,109,970.00","-32,255,343.88","-32,560,520.97","-47,998,065.79"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"2,738.00","-30,813.90","-13,335.29","-87,033.26","26,826.54","64,346.80","230,961.43","346,668.28","973,651.03","80,887.28","-131,721.54","-276,122.04","-853,846.82"
收到其他与投资活动有关的现金,,,,,,,,,"6,445,423.90",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,,,"39,675,169.89","79,377,092.26","146,711,620.86",,"159,164,074.59","341,379,384.98","621,676,904.66","147,000,949.37","311,744,145.81","403,454,494.23","562,237,997.93"
五、现金及现金等价物净增加额,"15,755,479.52","-4,409,040.79","43,760,371.45","-23,203,574.92","19,079,514.91","195,054,648.02","42,902,781.07","-40,229,650.58","14,983,276.13","12,628,078.26","-24,850,092.16","-54,792,627.48","15,637,544.75"
购建固定资产、无形资产和其他长期资产支付的现金,"4,205,441.73","5,663,277.87","1,406,889.04","8,221,951.61","15,233,662.59","19,870,627.81","23,613,178.56","39,530,932.59","57,220,548.27","14,621,456.11","24,328,416.41","31,257,075.65","45,777,491.39"
期初现金及现金等价物余额,"10,735,015.76","26,490,495.28","22,081,454.49","65,841,825.94","65,841,825.94","84,921,340.85","84,921,340.85","94,275,290.38","84,921,340.85","99,904,616.98","105,526,186.55","105,615,131.68","99,904,616.98"
投资支付的现金,,,"39,300,000.00","104,200,000.00","145,700,000.00","56,073,298.21","336,600,000.00","572,250,000.00","810,200,000.00","116,908,400.00","274,412,400.00","405,632,400.00","479,427,521.76"
期末现金及现金等价物余额,"26,490,495.28","22,081,454.49","65,841,825.94","42,638,251.02","84,921,340.85","279,975,988.87","127,824,121.92","54,045,639.80","99,904,616.98","112,532,695.24","80,676,094.39","50,822,504.20","115,542,161.73"
