科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,070,460,955.72","2,407,779,037.28","2,668,069,507.74","680,036,098.00","1,440,620,477.30","2,309,326,889.91","3,114,252,013.73","736,695,049.93","1,611,696,885.34","3,429,389,248.08","760,298,627.93","1,683,023,430.65","2,961,725,172.89","4,160,958,409.60","953,035,049.84","1,991,874,237.12"
二、营业利润,"121,741,882.65","118,601,824.02","134,820,605.96","28,834,193.39","67,526,201.78","112,418,807.70","154,221,760.83","35,404,435.65","86,094,040.50","150,008,024.63","33,984,287.14","60,714,828.77","132,489,897.10","148,712,090.20","55,869,387.67","68,826,132.86"
减:营业成本,"1,708,253,855.10","1,986,724,731.76","2,198,950,216.61","570,207,886.14","1,188,647,892.08","1,908,329,687.92","2,561,162,971.31","613,797,730.82","1,325,471,581.12","2,824,287,333.54","635,273,920.49","1,410,266,107.82","2,458,228,300.62","3,495,126,438.90","793,137,789.56","1,667,757,536.58"
加:补贴收入,,,,,,,,,,,,,,,,
营业税金及附加,"4,162,471.81","6,414,147.77","6,942,507.42","1,459,206.75","2,845,784.25","6,462,611.21","8,844,531.25","2,375,047.96","4,038,786.49","13,419,254.14","2,079,586.99","6,778,949.82","12,616,594.93","22,080,176.75","4,620,624.40","12,558,719.71"
营业外收入,"20,001,704.94","7,953,957.75","12,292,320.63","1,752,258.45","2,280,832.33","4,372,447.47","10,269,892.42","3,768,217.48","3,632,111.71","18,940,233.78","2,758,493.07","1,567,781.78","2,382,365.75","825,918.23","276,540.12","409,190.09"
销售费用,"91,557,640.42","110,003,873.94","120,357,350.88","29,151,845.18","71,058,397.52","113,864,831.89","161,553,011.18","37,474,071.27","83,373,526.39","210,371,792.42","40,584,818.10","77,039,353.05","147,934,593.06","208,715,068.77","39,704,405.54","82,041,910.18"
减:营业外支出,"3,633,951.05","4,958,326.63","5,887,898.02","1,381,485.45","3,118,037.78","4,328,766.80","7,001,277.82","1,539,417.66","2,724,735.94","5,344,394.34","95,858.50","301,548.72","706,432.95","1,763,547.98","801,901.39","1,360,935.73"
管理费用,"107,322,715.55","120,236,741.13","134,621,349.89","31,332,524.88","66,932,928.00","108,978,266.05","167,959,877.58","36,102,857.32","83,008,325.06","184,829,752.32","43,638,417.07","93,969,858.58","163,043,266.22","225,100,143.61","45,954,589.14","107,487,859.00"
其中:非流动资产处置净损失,"89,415.24","44,809.92","537,539.76","9,473.95","9,473.95",,"18,149.00",,,"52,429.55",,,,,,
堪探费用,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,
财务费用,"40,149,722.50","40,523,452.13","52,773,090.39","9,682,840.18","18,063,934.52","28,155,174.66","36,233,931.28","5,790,106.22","13,418,067.91","26,093,801.47","4,827,545.26","12,979,022.13","33,204,947.26","48,689,357.05","14,859,117.42","31,025,306.91"
三、利润总额,"138,109,636.54","121,597,455.14","141,225,028.57","29,204,966.39","66,688,996.33","112,462,488.37","157,490,375.43","37,633,235.47","87,001,416.27","163,603,864.07","36,646,921.71","61,981,061.83","134,165,829.90","147,774,460.45","55,344,026.40","67,874,387.22"
资产减值损失,"10,485,366.37","15,160,109.39","19,682,163.85","9,921,645.08","26,410,810.21","30,723,455.34","17,852,052.32","13,084,912.45","27,206,205.70","34,016,109.18","3,477,546.51","18,043,435.04","12,860,949.18","15,855,141.38","1,730,003.63","17,231,059.62"
减:所得税,"17,815,884.21","14,896,279.48","15,674,737.81","4,408,720.80","8,244,298.22","13,545,805.04","14,355,795.98","5,766,014.52","11,620,974.80","18,743,329.02","6,094,837.61","7,074,834.90","19,953,563.15","24,464,148.98","5,698,109.38","7,908,958.34"
加:公允价值变动净收益,"7,530,641.84","-2,464,550.00","378,175.00","1,902,175.00","678,575.00","-1,603,925.00","-2,337,825.00","3,041,650.00","4,515,950.00","1,874,500.00","-44,945.00","3,641,700.00","5,077,750.00","3,046,800.00","-2,051,542.50","-4,794,792.50"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,
投资收益,"5,682,056.84","-7,649,607.14","-300,397.74","-1,348,131.40","186,896.06","1,209,869.86","-4,086,052.98","4,292,461.76","6,397,697.83","11,762,319.62","3,612,438.63","-8,515,194.34","-8,528,422.96","-4,668,018.14","-6,896,179.43","-13,811,198.66"
四、净利润,"120,293,752.33","106,701,175.66","125,550,290.76","24,796,245.59","58,444,698.11","98,916,683.33","143,134,579.45","31,867,220.95","75,380,441.47","144,860,535.05","30,552,084.10","54,906,226.93","114,212,266.75","123,310,311.47","49,645,917.02","59,965,428.88"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,"-1,425,379.94",,,,"-1,977,256.72",,
归属于母公司所有者的净利润,"104,983,331.73","96,616,042.05","117,023,125.41","23,488,167.83","55,530,651.64","93,866,828.37","134,968,462.08","30,347,454.12","71,146,525.20","135,972,858.75","29,057,010.49","50,427,938.67","94,364,390.68","100,342,002.86","44,731,897.56","51,090,367.83"
影响营业利润的其他科目,,,,,,,,,,,,,,,,
少数股东损益,"15,310,420.60","10,085,133.61","8,527,165.35","1,308,077.76","2,914,046.47","5,049,854.96","8,166,117.37","1,519,766.83","4,233,916.27","8,887,676.30","1,495,073.61","4,478,288.26","19,847,876.07","22,968,308.61","4,914,019.46","8,875,061.05"
