科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,"160,590,493.98","33,721,825.36",,,"268,028,476.86","366,084,057.81","364,523,766.13","769,782,319.30","830,274,206.54","869,251,015.95",,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,"108,411,052.08","196,766,216.00","100,091,620.86","69,190,057.74","603,125.44","44,786,487.54","88,624,021.75","113,303,456.68","41,249,141.27","86,128,185.55","205,595,189.51","5,152,285.44",,"4,450,562.79",,,,,,,,,,,,"1,474,320.00","1,474,320.00","1,474,320.00",
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"84,652.00","1,925,427.77","100,680.00","5,406.60","173,603.63","57,000.00","139,752.48","281,652.48","160,541.98",,"61,458.77","179,933.90","371,345.48",,"3,574,551.99","28,075,410.52","8,119,051.60","216,897.93","616,488.13","633,660.57","624,092.67","21,209,245.14","541,862.63","816,964.79","15,846,917.08","560,481.36","118,976.34","112,980.79","174,947.28","265,519.88"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,"56,000,000.00",,,,,,,,,,,,,,,"200,000,000.00","124,000,000.00","276,000,000.00"
投资活动现金流入小计,"84,652.00","110,336,479.85","357,457,389.98","133,818,852.82","69,363,661.37","660,125.44","312,954,716.88","454,989,732.04","477,987,764.79","811,031,460.57","916,463,850.86","1,075,026,139.36","5,523,630.92",,"8,025,114.78","28,075,410.52","8,119,051.60","216,897.93","616,488.13","633,660.57","624,092.67","21,209,245.14","541,862.63","816,964.79","15,846,917.08","560,481.36","1,593,296.34","1,587,300.79","1,649,267.28","265,519.88"
收取利息、手续费及佣金的现金,"1,213,812,468.61","1,972,449,122.09","1,857,102,324.69","976,635,881.08","1,534,712,725.60","334,896,232.04","596,773,233.93","857,313,296.27","1,188,929,966.34","374,142,702.67","677,556,985.07","1,057,450,058.36","1,455,710,376.25","563,110,898.99","1,046,893,695.58","1,522,024,383.48","2,654,477,226.54","1,177,305,376.45","3,380,783,678.44","5,236,116,617.07","6,905,224,108.02","1,149,814,845.28","2,445,582,335.91","3,771,381,578.55","5,232,660,619.70","1,181,431,937.00","2,428,212,437.74","3,678,846,076.67","4,754,547,303.34","1,093,255,658.41"
投资支付的现金,,,"145,240,117.28","550,332,987.79","865,090,151.20","614,982,553.76","1,151,802,565.50","1,407,790,753.81","1,811,750,902.08","315,715,988.23","682,919,056.85","787,222,508.10",,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额,,,,,,,,,,,"548,464,295.11","153,539,594.56",,,,,,,,,,,,,,,,,,"764,239,062.33"
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00","124,000,000.00","276,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"176,254,352.61","130,751,978.48","177,915,922.17","58,459,948.26","157,469,868.60","67,113,043.23","125,572,660.15","223,992,280.43","314,894,328.99","80,716,292.74","131,710,361.15","165,205,692.17","220,984,559.40","6,312,477.55","10,516,217.52","69,583,493.50","96,846,595.31","45,483,044.97","73,627,678.08","105,841,331.99","153,026,510.85","19,142,179.20","40,522,477.41","82,399,608.67","153,412,246.63","10,291,694.08","29,521,395.72","57,687,835.60","113,242,855.24","12,180,666.85"
