科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,742,941.00","1,742,941.00","1,742,941.00","125,856,637.53","1,392,200.00","2,593,489.50","2,593,489.50","5,406,721.50","53,010,991.00","63,984,872.00","287,139,391.00","320,925,310.24","28,280,655.00","42,952,925.00","49,144,911.00","79,462,723.89","72,158,983.00","159,683,310.00","161,191,278.00","175,649,705.00","109,481,192.11","111,529,613.11","114,894,966.00","118,781,049.06","4,295,869.93","27,898,115.11","78,615,377.03","89,460,309.96","7,024,388.85","38,780,255.21","77,319,676.55","1,373,469,800.22","92,451,213.86","530,026,192.54","1,181,051,067.19","1,865,236,500.58","119,910,632.70","848,323,736.96","1,567,720,918.49","2,164,082,353.83","144,872,757.40","957,852,793.16","2,820,134,581.28"
二、营业利润,"-2,877,738.43","-5,231,698.78","-9,230,573.33","28,628,912.07","-6,388,761.30","-1,191,544.81","-4,259,116.56","-25,714,702.11","2,819,350.76","18,363,215.23","14,682,208.12","31,284,863.00","-1,461,930.11","-1,876,621.25","-3,749,891.15","5,774,967.78","19,647,424.08","14,933,670.23","11,538,496.68","12,271,893.15","22,702,748.39","20,269,089.13","18,381,032.47","12,099,077.33","-2,506,227.14","-4,641,718.08","37,767,806.12","32,600,164.31","-3,071,377.58","-5,140,493.33","-1,470,424.07","199,650,378.15","-37,557,038.09","-1,026,639.44","171,875,578.82","312,863,216.31","-20,292,795.61","113,630,433.35","295,491,670.11","381,495,194.16","-53,811,106.56","102,855,463.51","346,689,176.38"
减:营业成本,"714,865.82","714,865.82","714,865.82","73,702,352.38","408,298.65","856,834.48","856,834.48","3,140,945.63","43,338,031.26","51,702,028.73","256,631,953.13","268,273,512.56","24,071,909.39","35,341,552.54","39,719,916.72","53,611,226.20","42,771,686.95","113,087,253.19","113,736,473.19","126,289,368.09","75,861,632.34","77,048,683.15","78,395,686.35","82,187,089.00","1,689,104.18","20,884,796.43","61,253,961.81","71,689,648.34","8,088,886.75","35,527,462.52","66,562,239.27","978,516,372.90","93,989,647.86","465,598,535.77","892,200,520.69","1,243,139,167.14","94,890,337.37","528,000,302.02","962,229,725.45","1,364,276,058.94","130,766,600.37","691,081,957.99","2,206,920,483.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"114,162.63","114,162.63","114,162.63","7,808,109.09","74,761.14","196,275.29","196,275.29","438,567.56","4,550,928.51","5,481,348.86","24,174,699.75","27,481,907.44","2,398,302.80","3,627,019.71","4,590,209.08","9,200,236.91","6,623,081.30","22,697,087.76","22,871,508.97","20,938,814.99","8,320,854.57","8,487,317.62","8,754,050.65","11,286,749.79","514,643.82","530,993.45","1,985,339.96","2,031,770.88","50,718.17","170,812.16","326,142.44","5,905,728.02","90,332.57","2,371,613.01","6,683,269.33","11,114,858.84","189,651.66","5,211,272.52","8,552,819.70","13,430,503.46","498,815.37","9,820,930.20","19,068,040.77"
营业外收入,,,,"179,184.81","3,546.66","3,058,138.29","3,059,138.29","3,059,138.29","3,025.77","3,025.77","3,025.77","87,948.92",,"128,255.74","126,998.57","378,106.29",,,"657,349.27","16,439,934.40","1,527.88","1,527.88","136,527.88","792,756.42","3,861.00","1,129,100.21","1,191,064.05","1,281,205.67","1,038,000.00","1,105,974.20","2,644,812.43","89,495,338.92","3,021,155.63","4,963,727.32","23,599,826.13","42,606,888.12","531,766.92","5,286,891.94","15,821,114.38","40,234,665.73","3,622,207.41","1,619,282.97","1,742,731.91"
销售费用,"142,799.00","843,852.36","1,135,435.95","2,599,521.77","3,664,638.17","5,780,010.37","6,476,788.38","7,770,951.55","1,626,263.41","1,732,482.29","2,662,986.00","3,128,533.76","1,430,711.41","1,697,544.24","2,154,465.63","3,207,161.14","363,692.51","1,095,822.37","1,372,829.63","1,994,472.06","113,056.74","395,057.68","1,080,462.66","1,969,638.54","347,723.41","1,547,846.59","2,382,707.81","2,544,631.80","77,876.60","245,061.95","324,943.67","7,116,951.80","1,651,335.41","4,988,753.62","17,863,154.64","80,098,037.83","14,097,546.66","90,636,741.37","123,379,817.43","160,107,029.31","15,476,802.22","52,405,970.64","94,363,753.06"
减:营业外支出,100.00,"6,614.03","46,414.31","300,284.29",,"328,574.75","461,947.87","1,115,510.87","364,005.46","378,953.81","430,063.81","1,209,355.09","149,627.00","669,344.55","847,057.33","1,436,797.76","223,550.69","333,597.89","837,725.95","1,529,751.84","564,182.62","698,804.21","879,324.22","1,018,961.47","316,083.25","1,014,982.97","9,800,727.09","9,947,644.27","100,608.05","250,644.42","344,406.91","4,040,489.85","550,119.25","1,210,600.16","1,778,687.44","3,125,280.51","87,588.13","1,395,636.67","3,716,887.41","3,873,388.95","629,173.01","1,911,948.40","5,640,537.23"
管理费用,"1,801,293.32","1,579,006.14","3,449,903.15","6,638,233.79","2,036,548.20","7,020,040.12","8,393,609.10","9,191,471.21","929,544.05","5,575,221.02","8,119,763.78","10,211,204.12","1,695,868.49","3,760,889.48","6,093,663.42","7,819,934.05","3,613,106.21","7,222,156.83","11,304,767.34","14,728,423.40","2,500,555.51","5,613,594.48","8,566,189.62","10,304,113.31","2,689,570.90","6,481,388.65","12,812,494.50","20,380,939.22","1,901,814.59","4,053,780.28","7,891,562.01","104,282,437.85","17,094,643.32","42,839,230.40","68,001,611.40","121,664,148.76","28,013,184.44","50,510,899.49","79,584,885.09","113,051,944.85","24,706,411.95","58,057,209.29","102,716,565.99"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"1,470.90",,,,"7,244.50",,"19,383.66","19,383.66","19,383.66",,"536,614.72","536,614.72","528,409.67",,,,"529,343.01",,,"40,068.73","40,076.32",,233.38,"1,682,129.22","1,682,129.22",,112.93,"661,536.08"
