科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"50,219,757.30","101,138,458.91","130,073,016.04","182,146,633.60","229,234,978.85","31,696,930.29","93,036,609.26","253,776,493.12","339,785,625.84","35,151,405.21","88,519,482.33","262,184,811.52","265,480,515.95","97,816,278.04","235,936,062.28","464,972,721.79","442,797,085.92","59,752,951.59","192,106,072.94","314,257,995.13","492,030,436.43","98,825,870.73","204,143,433.60","451,160,170.42","1,339,722,431.94","142,157,000.12","381,783,676.05","603,891,878.20","1,693,207,474.49","233,885,317.85","581,928,399.96","887,824,117.46","1,484,331,781.94","250,223,539.75"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"410,221,785.26",,,,,,,,"6,198,821.58",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,748,069.27","9,276,681.82","10,220,550.92","14,746,857.92","28,142,312.58","2,363,204.89","7,273,284.43","16,376,413.17","23,452,631.75","8,806,618.32","33,802,290.53","29,184,483.17","25,996,227.93","8,409,993.85","14,233,682.41","29,518,799.19","31,008,729.39","4,297,179.03","14,829,864.29","26,311,926.84","37,219,470.72","2,430,035.29","11,580,451.79","42,565,693.81","80,783,913.29","491,180.05","10,255,332.86","62,891,214.42","54,467,369.77","7,857,228.75","27,314,436.19","89,181,076.65","101,724,821.58","10,032,074.17"
投资活动现金流出小计,"1,186,277.17","40,068,479.27","39,649,440.97","28,879,822.45","33,690,362.50","10,183,205.63","24,563,873.48","35,787,759.37","68,488,019.97","4,135,464.41","16,137,774.01","70,632,849.65","90,294,962.21","7,673,797.30","27,952,234.15","50,654,023.31","65,422,326.69","18,387,205.68","16,462,482.48","23,039,664.06","36,884,023.44","203,050,863.96","228,314,997.89","325,688,055.37","971,590,513.58","143,397,853.50","257,638,453.22","434,436,278.58","605,329,190.21","260,932,001.96","465,457,982.00","680,566,636.33","1,135,486,454.16","143,142,588.15"
经营活动现金流入小计,"59,967,826.57","110,415,140.73","140,293,566.96","196,893,491.52","257,377,291.43","34,060,135.18","100,309,893.69","270,152,906.29","363,238,257.59","43,958,023.53","122,321,772.86","291,369,294.69","291,476,743.88","106,226,271.89","250,169,744.69","494,491,520.98","473,805,815.31","64,050,130.62","206,935,937.23","340,569,921.97","529,249,907.15","101,255,906.02","215,723,885.39","493,725,864.23","1,420,506,345.23","142,648,180.17","392,039,008.91","666,783,092.62","1,747,674,844.26","241,742,546.60","609,242,836.15","977,005,194.11","1,586,056,603.52","260,255,613.92"
投资活动产生的现金流量净额,"3,918,423.63","-26,925,598.79","-13,409,629.46","-28,703,283.99","-33,492,772.32","-10,167,205.63","-24,547,873.48","-35,771,759.37","-68,488,019.97","-4,135,464.41","-16,137,774.01","-70,632,849.65","-90,294,962.21","-7,673,797.30","-27,497,249.55","-50,194,146.39","-65,342,326.69","-18,387,205.68","-16,462,482.48","-23,039,664.06","-36,884,023.44","-203,050,863.96","-228,314,847.89","-325,687,759.74","-971,580,654.84","-143,000,305.56","-257,545,212.48","-434,331,228.58","-605,226,175.32","-256,289,244.96","-465,337,125.00","-680,445,779.33","-1,040,696,528.38","-142,998,588.15"
购买商品、接受劳务支付的现金,"34,998,626.12","78,314,268.71","74,597,525.00","128,889,644.59","143,753,596.68","83,749,916.57","173,289,687.94","292,902,175.47","336,034,742.97","41,314,663.60","96,930,882.20","174,861,982.72","131,110,129.49","86,380,296.98","185,713,244.69","281,432,856.18","198,143,298.12","107,267,717.82","221,927,678.14","293,908,381.93","405,843,216.62","83,057,131.12","127,266,812.50","266,137,375.53","642,123,759.87","157,588,887.55","412,204,921.02","407,147,265.00","1,115,417,928.38","187,512,461.83","523,961,693.86","892,448,613.51","1,235,904,775.20","212,712,422.66"
吸收投资收到的现金,,,"15,246,624.00",,"692,931,819.64",,,,,,,,,,,,,,,,"22,500,000.00","22,500,000.00","22,500,000.00","37,500,000.00","1,009,352,432.46",,"14,700,000.00","32,200,000.00","32,200,000.00",,"4,000,000.00","48,860,000.00","49,000,000.00",
