科目,2010-12-31,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"34,776,141.55","38,928,503.41","48,150,899.32","67,287,003.35","51,522,144.51","243,141,121.11","219,165,082.55","182,099,395.99","216,173,880.47","161,924,045.61","126,365,563.52","135,067,623.20","152,207,936.81","136,802,953.71","136,961,923.72","135,756,272.87","150,515,818.06","129,295,745.99","148,730,468.57","124,858,879.41","141,725,506.35"
短期借款,"6,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,"15,035,095.89",,"20,000,000.00","20,000,000.00","20,600,000.00",,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,"3,800,000.00","4,223,000.00","1,855,000.00","3,820,000.00","707,000.00","264,296.00","2,124,852.00","5,643,200.00","1,109,030.00","1,800,000.00","1,810,000.00","6,853,551.00","653,250.00","1,102,529.10","1,429,200.00","6,181,159.00","2,297,547.00","3,574,959.20","5,372,913.00","18,485,436.22"
应付票据,,,,,,,,,,,,,,,,,,,,,
应收账款,"24,083,415.74","33,080,002.04","44,914,933.09","66,061,486.04","50,117,762.51","52,325,172.29","63,174,010.33","70,413,339.54","59,755,354.74","54,937,114.95","90,639,412.94","95,981,577.48","78,573,502.70","70,312,507.37","78,955,051.88","102,699,273.75","83,351,844.16","81,551,150.72","84,892,490.69","100,659,381.42","90,118,806.01"
应付账款,"10,255,722.25","9,768,505.73","10,660,276.98","23,739,671.78","23,913,304.51","27,242,261.29","25,493,190.22","26,441,093.32","21,420,760.14","20,723,774.23","36,487,351.86","34,853,977.12","30,893,093.14","29,450,412.18","31,192,104.59","31,283,512.56","29,250,787.75","25,853,877.95","17,869,538.36","20,439,714.20","19,724,784.00"
预付款项,"4,935,134.76","3,090,467.68","4,638,600.94","6,374,083.91","11,756,341.31","19,367,789.26","1,126,250.16","2,552,660.74","1,330,308.48","1,797,305.07","1,736,015.13","2,020,903.16","1,419,077.59","4,810,907.64","5,612,458.95","4,288,535.44","2,530,638.42","4,235,249.94","3,918,432.05","4,556,642.31","3,426,281.26"
预收款项,"3,531,673.68","1,804,102.89","2,009,037.79","10,989,620.10","3,572,606.42","3,927,899.83","3,573,664.31","8,012,473.67","2,284,595.27","3,942,321.58","2,683,768.47","4,277,404.36","2,226,337.03","3,233,768.29","5,098,200.68","8,397,522.20","8,586,704.34","11,494,990.39","7,630,417.60","10,337,261.85","4,809,872.29"
其他应收款,"804,430.64","1,328,670.13","1,827,762.68","5,550,296.89","2,139,862.37","3,224,651.47","3,196,850.60","4,996,078.11","2,494,433.77","3,352,776.67","3,501,849.35","4,299,369.53","3,812,677.41","3,438,958.10","4,844,826.01","4,689,869.06","3,427,805.20","3,682,257.23","9,743,482.24","6,873,021.69","3,787,147.28"
应付职工薪酬,"1,396,884.60","1,639,796.14","1,094,064.02","155,706.11","8,499.84","113,197.21","9,121.56","9,226.52","9,529.82","9,474.10","11,189.32","11,483.11","20,504.73","11,186.80","10,713.64","10,982.01","4,645,712.41","11,111.89","10,942.92","11,103.61","10,095,749.15"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,940,543.45","5,015,772.78","5,952,318.45","3,585,868.14","4,722,788.52","-348,468.72","4,919,767.77","4,016,789.88","10,924,451.87","3,496,769.31","4,469,696.59","6,467,938.71","9,003,995.74","1,941,201.46","296,990.07","6,842,823.91","8,141,912.52","2,613,658.11","3,254,530.64","10,274,861.83","13,412,704.65"
应收利息,,,,,,,"2,493,700.00","2,547,720.55","3,421,506.86","700,202.74","804,345.20","632,128.77","324,342.47","808,972.60","1,304,169.86","1,422,010.96","584,296.44","445,501.92","767,168.22","817,739.18","504,536.99"
应付利息,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"50,000,000.00",,,,,,,,,,,,,,,,,
存货,"29,247,108.62","43,008,340.28","42,983,074.42","53,151,142.39","51,884,864.93","61,738,213.78","69,141,273.06","68,555,708.57","57,558,763.22","68,484,424.54","66,801,304.75","65,082,735.60","51,728,928.98","68,366,583.56","76,997,557.52","68,863,907.51","66,290,120.06","79,022,851.17","72,851,774.98","59,848,311.12","43,722,356.56"
其他应付款,"27,284.76","24,964.46","28,578.66","50,828.97","96,443.25","77,272.53","91,852.53","103,443.39","91,603.41","181,958.01","185,907.73","7,503,959.05","227,402.05","274,343.77","242,682.78","244,182.87","387,892.29","394,663.60","421,554.63","719,353.38","35,971.26"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,"45,000,000.00","45,000,000.00","20,000,000.00","40,000,000.00","70,304,582.15","70,000,000.00","40,707,862.73","100,000,000.00","140,000,000.00"
其他流动负债,,,,"1,500,000.00","607,834.50","2,607,834.50","3,107,834.50","3,107,834.50",,,,,,,,,,,,,
流动资产合计,"93,846,231.31","123,235,983.54","146,738,270.45","200,279,012.58","171,240,975.63","380,503,947.91","358,561,462.70","348,324,851.39","346,377,447.54","312,304,899.58","311,648,490.89","325,494,337.74","339,920,016.96","330,194,132.98","325,778,517.04","359,149,069.59","383,186,263.49","370,530,303.97","365,186,638.68","402,986,888.13","441,770,070.67"
流动负债合计,"30,152,108.74","48,253,142.00","19,744,275.90","90,021,695.10","32,921,477.04","33,619,996.64","37,195,430.89","41,690,861.28","34,730,940.51","28,354,297.23","43,837,913.97","53,114,762.35","42,371,332.69","34,910,912.50","36,840,691.76","46,779,023.55","51,013,009.31","40,368,301.94","29,186,984.15","41,782,294.87","48,079,081.35"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"13,895,856.79","14,684,907.82","13,880,212.39","13,329,334.56","12,955,924.14","14,494,432.07","14,455,623.48","13,880,585.84","14,493,023.35","13,868,791.11","157,489,358.31","158,542,762.60","186,429,629.83","183,042,166.43","182,014,233.93","180,717,362.68","178,962,203.17","178,164,217.89","177,955,640.25","175,731,544.40","177,604,685.44"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,
在建工程,,"916,038.48",,"1,095,435.95","2,187,197.09","2,985,094.65","34,559,854.79","46,565,114.93","96,198,146.19","113,100,383.13","7,336,575.95","24,445,501.23","91,824.77","1,543,031.30","1,525,499.44","1,029,359.27","1,067,031.59","1,105,832.53","169,121.80","3,352,606.50","626,143.65"
其他非流动负债,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","4,200,000.00","4,200,000.00","4,200,000.00","4,200,000.00","4,200,000.00","4,200,000.00","4,200,000.00","4,350,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","3,800,000.00"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"30,152,108.74","48,253,142.00","19,744,275.90","90,021,695.10","34,921,477.04","35,619,996.64","39,195,430.89","43,690,861.28","38,930,940.51","32,554,297.23","48,037,913.97","57,314,762.35","46,571,332.69","39,110,912.50","41,040,691.76","51,129,023.55","55,013,009.31","44,368,301.94","33,186,984.15","45,782,294.87","51,879,081.35"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"42,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00","48,000,000.00","96,000,000.00","96,000,000.00","96,000,000.00","96,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"8,641,151.83","8,641,151.83","8,641,151.83","8,641,151.83","8,641,151.83","212,637,551.83","207,837,551.83","207,837,551.83","207,837,551.83","207,837,551.83","183,837,551.83","183,837,551.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83","184,590,151.83"
无形资产,"2,807,940.93","35,996,775.34","35,247,134.62","34,684,904.08","34,630,706.15","34,439,909.21","34,249,112.27","34,058,315.33","33,867,518.39","33,676,721.45","33,616,010.01","33,798,919.64","33,695,246.68","33,489,009.61","33,282,772.54","33,076,535.47","32,870,491.78","32,664,836.05","32,459,180.32","32,253,524.59","32,101,262.58"
盈余公积,"3,021,043.39","7,645,964.60","12,622,055.07","12,622,055.07","18,630,749.38","18,630,749.38","18,630,749.38","18,630,749.38","26,066,438.88","26,066,438.88","26,066,438.88","26,066,438.88","32,782,228.06","32,782,228.06","32,782,228.06","32,782,228.06","38,074,292.96","38,074,292.96","38,074,292.96","38,074,292.96","44,598,405.74"
开发支出,,,,,,"454,084.52",,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,
