科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"521,551,255.00","487,422,970.24","595,340,567.99","119,491,934.89","298,907,090.89","495,877,721.02","711,325,502.97","175,179,500.33","433,476,617.61","709,058,995.36","1,032,050,834.66","243,866,998.65","496,581,686.84","818,587,330.08","1,156,219,909.21","231,344,349.23","530,891,731.83","912,535,730.34","1,316,865,629.54","235,217,713.62","520,000,997.46","840,674,754.91","1,143,636,580.75","209,504,593.43","457,975,482.12","735,199,171.59","1,042,196,843.24","217,581,988.05","512,508,236.45","841,872,422.94"
二、营业利润,"28,665,070.97","41,240,052.54","56,836,145.96","11,403,955.75","22,686,277.98","43,153,403.93","63,382,109.63","11,398,060.09","21,182,103.46","40,493,536.44","42,531,578.96","10,693,374.12","25,733,871.34","44,902,737.96","48,746,106.67","10,316,723.45","17,942,506.09","33,574,621.88","43,179,708.94","10,674,465.70","14,288,128.80","19,514,203.42","17,974,984.04","5,193,056.10","6,472,246.13","12,842,201.35","20,717,684.51","7,061,822.35","14,552,401.77","26,055,003.31"
减:营业成本,"466,393,794.17","415,065,101.32","499,626,195.37","100,145,789.88","258,087,264.51","428,056,074.08","621,968,843.53","160,648,283.81","398,710,880.35","648,391,901.83","959,349,992.55","228,960,945.77","456,540,210.67","750,785,428.39","1,070,023,359.47","212,813,722.02","486,536,819.08","836,565,143.43","1,212,397,349.11","216,389,799.80","475,819,012.58","772,680,875.40","1,066,567,343.15","187,249,792.01","411,966,346.37","665,824,589.67","944,983,087.00","195,732,374.47","464,446,203.71","760,718,034.21"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,729,667.80","1,836,441.08","2,277,752.87","199,621.98","566,103.44","821,676.55","1,814,599.83","210,838.90","545,699.13","554,136.26","577,002.01","40,886.20","55,594.47","149,285.87","953,267.26","357,259.38","465,388.64","694,449.14","1,189,065.61","1,413,100.44","1,976,625.75","2,292,669.12","3,098,830.35","346,060.90","842,553.07","2,053,356.41","7,438,778.87","2,312,193.23","4,256,486.62","6,372,673.34"
营业外收入,"9,910,949.00","3,060,337.26","4,819,235.00","480,000.00","930,700.00","3,465,991.30","4,463,749.06","905,157.85","3,278,571.97","6,927,035.97","5,430,407.61","2,062,365.00","2,733,181.03","6,943,804.83","8,876,349.68","1,861,337.46","2,230,063.05","2,403,350.97","4,313,710.81","1,004,546.14","3,156,784.95","3,343,666.11","4,512,287.99","185,397.81","1,504,254.98","1,881,122.50","3,825,667.39","1,152,940.23","912,598.09","1,184,014.92"
销售费用,"3,348,575.55","4,152,898.53","5,311,516.50","896,348.17","2,496,684.69","3,538,549.24","5,049,350.47","1,350,672.10","2,541,097.45","4,173,105.96","5,912,143.07","1,509,525.27","3,701,592.10","5,746,753.51","8,578,194.24","1,743,510.61","5,279,921.70","10,059,289.48","16,277,832.52","2,419,385.29","5,887,938.82","10,313,842.08","16,584,322.15","1,865,691.83","5,894,037.18","10,423,428.15","18,728,036.03","2,472,519.69","8,108,771.28","13,622,591.51"
减:营业外支出,"1,227,525.47","1,204,262.85","10,000.00",,,,,,,"50,000.00","61,269.50","10,250.00","80,100.00","136,941.05","3,352,793.28","187,056.40","224,655.46","1,514,123.21","5,167,339.60","1,225.44","127,624.28","264,294.26","952,931.78","3,220.00","525,795.49","2,332,669.43","4,610,270.38","210,150.39","324,567.11","933,152.30"
管理费用,"9,380,383.77","13,654,327.16","18,014,311.63","4,853,359.15","11,622,932.51","17,039,898.41","23,405,924.61","5,486,969.75","14,265,967.10","21,857,284.09","29,701,398.67","6,910,937.91","15,404,593.49","24,261,167.17","35,802,765.82","8,281,394.80","18,015,900.49","28,435,046.67","40,539,864.74","10,243,045.47","31,854,237.71","45,621,916.60","48,017,791.65","13,326,581.97","33,682,450.51","44,982,949.31","54,435,510.14","11,067,049.47","25,200,881.84","37,691,829.80"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"2,835,696.30",,,,"4,826,436.10",,"88,173.16","224,843.04","739,231.12",,825.49,"611,587.55","2,053,932.05","32,050.39","45,067.11","51,074.04"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"10,730,019.53","12,726,979.99","13,128,615.85","1,902,282.12","4,951,654.55","5,760,535.08","-1,550,056.15","-2,427,251.50","-4,210,917.81","-6,825,448.47","-7,062,743.19","-2,392,693.58","-2,671,188.54","-3,836,417.27","-5,798,329.35","-1,711,728.02","-1,292,373.10","-539,204.54","-1,647,800.70","-1,963,453.76","-1,223,919.18","-2,940,579.38","-3,251,275.00","560,388.79","-19,338.93","249,348.24","-2,317,369.06","-16,464.53","-1,084,271.88","-1,110,407.69"
