科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
在建工程,"386,661,309.85","197,778,736.98","61,210,251.07",,"66,461,632.89","96,952,276.50","146,067,231.05","27,659,199.99","61,854,361.75","113,216,838.26","215,686,893.16","119,508,764.07","178,291,594.04","240,464,503.67","420,859,930.49","454,934,837.99","506,725,474.44"
其他非流动负债,,,,,,,,,,,,,,,,,
工程物资,"20,071,167.27","29,704,555.68","8,756,206.67",,"15,101,655.40","17,435,676.32","15,105,411.74","8,499,422.65","13,862,202.11","21,316,686.18","20,799,848.61","8,808,214.16","7,639,894.01","8,921,206.27","17,397,466.29","12,173,273.58","7,952,169.92"
非流动负债合计,"8,000,000.00","16,638,294.66","21,005,996.10",,"24,820,119.50","25,420,119.51","255,817,721.65","263,507,627.60","256,306,389.89","256,169,564.02","255,970,704.13","257,982,559.29","130,763,973.45","124,827,135.08","102,534,855.21","104,114,855.21","126,969,364.71"
固定资产清理,"82,960,811.23","82,507,631.23","82,507,631.23",,"82,507,631.23","82,507,631.23","82,507,631.23","82,507,631.23","82,507,631.23","82,507,631.23","82,507,631.23","82,507,631.23","380,539.66","380,539.66",,,
负债合计,"523,838,947.49","743,497,433.07","772,601,293.95","681,164,800.00","735,099,622.00","755,306,612.73","811,761,313.66","860,765,378.21","935,218,836.49","923,297,724.18","976,390,623.86","1,015,508,415.50","944,764,670.22","934,493,632.52","1,363,925,689.60","1,414,494,779.68","1,363,834,728.63"
生产性生物资产,,,,,,,,,,,,,,,,,
实收资本(或股本),"141,180,000.00","141,180,000.00","141,180,000.00",,"188,240,000.00","188,240,000.00","188,240,000.00","188,240,000.00","376,480,000.00","376,480,000.00","376,480,000.00","376,480,000.00","376,480,000.00","376,480,000.00","464,679,135.00","464,679,135.00","464,679,135.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"379,980,662.13","379,980,662.13","379,980,662.13",,"1,033,635,362.13","1,033,635,362.13","1,033,888,352.56","1,033,888,352.56","845,648,352.56","845,648,352.56","845,648,352.56","845,648,352.56","845,648,352.56","845,648,352.56","2,156,350,144.01","2,156,350,144.01","2,156,350,144.01"
无形资产,"225,692,569.79","220,768,340.65","216,157,483.81",,"214,784,935.39","213,627,541.18","213,318,682.98","212,157,024.78","210,995,366.58","210,384,022.85","211,594,970.51","210,418,673.30","196,896,104.46","195,719,807.25","196,567,666.53","210,980,570.25","209,699,873.97"
盈余公积,"31,728,683.97","48,912,946.10","62,756,074.36",,"62,756,074.36","62,756,074.36","75,410,564.24","75,410,564.24","75,410,564.24","75,410,564.24","90,228,316.94","90,228,316.94","90,228,316.94","90,228,316.94","111,247,794.06","111,247,794.06","111,247,794.06"
开发支出,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,
未分配利润,"488,198,910.07","627,317,212.61","766,498,392.37",,"853,704,359.68","899,997,820.25","884,102,118.62","939,105,396.39","960,918,136.05","1,005,931,998.03","1,026,894,816.58","1,098,711,656.09","1,152,697,323.17","1,279,817,700.68","1,310,088,483.77","1,422,526,177.71","1,479,370,087.82"
长期待摊费用,,,,,,,,,,,,,"1,722,281.24","1,664,871.86","1,377,825.00","1,263,006.24","1,148,187.48"
少数股东权益,,,,,,,,,,,,,,,,,
递延所得税资产,"1,471,436.85","5,932,594.39","7,073,849.65",,"10,534,803.52","12,168,567.04","14,602,509.77","17,609,205.88","15,337,347.85","12,323,074.05","19,101,871.29","20,956,237.64","17,923,042.58","14,737,103.44","23,773,714.13","24,485,066.32","21,137,830.06"
外币报表折算价差,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,"19,399,000.00","43,775,327.97","48,635,525.38","81,493,607.13","89,772,509.80","102,836,676.28","50,036,443.33","110,676,716.05","92,509,722.13","88,974,964.15","48,838,114.89","57,692,810.62","34,854,146.48"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,
非流动资产合计,"979,124,080.32","1,214,517,991.05","1,293,167,151.44",,"1,305,222,105.87","1,348,832,691.68","1,405,634,528.61","1,468,187,062.56","1,497,879,048.35","1,550,776,258.57","1,599,801,520.11","1,677,106,974.32","1,624,904,134.47","1,691,107,275.62","1,829,714,239.38","1,854,699,771.14","1,861,901,264.59"
所有者权益(或股东权益)合计,"1,074,599,468.32","1,232,586,424.68","1,390,188,468.68","1,444,611,400.00","2,185,510,362.07","2,231,212,703.53","2,228,946,647.61","2,290,136,296.04","2,316,765,199.81","2,364,243,520.67","2,404,760,082.79","2,483,279,303.46","2,544,423,062.99","2,674,946,049.76","4,128,344,137.71","4,249,432,666.75","4,312,115,561.14"
资产总计,"1,598,438,415.81","1,976,083,857.75","2,162,789,762.63","2,125,776,300.00","2,920,609,984.07","2,986,519,316.26","3,040,707,961.27","3,150,901,674.25","3,251,984,036.30","3,287,541,244.85","3,381,150,706.65","3,498,787,718.96","3,489,187,733.21","3,609,439,682.28","5,492,269,827.31","5,663,927,446.43","5,675,950,289.77"
负债和所有者(或股东权益)合计,"1,598,438,415.81","1,976,083,857.75","2,162,789,762.63","2,125,776,300.00","2,920,609,984.07","2,986,519,316.26","3,040,707,961.27","3,150,901,674.25","3,251,984,036.30","3,287,541,244.85","3,381,150,706.65","3,498,787,718.96","3,489,187,733.21","3,609,439,682.28","5,492,269,827.31","5,663,927,446.43","5,675,950,289.77"
