科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"391,764,385.22","511,545,639.03","620,909,546.11","369,878,791.57","532,276,334.36","863,062,091.50","225,350,851.54","386,272,778.25","576,572,266.83","730,385,024.88","195,255,318.88","443,290,731.93","657,721,020.83","812,829,225.43","264,829,468.57","473,986,942.00","650,558,708.80","1,061,328,980.74","266,800,536.57","648,006,757.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"220,008,410.39"
收到的税费返还,"1,334,000.00",,,"7,435.22","7,435.22","22,382.89","173,672.59","331,888.09","480,189.28","465,241.61","230,103.29","3,639,293.01","5,230,083.05","959,601.82","240,161.68","1,076,735.22","2,014,179.90","2,318,296.86","554,538.21","1,388,068.46"
支付其他与投资活动有关的现金,,"130,000.00",,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,817,637.50","9,338,058.00","4,930,150.00","5,339,063.64","873,172.97","7,715,137.78","4,687,999.82","4,514,163.67","1,395,621.76","21,736,507.90","3,262,883.18","4,563,849.52","8,243,090.98","9,919,083.66","1,636,285.32","6,062,048.80","10,829,221.34","17,644,487.29","12,716,101.50","10,302,165.20"
投资活动现金流出小计,"86,091,078.31","79,594,916.59","81,633,535.08","45,221,309.30","116,992,141.30","177,322,564.77","12,917,884.65","92,787,128.89","142,364,163.34","116,264,341.16","38,961,616.08","89,179,926.88","359,243,490.41","441,320,584.18","103,431,366.04","244,158,770.40","563,622,052.83","499,911,309.18","306,436,552.71","465,076,428.43"
经营活动现金流入小计,"403,916,022.72","520,883,697.03","625,839,696.11","375,225,290.43","533,156,942.55","870,799,612.17","230,212,523.95","391,118,830.01","578,448,077.87","752,586,774.39","198,748,305.35","451,493,874.46","671,194,194.86","823,707,910.91","266,705,915.57","481,125,726.02","663,402,110.04","1,081,291,764.89","280,071,176.28","659,696,991.65"
投资活动产生的现金流量净额,"-86,068,678.31","-79,354,391.87","-81,618,535.08","-45,221,309.30","-66,739,667.77","-176,060,211.88","-632,142.53","-62,606,403.64","-112,167,438.09","-115,985,938.02","-38,909,838.68","-89,098,389.48","-358,795,353.01","-440,045,158.82","-2,193,009.88","-91,987,864.92","-267,114,164.34","-255,927,001.47","-180,611,151.22","-308,224,222.95"
购买商品、接受劳务支付的现金,"337,968,102.28","371,092,964.78","452,880,344.14","249,272,733.24","331,930,061.10","558,725,405.94","82,661,090.13","267,313,585.26","369,575,601.23","511,672,503.89","140,150,930.65","357,331,830.98","500,776,550.03","572,631,191.31","166,109,471.85","304,220,645.87","434,579,285.46","804,937,704.31","149,668,680.78","429,288,787.30"
吸收投资收到的现金,,,,,"149,974,324.39",,,,,"51,127,100.00",,"717,836,589.91","723,258,089.91","724,535,086.14",,,,,,"135,000,000.00"
