科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,464,566,447.47","1,651,506,140.83","1,835,009,093.68","483,243,863.09","1,037,380,170.10","1,536,349,753.05","2,132,014,072.41","526,726,294.82","1,087,080,941.97","1,640,151,018.84","2,301,824,174.81","556,260,024.06","1,162,081,983.01","1,724,471,209.16","2,424,213,094.80","560,504,847.51","1,270,343,018.06","1,869,034,421.71","2,627,690,399.91","650,011,865.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"74,722,559.34","4,134,774.05"
收到的税费返还,"326,770.65","4,094,280.25","1,048,862.95","1,060,331.77","2,310,443.15","1,033,783.51","1,033,783.51",,,,,,,,,"187,508.62","187,508.62","187,508.62","187,508.62",
支付其他与投资活动有关的现金,,,,,,,,,,"30,814.88","30,814.88",,,,"22,787.28",,"183,992.10",,"389,104.24",
收到其他与经营活动有关的现金,"35,712,933.19","48,522,364.74","60,622,955.08","16,344,459.32","34,352,211.90","48,408,913.39","92,564,568.12","32,856,433.39","40,685,328.70","74,282,943.11","67,002,382.75","18,453,706.20","34,450,196.17","76,887,671.82","57,229,108.32","21,583,870.87","44,361,959.20","93,301,686.93","76,317,816.90","28,142,621.39"
投资活动现金流出小计,"119,311,236.38","43,996,906.76","43,584,224.27","4,314,487.87","17,320,756.06","63,361,620.81","91,861,265.17","32,051,795.99","63,490,047.57","86,105,318.21","103,780,085.59","11,665,578.49","17,430,147.25","33,862,197.18","407,063,223.56","400,799,400.34","606,283,966.04","1,210,823,856.46","1,318,162,419.07","21,926,082.97"
经营活动现金流入小计,"1,500,606,151.31","1,704,122,785.82","1,896,680,911.71","500,648,654.18","1,074,042,825.15","1,585,792,449.95","2,225,612,424.04","559,582,728.21","1,127,766,270.67","1,714,433,961.95","2,368,826,557.56","574,713,730.26","1,196,532,179.18","1,801,358,880.98","2,481,442,203.12","582,276,227.00","1,314,892,485.88","1,962,523,617.26","2,704,195,725.43","678,154,487.07"
投资活动产生的现金流量净额,"-60,216,161.13","-43,511,133.64","-43,496,834.24","-4,298,238.70","-17,183,750.85","-63,080,033.81","-90,179,060.26","-32,048,862.66","-63,099,492.95","-85,829,146.38","-101,066,919.80","-11,503,777.49","-16,998,678.93","-33,401,248.08","-215,259,078.42","-33,645,754.25","-42,968,379.56","-47,587,682.79","53,740,459.69","-21,919,352.97"
购买商品、接受劳务支付的现金,"359,975,250.53","308,320,023.20","418,350,800.40","100,628,790.53","172,054,407.75","301,114,706.99","451,514,267.52","112,919,228.81","248,330,639.12","423,093,760.51","587,404,280.85","60,913,177.10","117,523,452.65","217,437,839.76","397,077,732.64","159,057,272.93","318,088,485.73","525,392,045.69","858,485,410.50","242,938,763.15"
吸收投资收到的现金,,,,,"661,240,879.56","661,240,879.56","680,520,000.00",,"4,000,000.00","4,000,000.00","7,000,000.00",,,,"7,500,000.00","200,000.00","200,000.00","600,000.00","8,000,000.00","4,500,000.00"
