科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"112,090,570.29","132,491,100.77","151,645,702.99","131,724,918.00","174,443,403.10","85,358,281.22","172,323,511.03","198,048,613.78","265,243,683.23","65,418,240.50","148,238,080.67","214,394,097.44","304,496,074.63","126,728,919.10","252,687,233.60","347,255,502.09","439,195,406.76","84,386,177.55","142,048,233.08","746,163,367.75","554,823,548.68","387,357,294.91","559,889,422.98","837,948,676.91","1,288,482,059.31","404,616,876.18","702,245,808.83","1,029,874,777.66","1,747,917,281.83","609,949,502.38","891,984,828.25","1,376,070,192.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"78,738,111.30","35,925,627.11",,,"75,000,000.00","90,723,475.27",,,,"20,228,712.59",,"652,023.37","2,752,023.37"
收到的税费返还,,,,,,,,,,,,,,,,,,,,"1,158,891.02","1,417,447.06",443.52,"4,200,846.77","5,692,338.31","1,546,322.92","311,000.00","1,457,699.33","1,457,699.33","996,699.33",520.04,"517,168.57","516,345.46"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"30,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,"30,000,000.00","86,500,000.00","86,500,000.00","40,000,000.00",,,
收到其他与经营活动有关的现金,"1,998,802.12","975,333.71","1,496,843.53","3,567,696.22","6,399,395.83","2,831,944.77","3,327,104.72","13,399,622.04","14,614,175.33","7,952,344.29","9,697,890.94","22,344,608.89","26,715,855.46","10,433,063.50","12,607,558.04","40,161,914.72","48,602,733.55","7,733,295.70","7,571,194.00","78,954,797.10","62,115,337.08","46,325,456.87","208,941,385.90","533,391,598.87","58,523,907.05","177,586,427.34","215,946,152.19","287,663,886.77","165,172,125.96","99,116,182.78","192,828,971.47","334,164,449.23"
投资活动现金流出小计,"5,132,638.93","27,639,376.92","12,594,237.99","14,554,654.66","16,764,132.06","24,446,664.32","41,393,190.67","65,311,252.83","88,147,958.32","18,413,436.03","89,180,339.87","105,420,230.58","136,816,333.82","15,309,544.21","41,335,352.78","228,325,160.01","362,883,095.96","324,287,424.43","567,575,574.57","834,453,985.49","731,758,105.33","40,969,928.19","154,284,359.50","323,542,019.80","337,352,774.07","391,827,994.44","487,976,823.39","543,562,403.26","658,570,275.76","28,486,052.34","98,433,902.62","190,332,956.15"
经营活动现金流入小计,"114,089,372.41","133,466,434.48","153,142,546.52","135,292,614.22","180,842,798.93","88,190,225.99","175,650,615.75","211,448,235.82","279,857,858.56","73,370,584.79","157,935,971.61","236,738,706.33","331,211,930.09","137,161,982.60","265,294,791.64","387,417,416.81","487,798,140.31","92,119,473.25","149,619,427.08","826,277,055.87","618,356,332.82","433,683,195.30","773,031,655.65","1,377,032,614.09","1,348,552,289.28","582,514,303.52","919,649,660.35","1,318,996,363.76","1,914,086,107.12","709,066,205.20","1,085,330,968.29","1,710,750,987.67"
投资活动产生的现金流量净额,"-5,069,187.93","-25,594,647.00","-9,059,157.41","-14,544,654.66","-16,450,413.61","-24,446,664.32","-40,158,990.67","-64,026,252.83","-86,786,607.32","-18,413,436.03","-89,166,299.87","-105,370,690.58","-136,024,695.18","-14,909,344.21","-40,931,152.78","-207,659,576.45","-117,322,608.27","-127,831,513.47","-114,190,255.39","-185,368,325.46","-121,080,395.17","-40,969,928.19","-154,284,359.50","-323,356,117.80","-317,943,104.57","-230,049,543.70","-160,238,295.54","-215,243,543.44","-282,859,555.93","-27,053,742.06","-75,613,556.95","-163,844,018.78"
购买商品、接受劳务支付的现金,"78,198,633.24","90,043,244.17","106,416,336.59","89,413,839.45","120,927,381.80","61,027,396.65","99,552,569.47","136,742,621.65","177,337,829.06","36,967,860.33","127,085,800.06","219,920,706.34","281,960,585.47","99,756,556.74","171,834,422.53","256,270,953.32","335,146,311.66","84,969,768.12","166,285,817.52","692,818,142.50","594,644,192.49","321,281,219.80","586,045,857.20","800,899,981.00","1,016,173,887.69","344,952,188.89","555,011,750.42","856,125,217.86","1,446,441,954.40","528,065,679.93","776,601,506.37","1,090,743,417.07"
吸收投资收到的现金,,,,,,"578,872,000.00","578,872,000.00","578,872,000.00","578,872,000.00",,,,,,,,,,,,,,,,"727,870,000.00",,,,,,"2,500,000.00","2,500,000.00"
