科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"30,469,338.00","39,917,465.97","20,343,290.21","40,168,070.91","312,282,197.20","249,075,842.36","152,001,912.25","180,408,788.82","171,882,953.04","149,335,918.42","102,881,808.23","88,059,782.97","107,500,430.08","94,044,941.88","96,021,581.02","136,646,376.85","188,583,937.37","106,386,791.60","101,158,002.40","127,245,210.46","88,202,516.00","164,106,641.49","142,543,129.79"
短期借款,"351,000,000.00","335,000,000.00","323,000,000.00","322,000,000.00","316,300,000.00","326,300,000.00","219,000,000.00","264,000,000.00","338,800,000.00","300,500,000.00","221,500,000.00","233,500,000.00","284,000,000.00","294,000,000.00","314,000,000.00","389,000,000.00","403,000,000.00","363,000,000.00","383,000,000.00","448,000,000.00","392,000,000.00","472,000,000.00","432,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"92,839,983.42","82,786,046.86","81,744,497.94","110,905,822.56","91,197,283.16","147,038,667.91","122,699,681.16","68,537,868.92","61,333,127.11","66,473,519.91","54,664,376.08","66,126,155.44","33,709,024.33","30,469,308.13","52,840,492.09","51,366,717.80","49,926,753.39","126,746,651.81","118,092,548.98","110,881,553.94","122,002,850.51","147,147,145.88","162,061,121.17"
应付票据,,,,,,,,,"3,000,000.00",,,,,,,,,"14,050,025.96","14,760,527.53","2,973,181.89",,"6,808,322.19",
应收账款,"264,173,602.56","343,290,674.90","373,686,670.63","342,985,018.82","397,896,422.25","333,225,977.76","323,303,621.43","392,966,306.56","453,076,213.26","461,350,184.43","431,956,289.61","463,042,341.90","501,379,099.49","508,725,668.83","432,250,562.28","479,302,495.35","468,904,810.82","497,809,845.22","497,617,182.06","513,629,934.52","564,558,156.65","543,190,174.80","588,835,464.21"
应付账款,"48,486,898.78","79,891,576.82","62,762,898.52","56,917,313.09","66,596,826.94","57,344,890.30","62,164,257.50","57,273,822.16","99,582,561.10","94,671,003.96","84,884,799.22","98,545,859.24","107,406,144.22","105,360,765.98","95,700,792.32","120,055,477.56","116,460,698.51","105,734,954.97","115,263,976.77","125,093,925.36",,"111,863,024.69",
预付款项,"18,874,985.62","3,619,552.79","3,954,845.27","7,585,866.79","7,773,685.86","5,453,626.67","12,645,458.22","12,695,919.85","17,358,146.75","5,681,032.74","7,791,001.53","14,758,340.44","18,892,671.66","11,250,924.98","19,070,234.93","15,840,599.64","21,876,105.05","28,762,741.30","57,351,720.34","41,258,209.81","36,242,207.09","27,137,775.29","38,890,947.08"
预收款项,"15,963,387.41","25,199,609.86","9,901,402.51","9,746,060.49","8,118,415.65","5,800,439.71","10,581,263.60","12,343,395.03","15,858,680.80","3,092,831.77","7,175,940.38","4,037,682.26","15,164,230.33","18,049,737.34","16,948,100.99","10,118,109.68","35,817,347.29","26,934,552.66","34,195,370.12","26,013,224.87","53,676,775.24","44,330,453.85","60,465,255.53"
