科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"165,544,382.40","212,837,015.41","218,530,078.19","161,015,292.00","579,262,859.95","614,987,337.06","686,594,902.29","330,264,816.40","88,388,205.95","99,106,584.16","64,366,686.38","144,832,856.24","150,039,980.83","252,871,832.66","367,919,128.88","364,255,803.76","448,529,471.50","165,616,586.54","371,817,311.70","190,556,032.06","491,506,309.18","364,012,121.10","370,077,993.16","421,691,691.38","204,861,656.48","238,906,753.08"
短期借款,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,"213,000,000.00","228,000,000.00",,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"800,000.00","250,000.00",,,"656,817.12","222,947.18","1,000,000.00","1,164,341.63","148,253.53","640,000.00","100,000.00","300,000.00","1,300,000.00","910,000.00","210,000.00","250,000.00","1,000,000.00","800,000.00","800,000.00","200,000.00","832,337.00","500,000.00","1,150,000.00","1,432,981.86","1,900,000.00"
应付票据,"19,644,225.00","14,870,000.00","13,252,907.85","12,292,907.85","11,300,245.61","18,082,527.55","19,165,464.82","16,783,182.88","17,287,444.81","20,027,444.81","21,348,294.91","16,958,294.91","13,590,000.00","21,840,000.00","23,314,933.00","18,264,933.00","18,264,880.50","21,204,880.50","21,040,000.00","17,131,680.00","16,984,430.00","23,882,750.00","28,720,000.00","29,370,000.00","39,400,000.00","39,550,000.00"
应收账款,"1,650,926.32","422,228.83","2,018,590.57","7,765,679.78","18,935,202.31","10,983,711.40","4,509,618.56","28,557,338.86","27,830,162.57","15,322,951.27","2,667,946.54","22,478,020.35","20,884,862.98","17,110,563.85","6,248,173.28","37,981,110.17","19,738,278.80","15,962,827.89","4,792,615.30","16,720,284.66","14,229,684.68","14,165,724.54","7,948,355.92","15,312,967.99","12,326,564.11","10,421,183.41"
应付账款,"24,860,489.64","23,811,505.50","25,437,190.54","30,543,162.87","23,358,140.31","18,166,717.09","29,745,031.24","21,649,072.72","18,259,267.13","42,672,952.99","38,345,549.58","30,269,929.57","26,503,441.14","38,500,648.82","42,550,964.65","31,454,147.13","30,051,861.57","37,602,216.96","57,143,764.65","43,506,001.91","45,337,176.02","56,393,574.27","61,261,646.50","57,100,652.44","71,375,015.89","82,595,038.64"
预付款项,"3,239,646.51","9,232,633.46","4,287,729.88","8,323,757.15","8,326,069.40","5,867,487.55","5,268,721.67","7,509,835.24","2,937,343.28","7,291,276.19","1,645,197.21","1,812,110.37","1,038,271.95","4,268,054.45","732,755.68","5,269,541.57","5,534,936.44","12,241,399.34","3,903,898.92","10,733,541.73","3,506,008.26","3,100,952.19","4,259,693.58","13,804,905.17","6,467,966.00","13,782,635.78"
预收款项,"53,576,697.86","83,848,084.06","53,565,676.75",,"5,478,190.64","12,682,788.65","42,280,573.16","8,499,805.54","9,431,748.39","32,893,454.82","35,704,565.96","15,374,988.95","26,252,785.25","29,390,946.25","14,939,119.97","12,957,593.05","20,763,011.23","31,349,591.74","26,492,204.29","17,397,541.52","44,175,956.37","45,797,819.46","55,406,651.59","118,878,044.04","117,654,304.60","142,906,025.27"
其他应收款,"94,115,612.22","1,593,143.06","302,305.92","228,003.67","6,284,749.37","466,040.76","163,199.85","200,182,751.17","200,231,309.60","954,376.96","160,389,758.19","120,414,278.89","120,612,707.96","597,444.81","360,736.60","609,144.54","661,627.64","696,816.29","1,737,263.61","2,595,642.38","3,834,494.03","5,011,093.59","1,329,400.91","3,452,636.60","3,183,942.20","3,368,401.05"
应付职工薪酬,"2,547,813.60","6,243,618.47","8,270,355.05","2,576,436.47","3,424,152.45","5,082,874.45","9,540,084.67","2,765,807.71","3,651,097.35","8,157,916.94","8,991,750.15","2,847,582.86","4,980,561.14","9,762,942.80","12,543,428.59","3,368,536.59","5,902,448.41","7,977,565.43","11,821,835.59","3,417,162.53","9,229,300.28","13,798,948.28","17,113,880.49","8,909,848.59","13,186,066.59","19,286,372.59"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"12,230,193.14","17,342,781.21","15,648,733.49","14,271,855.46","6,718,973.48","8,417,599.51","19,984,816.10","12,406,927.31","11,850,753.20","6,438,749.95","24,972,865.21","21,595,242.31","13,920,963.28","18,322,157.93","23,888,165.83","14,532,764.81","15,519,453.07","15,797,397.22","31,079,224.86","15,370,542.04","16,843,842.28","19,074,018.79","30,011,742.06","16,926,212.84","23,954,608.70","29,847,663.97"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"33,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,"1,820,351.62","1,820,351.62"
存货,"35,021,038.46","29,391,307.58","25,720,982.03","25,271,874.46","31,379,448.69","28,913,885.22","29,624,751.84","29,909,354.66","20,569,354.53","30,885,078.54","31,254,603.40","33,568,862.13","36,297,727.51","44,079,253.73","30,794,102.76","38,083,498.65","39,932,324.48","48,068,829.78","40,678,764.90","37,380,620.69","33,801,874.03","45,910,874.74","48,293,955.83","71,273,609.44","94,987,726.54","87,122,930.75"
其他应付款,"23,142,938.89","15,779,637.93","15,691,912.45","14,191,999.68","13,665,175.45","14,103,656.66","19,129,998.36","19,865,717.54","20,048,057.64","21,715,220.26","20,124,740.35","21,681,312.58","22,166,559.80","23,696,245.22","22,804,858.16","22,469,100.83","23,148,205.56","17,370,009.66","17,713,574.88","18,371,828.46","17,996,989.13","17,789,323.86","51,110,514.36","52,610,849.44","52,777,725.07","56,933,078.80"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,"371,000,000.00","285,000,000.00","235,000,000.00","350,000,000.00","335,000,000.00","282,000,000.00","156,330,600.00","476,330,600.00","370,000,000.00","508,000,000.00","200,000,000.00","400,000,000.00","550,000,000.00","550,000,000.00","650,000,000.00","750,695,229.93"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,
