科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"580,681,096.75","556,675,824.58","652,893,408.84","136,444,310.28","327,938,654.42","551,272,413.84","761,510,073.12","210,711,796.46","540,874,681.06","907,113,481.86","1,122,837,805.52","334,993,913.75","632,300,665.28","994,731,719.62","1,340,069,448.29","230,660,439.58","554,885,715.50","957,489,035.01","1,378,509,227.52","283,388,557.68","614,990,471.33","932,254,338.37","1,255,379,029.34","220,740,228.86","465,627,671.16","750,585,946.48","1,059,098,026.89","236,856,233.62","528,946,657.17","836,935,654.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,341,290.75","1,498,886.73","6,884,057.83","809,808.00","5,534,090.38","8,247,445.88","9,972,097.27","1,057,360.32","2,176,750.56","6,675,941.85","11,175,378.37","3,263,301.10","7,495,767.89","7,495,767.89","12,998,376.47","3,200,135.73","12,731,721.21","17,512,111.90","19,518,086.99","4,018,779.98","4,473,351.77","9,435,159.31","9,884,220.61","1,115,282.71","1,115,282.71","3,448,487.64","3,448,487.64","942,058.24","3,808,721.89","4,051,878.69"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"4,200,000.00","1,200,000.00","3,666,433.80",,"2,656,493.60","2,569,155.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,351,823.35","13,667,606.52","8,742,905.20","546,229.90","7,427,720.37","13,938,712.39","21,524,018.74","224,797.59","13,483,204.16","14,618,665.99","22,618,249.16","5,694,494.52","55,563,023.90","80,405,224.48","23,161,319.87","5,057,930.68","17,955,630.71","35,828,337.68","35,228,058.03","44,596,673.89","34,483,821.81","35,328,591.22","83,892,867.34","1,746,188.30","9,827,801.27","12,375,573.67","24,485,834.55","55,213,193.24","10,298,261.50","17,261,381.60"
投资活动现金流出小计,"49,164,650.98","22,453,974.33","65,395,423.04","4,818,067.69","13,242,388.83","34,395,811.33","51,899,973.18","13,668,582.50","58,926,805.91","66,194,944.55","277,450,185.37","38,484,451.85","164,888,079.63","200,120,281.99","167,017,022.28","183,827,345.83","303,321,947.59","446,059,209.10","541,153,923.11","12,155,447.44","44,385,263.38","61,059,627.26","101,796,774.45","9,890,023.18","17,560,440.78","25,681,725.75","108,732,652.61","16,866,947.20","35,710,093.84","48,195,901.54"
经营活动现金流入小计,"599,374,210.85","571,842,317.83","668,520,371.87","137,800,348.18","340,900,465.17","573,458,572.11","793,006,189.13","211,993,954.37","556,534,635.78","928,408,089.70","1,156,631,433.05","343,951,709.37","695,359,457.07","1,082,632,711.99","1,376,229,144.63","238,918,505.99","585,573,067.42","1,010,829,484.59","1,433,255,372.54","332,004,011.55","653,947,644.91","977,018,088.90","1,349,156,117.29","223,601,699.87","476,570,755.14","766,410,007.79","1,087,032,349.08","293,011,485.10","543,053,640.56","858,248,914.34"
投资活动产生的现金流量净额,"-49,161,650.98","-22,283,974.33","-65,395,423.04","-4,818,067.69","-13,242,388.83","-34,395,811.33","-49,254,256.18","-12,604,832.99","-56,692,435.01","-63,867,169.18","-271,249,704.26","-28,289,831.40","-125,203,988.63","-128,228,065.91","-90,257,085.22","-112,272,997.58","-73,973,365.18","-132,740,284.23","-161,488,375.60","-5,769,255.00","-37,999,070.94","-53,286,416.05","-92,832,819.10","-9,890,023.18","-15,490,242.45","-23,311,527.42","-73,307,875.73","-7,413,975.97","-26,257,122.61","11,257,069.69"
购买商品、接受劳务支付的现金,"497,956,437.31","510,448,159.85","469,905,980.05","133,879,713.60","341,570,103.71","541,534,872.01","754,321,672.33","201,730,070.01","507,276,058.02","852,039,486.02","976,283,300.71","328,867,312.97","599,614,702.27","877,179,621.00","1,196,487,778.11","207,994,736.21","474,626,332.71","829,597,540.31","1,207,220,996.75","347,558,086.83","724,610,397.49","1,007,473,818.38","1,223,591,974.88","159,730,351.24","393,035,383.46","651,357,589.97","951,901,821.32","216,517,113.07","530,902,886.00","792,110,343.84"
吸收投资收到的现金,,,,,"594,544,502.31","594,544,502.31","602,595,350.00",,,,"9,600,000.00","3,300,000.00",,,,,,,,,,,,,,"458,026,798.60","457,036,798.60",,,
