科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"331,083,499.24","428,677,337.07","262,528,734.97","190,665,302.76","452,062,805.86","563,766,336.15","349,837,992.88","347,171,242.67","544,110,538.16","622,360,763.72","1,091,537,470.38","218,754,995.03","623,927,524.67","597,399,737.09","342,491,409.57","258,881,333.75","380,068,577.27","263,138,688.46","291,796,991.71","1,018,999,531.05","1,524,662,038.69","1,260,099,335.12","1,404,634,441.40","798,485,320.49","1,313,555,335.00","1,005,030,338.31","1,038,101,347.58","976,468,685.82","833,968,297.59","953,022,518.70","582,876,524.85","561,800,403.72","585,055,559.95","579,914,053.08","758,817,861.23","986,737,635.38","1,677,591,492.62","3,092,347,803.12","2,603,279,644.25","2,951,743,797.84","2,596,273,900.39","2,980,434,574.99","2,363,042,700.42","2,720,583,786.78","1,821,466,139.37","2,053,744,068.06","2,124,524,996.32","2,832,442,969.39"
短期借款,,,"100,000,000.00","100,000,000.00","225,000,000.00","225,000,000.00","300,000,000.00","300,000,000.00","230,000,000.00","258,000,000.00","494,000,000.00","654,000,000.00","674,000,000.00","500,000,000.00","450,000,000.00","500,000,000.00","581,000,000.00","936,000,000.00","1,071,490,000.00","891,470,000.00","1,051,470,000.00","1,041,470,000.00","609,970,000.00","330,000,000.00","400,000,000.00","250,000,000.00",,,,"50,000,000.00","200,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00",,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,600,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"44,324,091.71","54,074,389.69","35,208,068.76","22,736,135.67","48,694,421.17","41,091,857.79","36,179,872.58","12,926,961.88","39,245,537.82","25,997,653.39","31,130,337.32","11,873,742.02","28,581,571.52","25,668,410.95","41,313,585.34","18,043,508.27","28,276,108.43","28,880,874.03","44,424,071.02","17,726,118.11","42,918,016.07","40,578,972.27","48,250,573.22","22,057,103.81","63,853,429.39","59,781,581.07","61,587,935.78","27,898,415.37","101,822,320.98","92,524,304.33","47,500,213.97","23,621,958.13","59,128,695.43","72,092,863.12","83,838,652.93","48,147,335.85","85,563,075.45","90,273,234.71","40,681,197.01","117,818,969.61","81,861,655.16","91,856,731.95","92,642,625.45","103,251,150.46","94,111,175.70","97,539,024.14","91,076,995.07","105,447,913.94"
应付账款,"34,049,478.83","39,457,216.16","32,215,388.72","24,964,489.25","23,977,176.29","33,383,536.43","62,699,594.93","107,265,529.70","103,674,462.91","203,705,615.68","273,826,137.59","159,018,048.20","183,492,287.60","183,443,464.74","308,506,438.58","121,223,271.87","138,636,022.29","98,525,682.97","271,360,312.73","135,228,709.74","120,834,219.00","147,307,074.01","189,723,409.12","737,647,764.93","505,382,198.06","484,144,140.12","422,764,484.55","317,797,859.76","179,391,859.91","181,187,568.90","149,928,067.90","150,799,208.60","126,959,257.81","141,853,033.21","175,056,081.87","154,217,021.14","138,652,556.81","140,529,599.84","299,414,047.07","247,130,091.75","207,563,438.89","201,413,801.42","266,934,026.99","207,558,883.13","185,313,470.18",,"203,779,190.74",
预付款项,"47,557,148.54","85,129,628.30","113,531,346.22","7,049,638.50","4,377,901.75","54,017,991.66","89,889,900.99","85,663,885.90","190,292,072.71","252,668,125.81","334,034,793.81","292,435,314.87","292,852,790.55","364,331,582.77","454,785,168.49","195,653,487.32","282,192,270.97","163,352,203.10","372,971,002.10","144,982,896.65","260,584,983.03","154,634,390.01","129,509,847.20","47,164,329.75","22,454,164.50","1,026,119.75","4,831,090.32","2,921,945.75","2,410,908.20","1,759,930.82","2,416,813.36","963,349.67","1,383,970.77","2,475,322.20","3,054,570.00","1,914,808.89","4,039,664.37","3,655,794.38","2,860,130.35","1,394,688.22","2,090,098.10","1,660,931.62","4,451,901.75","3,595,779.88","1,734,012.97","45,853,206.46","1,912,943.40","1,283,038.94"
预收款项,"10,886,114.09","10,695,767.55","11,181,747.81","6,548,310.30","6,464,976.99","6,292,368.18","6,316,166.67","6,328,501.56","6,611,706.83","6,402,672.80","5,884,045.49","7,456,276.76","7,389,743.45","7,054,071.62","7,588,507.31","6,441,245.88","6,857,158.88","5,868,000.34","5,626,643.77","5,392,391.20","5,263,678.04","4,978,886.06","4,972,991.30","4,666,667.88","4,583,334.57","4,500,001.26","4,566,367.95","4,405,334.64","4,322,001.33","4,964,353.56","5,061,837.86","4,868,022.79","4,727,944.57","4,554,050.73","4,149,508.48","4,709,312.20","34,264,444.93","39,446,553.05","17,440,023.40","18,510,163.76","16,485,866.82","15,636,951.71","14,856,113.90","113,361,466.92","13,605,059.97","14,450,419.48","12,039,708.01","12,375,610.28"
其他应收款,"46,646,427.56","21,639,842.52","28,421,073.20","22,610,107.93","211,349,619.06","47,422,848.68","29,348,361.62","28,323,738.28","30,099,176.99","51,632,804.64","52,837,498.08","31,395,116.40","30,097,521.77","31,525,797.17","39,289,013.72","31,363,602.07","32,480,988.20","34,671,913.22","36,164,432.63","37,983,304.82","35,884,049.92","37,772,830.36","36,881,288.80","37,105,814.51","36,741,873.17","33,642,879.81","30,664,802.69","27,827,811.48","22,376,273.17","24,859,337.67","19,764,021.20","28,245,949.17","19,081,441.90","14,631,106.96","14,120,117.27","16,436,699.69","18,901,657.90","19,984,735.07","25,167,879.53","16,456,512.87","23,067,768.72","22,542,487.60","15,415,512.07","16,557,843.22","123,275,981.57","17,810,306.93","16,487,256.02","17,798,021.47"
应付职工薪酬,"5,923,446.20","4,994,229.88","4,858,379.69","11,352,368.41","11,900,041.57","11,832,872.40","13,753,447.68","11,827,195.03","11,673,189.40","9,416,978.99","9,421,126.69","4,765,766.41","3,234,259.73","2,154,928.28","2,521,371.40","949,773.92","1,623,411.57","2,610,696.28","2,552,579.53","2,002,220.57","2,846,779.97","3,148,758.58","2,887,178.34","2,342,361.32","2,986,284.24","2,406,137.27","2,663,758.25","2,378,720.62","2,174,341.25","2,691,276.45","3,096,366.16","2,808,275.72","2,927,670.25","2,842,870.41","3,773,039.52","3,105,804.37","11,983,655.61","9,717,148.16","8,840,599.13","9,398,000.36","14,518,023.53","10,344,053.37","11,334,182.16","15,115,289.04","15,529,808.87","17,518,602.30","13,122,437.17","18,092,331.40"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"23,403,933.99","19,932,296.73","20,497,821.51","38,809,210.62","29,249,001.72","21,408,652.87","23,071,624.14","6,674,944.62","30,941,387.75","898,114.75","8,127,674.91","4,159,074.15","21,053,708.61","22,647,492.26","11,348,337.41","1,702,514.30","10,482,974.64","18,858,519.81","30,504,159.64","13,070,029.12","26,612,190.34","30,669,192.33","49,617,377.54","40,999,608.03","45,748,771.86","8,286,680.69","11,253,619.11","11,713,374.15","25,914,910.26","11,964,394.75","13,531,013.50","11,575,093.74","23,300,048.64","40,690,666.11","42,402,857.43","37,412,104.25","112,419,482.29","115,068,540.36","106,370,898.31","144,825,659.69","115,032,413.48","156,350,708.84","428,647,394.29","262,706,671.84","122,832,730.78","121,874,371.46","104,198,746.06","118,882,217.49"
应收利息,,,,,,,,"319,063.73",,,,,"371,700.00",,,,,,,,,,,,,,,"12,444.44",,,,,,,,,,,,,,,,,,,,
应付利息,,"9,605,047.90","17,328,543.92","2,062,015.50","11,064,904.31","19,302,520.37","5,830,242.66","5,537,848.30","6,444,819.85","5,891,456.92","9,076,227.01","16,523,915.41","33,333,965.41","37,371,133.91","7,205,036.57","17,571,390.99","30,429,488.92","41,635,005.98","12,557,245.81","37,161,794.55","64,164,542.00","91,666,971.39","75,838,548.72","35,031,191.54","63,807,787.78","89,024,649.07","76,902,979.97","35,887,681.26","62,767,593.55","89,188,235.28","74,679,901.96","24,473,342.31","41,468,937.57","57,625,780.31","74,950,011.15","22,079,344.97","93,197,701.63","114,087,872.74","8,945,283.52","9,028,437.59","7,986,358.47","7,861,801.85","8,494,355.93","8,657,248.94","9,332,172.79",,"8,971,576.57","11,339,664.52"
应收股利,,,,,,"40,970,025.14","26,970,025.14","14,970,025.14","132,989,479.54","54,842,253.25","32,521,691.32",,,"69,459,045.51","15,459,045.51",,,"163,878,984.67","104,726,548.60","90,658,881.05","22,658,881.05","6,215,431.47","69,360,130.21","53,360,130.21","25,360,130.21","80,648,284.74","42,648,284.74","16,648,284.74","40,463,850.37","137,853,597.49","16,290,318.11",,,"38,667,000.00","61,556,700.00",,"44,698,439.36",,,,"23,054,984.51",,,,"54,521,442.76",,"1,205,472.90","1,205,472.90"
