科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"80,225,259.28","108,294,955.90","129,811,435.60","66,441,292.44","64,080,205.52","85,393,391.97","131,650,588.41","78,150,860.21","63,226,805.21","58,590,585.52","109,156,571.85","76,252,669.70","56,757,052.94","45,161,494.28","243,962,714.53","185,663,435.39","189,077,202.57","151,969,369.86","152,567,901.45","171,353,813.27"
短期借款,"179,439,906.66","252,752,550.00","285,049,596.17","289,793,312.38","147,970,000.00","190,000,000.00","185,900,000.00","130,000,000.00","196,200,000.00","176,200,000.00","225,000,000.00","255,000,000.00","255,000,000.00","275,000,000.00","195,000,000.00","195,000,000.00","194,000,000.00","216,000,000.00","216,000,000.00","207,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"46,544,363.20","33,803,479.15","50,538,090.67","29,016,575.00","35,364,006.00","14,962,000.00","14,541,509.00","14,045,600.00","35,473,500.00","30,905,000.00","45,239,890.75","22,186,428.76","14,055,241.99","10,266,242.00","49,849,001.90","36,904,785.91","13,909,855.00","6,339,700.00","49,607,531.80","8,029,192.49"
应付票据,"87,286,000.00","120,240,000.00","120,780,505.00","92,664,005.00","78,522,500.00","68,722,500.00","73,092,500.00","78,316,400.00","99,058,400.00","90,309,000.00","63,923,042.38","51,733,042.38","78,299,000.00","93,427,400.00","62,060,400.00","58,295,000.00","64,465,000.00",,"39,001,773.54",
应收账款,"169,775,586.01","173,862,389.37","192,926,162.51","229,465,894.95","219,571,898.56","274,521,497.78","261,295,017.52","266,847,477.11","365,650,798.02","342,656,640.13","221,782,936.79","239,037,765.60","224,469,762.90","261,043,273.93","269,819,845.14","341,590,508.35","310,398,540.48","349,978,159.06","335,564,896.12","378,287,475.00"
应付账款,"61,573,538.43","59,383,151.52","56,583,312.71","24,144,667.87","34,488,874.44","36,639,765.11","41,588,339.21","41,748,063.98","46,904,253.59","43,797,690.12","48,776,852.43","47,506,498.51","34,589,582.39","56,408,746.46","61,602,836.82","62,776,460.04","67,556,890.71",,"60,558,957.39",
预付款项,"8,053,733.31","17,014,259.71","23,282,492.47","28,801,353.80","25,956,530.59","35,266,137.09","42,172,304.90","66,194,660.23","55,274,954.48","57,324,655.14","44,911,354.86","61,324,481.72","61,052,848.88","78,888,279.49","55,138,324.69","49,309,509.07","91,502,620.09","123,874,300.83","48,277,066.22","56,994,636.96"
预收款项,"7,200,362.03","3,007,252.68","4,940,434.57","7,593,128.58","3,272,794.97","3,369,985.36","7,646,441.45","6,802,004.77","7,475,369.17","7,837,927.86","2,033,077.11","2,957,106.22","3,965,035.84","5,122,685.01","26,631,041.46","32,099,308.78","35,371,158.78","61,669,826.73","36,666,742.80","32,825,327.84"
其他应收款,"475,287.30","242,000.00","454,386.39","696,961.51","87,645.10","129,880.20","674,161.21","186,960.00","111,407.95","65,717.57","409,773.00","557,973.00","401,349.65","151,487.00","95,027.62","146,196.87","1,377,495.43","171,842.66",,"4,595,175.39"
应付职工薪酬,"390,806.19","630,243.30","956,342.07","955,207.13","1,000,866.89","1,083,303.61","1,159,839.18","1,257,947.59","1,208,234.02","1,291,120.71","1,311,295.35","1,410,222.72","1,468,180.45","1,546,911.98","3,363,668.75","3,543,336.54","3,627,482.65","3,781,058.13","3,891,679.08","3,825,203.31"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"2,980,379.19","2,613,941.99","2,865,841.01","804,622.67","4,371,885.82","3,370,528.14","1,002,513.43","1,932,664.85","4,005,150.55","3,435,008.03","1,604,996.61","800,899.57","1,214,840.81","5,112,409.58","436,565.67","366,497.67","633,665.97","934,577.83","1,537,055.22","991,793.50"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,"68,892.06","511,090.24","606,300.20","293,476.51","109,468.94",,"26,285.00","21,285.00",,,,,,,"307,369.79",,"292,718.71","343,731.26","378,104.37","367,501.45"
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,"4,494,000.00",,,,,,"41,250.00",,,,,,,,,,,
存货,"116,249,798.43","144,951,578.49","165,909,793.08","166,726,345.62","159,808,539.16","147,251,661.62","144,024,444.54","147,098,314.86","146,576,317.32","164,588,382.86","178,721,897.03","212,709,162.99","233,613,570.96","245,669,307.55","205,450,502.18","210,497,470.62","232,505,898.23","236,439,109.23","254,927,136.43","267,552,500.53"
其他应付款,"1,227,403.72","377,616.77","585,804.08","325,142.50","345,955.11","325,368.93","2,836,616.21","1,341,423.57","2,480,970.53","2,581,881.26","4,064,735.93","858,930.87","996,976.81","1,687,297.16","1,620,448.07","1,832,023.62","2,300,118.52","2,385,577.19","2,154,625.21","1,659,982.18"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"116,000,000.00","2,107,500.00","60,000,000.00","60,000,000.00",,,,,,,"30,000,000.00","30,000,000.00",,,,,,,,
其他流动资产,"8,385,251.92","10,489,214.61","10,301,517.35","10,983,521.64","6,547,371.24","7,625,419.32","13,460,266.42","6,137,825.56","7,677,252.57","6,191,407.52","12,937,693.40","6,570,226.46","7,605,626.11","3,189,406.44","20,026,120.06","26,045,190.31","31,358,832.16","23,077,324.09","28,370,871.60","34,483,374.82"
其他流动负债,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,
流动资产合计,"429,709,279.45","488,657,877.23","573,223,878.07","532,131,944.96","511,416,196.17","565,149,987.98","607,818,292.00","578,661,697.97","673,991,035.55","660,322,388.74","613,160,117.68","618,638,708.23","597,955,453.43","644,369,490.69","844,341,536.12","850,157,096.52","870,130,443.96","891,849,805.73","869,315,403.62","921,296,168.46"
流动负债合计,"456,167,288.28","441,623,346.50","536,862,135.81","476,573,562.64","270,082,346.17","303,511,451.15","343,252,534.48","291,419,789.76","387,373,627.86","355,452,627.98","376,713,999.81","390,266,700.27","375,533,616.30","438,305,450.19","351,022,330.56","353,912,626.65","368,247,035.34","396,251,789.40","359,810,833.24","402,052,833.99"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期借款,"90,407,900.00","137,000,000.00","110,000,000.00","110,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,"10,097,495.68","9,414,441.88","8,731,388.08","8,560,624.63","8,389,861.18","8,219,097.73","8,048,334.28","7,877,570.83","7,706,807.38","7,536,043.93","7,365,280.48","7,194,517.03","7,023,753.58","6,852,990.13","6,682,226.68","6,511,463.23","6,340,699.78","6,169,936.33","5,999,172.88","5,828,409.43"
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"327,605,246.29","412,199,460.61","373,947,621.06","363,386,152.22","406,495,933.46","394,237,078.67","388,590,606.16","376,089,414.33","363,369,825.08","352,921,660.94","347,487,558.19","336,627,241.23","327,217,207.97","314,902,823.57","333,516,763.77","342,776,056.59","330,224,948.82","378,732,141.78","392,333,907.83","384,055,591.24"
递延所得税负债,,,,,,,,,,,,,,,,,,,,
在建工程,"40,803,645.35","1,874,259.99","29,806,240.56","58,363,577.89","5,986,980.95","6,281,277.41","19,192,198.34","19,736,860.87","27,728,434.72","25,907,011.76","21,602,057.72","21,909,523.31","22,080,878.46","38,284,944.86","115,374,893.88","93,978,497.49","95,781,385.80","71,137,984.39","69,407,825.22","72,944,746.05"
其他非流动负债,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"124,838,967.79","178,858,863.70","166,279,734.16","165,059,396.70","82,701,144.15","82,062,448.41","79,129,456.90","77,870,391.19","76,611,325.48","75,352,259.77","44,093,194.06","42,868,628.35","41,689,545.44","40,547,129.72","47,774,713.80","46,667,948.07","45,561,182.34","44,454,416.61","43,262,911.86","42,072,262.24"
固定资产清理,,,,,,,,,,,,,,,,,,,,
负债合计,"581,006,256.07","620,482,210.20","703,141,869.97","641,632,959.34","352,783,490.32","385,573,899.56","422,381,991.38","369,290,180.95","463,984,953.34","430,804,887.75","420,807,193.87","433,135,328.62","417,223,161.74","478,852,579.91","398,797,044.36","400,580,574.72","413,808,217.68","440,706,206.01","403,073,745.10","444,125,096.23"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","219,950,901.00","219,950,901.00","219,950,901.00","219,950,901.00","219,950,901.00","219,950,901.00"
油气资产,,,,,,,,,,,,,,,,,,,,
资本公积,"173,383,344.86","173,383,344.86","173,383,344.86","173,383,344.86","388,256,944.86","388,256,944.86","388,256,944.86","388,256,944.86","288,256,944.86","288,256,944.86","288,256,944.86","288,256,944.86","288,256,944.86","288,256,944.86","599,949,779.09","599,949,779.09","599,949,779.09","599,949,779.09","599,949,779.09","599,949,779.09"
无形资产,"29,199,548.28","27,914,320.90","26,630,090.62","26,309,033.05","25,987,975.48","25,666,917.91","25,508,438.97","25,236,711.61","24,904,457.47","24,572,203.33","24,239,949.19","23,934,646.61","23,688,258.39","23,538,286.18","37,625,606.77","40,106,938.01","39,704,427.39","39,233,626.17","38,762,824.95","38,296,190.39"
