科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"122,143,540.81","159,682,590.13","246,509,715.36",,"670,137,652.72","609,441,111.73","556,476,416.96","508,229,973.99","511,677,407.71","326,914,356.12","264,373,547.40","404,907,489.44","247,505,008.98","196,707,972.16"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,"2,000,000.00","2,900,000.00",,,,,,,,,,,
应付票据,,,,,,,,,,,,,,
应收账款,"7,868,646.07","21,230,963.22","29,029,037.42",,"26,673,682.21","36,193,869.84","36,257,159.55","35,328,496.67","40,090,494.91","42,735,331.53","40,249,467.19","39,056,061.88","37,483,559.22","48,151,364.51"
应付账款,"13,279,756.61","15,482,345.70","10,932,134.54",,"23,176,821.46","31,084,652.58","29,476,888.31","28,444,946.44","30,980,703.80","38,055,636.69","20,999,855.37","18,433,599.19","36,342,401.89","59,711,507.56"
预付款项,"5,095,068.87","4,740,772.16","6,915,989.85",,"7,941,340.22","3,851,178.75","2,177,277.47","3,646,634.73","3,094,191.68","3,312,977.56","774,858.75","4,600,433.03","8,991,281.97","3,508,079.22"
预收款项,"29,697,656.88","26,128,203.75","23,165,414.21",,"22,851,371.65","31,191,198.78","21,618,162.72","25,950,402.17","19,168,047.08","20,850,780.20","21,729,975.08","29,368,362.36","27,602,383.80","33,329,448.85"
其他应收款,"2,229,610.58","2,162,623.39","2,824,668.78",,"6,678,140.40","4,636,571.63","4,838,520.54","5,226,224.77","5,262,036.95","6,251,570.88","4,258,178.16","7,870,962.56","11,551,775.83","59,454,549.00"
应付职工薪酬,"5,929,956.10","6,223,059.19","5,994,031.64",,"3,788,654.29","3,386,833.40","5,878,632.55","3,892,809.08","4,199,727.80","4,385,367.30","8,030,997.39","4,080,335.66","4,327,641.76","4,365,649.21"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,328,466.04","12,885,225.49","11,467,832.61",,"5,362,629.02","611,712.36","7,721,493.20","330,588.64","6,288,605.67","12,315,330.98","18,300,535.11","12,967,764.37","12,466,677.51","12,976,272.07"
应收利息,"1,008,371.29","416,958.90","562,269.85",,"893,360.28","3,240,556.05","6,317,896.20","8,248,407.33","3,933,647.34","2,019,200.74","2,252,250.20","2,901,002.50","1,620,318.09","1,718,274.66"
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,"17,000,000.00",,,,"19,040,000.00",,,,,
存货,"96,042,864.22","127,270,418.02","96,131,628.97",,"104,582,209.75","133,495,778.95","134,721,672.47","148,106,540.72","156,325,659.94","167,525,925.02","144,032,429.55","130,209,339.13","142,888,455.46","192,350,277.00"
