科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"511,164,846.41","634,987,217.06","322,870,883.42","487,882,840.37","718,383,234.67","133,590,811.77","364,657,537.98","589,252,014.58","910,709,192.01","167,163,010.96","445,089,759.02","687,560,005.99","1,128,788,636.94","271,701,313.33","650,675,480.54","1,032,010,264.84","1,463,512,749.62","307,514,344.12","728,385,876.36","1,067,026,591.21","1,677,618,826.50","332,711,531.64","777,714,515.00","1,115,320,507.29","1,632,753,411.94","309,357,789.11","638,435,475.84","968,043,397.22","1,581,896,640.87","435,117,043.82","1,026,866,758.20","1,816,504,245.95","2,864,963,206.84","601,916,486.46","1,340,622,307.57","2,203,749,246.12","3,181,639,488.48","699,408,692.61"
二、营业利润,"57,281,390.19","67,046,356.67","40,190,611.53","50,942,603.17","83,053,997.57","4,708,436.96","20,551,138.47","30,129,679.95","47,079,984.33","7,093,127.62","37,685,781.24","50,828,660.86","69,573,830.00","9,425,345.28","42,821,841.90","59,015,601.71","81,201,511.15","4,432,839.10","11,488,860.93","15,607,442.79","28,888,408.57","7,046,600.51","12,480,796.98","14,709,956.04","27,194,103.42","7,925,169.73","-24,478,123.54","-24,981,530.77","-4,966,923.46","8,095,060.75","43,801,912.82","65,258,782.83","100,469,436.40","26,876,603.36","85,387,822.09","104,607,258.99","159,444,489.82","30,967,769.42"
减:营业成本,"394,402,657.79","480,471,025.32","240,430,585.28","364,922,729.45","537,291,889.06","97,339,848.19","274,376,853.91","447,460,148.87","699,346,138.64","124,297,110.91","323,359,174.28","507,897,172.79","872,718,509.15","221,617,657.91","508,572,869.83","818,030,059.17","1,156,824,255.99","259,985,768.61","604,923,569.47","881,032,328.40","1,385,997,147.58","273,509,943.77","645,863,222.05","919,256,167.46","1,336,685,233.45","249,316,106.46","514,928,920.00","786,511,255.32","1,312,347,377.26","360,998,269.82","833,019,316.00","1,506,283,503.57","2,365,776,585.92","489,963,272.91","1,072,379,175.31","1,793,888,513.77","2,567,962,398.49","551,511,940.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"266,666.98","349,906.49","430,126.32","512,178.13","952,045.49","68,306.65","259,384.43","716,249.86","1,461,768.89","246,456.35","1,185,083.33","2,358,378.96","4,944,682.33","1,172,973.94","2,999,618.20","3,538,619.08","5,577,561.73","1,066,431.55","2,094,768.02","4,189,833.45","5,581,802.78","1,009,522.71","2,209,015.17","3,219,987.41","6,687,121.84","476,196.18","1,159,789.32","1,911,853.84","4,027,153.25","346,637.97","1,745,419.23","4,064,115.02","10,072,394.95","2,725,804.38","5,806,245.03","8,848,076.55","17,480,546.85","2,962,937.80"
营业外收入,"474,665.35","2,418,648.28","836,860.19","1,029,239.20","2,464,505.18","2,767,776.99","10,998,956.75","11,646,277.23","4,551,313.95","1,056,733.38","1,510,112.59","3,273,207.25","4,443,229.36","217,349.05","2,542,634.05","3,573,316.19","5,079,698.02","450,383.83","923,495.32","2,860,021.33","5,357,053.17","1,634,051.16","3,304,190.29","3,875,176.32","5,138,553.61","3,831,080.82","10,221,999.32","12,739,881.69","10,103,258.13","748,259.18","6,738,625.80","9,808,465.34","18,143,448.46","3,776,674.86","7,296,991.22","6,557,167.70","3,613,014.86","7,894,389.59"
销售费用,"30,997,958.18","42,794,692.88","21,996,477.82","37,173,343.96","53,531,841.36","17,636,970.27","38,824,872.57","63,788,121.98","96,914,791.87","22,300,134.37","51,544,253.94","82,013,881.45","111,856,368.93","25,785,368.28","63,190,812.77","99,562,458.90","151,802,649.01","26,594,055.04","67,571,452.55","110,280,462.73","159,398,756.59","32,881,602.08","75,330,024.75","113,020,640.58","161,260,819.93","28,442,780.97","95,341,035.55","153,267,421.42","208,534,849.50","33,064,537.51","87,061,443.86","138,411,334.66","220,122,908.17","52,067,933.60","102,487,134.34","166,958,998.76","253,609,110.20","49,508,315.82"
减:营业外支出,"682,510.74","327,592.53","22,950.59","634,979.56","847,814.72","253,586.64","888,266.77","1,094,665.63","1,184,974.93","93,596.45","512,808.74","858,845.57","1,279,639.39","49,550.90","108,481.95","140,832.83","792,366.03","66,261.78","134,375.64","603,214.03","1,169,503.68","306,953.56","536,465.55","909,475.19","1,391,859.39","2,259,953.48","2,553,655.53","3,113,740.76","1,022,702.62","90,233.59","133,576.44","238,299.86","551,324.44","128,271.14","217,364.95","476,885.17","1,375,430.34","422,902.32"
管理费用,"21,689,481.55","34,165,697.66","16,404,531.43","29,763,920.10","37,375,496.88","14,374,850.64","30,808,022.92","48,369,439.88","70,596,031.72","14,211,870.89","34,234,785.93","52,619,219.41","77,036,314.71","16,899,882.47","38,294,584.22","57,983,929.22","77,361,221.44","15,113,306.04","36,805,732.02","49,647,173.56","87,018,882.67","16,924,247.23","35,327,793.11","56,467,683.56","88,598,577.19","22,964,949.63","45,658,485.36","71,095,811.78","105,989,073.90","24,493,621.68","54,167,306.90","87,228,943.51","133,695,807.51","41,759,510.68","81,233,779.10","128,197,121.02","169,574,169.20","41,397,759.71"
其中:非流动资产处置净损失,"372,580.85","3,769.46",130.00,130.00,"182,640.33",,"43,689.77","-117,189.15","163,901.68",,,"-172,016.43","381,130.79",,"22,082.87","9,623.01","520,895.18",,"30,053.82","139,189.84","638,720.74","202,883.66","440,125.22","792,247.00","848,858.22","2,230,463.96","2,462,031.11","2,664,646.36","557,048.40","8,304.97","43,189.52","57,623.33","183,232.92","20,428.04","106,621.16","124,007.46",,
