科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"223,164,613.95","265,861,593.16","331,289,581.53","137,014,787.95","210,392,275.57","291,913,866.31","63,263,279.31","144,732,715.87","231,155,077.95","315,425,538.52","71,773,436.13","147,426,104.22","229,912,247.68","305,946,562.25","64,286,363.50","149,572,199.53","498,145,670.36","714,032,572.36","129,266,794.53","327,364,573.96","517,112,583.68","731,874,211.37","166,051,265.79","368,008,364.77","573,559,800.56","795,534,210.47"
二、营业利润,"47,308,337.00","46,969,659.71","52,400,084.34","18,411,256.90","28,141,495.55","40,053,461.54","10,039,657.07","23,185,550.45","38,949,346.53","49,260,163.08","11,191,199.21","24,052,659.94","35,263,948.28","43,112,241.41","8,274,676.79","19,866,962.01","65,656,083.54","109,326,246.66","12,124,743.29","47,181,124.43","84,288,050.06","128,828,698.56","23,788,783.28","62,341,343.48","99,967,481.09","150,671,202.56"
减:营业成本,"153,986,591.34","183,321,605.98","234,590,339.43","95,909,591.11","149,203,372.42","209,224,470.58","45,181,760.19","103,283,851.25","164,403,265.27","222,015,253.31","51,430,446.27","104,189,333.27","162,676,638.76","215,593,195.69","45,189,703.23","106,175,270.15","307,077,404.18","431,084,408.07","80,096,221.59","200,779,346.29","314,545,453.63","439,084,924.45","98,632,556.65","215,321,969.86","335,593,547.54","463,213,547.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"125,699.93","375,664.64","1,565,501.35","1,153,613.56","1,598,175.58","1,965,549.78","386,510.49","882,728.71","1,040,919.82","1,552,745.38","433,515.61","823,830.16","1,405,227.58","1,888,083.07","380,267.74","885,532.84","3,338,654.65","4,913,584.01","1,072,343.27","2,505,730.51","3,640,243.40","7,890,225.27","2,320,891.24","4,581,646.41","6,873,338.45","9,725,561.57"
营业外收入,"744,834.63","4,610,455.48","5,159,040.93","171,194.41","824,056.52","1,255,501.16","168,910.16","271,404.39","982,331.96","3,083,432.31","178,167.01","430,254.02","585,322.49","933,804.93","459,376.56","604,949.89","4,043,000.37","6,726,598.15","369,168.51","937,443.69","2,157,534.53","8,597,683.41","285,685.69","2,649,159.30","4,421,910.60","470,476.40"
销售费用,"5,691,544.24","7,921,730.90","10,024,360.42","3,737,467.44","7,030,357.82","11,217,397.85","2,164,783.25","4,808,757.09","7,026,302.88","11,688,889.72","3,128,565.31","6,434,201.80","9,754,288.86","13,797,560.08","3,414,091.13","8,193,088.57","41,753,154.34","58,732,088.56","11,931,929.21","26,645,797.99","39,611,036.82","54,767,859.54","13,022,217.64","27,090,484.82","41,115,203.58","56,429,603.30"
减:营业外支出,"2,960,182.60","21,796.40","8,688.14","2,055.55","21,303.60","28,738.81","7,471.31","8,230.31","19,052.18","302,976.90","102,007.24","124,204.80","276,450.96","349,017.46","26,092.95","37,792.95","199,646.73","379,552.66","42,443.49","192,829.09","1,092,260.31","648,847.54","32,130.62","86,489.91","215,871.46","369,777.27"
管理费用,"15,211,527.21","22,197,269.84","26,883,108.27","15,629,275.30","22,047,240.01","29,918,753.58","6,955,929.41","15,244,345.44","24,146,014.17","36,983,582.69","8,003,621.90","16,140,853.90","25,488,289.60","37,187,967.23","7,992,716.34","18,943,679.59","87,464,804.65","116,130,106.45","27,034,520.19","55,879,275.65","83,701,646.44","113,327,372.42","27,950,314.07","56,841,887.07","86,254,202.04","119,405,526.61"
其中:非流动资产处置净损失,"1,611,356.30",,"8,656.35",,,"26,803.14","7,471.31","8,230.31","8,230.31","285,016.90",,"124,204.80","275,450.96","276,834.46","26,275.95","26,275.95","80,294.27","93,640.45","41,376.66","73,066.52","184,295.63","347,274.27","18,191.90","59,057.22","65,855.61",
