科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"158,550,576.10","210,151,599.57","270,414,958.79","154,242,425.22","210,782,900.08","301,820,200.90","48,935,842.97","123,717,515.17","177,698,303.76","282,374,136.47","51,898,038.27","143,573,251.20","215,330,077.66","307,390,533.72","53,639,647.18","99,336,053.76","144,441,775.38","282,478,713.33","67,330,458.14","138,499,168.19","205,627,623.25","340,924,916.13","85,741,179.61","312,796,398.76","584,415,477.72","980,739,991.85","235,750,275.24","597,818,273.02"
二、营业利润,"19,909,619.62","29,356,466.93","51,156,474.59","34,816,661.64","41,751,387.55","58,825,885.56","1,912,256.57","19,917,152.02","21,553,033.82","42,283,885.57","2,379,660.40","28,510,687.07","35,560,501.86","45,793,087.96","-299,496.08","-2,807,273.95","-11,926,785.09","-7,872,865.58","1,942,394.99",656.21,"243,121.52","-7,931,700.17","12,133,529.59","69,782,243.08","136,071,404.97","209,004,856.37","22,186,941.96","84,073,604.49"
减:营业成本,"82,623,490.79","102,080,991.37","129,492,937.66","70,432,914.45","96,627,259.26","140,959,805.46","23,727,071.05","58,451,542.70","85,426,656.63","133,257,508.12","25,798,420.94","64,718,455.25","97,697,451.34","142,675,535.30","25,830,642.18","48,236,244.40","69,369,594.53","149,855,836.86","36,712,705.79","74,742,573.34","110,526,967.12","197,561,203.83","24,775,115.58","91,981,775.11","189,152,659.00","343,513,958.11","78,037,149.97","172,066,316.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,542,602.91","2,213,226.25","2,698,916.55","1,610,959.75","2,140,729.34","3,393,889.86","321,903.36","1,177,757.05","2,150,174.05","3,633,909.81","280,158.61","1,285,124.26","2,003,766.90","3,376,120.23","298,426.13","734,017.82","1,285,814.66","3,036,406.57","637,236.33","1,112,478.97","1,882,850.27","6,308,024.79","1,308,065.32","3,965,358.03","6,196,977.95","10,613,506.41","1,758,431.40","5,074,606.64"
营业外收入,"6,067,089.08","13,518,041.50","11,829,215.62","565,891.81","3,314,406.77","7,071,602.68","91,366.79","8,939,735.99","9,063,385.78","13,174,915.38","131,612.99","3,884,462.37","5,918,082.12","12,272,268.37","2,479,454.57","6,219,916.32","8,823,514.89","13,072,459.86","1,034,837.00","6,919,430.51","7,504,877.30","14,306,386.33","5,340,518.96","2,503,253.74","3,499,576.08","2,625,958.75","636,060.13","4,232,245.38"
销售费用,"19,419,804.96","29,644,337.65","35,243,384.41","19,418,026.29","30,135,444.05","43,512,843.36","9,836,952.11","18,903,118.30","29,690,450.14","48,110,176.28","8,731,573.37","20,274,819.92","35,768,192.84","52,730,356.02","9,165,424.10","16,350,216.38","30,427,196.47","50,691,408.67","8,622,904.52","18,300,034.11","29,898,200.78","47,669,260.82","15,644,587.69","54,241,010.67","100,664,326.22","169,771,392.09","61,302,352.52","159,047,528.68"
减:营业外支出,"397,723.53","102,475.55","165,140.06","44,426.55","59,864.51","90,348.77","6,643.52","131,404.08","213,255.32","329,968.65","358,068.67","454,887.67","523,688.96","741,229.87","54,550.00","78,156.70","381,869.20","423,320.04","46,509.63","130,832.65","518,581.06","787,056.25","153,867.93","589,454.21","1,341,705.60","1,338,001.53","111,127.71","492,973.56"
管理费用,"33,454,644.64","44,162,145.80","46,582,105.95","22,356,827.39","34,763,681.64","51,270,864.85","12,923,583.15","26,430,174.76","40,577,558.38","59,170,123.72","14,046,821.88","29,335,784.74","43,953,202.95","63,145,442.56","18,520,306.76","35,079,022.21","52,315,042.24","73,792,877.63","17,546,826.17","37,823,028.97","57,189,731.31","81,392,826.60","30,257,336.20","87,076,879.48","142,184,994.45","227,913,114.26","72,795,538.57","162,435,792.64"
其中:非流动资产处置净损失,,,,,,"18,755.95","1,790.72","40,839.68","94,252.30","150,409.13",,"2,214.67","2,214.67","6,819.09",,,,"4,603.83","7,759.78","22,129.08",,"89,029.25","6,675.00","260,525.52","610,817.31",,,
