科目,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"45,401,466.75","24,501,654.49","61,562,228.14","28,209,555.95","82,332,659.92","38,435,075.54","104,886,786.41","43,359,811.61","110,678,457.01","54,749,325.15","130,432,296.78","70,805,713.51","155,634,954.69","30,800,445.28","69,791,466.13","108,436,037.20","186,786,203.26","29,603,655.32","65,272,955.59","107,187,080.61","182,847,649.48","39,169,637.39","79,443,469.25","131,833,340.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"654,622.53","593,666.78","1,168,178.11","225,059.62","225,059.62","1,621,155.81","4,502,154.50","3,082,494.32","7,897,070.06","1,276,785.35","4,921,283.34","763,503.94","2,724,568.10","4,914,260.22","9,314,740.88","1,343,163.75","2,940,450.38","7,123,613.37","10,461,914.50","45,816.78","2,478,618.81","6,430,100.19"
支付其他与投资活动有关的现金,,,,"3,000,000.00",,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"945,475.40","733,373.32","1,332,597.99","408,951.24","518,679.76","55,192.11","381,583.94","895,689.06","1,342,623.28","325,705.31","1,297,087.53","2,792,220.94","4,132,295.00","986,072.61","691,388.15","1,270,193.67","4,221,578.03","466,583.62","2,116,585.56","3,152,099.08","4,050,818.43","1,211,280.61","3,546,911.65","7,541,875.11"
投资活动现金流出小计,"2,958,638.96","1,416,774.67","3,008,546.05","4,013,072.98","29,201,913.38","28,914,007.45","29,015,782.28","537,351.17","2,380,809.49","24,234,760.12","42,895,009.77","7,435,464.69","10,758,503.22","931,650.00","2,904,532.42","7,152,073.43","10,468,981.47","2,294,471.84","5,102,799.01","6,354,717.77","11,739,620.43","1,268,627.63","2,342,388.91","4,488,476.81"
经营活动现金流入小计,"46,346,942.15","25,414,917.81","63,549,448.66","29,212,173.97","84,019,517.79","38,715,327.27","105,493,429.97","45,876,656.48","116,523,234.79","58,157,524.78","139,626,454.37","74,874,719.80","164,688,533.03","32,550,021.83","73,207,422.38","114,620,491.09","200,322,522.17","31,413,402.69","70,329,991.53","117,462,793.06","197,360,382.41","40,426,734.78","85,468,999.71","145,805,315.99"
投资活动产生的现金流量净额,"354,133.48","-1,374,774.67","-2,966,546.05","-3,965,072.98","-29,050,913.38","-20,896,629.24","-20,997,604.07","-530,351.17","-2,288,809.49","-24,234,760.12","-42,895,009.77","-7,299,664.69","-10,622,703.22","-931,650.00","-2,904,532.42","-7,152,073.43","-10,468,881.47","-2,294,471.84","-5,101,799.01","-6,177,717.77","-11,505,618.65","-1,206,627.63","-2,280,128.91","-4,376,546.81"
购买商品、接受劳务支付的现金,"9,561,476.98","5,619,926.79","14,838,126.38","9,424,472.31","22,857,493.94","10,618,664.09","30,811,497.04","13,274,653.87","26,287,252.05","13,537,970.99","32,518,280.03","25,673,430.31","38,464,189.68","8,627,127.13","21,553,404.33","34,801,692.93","51,163,220.65","10,511,409.41","12,765,379.93","25,356,551.62","41,469,089.47","12,497,241.92","14,180,569.12","29,873,807.63"
吸收投资收到的现金,,,,,,"1,972,230.00",,,,,,,,,"168,324,000.00","168,324,000.00","168,324,000.00",,,"33,461,568.00","33,461,568.00",,,
支付给职工以及为职工支付的现金,"14,409,879.44","7,350,530.79","16,620,254.68","16,482,035.18","27,244,169.14","23,198,059.31","40,340,794.04","22,475,737.39","41,499,766.27","22,789,097.02","42,510,479.52","27,799,716.43","51,850,700.63","14,574,554.18","29,573,393.67","43,439,033.15","58,522,507.59","21,789,899.70","38,051,520.91","47,023,462.50","69,232,994.95","21,156,245.58","42,682,558.15","61,257,465.73"
