科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"442,766,526.59","519,282,880.70","326,282,448.94","501,724,322.03","722,758,690.50","166,718,950.76","381,446,344.05","562,256,864.18","841,628,987.00","204,818,317.07","535,198,177.84","774,176,976.05","1,157,258,089.53","242,920,630.12","680,016,837.72","983,400,960.25","1,409,512,910.02","348,452,971.10","955,585,589.36","1,388,296,855.99","1,906,466,509.04","466,763,769.13","1,133,108,312.72","1,689,051,025.27","2,548,844,392.48","468,893,890.56","1,146,004,447.34","1,814,805,365.44","2,773,487,308.85","669,453,982.47","1,416,404,190.16","2,127,720,141.19","2,936,581,930.55","628,684,945.22","1,194,204,889.99","1,635,320,537.61","2,026,498,700.16","326,420,445.00"
二、营业利润,"67,783,529.74","105,044,146.16","126,883,319.22","210,159,157.30","283,660,656.80","60,901,408.66","170,187,454.23","251,278,949.34","353,902,558.19","77,443,554.05","218,075,381.67","277,498,785.19","362,023,768.24","69,825,037.58","265,321,428.64","351,318,894.63","409,993,727.60","103,588,330.68","309,836,945.10","408,622,658.93","528,852,426.00","69,718,767.32","226,879,933.51","374,358,343.24","618,315,133.11","29,376,711.88","88,775,637.33","148,320,090.29","292,454,138.40","-4,906,949.06","197,582,249.14","301,994,962.67","473,442,269.76","6,970,541.77","-14,138,146.15","-76,069,663.48","106,481,879.23","-49,426,394.29"
减:营业成本,"273,131,579.32","257,783,729.19","89,742,261.45","130,099,086.71","190,645,334.80","36,562,839.93","84,845,463.33","136,608,237.50","220,052,700.32","58,255,080.23","164,263,708.49","218,413,053.69","376,951,092.02","55,572,385.54","212,120,613.94","306,631,428.10","495,686,394.02","110,396,847.58","367,748,093.00","584,676,257.07","801,251,293.04","244,144,208.37","646,060,614.24","960,960,176.03","1,350,813,295.16","317,692,911.18","810,969,632.96","1,260,038,790.49","1,754,785,287.90","507,821,533.04","1,031,448,991.40","1,481,801,319.98","1,713,331,012.59","358,346,225.91","667,540,822.20","875,547,478.69","622,510,033.65","84,916,520.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,398,739.75","13,902,484.43","3,466,964.83","4,745,114.23","8,307,407.88","1,911,580.30","4,979,660.86","7,080,746.67","11,125,004.47","1,420,836.61","6,237,555.64","6,910,178.04","14,081,764.99","3,410,239.98","10,406,765.09","9,887,103.26","12,307,811.31","2,024,923.18","4,006,453.81","5,420,208.92","9,283,441.28","1,049,826.22","2,613,550.64","3,986,196.17","8,618,493.85","1,481,512.58","4,017,556.33","4,791,880.37","9,787,423.66","1,709,582.97","3,924,414.58","5,658,633.68","15,693,979.80","2,651,574.46","5,435,944.76","8,490,405.73","15,914,690.68","2,964,158.51"
营业外收入,"22,887,167.49","19,323,598.59","7,430,179.47","13,033,750.44","16,785,385.92","4,889,187.63","7,521,781.70","9,494,231.95","13,250,687.72","4,503,741.56","5,454,820.47","13,307,766.24","25,039,598.35","3,223,630.89","14,117,056.45","23,075,407.22","35,412,646.55","6,707,810.64","10,002,111.64","18,996,781.01","35,152,187.22","3,455,374.12","10,467,361.85","17,435,342.85","34,017,671.32","8,084,993.51","16,739,417.46","27,709,273.18","49,358,001.97","10,849,658.82","21,853,874.40","26,645,524.27","41,776,458.70","8,083,655.16","9,919,172.47","11,045,139.47","13,323,713.08","8,503.42"
销售费用,"17,833,868.15","19,604,920.99","9,828,152.57","15,057,212.67","18,880,941.36","7,795,081.95","13,650,328.60","20,223,277.74","28,993,688.35","11,406,527.58","24,503,868.09","43,261,863.14","76,572,761.22","16,000,265.38","32,804,886.65","51,667,870.59","84,736,920.43","20,335,350.93","39,390,207.86","57,405,327.91","89,125,160.62","16,997,152.09","31,802,797.39","47,303,412.32","85,666,954.43","21,545,933.91","42,694,539.90","71,728,814.08","163,190,854.25","27,810,198.38","52,283,266.54","89,726,251.61","175,401,170.69","107,893,615.81","241,307,137.00","341,550,283.60","456,691,665.34","106,199,040.11"
减:营业外支出,,"198,115.30","37,422.00","37,422.00","37,422.00",,"820,816.66","1,743,290.35","1,745,542.01","1,203.67","93,502.37","118,878.02","375,819.64","6,494.68","65,644.30","122,209.63","301,896.39","82,872.84","98,662.29","170,488.47","552,243.32","187,495.92","306,087.99","644,115.46","917,034.36","29,271.63","120,533.59","245,293.17","402,834.89","103,874.52","253,160.63","329,471.61","18,894,264.70","18,260.16","592,833.25","1,296,859.75","633,992.99","36,970.07"
管理费用,"79,842,099.54","120,865,499.24","85,126,029.26","138,247,994.09","223,313,691.53","57,127,605.72","103,996,411.55","158,616,931.83","252,740,933.71","75,053,226.69","135,887,816.41","259,107,624.73","371,270,061.90","97,644,293.49","164,725,073.03","268,880,533.18","429,853,567.31","109,546,453.29","226,969,685.50","330,298,874.67","505,369,275.66","134,322,071.50","235,596,851.55","347,390,346.41","566,550,113.20","133,728,887.33","245,849,743.03","384,361,790.29","588,987,655.44","135,934,155.47","280,092,111.70","408,975,670.22","669,394,532.10","154,495,254.54","310,893,279.85","484,701,711.39","745,597,615.35","159,377,566.73"
其中:非流动资产处置净损失,,"98,115.30","37,422.00",,"37,422.00",,"2,933.66",,"927,659.01","1,203.67",,,"242,916.19",240.11,"29,453.38","31,522.19","160,391.26","79,486.29","79,486.29","83,855.74","114,024.80","129,815.21","131,945.29","384,661.17","448,265.14",,"21,040.27","118,593.03","160,576.81","53,009.86","114,091.45","155,327.88","18,604,432.94","5,568.18","4,597.90","570,148.89",,
