科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"225,124,285.94","195,468,062.95","382,525,288.72","10,408,681.52","98,646,968.68","170,611,884.15","435,343,154.35","17,200,065.52","94,923,418.65","222,489,428.18","1,026,668,872.55","125,519,269.02","302,033,356.49","597,565,018.75","1,572,616,641.54","166,038,709.90","568,135,502.39","902,145,607.59","2,501,998,051.18","307,814,038.62","618,172,170.27","1,186,176,765.47","3,278,532,949.94","330,149,233.77","672,434,496.51","1,467,193,035.58","4,733,859,011.24","617,036,405.58","1,875,004,482.93","2,873,481,085.26","6,486,790,177.33","589,966,379.45","2,732,455,296.86","4,265,562,586.42","11,246,263,049.82","1,965,899,092.93","4,007,667,052.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"10,564,763.92","30,564,763.92","41,564,763.92",,,,,,,,,,,,,,,,,,"67,322,295.16","64,510,250.65","54,044,841.11",,"555,605,367.01","603,356,229.46","682,931,881.33",,
收到的税费返还,,,,,,,,,,"121,990.82",,,"1,337,475.00","1,337,475.00",,,,"1,108,672.00",,,,,,,"455,116.78","455,116.78",,"514,951.62","2,326,550.55","3,189,660.08","6,783,655.17","719,627.05","14,523,497.46","17,817,287.12","9,771,364.07","4,789,975.04","7,133,870.20"
支付其他与投资活动有关的现金,,,"692,070.49",,,,,,,,"447,444,105.79","410,015,969.16","424,520,117.46","624,220,117.46","694,920,117.46","375,942,772.49","582,287,003.03","816,448,481.77","1,775,697,910.67","83,236,705.41","279,845,057.69","813,990,974.79","1,126,145,816.29","64,762,271.15","83,956,801.45","144,760,748.60","724,808,019.65","93,746,791.82","216,687,770.33","351,160,327.23","553,351,109.53","730,774,364.86","472,385,057.35","484,390,827.68","470,968,456.10","138,434,677.18","135,488,013.90"
收到其他与经营活动有关的现金,"890,000.00","42,262,548.39","15,254,564.50","5,402,339.56","19,764,212.45","30,508,911.04","67,311,785.50","14,677,253.07","39,001,211.71","73,484,920.89","71,732,248.73","12,750,508.63","44,685,616.36","56,305,351.49","65,431,319.77","23,433,297.56","39,275,730.14","81,767,592.22","37,499,626.46","19,629,177.96","73,631,714.90","232,168,350.30","91,880,525.45","43,236,777.92","76,879,565.69","246,038,247.51","316,184,628.74","146,342,550.41","87,226,260.69","894,265,324.35","176,400,792.94","631,257,034.28","488,930,165.56","505,010,248.69","249,386,496.23","249,708,272.46","451,818,867.69"
投资活动现金流出小计,"28,830,162.73","41,842,054.45","53,072,521.53","62,850,296.18","100,454,552.95","139,732,587.63","217,109,645.14","64,760,836.85","649,078,104.66","755,295,369.57","1,296,858,507.18","488,355,161.29","518,495,572.38","777,827,200.46","898,971,440.83","408,701,414.53","763,469,717.90","1,001,113,985.42","2,374,410,392.50","149,482,090.14","365,791,424.84","946,839,977.84","2,259,540,670.91","151,404,201.64","225,412,846.52","762,937,402.14","4,328,671,559.27","1,141,669,234.40","1,821,439,104.55","2,803,508,762.43","5,397,495,985.84","1,068,737,461.15","6,573,222,593.02","7,195,839,251.36","13,811,556,461.87","2,021,553,792.73","4,033,323,276.79"
经营活动现金流入小计,"226,014,285.94","237,730,611.34","397,779,853.22","15,811,021.08","118,411,181.13","201,120,795.19","502,654,939.85","31,877,318.59","133,924,630.36","296,096,339.89","1,098,401,121.28","138,269,777.65","348,056,447.85","655,207,845.24","1,638,047,961.31","189,472,007.46","607,411,232.53","985,021,871.81","2,539,497,677.64","327,443,216.58","691,803,885.17","1,418,345,115.77","3,370,413,475.39","373,386,011.69","749,769,178.98","1,713,686,399.87","5,050,043,639.98","763,893,907.61","1,964,557,294.17","3,770,936,069.69","6,669,974,625.44","1,221,943,040.78","3,235,908,959.88","4,788,390,122.23","11,505,420,910.12","2,220,397,340.43","4,466,619,790.22"
投资活动产生的现金流量净额,"-28,818,162.73","-41,792,054.45","-38,925,463.25","-62,850,296.18","-100,454,552.95","-139,732,587.63","-216,579,645.14","-64,760,436.85","-649,067,204.66","-755,284,469.57","-1,296,847,607.18","-488,355,161.29","-518,495,572.38","-586,127,200.46","-669,990,477.08","-408,511,101.33","-739,723,844.85","-873,864,680.37","-1,573,841,974.76","-149,437,090.14","-361,097,676.96","-875,098,419.10","-757,584,296.53","-101,926,126.93","-176,568,793.34","-676,931,361.96","-3,756,044,567.35","-1,134,360,495.68","-1,688,405,671.72","-2,214,037,282.39","-4,838,037,574.35","815,998,858.80","-4,386,748,478.73","-4,662,652,770.93","-11,066,215,657.78","-1,826,638,435.78","-3,819,465,661.25"
购买商品、接受劳务支付的现金,"150,404,924.61","98,503,852.04","176,764,366.07","69,321,316.00","126,330,765.10","173,339,525.03","230,942,624.68","88,057,290.79","161,751,394.83","304,750,585.59","529,561,246.83","232,202,568.64","391,572,885.55","641,702,190.37","994,704,162.08","220,128,688.50","628,238,536.11","1,187,067,982.39","1,462,648,498.20","451,092,294.39","779,364,876.83","1,239,654,348.06","1,969,456,160.56","623,007,027.03","912,605,124.34","1,629,000,744.18","2,590,603,030.36","891,948,497.73","1,958,737,750.87","3,090,079,884.94","4,414,060,202.77","1,108,634,340.12","2,205,676,896.71","4,230,660,839.97","6,873,580,551.43","2,323,114,473.76","3,983,169,906.24"
吸收投资收到的现金,"2,200,000.00","15,000,000.00","1,500,000.00",,"2,451,400,000.00","2,451,400,000.00","2,451,400,000.00",,"22,500,000.00","27,180,000.00","27,180,000.00",,,,"77,889,801.31","17,322,336.00","56,653,793.79","103,260,019.16","168,237,218.46","18,248,635.49","24,376,822.96","27,631,326.15","92,499,603.02","51,992,083.34","106,695,608.91","6,292,108,561.17","6,342,643,772.59","50,800,000.00","159,294,170.25","456,660,294.25","811,017,316.30","150,772,418.65","344,712,451.32","501,290,672.18","763,251,761.15","396,636,743.84","833,747,719.66"
支付给职工以及为职工支付的现金,"5,493,147.98","11,778,319.95","16,915,846.73","5,476,550.46","12,619,994.53","20,987,751.16","28,861,720.01","10,697,205.15","23,986,164.60","38,853,178.24","56,275,618.37","13,956,885.94","33,428,111.04","51,798,239.73","73,711,422.79","19,781,136.29","46,449,333.27","73,336,932.92","105,560,448.15","29,368,453.12","56,778,795.52","106,732,647.45","152,535,775.60","44,910,663.20","91,302,071.27","149,134,744.67","211,268,357.22","103,449,756.52","176,018,558.02","250,213,262.90","311,070,103.88","92,561,605.53","188,083,512.24","305,775,544.65","442,555,193.82","160,699,060.79","304,595,580.90"
取得借款收到的现金,"25,000,000.00","20,000,000.00",,,"20,000,000.00","20,000,000.00","20,000,000.00",,,,"100,000,000.00",,,,,"170,000,000.00","556,000,000.00","796,000,000.00","1,492,500,000.00","80,000,000.00","581,000,000.00","807,500,000.00","2,051,500,000.00","245,000,000.00","814,000,000.00","879,000,000.00","2,389,700,000.00","479,500,000.00","1,503,500,000.00","3,248,500,000.00","8,828,927,660.00","1,533,606,988.74","3,574,767,040.00","7,915,893,844.00","13,664,657,934.27","2,998,985,615.00","4,987,975,000.00"
支付的各项税费,"12,047,973.86","7,365,451.74","28,412,125.08","14,372,383.91","16,626,579.78","27,841,441.94","29,153,921.54","35,197,694.26","36,775,889.47","51,440,406.34","104,507,559.83","38,938,587.68","78,697,390.84","99,402,140.64","115,250,738.01","64,612,328.32","105,959,305.68","122,753,543.39","157,032,700.76","94,511,937.02","177,681,237.10","201,224,077.87","231,770,375.36","79,327,419.29","209,068,143.18","229,180,258.52","289,842,519.12","183,169,008.13","299,245,491.52","419,651,388.34","593,809,565.34","344,963,451.26","554,875,355.03","668,186,189.15","812,353,256.13","478,731,032.71","674,747,114.96"
收到其他与筹资活动有关的现金,"1,426,059.94","1,891,777.83","871,701.96","274,957.77",,,"2,243,900.00",,,,,,,,,,,"66,164.60",,,,,,"3,200,000.00","600,000,000.00","600,000,000.00",,,"157,316,124.00",,"41,000,000.00",,"1,470,000,000.00","1,470,050,150.93","1,496,000,228.29",,"160,000,000.00"
支付其他与经营活动有关的现金,"38,549,052.00","14,710,882.13","40,655,062.44","6,278,840.73","24,047,095.04","34,267,871.23","36,191,556.90","7,656,453.17","38,247,726.83","61,771,910.96","48,029,617.83","32,669,320.42","48,669,202.94","74,565,979.72","105,438,509.14","41,855,963.56","195,654,598.87","321,250,149.36","140,179,257.35","40,928,617.50","143,892,280.37","254,669,168.56","235,260,412.79","79,469,554.53","333,787,478.82","445,624,710.64","599,106,236.76","250,858,977.14","486,160,871.07","1,341,682,139.76","599,204,694.94","1,387,347,699.00","989,766,702.67","1,791,533,013.88","862,989,195.40","894,555,710.57","862,693,790.44"
筹资活动现金流入小计,"28,626,059.94","36,891,777.83","2,371,701.96","274,957.77","2,471,400,000.00","2,471,400,000.00","2,473,643,900.00",,"22,500,000.00","27,180,000.00","677,180,000.00",,,,"627,889,801.31","187,322,336.00","612,653,793.79","899,326,183.76","2,210,737,218.46","98,248,635.49","605,376,822.96","1,735,131,326.15","2,143,999,603.02","300,192,083.34","1,520,695,608.91","7,771,108,561.17","8,732,343,772.59","530,300,000.00","1,820,110,294.25","3,705,160,294.25","9,680,944,976.30","1,684,379,407.39","5,389,479,491.32","9,887,234,667.11","15,923,909,923.71","3,395,622,358.84","5,981,722,719.66"
经营活动现金流出小计,"206,495,098.45","132,358,505.86","262,747,400.32","95,449,091.10","179,624,434.45","256,436,589.36","325,149,823.13","141,608,643.37","260,761,175.73","456,816,081.13","738,374,042.86","317,767,362.68","552,367,590.37","867,468,550.46","1,289,104,832.02","346,378,116.67","976,301,773.93","1,704,408,608.06","1,865,420,904.46","615,901,302.03","1,157,717,189.82","1,802,280,241.94","2,589,022,724.31","826,714,664.05","1,546,762,817.61","2,452,940,458.01","3,690,820,143.46","1,429,426,239.52","2,920,162,671.48","5,101,626,675.94","5,918,144,566.93","2,933,507,095.91","3,938,402,466.65","6,996,155,587.65","8,991,478,196.78","3,857,100,277.83","5,825,206,392.54"
