科目,2006年1-3月
一、营业收入,"632,942,330.78"
二、营业利润,"243,052,212.20"
减:营业成本,"328,709,771.52"
加:补贴收入,
营业税金及附加,"10,227,228.56"
营业外收入,"12,002.45"
销售费用,"21,387,268.12"
减:营业外支出,
管理费用,"29,304,723.51"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"-403,113.46"
三、利润总额,"243,064,214.65"
资产减值损失,
减:所得税,"36,460,788.67"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"-770,358.21"
四、净利润,"206,603,425.98"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"206,611,039.99"
影响营业利润的其他科目,"106,117.88"
少数股东损益,"-7,614.01"
