科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,363,133,756.65","1,669,089,749.49","1,713,638,602.45","970,997,560.87","1,428,541,760.54","1,913,732,298.11","596,844,251.27","1,218,223,628.73","1,709,889,324.95","2,385,386,439.34","610,917,931.99","1,179,786,536.36","1,591,618,024.30","2,113,336,909.93","496,085,296.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"23,369,165.24",,,,,
收到的税费返还,,"39,952.22","375,797.86","202,438.99","247,629.20","313,789.29",,,,"55,456.52",,"6,180.46","8,710.10","12,974.68",
支付其他与投资活动有关的现金,,,,"8,198,915.00","8,198,915.00","8,198,915.00",,,"16,000,000.00",,,,,,
收到其他与经营活动有关的现金,"6,487,143.50","6,017,895.50","8,771,100.45","951,450.88","1,958,666.12","4,151,955.14","616,689.25","5,473,997.98","3,442,423.33","14,370,626.45","2,037,396.70","6,541,789.86","17,107,858.74","36,111,446.50","15,339,299.30"
投资活动现金流出小计,"23,921,392.12","32,509,457.86","47,786,293.45","22,553,671.89","23,966,354.65","36,226,244.78","601,926,747.38","585,831,327.68","758,540,974.90","2,666,017,518.14","1,190,327,309.78","2,671,623,597.60","3,833,628,211.70","4,774,463,697.34","979,830,305.55"
经营活动现金流入小计,"1,369,620,900.15","1,675,147,597.21","1,722,785,500.76","972,151,450.74","1,430,748,055.86","1,918,198,042.54","597,460,940.52","1,223,697,626.71","1,713,331,748.28","2,399,812,522.31","612,955,328.69","1,186,334,506.68","1,608,734,593.14","2,149,461,331.11","511,424,595.54"
投资活动产生的现金流量净额,"-23,777,271.74","-32,459,564.52","-47,772,755.36","-22,415,274.50","-23,702,424.45","-36,139,518.11","-501,268,750.18","-580,073,901.12","-746,739,139.02","-782,516,552.36","-122,479,962.98","-104,225,061.13","-99,286,791.57","-106,707,116.45","-97,031,922.23"
购买商品、接受劳务支付的现金,"861,952,044.19","986,091,297.13","902,873,100.71","542,120,770.09","874,323,729.79","1,201,266,586.76","384,515,648.73","776,908,544.66","921,854,617.64","1,467,126,481.05","291,280,451.20","534,411,911.94","815,388,761.96","1,090,687,284.07","149,576,041.82"
吸收投资收到的现金,,,,,,"818,134,025.00",,,,,,,,,
支付给职工以及为职工支付的现金,"162,060,063.70","182,668,557.11","214,509,031.58","122,237,951.82","173,953,728.56","226,903,680.51","70,939,377.83","129,242,284.91","187,192,247.88","252,745,260.80","69,121,712.24","154,873,986.80","220,690,042.00","297,252,160.22","68,701,635.13"
取得借款收到的现金,"65,000,000.00","70,000,000.00","50,000,000.00","30,000,000.00","100,000,000.00","100,000,000.00",,"36,600,456.03","33,061,500.00","43,519,347.93","2,437,976.07","3,257,546.08","3,431,010.97","3,947,047.90",
支付的各项税费,"181,302,077.30","211,190,289.18","247,210,207.21","130,141,198.70","186,161,086.39","237,071,305.98","69,091,110.41","147,787,095.31","317,291,355.59","283,502,076.07","82,704,967.42","190,412,454.16","248,009,180.31","290,990,998.39","90,996,006.10"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"37,510,000.00","37,510,000.00","37,510,000.00",
支付其他与经营活动有关的现金,"198,567,514.23","224,033,763.87","219,619,353.37","99,607,948.90","144,576,437.34","217,737,212.66","53,543,907.17","94,075,517.74","165,950,153.73","234,970,224.12","68,423,659.68","130,502,097.17","199,239,205.66","302,062,777.52","86,601,156.63"
筹资活动现金流入小计,"65,000,000.00","70,000,000.00","50,000,000.00","30,000,000.00","100,000,000.00","918,134,025.00",,"36,600,456.03","33,061,500.00","43,519,347.93","2,437,976.07","40,767,546.08","40,941,010.97","41,457,047.90",
经营活动现金流出小计,"1,403,881,699.42","1,603,983,907.29","1,584,211,692.87","894,107,869.51","1,379,014,982.08","1,882,978,785.91","578,090,044.14","1,148,013,442.62","1,592,288,374.84","2,238,344,042.04","511,530,790.54","1,010,200,450.07","1,483,327,189.93","1,980,993,220.20","395,874,839.68"
偿还债务支付的现金,"30,000,000.00","65,000,000.00","70,000,000.00",,"50,000,000.00","150,000,000.00",,"1,269,027.92",,"9,229,707.77","2,285,968.74","38,108,064.22","39,379,963.01","39,433,673.22","182,282.54"
