科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"17,440,638.55","39,021,360.49","43,891,932.57","40,937,796.45","41,054,785.21","40,610,619.35","276,092,536.69","260,114,331.12","266,089,463.96","272,671,692.15","281,069,390.15","288,842,017.60","290,322,107.43","295,776,734.70","262,931,290.13","276,913,372.67","293,450,181.09","293,753,243.09","277,278,636.36","259,909,923.43","241,763,080.02","287,211,720.21","304,418,767.06","221,601,001.06","200,209,119.98","181,587,541.47","187,367,169.33","161,518,120.94","150,307,376.15","128,553,183.72"
短期借款,"5,000,000.00","2,000,000.00",,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,504,279.94","7,976,468.38","25,611,807.02","23,326,897.39","34,005,298.20","45,089,310.17","33,806,666.74","40,946,019.22","44,673,546.03","47,306,064.65","36,914,176.26","41,936,530.11","46,840,722.01","62,265,173.38","57,504,989.30","62,563,277.30","76,895,707.81","75,846,696.82","56,041,491.70","59,620,896.35","68,451,616.97","73,756,727.30","56,880,955.30","64,998,974.57","70,883,057.19","77,806,323.76","73,962,874.34","77,847,162.66","77,371,071.67","93,653,695.23"
应付票据,"1,500,000.00","6,165,000.00","10,360,000.00",,,,,,,,,"3,000,000.00","4,800,000.00","10,100,000.00","10,500,000.00","18,895,383.10","36,612,027.87","37,046,104.99","29,392,810.25","32,237,154.87","45,814,535.88","45,666,263.32","49,419,409.49","64,388,152.95","70,892,293.70","74,322,116.73","79,691,383.59","80,435,014.13","79,852,052.28","84,966,948.42"
应收账款,"2,392,682.81","2,433,485.93","2,713,538.43","5,207,449.51","9,117,394.84","4,649,529.88","11,979,602.04","14,697,185.86","13,161,897.93","5,297,519.25","7,749,112.76","11,618,434.81","17,300,751.07","13,632,156.27","26,652,712.25","36,745,841.45","35,910,806.70","32,788,095.43","38,690,867.05","42,687,163.06","49,173,545.23","50,396,489.33","50,984,547.44","55,199,330.34","63,885,678.57","61,054,709.08","66,806,353.54","78,967,019.35","79,011,770.22","78,741,770.24"
应付账款,"5,436,281.08","7,667,002.55","9,210,091.56","8,147,673.73","8,186,232.33","9,613,609.23","11,942,937.45","17,296,508.80","16,890,108.55","9,760,317.77","12,790,296.42","14,390,054.23","16,622,120.00","21,659,327.28","32,797,423.43","29,827,718.93","30,581,509.27","33,306,218.47","33,293,738.50","33,329,834.50","36,397,548.19","37,165,950.66","29,681,951.72","37,608,563.92","35,656,205.82","44,468,929.15","30,988,166.99","35,800,521.12","41,980,256.69","54,263,085.16"
预付款项,"971,857.24","1,391,946.65","2,402,734.07","2,985,849.36","4,175,504.97","2,334,688.19","2,569,629.92","970,139.33","3,584,571.71","812,262.07","1,798,665.79","2,474,318.76","2,863,153.53","2,627,427.13","3,359,377.15","4,213,114.32","6,668,287.35","2,762,559.57","4,011,893.48","5,500,698.87","4,287,964.60","4,357,281.32","4,697,662.82","5,421,008.62","3,934,716.78","2,175,180.90","3,293,938.20","3,196,118.18","4,015,819.51","2,829,991.83"
预收款项,"1,614,082.14","2,752,551.62","2,496,504.60","1,894,954.22","2,723,403.25","5,299,399.57","2,863,652.00","2,276,112.77","1,438,348.35","7,817,071.23","8,893,209.40","5,507,880.29","6,446,745.07","8,820,826.40","14,735,442.68","8,624,772.37","13,483,168.36","16,526,910.99","15,426,279.41","15,827,724.28","19,816,176.73","19,106,709.01","18,387,524.37","17,488,412.69","21,839,511.37","23,730,411.87","26,466,710.07","22,692,840.41","25,500,849.70","27,931,412.98"
