科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应交税费,"4,731,128.99","3,072,163.85","6,700,125.05","58,191.78","4,578,137.66","5,078,030.48","-6,184,679.28","-11,809,234.57","-38,255,513.43","-44,844,760.02","-38,062,816.17","-36,382,444.17","-35,274,345.65","-22,064,210.19","-13,971,613.01","-6,576,579.41","1,193,303.93","11,874,799.23","11,636,411.24","3,596,364.73","2,992,022.63","8,995,181.95","1,926,657.92","4,985,179.37","-1,826,697.45","7,425,366.43","6,573,610.31","9,673,883.90","7,875,989.90","15,619,350.35","8,065,182.71","11,544,178.80","19,489,103.10","15,462,616.89","6,047,796.37","3,757,096.54"
应收利息,,,,,,"2,463,214.24","4,794,555.64","7,140,020.48","2,338,147.21","4,329,587.01","4,512,084.62","8,343,990.27","634,248.56","4,111,020.47","5,789,414.96","5,129,509.73","6,862,433.32","2,311,657.01","1,514,492.18","3,324,487.15","1,203,960.20","783,258.82","757,791.79","329,911.66","800,589.25","1,080,743.09","4,003,901.47","2,951,423.21","3,958,578.95","2,333,133.53","1,444,374.91","1,951,082.69","1,134,139.99","131,929.93","4,708,370.20","1,052,196.63"
应付利息,"71,070.82","151,795.48","43,247.46","4,907,114.00",,,,,,,,,,,,,,,,"33,592.97",,,,"153,905.87","241,012.33","48,052.88",,,,,"48,333.33","29,000.01","744,111.76","2,543,351.78","4,842,735.28","1,093,815.95"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"4,907,114.00","4,880,234.73",,,,,,,"118,000,000.00","9,172,979.64","9,172,979.64","9,172,979.64","9,172,979.64","11,901,189.75","95,183.25",,,"59,000,000.00",,,,,,,,,,,,,,,,
存货,"15,928,988.62","24,384,844.23","15,989,586.60","21,376,691.49","26,406,150.31","39,783,343.26","54,272,168.77","74,810,652.80","110,745,409.41","126,971,630.39","117,359,311.76","127,110,567.84","134,857,623.43","130,704,151.08","129,037,070.46","114,884,636.02","106,277,498.68","93,721,763.13","104,805,521.46","130,206,434.08","122,101,848.42","146,684,053.85","157,981,786.23","170,246,807.72","213,971,170.52","245,293,800.32","286,579,693.82","348,023,324.20","274,185,256.35","237,420,796.55","225,163,287.72","229,288,887.90","248,206,079.15","275,864,353.23","346,090,980.86","390,119,426.48"
其他应付款,"34,549,226.24","1,131,301.31","21,055.75","317,641.73","926,760.33","197,057.15","680,996.02","180,681.02","192,127.80","229,526.61","172,550.89","201,226.35","699,152.11","614,389.25","98,036.66","246,921.70","230,044.93","557,897.12","673,856.09","897,466.16","704,164.34","1,429,675.14","952,766.14","1,359,612.33","4,749,153.39","3,057,496.21","2,274,111.84","2,819,170.99","3,071,297.36","2,495,958.40","2,881,417.62","2,944,984.06","4,840,474.51","59,620,591.87","68,276,705.64","61,940,120.45"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,"39,485.78",,,,,,,,"59,406.55",,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,"116,170,270.20","114,266,033.29","113,821,329.50","112,555,684.95","107,389,744.77","101,877,537.31","97,691,973.21","82,764,887.68","57,960,194.74","35,912,355.38","42,515,678.89"
其他流动资产,,,,,,,,,,,,,,,,,,,,"245,000,000.00","120,000,000.00","54,836,368.54","44,706,814.39","59,913,830.76","112,430,785.70","534,025,130.60","493,941,846.67","372,598,183.46","398,928,985.52","254,339,086.22","260,627,986.40","196,213,049.13","110,328,460.30","105,042,266.71","118,909,389.51","131,829,394.90"
其他流动负债,"660,512.82","1,052,631.58","9,893,063.73","5,544,278.08","3,144,866.32","4,305,762.24","5,397,417.69","5,120,780.10","5,553,233.45","3,313,371.26","1,625,454.60","1,442,727.33","60,000.00","1,437,119.89","1,087,589.92","741,059.97","296,529.99","1,063,084.72","508,535.66","447,809.53","1,191,913.88",,,,,,,,,,,,,,,
流动资产合计,"98,450,480.55","195,391,638.76","179,429,687.04","224,706,052.71","1,458,354,934.50","1,481,071,898.21","1,456,218,646.31","1,367,735,139.75","1,253,813,110.13","1,277,817,196.78","1,296,334,726.72","1,238,877,020.18","1,255,822,765.87","1,304,886,152.89","1,330,478,164.66","1,305,640,704.40","1,345,882,414.41","1,291,554,040.64","1,322,539,016.31","1,401,173,629.02","1,271,010,857.06","1,041,358,917.43","974,933,523.97","1,059,265,959.26","1,175,853,333.03","1,813,378,324.32","1,737,544,376.28","1,825,249,953.14","1,862,556,528.09","1,745,985,766.12","1,786,992,536.64","1,800,324,071.45","2,045,323,747.33","3,402,047,912.32","3,153,463,373.73","2,814,265,133.74"
流动负债合计,"122,302,250.64","106,733,843.04","72,197,850.93","85,219,774.89","32,438,484.18","47,376,405.13","27,206,824.08","44,280,421.90","38,014,165.85","48,625,769.95","150,279,534.63","43,820,759.22","42,983,606.13","77,261,786.93","90,667,026.82","112,303,830.35","125,572,202.37","156,568,806.76","161,105,309.33","284,699,374.50","204,477,368.83","280,871,753.67","243,706,552.47","342,064,181.00","492,391,572.66","585,058,593.28","551,907,272.47","636,456,814.87","626,703,533.20","538,815,250.14","537,550,968.37","538,694,228.27","792,597,186.05","1,350,386,448.55","1,269,677,274.98","1,301,698,385.60"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","9,234,046.42","9,234,046.42","9,234,046.42","9,234,046.42"
长期借款,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,"50,000,000.00","100,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,"3,481,267.80",,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,"285,170,381.89","141,741,282.26","119,304,068.15","95,699,067.57","72,998,967.01","49,131,279.18","29,979,764.75","9,786,629.53",,"1,000,000,000.00","1,000,000,000.00","1,000,000,000.00"
长期股权投资,,,,,,,,,,,,,,,,,"5,000,000.00","20,260,864.19","19,725,459.03","19,208,430.44","18,622,169.96","5,109,227.84","4,464,638.54","3,935,980.54","3,379,876.66","4,439,072.08","3,701,704.31","2,895,202.44","2,171,757.22","10,983,251.64","10,780,589.18","10,414,834.42","90,968,028.00","91,263,911.95","126,897,694.87","129,075,952.32"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,"10,250,415.61",,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"57,156,852.24","89,770,581.88","86,451,105.48","149,806,057.87","166,670,261.51","210,708,454.11","238,924,355.89","325,503,604.09","453,119,272.56","505,672,753.78","498,827,897.17","487,118,538.20","475,277,701.20","468,940,555.64","458,937,213.00","553,163,492.63","544,263,665.15","563,496,949.18","539,395,436.41","543,630,732.88","577,997,914.35","662,584,060.77","767,414,278.60","892,246,759.71","941,631,216.47","1,384,756,888.32","1,377,658,291.41","1,376,166,014.54","1,356,775,353.62","1,398,964,046.46","1,371,671,090.09","1,368,772,419.32","1,342,957,310.80","1,402,138,968.77","1,403,823,450.38","1,562,782,260.76"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,147,343.71"
在建工程,"594,456.70","2,574,000.00","38,928,104.33","5,353,609.29","6,603,206.29","2,864,626.36","17,107,660.24","33,261,781.75","52,544,516.55","32,653,481.43","36,838,781.43","44,691,231.43","60,847,079.44","67,313,908.86","87,111,820.78","5,445,363.94","7,221,350.63","63,918,166.78","65,701,515.92","89,962,738.73","117,264,964.45","364,185,251.54","280,473,997.96","203,533,624.18","523,426,889.24","63,152,867.05","87,479,172.15","83,665,737.02","67,012,977.16","34,991,036.00","35,739,550.22","45,893,177.83","53,021,239.51","188,609,338.72","279,770,245.38","310,000,447.31"
其他非流动负债,"833,333.33","6,874,717.51","24,828,827.43","27,628,179.20","31,156,767.86","35,006,324.47","38,633,680.01","42,070,576.35","37,144,644.36","35,810,615.79","35,394,761.99","49,481,385.90","47,984,676.45","45,000,847.13","43,431,555.76","42,126,650.57","40,199,730.41","37,445,439.83","36,068,949.68","34,692,459.53","33,315,969.38",,,,"148,063,898.06",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,"120,046.31","35,649.76",,,,,,,,,,,,,
非流动负债合计,"833,333.33","6,874,717.51","24,828,827.43","27,628,179.20","31,156,767.86","35,006,324.47","38,633,680.01","42,070,576.35","37,144,644.36","35,810,615.79","35,394,761.99","49,481,385.90","47,984,676.45","45,000,847.13","43,431,555.76","42,126,650.57","40,199,730.41","42,445,439.83","41,068,949.68","39,692,459.53","38,315,969.38","66,594,279.83","65,124,022.48","95,174,244.72","438,234,279.95","323,579,801.84","295,701,145.61","304,821,478.87","287,038,460.70","258,170,667.92","232,107,181.63","205,002,074.55","200,824,420.64","1,225,686,989.11","1,267,930,029.85","1,330,291,542.07"
固定资产清理,,,,,,,,,,,,,,,,"3,721.86",,,"1,618,387.50",,,,,,,,,"628,963.40",,,,,,,,
负债合计,"123,135,583.97","113,608,560.55","97,026,678.36","112,847,954.09","63,595,252.04","82,382,729.60","65,840,504.09","86,350,998.25","75,158,810.21","84,436,385.74","185,674,296.62","93,302,145.12","90,968,282.58","122,262,634.06","134,098,582.58","154,430,480.92","165,771,932.78","199,014,246.59","202,174,259.01","324,391,834.03","242,793,338.21","347,466,033.50","308,830,574.95","437,238,425.72","930,625,852.61","908,638,395.12","847,608,418.08","941,278,293.74","913,741,993.90","796,985,918.06","769,658,150.00","743,696,302.82","993,421,606.69","2,576,073,437.66","2,537,607,304.83","2,631,989,927.67"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"15,000,000.00","65,000,000.00","88,500,000.00","88,500,000.00","118,000,000.00","118,000,000.00","118,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","295,000,000.00","590,000,000.00","590,000,000.00","704,553,311.00","704,553,311.00","704,553,311.00","704,553,311.00","704,553,311.00","704,553,311.00","704,553,311.00","704,553,311.00","716,403,311.00","716,403,311.00","716,403,311.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"23,832,860.00","79,962,399.21","79,962,399.21","1,315,785,649.21","1,320,311,773.63","1,320,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,311,773.63","1,143,610,453.63","1,143,610,453.63","848,610,453.63","848,610,453.63","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,503,216,870.97","1,552,909,390.97","1,556,779,690.97","1,560,649,990.97"
无形资产,"185,516.66","161,616.62","13,286,164.18","13,457,619.76","13,523,888.89","13,483,012.43","13,645,231.43","13,555,285.09","13,478,278.78","13,373,565.91","13,275,618.71","13,223,713.40","13,220,260.94","13,921,419.92","13,806,450.98","13,991,985.57","13,854,889.92","35,853,006.19","35,546,752.16","35,507,959.14","39,819,967.43","41,601,800.83","41,284,969.98","53,734,982.00","53,551,042.63","43,128,737.85","42,685,776.94","42,256,422.22","42,444,427.15","41,914,561.24","42,923,833.73","42,588,934.76","42,033,375.64","62,838,990.04","92,816,290.98","95,208,168.23"
盈余公积,"2,210,576.68","8,805,288.76","8,229,236.65","14,053,680.35","16,566,213.42","19,554,588.90","19,554,588.90","19,554,588.90","19,554,588.90","30,375,393.11","30,375,393.11","30,375,393.11","30,375,393.11","36,115,551.34","36,115,551.34","36,115,551.34","36,115,551.34","38,056,735.85","38,056,735.85","38,056,735.85","38,056,735.85","44,276,555.94","44,276,555.94","44,276,555.94","44,276,555.94","44,276,555.94","44,276,555.94","44,276,555.94","44,276,555.94","46,774,099.54","46,774,099.54","46,774,099.54","46,774,099.54","58,963,698.82","58,963,698.82","58,963,698.82"
开发支出,,,,,,,,,,,,,,,,,,,,,,,"12,367,342.10","4,908,626.59","7,694,418.30",,,,,,,,,,"2,190,049.25","3,774,843.93"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,562,000.00","53,562,000.00","53,562,000.00"
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"19,895,190.10","79,247,598.84","48,214,046.72","102,710,469.13","135,350,451.54","174,001,082.21","208,413,413.48","202,874,727.18","246,229,845.32","282,021,246.01","196,754,622.58","227,790,826.48","251,241,589.95","266,720,468.38","290,390,416.34","258,102,558.12","285,167,451.13","311,247,773.86","327,543,293.72","299,359,857.18","315,901,627.75","301,929,457.23","306,525,204.50","314,473,334.04","317,046,126.44","199,918,158.18","200,458,144.77","193,743,402.88","222,403,877.61","245,803,032.18","287,376,049.78","340,554,039.43","397,080,325.85","437,128,222.24","484,444,527.05","540,333,131.17"
长期待摊费用,"3,829,044.60","701,619.22","579,366.70","2,012,040.44","2,025,250.28","1,907,654.72","1,790,059.16","1,672,463.60","1,583,259.65","1,463,586.65","1,343,913.65","1,224,240.65","1,104,567.65","945,408.87","865,221.65","745,548.75","645,618.69","545,688.63","445,758.57","345,828.51","245,898.45","86,561.84","75,741.65","65,221.46","54,101.27","43,281.08","32,460.89","21,640.70","10,820.51","275,647.14","261,864.75","623,373.12","575,473.38","220,517.58","206,735.19","1,498,314.11"
少数股东权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"25,000.00","1,894,851.67","3,257,933.21","2,739,122.71","2,120,024.74","4,214,528.51","4,434,327.07","5,363,813.68","4,716,580.39","4,164,213.94","4,495,148.26","4,645,394.48","4,624,664.17","7,402,981.23","7,717,452.82","7,969,546.86","8,498,770.08","11,001,814.32","10,863,320.70","10,290,881.97","10,101,703.74","17,236,633.74","17,192,646.46","16,907,615.59","21,486,843.22","51,704,120.51","51,011,518.78","56,184,501.07","57,220,745.67","64,218,923.15","63,209,016.68","60,177,812.86","60,932,992.97","69,264,850.25","67,959,165.09","68,439,498.81"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,297,524.64","164,275,481.38","460,499,394.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"61,790,870.20","95,102,669.39","142,502,673.90","173,368,450.07","190,942,631.71","233,178,276.13","275,901,633.79","379,356,948.21","525,441,907.93","557,327,601.71","554,781,359.22","550,903,118.16","555,074,273.40","558,524,274.52","568,438,159.23","581,319,659.61","579,484,294.47","695,076,489.29","683,547,045.90","698,946,571.67","764,052,618.38","1,090,923,582.87","1,123,309,265.05","1,175,332,810.07","1,554,705,655.59","1,547,224,966.89","1,562,568,924.48","1,561,818,481.39","1,525,636,081.33","1,551,347,465.63","1,524,585,944.65","1,538,470,552.31","1,599,722,466.72","1,885,868,148.37","2,147,173,158.94","2,640,512,925.89"
所有者权益(或股东权益)合计,"37,105,766.78","176,885,747.60","224,905,682.58","285,226,548.69","1,585,702,314.17","1,631,867,444.74","1,666,279,776.01","1,660,741,089.71","1,704,096,207.85","1,750,708,412.75","1,665,441,789.32","1,696,477,993.22","1,719,928,756.69","1,741,147,793.35","1,764,817,741.31","1,732,529,883.09","1,759,594,776.10","1,787,616,283.34","1,803,911,803.20","1,775,728,366.66","1,792,270,137.23","1,784,816,466.80","1,789,412,214.07","1,797,360,343.61","1,799,933,136.01","2,451,964,896.09","2,452,504,882.68","2,445,790,140.79","2,474,450,615.52","2,500,347,313.69","2,541,920,331.29","2,595,098,320.94","2,651,624,607.36","2,711,842,623.03","2,763,029,227.84","2,822,788,131.96"
资产总计,"160,241,350.75","290,494,308.15","321,932,360.94","398,074,502.78","1,649,297,566.21","1,714,250,174.34","1,732,120,280.10","1,747,092,087.96","1,779,255,018.06","1,835,144,798.49","1,851,116,085.94","1,789,780,138.34","1,810,897,039.27","1,863,410,427.41","1,898,916,323.89","1,886,960,364.01","1,925,366,708.88","1,986,630,529.93","2,006,086,062.21","2,100,120,200.69","2,035,063,475.44","2,132,282,500.30","2,098,242,789.02","2,234,598,769.33","2,730,558,988.62","3,360,603,291.21","3,300,113,300.76","3,387,068,434.53","3,388,192,609.42","3,297,333,231.75","3,311,578,481.29","3,338,794,623.76","3,645,046,214.05","5,287,916,060.69","5,300,636,532.67","5,454,778,059.63"
负债和所有者(或股东权益)合计,"160,241,350.75","290,494,308.15","321,932,360.94","398,074,502.78","1,649,297,566.21","1,714,250,174.34","1,732,120,280.10","1,747,092,087.96","1,779,255,018.06","1,835,144,798.49","1,851,116,085.94","1,789,780,138.34","1,810,897,039.27","1,863,410,427.41","1,898,916,323.89","1,886,960,364.01","1,925,366,708.88","1,986,630,529.93","2,006,086,062.21","2,100,120,200.69","2,035,063,475.44","2,132,282,500.30","2,098,242,789.02","2,234,598,769.33","2,730,558,988.62","3,360,603,291.21","3,300,113,300.76","3,387,068,434.53","3,388,192,609.42","3,297,333,231.75","3,311,578,481.29","3,338,794,623.76","3,645,046,214.05","5,287,916,060.69","5,300,636,532.67","5,454,778,059.63"
