科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"754,543,916.47","901,546,056.16","1,021,012,324.74","494,947,409.37","785,020,685.67","1,072,063,387.57","206,779,612.51","512,755,129.63","828,489,664.71","1,180,676,600.27","201,255,295.68","550,221,004.29","905,214,821.34","1,273,019,542.00","271,061,866.82","630,867,331.97","1,011,276,721.36"
取得子公司及其他营业单位支付的现金净额,,,"8,132,797.62",,,,,,,,,,,,,,
收到的税费返还,,,,,,"531,976.59",,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,"1,280,610.38",,,,"447,017.25"
收到其他与经营活动有关的现金,"5,934,509.43","7,840,912.08","4,841,811.53","3,414,507.69","4,400,127.43","6,952,971.47","7,956,514.42","8,658,572.85","14,986,335.66","17,994,827.62","6,242,630.61","10,138,196.30","13,895,206.86","15,159,739.83","7,842,585.86","20,440,630.75","27,123,680.00"
投资活动现金流出小计,"138,220,888.38","60,440,401.49","52,300,901.07","45,832,974.24","58,115,140.56","77,373,760.52","108,058,156.51","221,535,315.47","611,531,532.24","1,170,474,343.69","160,759,018.81","288,464,056.52","478,887,242.27","531,384,489.02","87,915,894.70","159,593,490.39","236,854,181.97"
经营活动现金流入小计,"760,478,425.90","909,386,968.24","1,025,854,136.27","498,361,917.06","789,420,813.10","1,079,548,335.63","214,736,126.93","521,413,702.48","843,476,000.37","1,198,671,427.89","207,497,926.29","560,359,200.59","919,110,028.20","1,288,179,281.83","278,904,452.68","651,307,962.72","1,038,400,401.36"
投资活动产生的现金流量净额,"-94,053,743.86","-60,282,441.49","-51,798,579.07","-45,048,815.74","-57,227,771.96","-74,994,662.43","-107,356,421.51","-140,685,659.37","-305,341,363.62","-425,840,362.75","58,980,408.02","75,310,313.76","-33,547,794.17","-498,626.32","-61,135,698.71","-129,821,667.46","-205,885,887.42"
购买商品、接受劳务支付的现金,"502,582,553.24","563,482,713.24","654,248,352.12","354,548,136.34","560,595,634.51","698,438,738.21","152,442,313.43","325,514,131.31","510,953,335.31","714,913,669.83","143,737,941.76","314,481,308.53","510,822,344.75","743,481,238.60","171,892,414.90","368,770,823.58","602,303,153.88"
吸收投资收到的现金,,,,,,"356,912,415.00",,,,,,,,,,,
支付给职工以及为职工支付的现金,"56,804,880.73","66,392,637.17","75,590,195.28","45,326,056.88","65,750,731.91","87,565,616.18","30,809,304.96","55,911,883.97","81,360,117.43","102,905,611.96","39,285,845.69","68,297,092.72","94,919,818.88","121,524,890.99","41,013,270.88","72,364,709.51","103,242,915.54"
取得借款收到的现金,"70,000,000.00","80,000,000.00","120,000,000.00","35,000,000.00","45,000,000.00","65,000,000.00",,"40,000,000.00","40,000,000.00","110,000,000.00",,"60,000,000.00","60,000,000.00","120,000,000.00","26,246,781.96","38,768,078.39","73,509,606.10"
支付的各项税费,"45,939,326.40","60,626,871.09","70,802,590.24","31,310,595.82","50,702,035.55","75,636,219.43","11,037,937.08","42,833,593.33","64,558,497.83","107,619,371.21","9,423,542.41","34,629,259.68","72,286,500.01","104,060,811.21","16,204,556.47","37,479,240.39","61,264,760.84"
收到其他与筹资活动有关的现金,,,,,,,,,,,,"3,392.08","21,327,869.86","24,374,976.76",,"1,731.78","1,731.78"
支付其他与经营活动有关的现金,"83,992,361.53","103,712,211.68","116,727,971.24","55,725,265.99","86,662,243.75","116,280,660.08","29,837,724.20","60,042,539.71","112,885,086.04","169,763,082.35","36,388,981.91","79,849,277.38","135,652,076.66","183,784,814.13","48,988,398.30","108,489,952.63","173,165,726.80"
筹资活动现金流入小计,"70,000,000.00","80,000,000.00","120,000,000.00","35,000,000.00","45,000,000.00","421,912,415.00",,"40,000,000.00","40,000,000.00","110,000,000.00",,"60,003,392.08","81,327,869.86","144,374,976.76","26,246,781.96","38,769,810.17","73,511,337.88"
经营活动现金流出小计,"689,319,121.90","794,214,433.18","917,369,108.88","486,910,055.03","763,710,645.72","977,921,233.90","224,127,279.67","484,302,148.32","769,757,036.61","1,095,201,735.35","228,836,311.77","497,256,938.31","813,680,740.30","1,152,851,754.93","278,098,640.55","587,104,726.11","939,976,557.06"
偿还债务支付的现金,"40,000,000.00","80,000,000.00","110,000,000.00","20,000,000.00","50,000,000.00","70,000,000.00","30,000,000.00","45,000,000.00","85,000,000.00","105,000,000.00","60,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00"
经营活动产生的现金流量净额,"71,159,304.00","115,172,535.06","108,485,027.39","11,451,862.03","25,710,167.38","101,627,101.73","-9,391,152.74","37,111,554.16","73,718,963.76","103,469,692.54","-21,338,385.48","63,102,262.28","105,429,287.90","135,327,526.90","805,812.13","64,203,236.61","98,423,844.30"
分配股利、利润或偿还利息支付的现金,"4,005,948.53","4,043,723.59","4,402,048.87","2,557,666.63","38,798,166.63","39,809,538.86","637,394.44","33,336,326.85","33,699,858.80","34,291,107.62","1,055,247.22","40,651,953.47","40,790,721.47","40,804,607.64","243,388.27","24,371,566.44","25,055,226.41"
收回投资收到的现金,"44,000,000.00",,,,,,,"78,000,000.00","301,000,000.00","734,000,000.00","218,000,000.00","358,000,000.00","438,000,000.00","521,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00"
