科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"110,335,648.24","248,631,004.90","413,013,720.73","578,278,417.59","146,957,293.93","307,743,334.78","462,820,967.34","599,837,609.45","80,276,792.65","170,259,209.23","272,071,789.04","376,183,617.59","104,645,129.68","254,462,122.78","418,890,571.34","558,863,774.39","114,570,320.37","265,284,943.75","401,482,044.41","529,430,363.25","115,283,056.89","269,370,185.20","408,453,896.66","498,988,662.29","120,787,075.96","258,833,234.47","403,925,791.22","565,183,900.26","140,335,796.82","272,994,758.79","898,836,095.84","1,165,602,169.47","241,594,417.40","523,380,720.78","841,914,528.14","1,165,203,304.99","288,999,240.28","653,690,864.38","1,017,602,978.00","1,389,755,108.52","349,632,707.19","793,074,479.56","1,303,032,664.70","1,723,561,602.35","447,520,812.81"
二、营业利润,"3,346,059.65","8,582,631.05","16,136,537.09","27,403,595.73","3,523,975.29","13,007,291.19","18,187,631.43","-33,284,464.78","-404,625.40","686,959.79","1,229,855.66","1,314,215.26","3,290,617.36","7,401,511.68","10,303,495.00","14,371,825.21","2,739,077.88","7,425,778.33","7,763,774.57","8,910,225.48","-6,208,917.87","-13,418,197.26","-3,894,265.14","-49,108,005.60","2,928,513.62","6,419,914.21","15,198,294.53","21,198,574.66","6,793,840.87","8,055,356.66","44,640,625.20","68,357,112.59","-3,012,843.40","18,674,879.40","41,432,718.71","32,260,910.90","16,163,381.60","50,137,609.67","161,446,147.37","215,420,919.18","9,155,790.53","49,250,521.54","129,690,985.90","161,701,355.69","19,891,226.48"
减:营业成本,"93,028,373.56","208,110,312.16","348,508,687.05","477,859,712.96","123,168,335.07","258,236,261.90","388,063,369.09","493,911,233.01","61,697,490.10","131,760,716.81","212,688,738.86","296,249,738.90","81,840,031.65","205,390,173.03","346,499,980.41","450,911,317.20","87,089,562.20","205,998,321.99","312,956,266.10","401,775,326.31","88,868,263.16","219,994,905.01","332,013,196.30","396,421,633.86","92,031,729.21","199,190,529.20","313,393,687.77","436,082,248.29","98,018,180.10","201,647,022.86","530,355,103.41","684,543,152.41","155,857,533.19","321,147,370.17","505,624,318.17","702,475,562.97","174,336,988.18","376,860,677.10","586,426,815.31","785,533,812.26","197,411,557.22","453,260,797.10","726,951,851.20","975,684,813.44","253,468,642.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"545,871.50","1,380,041.47","2,341,209.59","4,190,930.21","1,084,467.60","2,132,522.02","3,363,810.23","5,250,243.91","961,077.34","2,137,154.31","3,491,884.42","5,616,696.43","1,122,640.17","2,696,316.53","4,126,545.89","6,849,266.78","1,341,109.20","3,806,563.03","5,790,493.24","7,953,453.64","982,921.03","2,902,279.97","4,361,566.68","6,920,045.17","1,634,931.05","4,433,173.75","6,440,786.38","9,799,645.83","1,953,571.63","4,128,627.24","21,544,486.75","27,499,050.39","6,262,516.19","13,910,987.31","22,748,352.36","33,028,457.07","9,438,578.75","18,611,718.59","23,356,533.93","27,542,568.01","3,155,355.03","6,543,024.35","10,358,423.07","13,497,246.25","2,748,344.73"
营业外收入,"83,426.89","3,744,432.21","3,896,881.93","5,557,568.16","236,973.56","545,771.72","2,254,838.02","5,381,107.29","139,459.50","676,559.11","1,968,478.36","3,061,441.49","236,570.35","482,428.87","777,757.17","1,834,034.52","213,346.31","700,418.46","2,298,148.53","9,707,630.56","343,357.90","565,370.67","1,175,065.60","3,069,773.91","564,391.14","1,838,166.26","2,533,197.11","5,411,300.50","339,903.66","3,779,575.12","9,212,208.45","9,028,740.81","293,555.92","1,571,795.93","6,440,929.17","12,997,823.15","1,501,774.44","9,969,231.11","12,239,904.61","16,189,391.22","3,706,963.12","1,676,058.43","2,056,616.38","3,576,714.50","162,491.09"
销售费用,"3,621,449.32","7,249,364.80","11,510,478.33","16,144,555.24","3,596,215.88","6,852,448.01","10,523,767.80","15,291,061.14","3,022,257.08","8,373,387.97","14,277,635.29","21,508,759.49","5,356,025.70","11,204,402.57","16,975,631.75","23,616,171.88","5,365,236.96","12,294,620.93","21,024,555.44","29,557,601.37","8,279,794.48","15,302,780.26","22,737,219.25","30,753,563.05","10,773,734.90","19,036,802.38","28,664,877.75","38,609,998.47","12,180,150.43","21,108,306.39","169,773,366.71","218,348,999.03","38,004,745.98","98,521,856.06","158,351,333.19","229,675,490.36","52,038,743.47","116,271,767.72","188,902,252.38","299,510,102.94","76,535,549.65","164,754,111.06","293,501,406.40","417,885,907.50","110,873,311.91"
减:营业外支出,"8,583.20","9,591.20","327,176.46","535,947.82","2,024.40","385,749.90","1,203,048.33","511,166.24",925.75,"29,806.53","30,412.97","48,536.73","5,290.66","20,359.28","43,899.32","183,094.61","20,730.15","38,659.04","47,435.53","375,391.29",388.00,"31,425.24","61,223.26","201,180.42","11,922.10","60,410.23","183,336.22","337,344.70","132,085.30","291,407.97","1,544,317.34","5,918,272.33","282,976.21","437,623.03","864,736.52","1,593,141.01","273,491.17","1,126,251.97","5,946,215.78","7,012,262.73","1,289,424.70","3,219,799.10","3,683,829.83","10,603,443.11","66,963.11"
管理费用,"9,116,063.61","20,148,858.07","29,867,760.31","41,495,707.12","12,795,483.18","25,554,218.14","37,607,571.83","55,994,560.10","12,720,915.10","20,457,071.47","32,377,732.79","42,204,607.11","12,375,172.00","23,641,520.70","35,935,594.43","49,670,559.64","14,763,549.74","27,482,394.01","39,170,564.77","53,807,925.50","16,641,911.68","31,324,964.18","43,931,718.67","69,385,494.96","17,341,277.99","28,425,121.91","43,280,457.35","64,231,765.64","19,084,484.84","34,905,258.75","131,026,388.41","169,324,598.44","48,636,519.31","80,348,948.09","119,413,808.97","170,868,202.22","39,799,549.54","96,039,287.29","125,565,539.07","216,403,414.88","70,759,156.32","142,152,373.00","225,798,221.74","276,295,883.51","71,821,049.68"
其中:非流动资产处置净损失,"8,583.20","8,583.20","9,591.20","121,708.16","2,024.40",,"6,185.98","103,927.03",925.75,925.75,925.75,"26,436.27","5,290.66","8,031.39","11,571.43","149,950.69","2,730.15","12,921.07","21,697.56","37,388.52",,"28,789.92","28,789.92","176,523.34","4,111.62","42,346.67","74,942.46","270,407.82","67,525.30","226,598.79","44,404.55","4,065,243.64","111,301.88","352,503.44","469,450.66","616,017.81","1,130.00","75,094.82","3,498,922.39","4,405,368.15","99,484.93","99,157.33","105,898.36",,
