科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"138,569,871.78","152,842,922.38","221,967,857.61","31,560,019.76","127,103,862.25","178,048,421.60","230,168,248.09","52,527,410.18","147,502,642.80","207,187,392.61","304,514,570.65","53,549,152.96","140,117,124.86","196,045,559.07","280,200,417.23","79,788,300.92","173,636,267.67","241,193,704.61","367,053,727.61","63,163,262.77","143,995,121.68","204,542,837.52","293,167,343.03","53,643,047.99","179,062,379.94","279,924,944.31","457,079,739.05","150,293,811.39","445,025,659.05","655,572,270.80","1,041,124,027.40","409,941,860.00","791,791,867.84","1,109,977,223.67","1,573,372,443.96","282,487,814.52"
二、营业利润,"26,689,667.35","35,665,080.47","51,269,179.65","2,109,870.87","25,096,331.42","32,443,072.93","33,426,370.74","4,516,803.14","30,773,762.21","41,080,127.68","57,989,019.09","8,731,554.54","37,536,303.12","43,212,199.68","49,971,436.16","17,484,904.42","45,268,222.39","53,029,713.70","73,290,275.90","-160,452.00","-945,507.85","4,299,455.86","12,911,337.62","-9,605,624.39","30,290,624.69","66,415,325.35","93,049,543.03","8,956,447.36","58,881,870.60","85,630,379.91","140,095,308.45","47,943,656.11","90,196,650.41","129,949,987.18","205,541,821.40","42,140,598.35"
减:营业成本,"72,123,151.38","81,962,913.01","122,742,637.07","16,774,822.33","69,229,707.21","96,760,948.44","129,630,796.41","32,447,013.13","86,806,674.17","118,808,105.07","169,536,013.20","24,891,861.55","63,048,092.05","90,527,210.58","134,873,261.68","37,570,920.29","85,071,271.97","117,670,412.95","178,031,218.71","36,606,735.75","82,017,684.13","106,286,571.61","150,467,279.67","30,161,494.50","82,609,777.55","121,225,898.76","204,004,890.01","92,487,091.40","275,894,876.57","401,587,356.95","627,170,127.19","290,210,128.07","554,567,032.25","770,022,529.69","1,045,999,141.67","166,277,927.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"784,284.04","704,174.02","1,090,445.87","140,731.56","613,899.66","886,250.18","3,034,389.53","679,707.36","843,494.02","1,565,054.14","3,060,294.51","1,245,494.13","1,772,265.64","2,487,776.95","3,126,359.55","50,345.89","398,494.43","1,078,221.06","2,847,797.95","80,957.39","1,198,695.40","1,373,423.46","2,080,403.69","263,827.61","739,418.64","1,081,897.48","5,049,846.00","2,864,010.16","5,322,544.44","7,559,662.23","12,916,048.74","2,383,932.96","6,903,386.80","6,154,211.42","8,655,571.10","1,361,673.27"
营业外收入,"2,557,344.99","2,374,987.72","4,683,071.13","147,314.51","617,777.50","1,526,007.73","6,484,628.79","104,696.56","1,192,724.66","2,275,927.45","2,894,909.69","549,483.34","1,072,072.89","4,058,962.74","5,349,347.71","565,175.28","943,530.94","2,188,849.09","4,860,481.83","190,611.16","2,164,829.35","9,535,884.64","7,573,518.70","1,320,500.49","3,324,645.12","4,702,557.70","8,826,279.52","3,169,004.88","10,031,484.22","13,791,653.23","1,492,221.40","671,487.16","1,396,099.26","1,042,293.44","1,276,849.78","699,063.65"
销售费用,"18,067,873.45","17,431,056.42","22,777,001.25","6,195,601.00","15,438,787.93","23,659,701.56","33,349,180.90","7,701,564.73","17,300,212.78","27,269,346.21","40,337,565.99","10,070,614.21","20,384,320.60","30,074,827.95","42,161,506.94","12,216,691.49","20,945,014.39","34,015,615.78","50,494,700.54","13,267,206.21","29,930,007.40","44,014,693.61","62,975,531.43","16,425,627.32","33,380,595.27","51,366,301.20","78,979,088.57","22,059,673.87","42,628,595.28","68,239,376.92","111,409,964.58","28,810,291.52","62,307,294.48","94,669,199.55","146,068,015.45","35,342,673.54"
减:营业外支出,"72,420.00","153,101.78","60,557.50",80.94,330.94,"10,572.97","18,740.24","11,342.89","21,215.91","43,195.88","127,841.97",698.48,"4,079.93","60,412.01","130,198.36","5,177.99","8,944.11","28,833.22","321,565.14","13,832.42","94,037.58","105,667.10","155,433.34","5,456.74","29,260.04","205,491.67","795,954.44","124,491.70","318,268.36","230,357.65","440,379.91","31,939.30","148,007.26","434,587.31","536,823.44","1,754.18"
管理费用,"18,424,720.13","18,128,937.55","23,063,866.91","6,544,923.20","15,962,123.52","24,582,231.30","35,184,667.57","9,487,903.49","16,532,109.29","25,453,379.16","41,115,027.04","10,937,572.76","21,462,950.27","34,684,614.74","56,889,255.33","13,462,902.14","26,264,335.45","41,884,056.49","68,683,021.48","15,435,161.10","34,797,524.86","54,053,109.93","70,975,248.66","16,330,463.76","32,552,787.67","52,288,562.34","92,906,642.50","19,633,339.92","48,854,977.76","74,489,268.71","129,100,009.14","29,001,963.19","68,719,278.87","45,798,449.39","71,262,449.54","14,859,134.25"
其中:非流动资产处置净损失,,,,,,,,,,,"56,852.66",,"3,700.71","57,368.79","90,929.26",,"8,279.00","-5,295.13","257,278.22","8,583.24","18,371.95","23,135.71","46,784.51","4,173.01","19,726.65","46,852.87","550,869.24",,"19,579.10","95,143.82",,,,,,
