科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"227,583,947.06","429,541,768.08","1,022,645,412.00","286,073,966.62","509,102,341.49","836,642,089.23","1,177,678,805.34","332,358,373.20","579,482,256.79","967,265,079.22","1,291,929,846.24","372,327,576.76","645,681,384.33","1,059,912,199.71","1,328,393,059.56","395,286,820.14","655,351,282.61","1,145,033,834.63","1,392,997,556.93","345,643,852.21","586,408,831.09","1,014,373,278.66","1,268,057,997.70","327,541,473.18","570,917,705.02","1,024,954,683.82","1,327,869,522.50","293,684,512.02","726,073,447.46","1,156,760,470.74","1,496,265,196.90","346,209,672.43","756,001,645.66","1,291,452,412.68","1,537,753,630.22","399,434,052.47","832,420,849.44","1,302,886,634.51","1,639,254,894.38","435,455,639.42","910,881,878.79","1,532,333,177.57","1,930,889,623.75"
二、营业利润,"19,448,884.20","28,109,005.42","70,069,573.68","28,378,088.32","42,744,735.10","58,518,617.91","90,333,709.24","30,602,396.98","46,030,776.60","62,570,011.83","109,374,787.41","33,053,118.63","45,184,875.10","46,789,740.34","74,078,440.61","35,716,739.28","37,219,124.37","44,526,845.07","26,965,911.65","15,646,577.50","14,343,253.52","36,183,040.19","4,837,767.76","15,893,059.82","18,261,967.60","37,417,081.14","16,682,489.41","-4,537,286.14","10,160,933.02","29,061,253.03","31,513,803.99","-4,800,444.05","13,165,137.90","39,375,110.68","26,664,977.17","-891,614.34","35,594,115.65","63,059,550.24","28,024,125.45","-397,691.87","47,938,880.60","92,122,529.91","161,990,349.12"
减:营业成本,"167,439,987.28","328,658,018.51","776,529,879.27","209,129,326.23","394,471,342.57","650,548,725.55","900,148,993.00","242,936,544.53","426,456,235.49","725,503,163.80","973,064,437.37","271,088,425.90","472,837,843.35","808,450,699.46","987,438,770.18","278,922,130.00","475,007,436.69","887,000,617.50","1,073,064,368.21","253,116,209.75","433,200,658.61","764,919,002.56","967,213,869.21","236,671,303.27","428,708,854.98","782,023,700.18","1,008,739,299.96","227,971,328.41","586,281,309.26","919,349,360.33","1,177,969,783.07","276,599,488.87","605,162,333.99","1,024,584,434.51","1,218,901,023.83","329,545,623.39","667,602,379.86","1,045,624,470.27","1,294,634,621.81","349,538,412.88","718,674,137.85","1,203,320,429.82","1,525,508,065.90"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,813,916.29","3,225,663.13","6,001,349.49","1,428,602.35","2,155,269.33","4,313,078.69","6,397,397.93","1,439,130.49","2,628,856.73","5,433,538.33","6,806,710.40","1,692,652.12","2,972,525.65","4,728,537.86","7,159,142.20","1,618,095.20","3,010,543.22","5,854,791.21","8,386,941.97","1,875,471.75","3,411,923.16","6,465,484.43","9,092,410.15","1,513,203.88","3,236,619.29","4,939,620.99","7,232,124.16","1,177,975.52","2,592,645.43","3,953,985.92","5,881,121.02","1,026,970.31","2,248,436.77","3,705,307.22","5,045,877.72","934,488.82","2,489,251.97","3,310,270.93","10,152,829.64","2,249,338.29","5,361,136.37","8,399,889.30","10,525,029.48"
营业外收入,"5,983,882.84","13,006,939.24","35,652,911.23","86,051.06","3,084,724.77","3,772,251.28","25,532,308.67","2,714,612.36","6,642,481.08","10,103,408.91","23,736,154.79","3,782,859.17","14,501,447.25","26,074,687.82","59,032,001.16","1,893,309.10","10,018,477.42","19,491,599.72","41,980,208.29","1,717,681.54","12,473,018.27","13,450,076.27","69,952,355.84","1,657,236.72","8,291,704.28","14,661,963.50","54,309,072.76","6,083,733.84","13,277,895.51","19,150,891.98","43,852,029.97","6,366,035.59","13,743,491.33","19,163,120.66","53,416,295.05","6,825,012.67","15,895,536.30","22,207,752.87","105,684,126.77","10,366,405.45","9,401,856.73","17,477,422.57","790,128.05"
销售费用,"11,625,146.65","22,137,679.35","53,485,875.59","16,241,312.96","27,986,804.18","48,492,723.87","68,701,891.97","20,950,496.82","37,133,754.04","68,675,271.22","84,916,016.44","24,334,356.98","47,609,469.60","83,122,275.02","97,374,247.60","29,696,758.93","54,320,274.85","85,544,743.05","109,055,760.31","30,374,192.24","55,027,642.26","90,166,930.32","116,882,429.53","27,877,670.46","52,486,443.88","88,209,718.47","118,204,858.35","30,463,042.93","52,905,630.72","83,465,791.95","113,754,160.09","30,735,481.38","55,427,216.44","102,897,575.69","117,190,438.64","27,844,678.83","51,564,378.10","83,693,864.56","125,830,548.50","34,683,055.39","57,635,510.99","91,305,179.86","140,456,170.29"
减:营业外支出,"28,082.57","134,641.24","999,570.20","199,986.79","255,427.77","296,961.85","408,101.56","6,918.56","28,139.71","346,833.82","816,379.39","43,006.46","2,088,566.75","2,108,450.04","2,101,876.60","106,727.14","201,992.36","231,540.74","828,584.47","9,541.19","669,766.53","949,579.02","6,432,451.61","39,031.77","433,290.22","879,732.81","1,115,805.90","294,174.20","488,179.70","497,967.43","657,562.75","2,161.32","276,242.86","321,795.24","421,983.20","300,556.16","925,664.00","1,544,287.12","6,624,620.44",735.06,"325,290.90","613,583.50","1,246,454.22"
管理费用,"24,902,937.66","46,703,588.11","107,026,037.22","30,002,587.94","52,514,881.38","84,670,401.95","125,589,784.04","38,709,163.17","68,953,975.06","106,102,275.22","154,860,656.40","43,343,644.56","79,494,547.20","117,728,865.96","167,550,253.71","51,640,340.55","88,873,881.12","126,092,380.21","180,762,618.04","48,027,323.50","82,599,990.96","122,930,231.30","191,192,519.89","44,041,263.22","73,331,051.68","118,621,645.78","181,197,643.57","40,332,564.28","79,978,970.37","123,275,891.88","179,662,772.49","43,561,569.35","84,570,958.43","124,951,356.88","168,057,371.98","42,432,450.74","82,686,754.91","121,442,686.87","186,571,669.78","49,494,609.43","104,597,825.26","158,370,786.92","240,476,211.40"
其中:非流动资产处置净损失,,"44,253.23","44,253.23",,"38,033.24",,"145,656.78",,"34,921.28",,"245,297.73",,"39,309.86","39,309.86","57,930.73","63,993.51","102,458.01","105,013.61","140,839.89","6,781.15","79,895.25","97,865.71","121,486.01","1,783.20","3,797.82","18,064.43","76,104.31","18,121.27","55,385.56","55,513.96","180,043.53",,"23,824.50","27,168.38","41,603.64","248,231.32","334,405.98","420,479.79","959,141.90",,,,
