科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
经营活动现金流出小计,"45,353,578.68","93,345,742.90","128,705,026.34","155,954,776.22","14,906,728.83","4,800,329.40","33,104,220.57","51,470,876.55","18,007,652.93","34,185,290.30","36,567,891.98","8,941,941.93","13,181,700.71","15,749,924.44","21,569,705.92","2,329,184.21","4,342,506.24","6,370,893.75","5,278,552.14","1,974,033.43","3,757,815.66","5,367,265.99","5,406,196.37","1,632,742.21","4,140,264.30","6,755,736.14","7,789,019.62","3,419,002.65","5,805,934.55"
偿还债务支付的现金,"123,922.09","207,778.87","292,769.65","3,601,730.89","560,308.53",,"1,954,600.57","796,850.65","350,000.00","1,150,000.00","1,000,000.00","200,000.00","418,113.78","568,113.78","6,000,000.00","200,000.00","200,000.00","230,000.00",,,,,,,,,,,
经营活动产生的现金流量净额,"-6,538,758.95","-7,146,759.45","-7,034,778.99","-10,626,411.95","1,223,380.69","-115,246.50","-1,620,159.52","-120,574.99","1,418,348.39","-754,828.80","3,443,008.98","-4,698,378.71","-5,496,233.51","-6,050,585.43","-10,441,402.11","-532,751.49","707,122.07","713,318.49","63,555.44","201,011.19","420,636.90","-297,948.70","-261,673.95","674,949.50","392,527.75","153,821.64","16,503.49","-223,304.68","-824,810.69"
分配股利、利润或偿还利息支付的现金,"73,344.57","159,216.28","206,402.86","440,602.04","64,405.79",,"186,875.35","259,177.56",,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,"6,000,000.00",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"1,906.85",149.30,,574.80,,61.30,471.68,"150,683.19",515.00,"1,200.37","1,375.37",,360.00,360.00,360.80,,,,,,,,,,,
取得投资收益收到的现金,,,,"2,857,396.50",,,,,,,"562,500.00",,"268,186.22","886,300.00","3,619,507.70","161,012.63","2,525,963.82","2,525,963.82",,,,,"101,885.42",,,,,,
筹资活动现金流出小计,"197,266.66","366,995.15","499,172.51","4,044,239.78","624,863.62",,"2,142,050.72","1,056,028.21","350,061.30","1,150,471.68","1,150,683.19","200,515.00","419,314.15","569,489.15","6,000,000.00","200,360.00","200,360.00","230,360.80",,,,,,,,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,750.00,"14,100.00","34,100.00","72,960.00",,,"14,500.00","52,300.00",,,"2,438,518.60","18,000.00","18,000.00","53,200.00","53,200.00","12,200.00","47,700.00","47,700.00",,,,,,,,,,,"12,700.00"
筹资活动产生的现金流量净额,"-197,266.66","-366,995.15","-499,172.51","-1,314,187.77","2,316,014.83",387.50,"1,975,975.45","505,598.93","-237,273.09","-889,970.25","-889,331.65","336,808.70","405,995.88","360,135.29","-6,000,000.00","44,640.00","44,766.84","34,766.04",,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额,,,"1,180,000.00","1,180,000.00",,,"34,800.00",,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,750.00,"14,100.00","1,214,100.00","4,110,356.50",,,"49,300.00","52,300.00","237,500.00","273,508.91","3,001,018.60","18,000.00","286,186.22","939,500.00","9,672,707.70","173,212.63","2,573,663.82","2,573,663.82",,,,,"101,885.42",,,,,,"12,700.00"
五、现金及现金等价物净增加额,"-7,826,885.61","-9,227,854.60","-8,058,101.50","-9,585,123.22","3,534,395.52","-128,349.00","-1,379,374.07","-566,166.06","1,395,580.30","-1,394,285.14","5,341,100.93","-4,343,570.01","-4,865,490.44","-4,817,089.17","-6,773,394.41","-314,898.86","3,325,552.73","3,268,202.35","63,555.44","201,011.19","400,936.90","-317,648.70","-179,488.53","674,949.50","392,527.75","148,621.64","11,303.49","-223,304.68","-832,230.69"
购建固定资产、无形资产和其他长期资产支付的现金,"91,610.00","128,200.00","138,250.00","154,880.00","5,000.00","13,490.00","1,784,490.00","13,490.00",,,"213,595.00",,,"4,700.00","4,700.00",,,"53,546.00",,,"19,700.00","19,700.00","19,700.00",,,"5,200.00","5,200.00",,"20,120.00"
期初现金及现金等价物余额,"13,194,145.46","13,194,145.46","13,194,145.46","13,189,665.28","3,604,542.06","1,008,502.70","3,604,542.06","3,652,101.04","3,604,542.06","3,085,934.98","3,085,934.98","8,427,026.40","8,427,026.40","8,427,026.40","8,427,026.40","1,653,631.99","1,653,631.99","1,653,631.99","881,095.88","3,629,849.07","3,629,849.07","3,629,849.07","3,629,849.07","3,450,360.54","3,450,360.54","3,450,360.54","3,450,360.54","3,461,664.03","2,829,612.31"
投资支付的现金,"1,000,000.00","1,600,000.00","1,600,000.00","1,600,000.00",,,,"990,000.00",,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"5,367,259.85","3,966,290.86","5,136,043.96","3,604,542.06","7,138,937.58","880,153.74","2,225,167.99","3,085,934.98","5,000,122.36","1,691,649.84","8,427,026.40","4,083,456.39","3,561,535.96","3,609,937.23","1,653,631.99","1,338,733.13","4,979,184.72","4,921,834.34","944,651.32","3,830,860.26","4,030,785.97","3,312,200.37","3,450,360.54","4,125,310.04","3,842,888.29","3,598,982.18","3,461,664.03","3,238,359.35","1,997,381.62"
