科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"103,913,075.50","147,716,700.69","620,117,858.34","309,973,677.85","378,834,770.14","655,906,775.43","172,475,062.75","279,890,797.36","445,559,671.73","712,723,886.40","254,311,704.94","764,144,376.47","1,040,274,898.73","2,126,877,978.82","419,290,200.67","719,565,501.39","1,207,420,135.08","2,437,488,542.87","401,812,264.10","1,316,605,033.14","2,386,402,000.54","3,868,999,486.37","673,061,656.27","2,221,998,184.99","3,074,364,912.65","6,080,050,192.41","690,818,562.09","2,435,670,167.28","5,110,249,772.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"3,764,582.26",,,,"4,658,294.22","4,100,000.00","4,100,000.00","4,100,000.00","10,100,000.00",,,,,"1,004,938.31",,,,,,
收到的税费返还,"765,336.63","1,094,560.96","18,097,176.82","25,617,137.51","28,404,937.45","32,754,138.13","597,135.57","927,453.94","3,244,632.71","9,133,769.04",,"8,405,347.69","19,145,462.09","24,575,917.09","7,974,041.24","10,131,908.13","13,102,162.48","21,899,388.17","6,341,043.45","14,297,904.07","23,583,458.65","31,773,399.59","7,159,359.31","19,451,650.59","24,736,087.06","35,969,645.11","9,490,692.60","51,753,137.39","80,149,896.42"
支付其他与投资活动有关的现金,,,,,,,,,,,,"1,271,428.18","1,271,428.18","1,321,389.07",,,"119,400.00",,,"1,000,184.92","7,719,239.15","100,000,000.00","4,800,000.00","1,004,938.31","576,306,309.28","1,479,004,938.31","580,000,000.00","943,101,634.66","2,165,808,329.39"
收到其他与经营活动有关的现金,"11,930,600.00","19,745,583.75","22,724,278.26","10,349,710.63","13,373,595.24","27,313,563.96","4,357,244.05","17,625,805.42","33,634,754.76","29,753,593.83","18,749,409.31","23,583,564.82","27,303,491.95","60,807,276.60","16,046,551.11","12,396,628.69","66,540,967.31","52,907,070.63","71,173,082.30","112,043,688.44","179,114,485.27","44,483,981.69","144,101,565.07","36,553,996.94","164,911,469.09","80,257,294.02","175,875,843.41","51,081,212.97","398,036,380.87"
投资活动现金流出小计,"24,817,265.50","19,038,750.97","35,084,173.45","37,868,988.18","79,050,646.95","90,847,948.88","22,549,939.59","46,602,568.21","63,856,353.64","95,867,590.49","24,645,786.46","85,567,043.66","107,250,669.52","135,158,739.86","22,466,581.46","48,687,448.82","65,856,966.37","133,556,643.48","14,312,652.55","211,531,293.02","673,708,142.70","467,215,728.48","25,585,629.37","299,832,944.74","1,052,589,734.10","2,954,530,002.17","855,066,740.60","1,241,015,552.93","2,822,830,162.42"
经营活动现金流入小计,"116,609,012.13","168,556,845.40","660,939,313.42","345,940,525.99","420,613,302.83","715,974,477.52","177,429,442.37","298,444,056.72","482,439,059.20","751,611,249.27","273,061,114.25","796,133,288.98","1,086,723,852.77","2,212,261,172.51","443,310,793.02","742,094,038.21","1,287,063,264.87","2,512,295,001.67","479,326,389.85","1,442,946,625.65","2,589,099,944.46","3,945,256,867.65","824,322,580.65","2,278,003,832.52","3,264,012,468.80","6,196,277,131.54","876,185,098.10","2,538,504,517.64","5,588,436,050.11"
投资活动产生的现金流量净额,"-23,960,769.27","-18,917,393.86","-34,481,670.30","-37,013,116.60","-78,194,775.37","-87,352,203.89","-22,549,939.59","-41,700,305.34","-57,355,379.39","-76,523,834.64","-24,645,786.46","-81,204,077.48","-102,127,066.39","-82,052,444.49","-20,753,697.93","-43,846,542.08","-60,191,068.83","-96,215,992.74","-3,541,974.40","-172,254,372.40","-633,649,691.99","-345,355,334.47","143,232,593.24","-286,107,408.46","-1,017,364,621.48","-2,920,941,367.28","170,041,828.14","327,511,537.80","-168,837,255.48"
购买商品、接受劳务支付的现金,"59,439,006.54","69,584,150.10","286,202,634.79","221,287,888.73","307,938,247.92","587,106,040.96","153,268,875.08","259,058,114.44","425,911,053.36","626,147,150.31","195,948,172.15","479,191,217.00","743,797,408.06","1,547,888,709.32","426,318,367.04","831,617,059.18","1,247,201,493.39","2,028,782,011.70","447,065,848.18","1,047,250,781.19","1,912,810,697.35","3,591,527,632.06","821,681,681.80","2,017,085,367.37","2,796,792,156.46","4,319,417,630.67","1,037,485,326.37","2,800,200,897.83","4,733,419,446.51"
吸收投资收到的现金,,,"96,563,011.21",,,"1,276,243,936.00",,,,,,,"24,663,600.00","24,663,600.00",,,"7,990,000.00","16,929,207.12",,,"10,500,000.00","21,000,000.00","15,606,642.69","2,624,792,111.05","2,624,973,641.69","2,656,941,475.10",,"181,259,600.00","179,644,128.00"
支付给职工以及为职工支付的现金,"11,185,725.11","19,342,126.93","37,305,655.20","29,617,972.42","46,115,121.44","75,329,857.13","27,643,071.76","59,190,645.89","86,185,470.32","126,022,748.83","35,147,404.02","61,705,441.35","96,989,737.90","135,128,951.37","40,506,742.13","80,600,390.63","113,992,799.13","172,799,593.93","61,272,894.01","107,637,069.76","160,964,904.40","230,575,380.33","97,363,350.73","175,472,524.85","231,261,273.73","335,027,947.50","116,863,915.11","249,517,110.00","328,053,607.63"
取得借款收到的现金,"20,000,000.00","23,000,000.00","5,000,000.00","40,000,000.00","50,000,000.00","72,727,847.99","50,000,000.00","150,000,000.00","240,000,000.00","240,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00",,"72,000,000.00","92,000,000.00","140,562,316.00",,"20,660,880.00","220,660,880.00","305,961,785.89","480,547,540.85","646,341,390.85","797,438,510.85","899,368,401.15",,"450,497,964.48","625,530,554.81"
支付的各项税费,"3,960,511.19","10,697,198.55","17,562,245.28","25,738,404.22","36,103,833.58","68,266,158.30","25,558,934.13","48,069,636.39","51,527,973.20","55,555,582.59","24,875,792.98","32,436,752.18","43,266,680.08","63,565,751.04","21,055,240.88","77,312,760.35","92,477,157.35","97,771,694.89","46,958,344.28","131,755,561.16","151,617,204.57","159,959,586.77","31,365,553.62","102,151,945.85","203,000,369.91","190,484,703.28","60,376,253.68","194,815,162.76","270,131,433.33"
收到其他与筹资活动有关的现金,,,,,"675,205.31",,"1,163,982.88",,,,"649,201.56",,,,,,,,,,,,496.64,,"6,096,105.05",,,,435.49
支付其他与经营活动有关的现金,"29,946,416.00","45,756,714.98","98,228,473.88","55,002,547.88","116,420,342.97","130,082,596.63","43,037,792.22","89,439,048.41","148,460,528.96","166,731,495.88","37,724,190.59","78,539,883.93","115,864,195.79","171,652,463.83","42,995,445.69","71,894,282.61","178,156,378.95","202,605,071.70","83,417,916.57","113,620,449.14","386,918,983.68","289,850,541.27","293,659,073.34","226,934,324.48","457,062,290.42","485,554,250.90","328,252,649.93","239,000,265.56","635,625,525.18"
筹资活动现金流入小计,"20,000,000.00","23,000,000.00","101,563,011.21","40,000,000.00","50,675,205.31","1,348,971,783.99","51,163,982.88","150,000,000.00","240,000,000.00","240,000,000.00","50,649,201.56","70,000,000.00","94,663,600.00","94,663,600.00",,"72,000,000.00","99,990,000.00","157,491,523.12",,"20,660,880.00","231,160,880.00","326,961,785.89","496,154,680.18","3,271,133,501.90","3,428,508,257.59","3,556,309,876.25",,"631,757,564.48","805,175,118.30"
经营活动现金流出小计,"104,531,658.84","145,380,190.56","439,299,009.15","331,646,813.25","506,577,545.91","860,784,653.02","249,508,673.19","455,757,445.13","712,085,025.84","974,456,977.61","293,695,559.74","651,873,294.46","999,918,021.83","1,918,235,875.56","530,875,795.74","1,061,424,492.77","1,631,827,828.82","2,501,958,372.22","638,715,003.04","1,400,263,861.25","2,612,311,790.00","4,271,913,140.43","1,244,069,659.49","2,521,644,162.55","3,688,116,090.52","5,330,484,532.35","1,542,978,145.09","3,483,533,436.15","5,967,230,012.65"
偿还债务支付的现金,"23,000,000.00",,"23,000,000.00","5,000,000.00","5,000,000.00","72,727,847.99","5,000,000.00","43,000,000.00","93,000,000.00","155,000,000.00","60,000,000.00","60,000,000.00","90,000,000.00","110,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","92,000,000.00",,"30,000,000.00","73,477,300.00","95,513,379.47","50,000,000.00","66,440,819.90","277,105,369.79","406,533,127.67","412,196,873.75","423,216,343.22","447,428,407.99"
经营活动产生的现金流量净额,"12,077,353.29","23,176,654.84","221,640,304.27","14,293,712.74","-85,964,243.08","-144,810,175.50","-72,079,230.82","-157,313,388.41","-229,645,966.64","-222,845,728.34","-20,634,445.49","144,259,994.52","86,805,830.94","294,025,296.95","-87,565,002.72","-319,330,454.56","-344,764,563.95","10,336,629.45","-159,388,613.19","42,682,764.40","-23,211,845.54","-326,656,272.78","-419,747,078.84","-243,640,330.03","-424,103,621.72","865,792,599.19","-666,793,046.99","-945,028,918.51","-378,793,962.54"
分配股利、利润或偿还利息支付的现金,"198,975.00","78,733.50","1,210,622.98","27,705,998.14","27,705,998.14","29,017,773.16",,"37,230,401.36","39,729,645.75","42,776,868.38","1,260,566.67","18,340,969.59","19,807,462.30","20,760,264.76","1,726,731.84","38,896,571.64","39,864,083.24","48,114,297.91","496,333.34","32,723,422.37","32,524,683.93","34,690,948.81","594,137.50","5,001,644.16","90,188,458.86","97,173,514.28","543,750.00","93,544,846.11","100,079,105.77"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"22,484,420.00","100,120,600.00","8,129,951.98","8,509,680.01","8,168,327.79","10,509,680.01","32,200,000.00","67,288,000.00","72,567,472.00"
支付其他与筹资活动有关的现金,,,,,"687,187.02",,"1,284,440.32","1,190,000.00","1,192,010.78",,"112,954.53",,,,,,,,,,,"818,025.00","2,800,432.24","2,000,000.00","2,800,432.24","2,736,467.20",,,"3,858,750.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,"2,900,124.85",,"4,547,422.85","3,456,970.26",,"14,603,114.70"
筹资活动现金流出小计,"23,198,975.00","78,733.50","24,210,622.98","32,705,998.14","33,393,185.16","101,745,621.15","6,284,440.32","81,420,401.36","133,921,656.53","197,776,868.38","61,373,521.20","78,340,969.59","109,807,462.30","130,760,264.76","51,726,731.84","88,896,571.64","109,864,083.24","140,114,297.91","496,333.34","62,723,422.37","106,001,983.93","131,022,353.28","53,394,569.74","73,442,464.06","370,094,260.89","506,443,109.15","412,740,623.75","516,761,189.33","551,366,263.76"
处置固定资产、无形资产和其他长期资产收回的现金净额,"45,000.00","40,000.00","15,000.00",,,"15,000.00",,"76,000.00","76,000.00","76,000.00",,"504,595.12","509,795.12","513,138.46",,"7,000.00","101,050.00","146,122.89",157.50,"22,487,729.50","3,309.50","735,739.42","5,119.00","7,522.02","150,119.00","2,895,706.14","29,371.06","83,500.00","157,500.00"
筹资活动产生的现金流量净额,"-3,198,975.00","22,921,266.50","77,352,388.23","7,294,001.86","17,282,020.15","1,247,226,162.84","44,879,542.56","68,579,598.64","106,078,343.47","42,223,131.62","-10,724,319.64","-8,340,969.59","-15,143,862.30","-36,096,664.76","-51,726,731.84","-16,896,571.64","-9,874,083.24","17,377,225.21","-496,333.34","-42,062,542.37","125,158,896.07","195,939,432.61","442,760,110.44","3,197,691,037.84","3,058,413,996.70","3,049,866,767.10","-412,740,623.75","114,996,375.15","253,808,854.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"15,843,440.28","1,000,000.00","2,000,000.00","2,000,000.00","951,331.55","150,350,000.00",,,,,,
四、汇率变动对现金的影响,"-1,723,965.52","-129,002.78","-108,210.93","2,193,306.24","1,751,676.44","1,802,264.51","77,216.98","-585,773.95","317,975.86","881,163.49","-537,656.49","-414,323.16","674,878.16","363,461.48","243,084.38","550,124.21","-1,984,923.92","-9,928,652.46","-7,172,844.03","-5,124,050.52","-3,804,573.79","-1,098,402.30","1,772,916.19","-1,310,688.42","4,024,243.71","234,908.36","4,225,197.45","268,567.01","-265,675.34"
收到其他与投资活动有关的现金,"811,496.23","81,357.11","587,503.15","855,871.58","855,871.58","3,480,744.99",,"4,826,262.87","6,424,974.25","19,267,755.85",,"3,858,371.06","4,613,808.01","52,593,156.91","1,712,883.53","4,833,906.74","5,564,847.54","21,351,087.57","9,770,520.65","14,789,191.12","15,570,721.21","20,052,723.04","10,333,151.63","2,308,209.40","26,906,665.83","15,635,825.89","989,422,227.42","1,501,155,590.73","2,566,664,820.24"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"856,496.23","121,357.11","602,503.15","855,871.58","855,871.58","3,495,744.99",,"4,902,262.87","6,500,974.25","19,343,755.85",,"4,362,966.18","5,123,603.13","53,106,295.37","1,712,883.53","4,840,906.74","5,665,897.54","37,340,650.74","10,770,678.15","39,276,920.62","40,058,450.71","121,860,394.01","168,818,222.61","13,725,536.28","35,225,112.62","33,588,634.89","1,025,108,568.74","1,568,527,090.73","2,653,992,906.94"
