科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"10,401,325,115.06","10,695,676,779.23","16,853,058,211.33","11,110,554,500.35","16,845,727,776.50","22,345,478,816.49","5,485,352,554.51","11,404,208,940.43","16,337,329,726.92","21,489,476,880.77","4,915,615,405.70","11,651,243,095.82","18,135,701,262.29","24,813,987,184.07","6,520,475,327.55","14,746,181,695.31","23,362,916,589.74","31,109,097,159.51","5,660,547,315.41","13,129,057,759.56","19,657,842,346.12","25,182,211,636.58","5,359,613,941.25","12,312,130,882.95","20,127,711,328.07","28,811,315,011.02","7,064,231,040.12","16,850,419,768.90","27,702,711,006.27"
取得子公司及其他营业单位支付的现金净额,,,"4,350,000.00",,,,,"11,040,000.00","22,540,000.06",,,,,,,"3,390,221.27","93,091,135.15",,,,,,,,,,,,
收到的税费返还,"6,320,821.66","15,695,400.88","21,015,652.43","21,925,032.19","44,345,827.70","60,880,402.58","18,816,878.63","44,680,630.36","89,814,765.57","119,485,424.81","22,982,735.44","37,012,403.17","72,472,227.15","81,854,328.16","22,293,206.83","68,489,802.35","91,180,441.13","124,456,671.99","17,662,336.35","51,028,301.15","83,502,084.81","127,192,078.03","40,477,767.47","72,927,316.41","152,277,681.39","157,526,487.96","41,866,051.51","109,127,975.87","169,972,883.88"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"30,000,000.00","210,000,000.00","1,591,500,436.67","1,129,100,000.00","2,073,000,000.00","2,323,000,000.00","3,288,000,000.00","370,000,000.00","2,020,000,000.00","3,420,000,000.00","5,040,000,000.00","800,000,000.00","1,998,800,000.00","3,630,000,000.00"
收到其他与经营活动有关的现金,"268,384,808.48","1,029,947,630.94","296,362,647.67","172,370,264.02","223,337,334.40","343,435,490.77","61,038,988.30","43,735,528.09","78,979,155.95","179,431,527.69","11,064,018.34","32,714,663.71","77,697,813.72","212,899,716.50","44,215,023.69","63,200,259.11","117,398,612.17","173,418,856.87","35,451,950.19","85,553,191.51","139,797,835.30","229,574,458.72","55,327,449.43","148,158,957.61","217,912,624.82","308,854,508.66","141,778,896.15","270,509,101.90","356,654,980.38"
投资活动现金流出小计,"401,441,092.48","572,713,063.12","1,380,803,136.42","1,035,684,498.04","1,895,384,745.40","2,787,162,606.37","665,239,315.52","1,239,752,131.39","2,184,965,067.00","2,469,993,501.08","378,562,319.75","1,055,930,626.83","1,290,374,092.22","2,289,951,041.62","421,009,247.18","846,726,625.65","1,599,181,816.74","3,285,598,220.73","1,358,681,739.44","2,669,125,550.40","3,304,092,795.11","4,795,338,532.56","978,064,518.20","3,317,434,379.56","5,251,092,007.92","8,054,360,009.34","1,961,499,762.76","4,884,234,068.59","9,453,416,589.94"
经营活动现金流入小计,"10,676,030,745.20","11,741,319,811.05","17,170,436,511.43","11,304,849,796.56","17,113,410,938.60","22,749,794,709.84","5,565,208,421.44","11,492,625,098.88","16,506,123,648.44","21,788,393,833.27","4,949,662,159.48","11,720,970,162.70","18,285,871,303.16","25,108,741,228.73","6,586,983,558.07","14,877,871,756.77","23,571,495,643.04","31,406,972,688.37","5,713,661,601.95","13,265,639,252.22","19,881,142,266.23","25,538,978,173.33","5,455,419,158.15","12,533,217,156.97","20,497,901,634.28","29,277,696,007.64","7,247,875,987.78","17,230,056,846.67","28,229,338,870.53"
投资活动产生的现金流量净额,"-339,924,113.27","-552,016,681.86","-1,352,064,173.37","-1,013,524,380.93","-1,871,448,530.90","-2,754,620,853.69","-662,969,424.86","-1,218,100,703.95","-2,158,508,144.94","-2,428,049,705.34","-376,882,374.17","-1,051,050,065.30","-1,265,258,286.50","-2,227,164,247.37","-364,709,890.88","-783,447,404.82","-1,511,366,431.26","-1,957,543,127.32","-192,511,099.86","-514,427,146.68","-828,237,450.75","-1,701,136,307.99","-86,089,386.91","-2,230,454,095.46","-2,448,270,450.70","-4,208,642,144.25","315,462,899.66","-1,536,059,019.17","-4,908,256,138.85"
购买商品、接受劳务支付的现金,"9,548,145,217.66","9,681,139,750.96","15,241,539,449.52","9,727,788,526.49","15,424,235,771.30","20,599,054,402.82","5,375,278,459.16","10,659,850,057.80","15,532,673,132.87","20,343,182,150.93","5,252,666,460.96","10,446,236,397.91","17,173,143,450.43","23,721,010,391.29","5,738,578,630.25","12,105,198,888.89","19,087,537,839.05","26,555,435,844.74","6,534,772,863.52","12,202,083,010.49","17,885,526,956.48","22,523,894,972.30","5,800,554,706.49","11,676,680,891.70","18,104,742,184.80","24,594,777,216.06","7,810,123,212.64","15,601,722,140.82","24,288,864,431.63"
吸收投资收到的现金,"95,354,530.53","33,082,989.32","204,820,000.00","3,131,384,200.00","3,131,384,200.00","3,131,384,200.00","2,021,898,544.18",,"808,896.00","809,258.87",,,,,,,,,,,,,,"2,959,491,499.86","2,959,491,499.86","2,959,491,499.86",,,
支付给职工以及为职工支付的现金,"221,694,986.74","262,092,246.82","358,740,569.80","245,782,719.09","369,322,555.20","476,462,920.21","157,625,253.42","289,632,840.66","421,476,031.28","554,917,962.64","179,341,845.40","344,218,992.55","519,974,928.28","707,374,412.04","218,497,988.64","409,705,560.60","603,625,412.76","791,856,873.25","261,748,477.20","491,771,225.50","714,259,757.24","910,144,339.80","242,934,267.07","444,620,334.31","659,956,580.06","885,829,089.28","290,695,246.32","525,459,756.99","789,215,075.53"
