科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"92,209,144.46","200,555,473.13","390,388,671.07","546,538,765.11","103,211,636.07","230,412,670.05","424,853,136.66","541,599,927.61","119,468,812.83","196,360,825.00","362,315,147.19","532,128,372.25","136,237,230.12","287,758,064.96","574,584,473.98","799,765,868.51","242,606,797.32","432,291,273.55","789,415,417.90","1,093,552,280.42","229,109,332.32","559,006,056.93","971,491,531.65","1,425,074,306.87","220,223,286.72","620,010,911.51","1,086,455,844.02","1,454,001,439.89","190,517,482.55","572,994,082.32","940,530,951.73","1,223,509,996.80","178,062,064.75","488,919,533.60","991,372,882.57","1,476,888,404.41","466,053,107.58","1,063,941,311.77","1,637,007,865.76","2,370,996,333.22","763,133,797.01","2,000,255,058.35","3,238,331,419.04"
二、营业利润,"4,506,824.40","12,881,924.96","24,028,776.06","33,232,789.42","5,572,928.28","13,641,557.96","26,139,922.64","17,303,621.08","3,136,947.69","5,559,199.48","14,027,000.80","12,044,333.14","5,414,001.81","13,206,377.69","35,232,917.90","42,519,684.68","8,096,934.58","21,882,060.20","47,527,644.43","54,448,112.85","6,589,280.36","24,192,565.35","54,373,972.90","63,267,853.32","7,434,279.21","22,653,866.26","56,857,970.59","61,117,215.74","6,651,046.21","23,295,663.48","55,962,813.08","60,108,075.32","22,173,030.26","59,185,449.32","120,251,115.34","133,810,779.53","24,236,290.45","67,353,692.40","143,304,335.79","233,614,401.98","35,602,019.80","340,978,629.09","448,084,880.54"
减:营业成本,"72,595,571.78","152,599,495.47","298,994,087.39","420,755,851.21","83,197,838.52","187,409,610.15","340,005,060.78","437,409,915.05","101,104,339.01","165,877,442.69","299,457,659.46","443,821,806.18","113,344,943.63","240,177,400.29","477,568,067.43","665,193,853.09","211,662,272.55","361,759,421.71","658,290,372.57","925,878,225.73","195,233,834.98","472,987,171.86","815,510,927.61","1,207,506,649.02","187,141,336.83","537,945,986.74","924,625,163.57","1,248,565,739.93","165,479,192.66","503,264,223.53","799,334,917.68","1,042,041,077.86","116,639,283.44","354,749,567.82","759,585,823.06","1,159,103,857.49","394,699,639.74","900,929,651.42","1,323,502,015.01","1,883,269,094.36","640,656,556.09","1,667,506,112.51","2,630,311,132.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,122.34,122.34,"103,666.37","104,358.38","2,321.28",307.70,307.70,"6,749.49","44,430.22",119.16,"2,074.56","2,342.36","10,924.19","1,551,869.01","2,143,157.73","2,371,658.45","4,315,707.92","5,238,781.61","5,841,709.83","7,555,733.50","1,408,118.09","2,755,991.50","2,875,174.28","5,429,343.43","381,104.91","503,971.70","1,119,357.32","5,873,995.78","1,093,464.72","2,119,354.87","2,810,861.93","5,607,011.23","690,347.26","2,749,567.62","4,935,120.82","15,057,748.52","3,086,276.63","5,441,978.62","8,400,730.18"
营业外收入,"375,420.97","789,364.23","802,124.41","5,003,456.01","199,047.99","231,955.37","301,764.80","3,995,576.75","32,510.20","774,668.61","1,046,769.60","3,385,376.63","862,778.40","1,218,931.36","1,427,114.97","1,206,778.34","176,695.28","313,186.86","1,836,905.18","2,661,542.96","81,951.50","126,161.15","626,031.14","1,887,106.94","139,854.28","354,062.25","553,609.81","1,736,227.08","118,649.13","195,512.35","620,169.20","856,358.77","41,037.95","742,323.06","3,044,356.62","3,770,337.04","922,624.82","4,103,064.23","4,896,948.71","8,903,627.69","1,551,798.76","5,964,695.61","9,856,183.98"
销售费用,"4,298,166.12","8,307,250.23","15,970,398.35","21,840,554.33","4,111,578.02","8,446,374.45","14,673,193.56","23,660,572.94","5,465,477.00","7,676,714.09","14,735,447.35","24,653,122.16","5,844,850.56","12,212,467.11","23,779,288.50","33,408,904.19","8,203,376.48","15,746,723.08","26,471,998.49","36,721,452.96","7,979,921.49","18,340,620.72","29,688,386.78","42,637,399.05","10,017,201.37","17,991,048.85","30,059,416.25","45,061,285.02","6,684,180.37","14,452,368.45","32,310,993.66","47,042,920.12","21,631,059.32","42,419,634.22","63,271,243.30","96,617,350.66","19,591,245.29","48,598,178.34","84,922,859.81","135,030,529.90","47,778,527.24","118,498,313.05","211,453,426.01"
减:营业外支出,"26,567.45","31,068.45","533,041.75","698,969.02","4,417.50","9,002.79","404,734.62","1,644,212.85","19,702.61","125,969.99","231,494.42","467,781.77","50,003.83","491,056.14","854,339.50","1,594,148.20","53,671.53","458,271.70","450,022.91","1,042,462.45","60,906.61","109,062.85","1,231,712.20","3,427,648.49","28,272.39","77,715.74","52,453.88","447,209.39",100.00,"235,343.64","499,218.77","1,712,002.15","4,729.54","35,935.04","254,276.73","1,465,507.23","3,467.69","4,114.18","88,949.07","698,902.88","5,959.63","346,489.60","3,213,028.07"
管理费用,"8,506,534.45","18,459,523.45","33,949,611.15","47,718,914.37","8,372,318.52","18,761,173.29","30,011,252.98","40,981,987.29","7,261,047.06","14,343,312.91","25,012,801.75","33,977,276.19","8,835,454.63","20,135,448.91","28,969,088.77","45,951,451.28","11,547,689.82","25,768,998.25","39,847,048.29","52,279,494.29","12,394,365.70","26,393,797.05","45,878,632.36","63,715,776.90","9,516,818.50","23,328,335.47","40,193,378.93","61,666,122.67","12,870,526.60","27,264,529.24","43,025,974.59","59,929,121.46","12,890,808.33","29,395,272.44","44,620,032.28","72,948,722.49","17,764,033.12","40,000,369.50","71,798,077.90","105,515,754.53","31,569,428.38","78,654,143.46","133,708,948.30"
其中:非流动资产处置净损失,,,,"21,316.26",,,,"920,920.30",,,,"326,216.05",,"489,388.47",,"1,296,058.25",,,,"466,660.45",,,,"262,849.06",,"48,627.76",,"86,274.11",,"233,267.60",,"261,750.73",,,,"214,191.06",,,,"479,236.67",,"73,774.71",
