科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"414,325,569.08","536,554,950.29","247,968,821.14","383,265,128.10","525,399,637.58","138,051,594.45","327,272,507.14","523,976,139.38","720,615,475.78","188,483,685.94","462,954,846.11","737,857,974.79","950,773,441.58","211,785,105.86","491,226,761.19","742,570,701.76","978,027,983.69","215,308,449.34","388,679,178.90","633,724,123.69","900,769,114.60","215,864,936.87","450,900,434.47","674,271,491.18","910,710,322.48","296,734,688.82","617,690,642.26","918,383,218.02","1,196,281,696.92","275,330,779.82","620,950,719.03","993,327,031.87","1,377,424,259.20","375,311,325.81","796,508,924.87","1,199,181,584.15","1,592,996,189.38","386,847,215.18","818,663,235.45","1,255,318,742.46","1,730,012,458.43","396,339,776.92"
二、营业利润,"49,454,591.25","49,011,813.24","23,615,395.86","34,138,944.17","35,747,522.31","7,001,451.51","21,790,664.23","36,092,062.33","41,548,853.16","8,771,273.19","30,321,450.13","53,153,349.80","61,259,199.71","14,806,904.77","36,998,888.72","59,605,698.81","71,111,919.96","14,014,092.21","25,817,667.21","39,229,538.68","29,864,213.76","12,781,275.49","25,875,415.80","29,268,446.00","13,201,928.53","16,703,975.86","31,299,070.83","36,536,842.04","36,753,800.16","13,489,129.12","31,441,291.12","41,223,738.61","49,700,324.26","14,790,792.01","36,930,751.66","41,208,556.07","57,895,163.23","16,726,935.24","42,460,630.31","50,975,722.01","54,073,104.04","12,416,296.85"
减:营业成本,"305,046,415.98","410,330,204.35","186,674,646.47","293,069,596.07","411,652,226.65","107,825,566.03","257,661,888.57","417,076,591.79","579,628,869.36","150,260,938.14","365,576,161.12","582,476,049.05","747,674,979.42","166,222,760.40","388,648,831.72","585,599,443.50","776,735,460.30","174,132,402.10","312,226,990.62","516,825,583.44","764,042,554.31","186,266,938.27","384,132,574.78","583,416,192.61","801,874,822.26","256,158,049.51","525,009,991.95","789,565,080.48","1,032,024,087.77","229,311,088.81","519,400,115.92","837,173,102.01","1,171,705,004.08","322,035,139.28","681,717,552.58","1,034,252,363.47","1,379,510,132.70","332,699,082.46","703,388,078.66","1,080,618,271.23","1,487,829,469.53","336,122,012.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,932,878.41","3,720,902.40","1,456,944.71","2,293,056.71","2,518,497.86","568,185.88","1,264,978.43","2,188,199.97","3,378,067.74","481,540.19","1,386,373.01","2,151,302.95","2,868,518.74","1,315,812.98","2,421,956.46","4,760,082.41","5,966,160.38","915,562.53","1,674,443.52","3,291,765.75","5,089,867.27","692,296.63","2,509,942.04","3,139,142.91","4,520,159.20","1,029,580.60","2,434,028.36","3,302,970.14","3,659,702.50","121,332.14","1,067,848.35","1,191,892.35","12,615,194.79","3,431,879.35","8,053,621.07","12,961,910.77","16,608,762.48","3,758,810.87","7,709,651.89","12,258,710.75","17,605,089.46","3,523,245.48"
营业外收入,"2,802,888.02","4,195,142.73","1,923,423.85","2,136,562.85","10,570,945.85","2,904,979.34","4,573,079.34","4,882,059.34","9,305,647.91","3,238,320.68","3,795,112.51","5,115,650.95","4,750,456.01","850,067.44","3,275,361.31","4,641,165.05","8,754,206.92","1,767,427.00","4,988,128.27","6,587,308.01","18,614,758.23","2,927,512.09","4,683,174.69","6,775,535.86","13,600,753.80","1,108,074.13","2,701,841.94","5,996,471.37","11,169,627.58","1,884,265.06","4,171,957.68","6,035,312.34","8,901,644.03","1,982,144.88","5,894,917.66","8,708,425.87","174,168.55","15,000.00","1,408,502.54","1,434,843.96","113,664.19","2,259.32"
销售费用,"16,857,580.92","19,290,108.88","9,873,507.12","14,104,796.10","21,144,271.81","8,387,047.40","20,642,491.48","29,859,528.64","43,503,533.14","13,387,773.17","32,746,353.62","52,773,983.37","73,413,825.58","16,253,562.08","35,075,061.53","52,167,668.65","67,713,793.97","15,159,338.49","27,793,233.51","43,410,341.64","57,612,564.60","13,480,672.82","30,813,962.03","45,621,216.87","62,547,974.38","18,119,379.19","42,722,039.00","63,623,284.62","89,109,724.71","19,348,275.17","43,976,925.47","68,059,711.92","96,428,834.71","23,131,627.35","48,093,707.13","75,192,660.27","102,269,858.79","23,622,742.21","49,193,320.58","80,055,974.26","111,856,075.50","24,487,046.76"
减:营业外支出,"20,882.81","120,000.00",,,,"270,000.00","270,000.00","270,002.00","270,002.00","35,807.37","58,174.49","58,174.49","58,174.49","20,000.00","50,000.00","150,000.00","150,000.00","14,916.00","84,916.00","184,916.00","290,297.40","20,000.00","20,000.00","120,000.00","186,155.73","14,916.00","14,916.00","114,916.00","114,916.01",,,"100,000.00","176,506.79",,216.68,"74,527.20","980,657.29",6.15,"437,407.85","446,324.39","1,687,227.55",
管理费用,"14,990,935.29","25,613,409.26","10,016,355.86","15,771,563.93","25,118,765.30","6,518,285.47","14,744,921.54","22,943,251.70","32,614,512.26","13,674,509.81","25,729,472.72","37,602,728.36","54,583,079.42","10,927,438.49","22,464,043.82","32,988,426.26","45,562,578.47","9,530,141.08","20,850,605.97","31,550,994.48","48,133,741.98","8,422,962.84","17,534,019.14","27,255,931.03","44,448,250.08","8,953,830.78","19,574,461.20","33,569,949.67","45,886,592.51","17,192,772.13","31,802,716.03","52,829,357.71","59,270,394.84","10,697,128.58","23,437,460.22","36,115,682.51","49,641,115.91","11,791,222.41","26,044,297.11","39,691,330.17","54,330,793.83","17,455,803.42"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
