科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"430,457,101.87","998,381,450.71","1,859,178,738.78","2,835,137,624.77","599,171,180.25","1,092,032,048.74","1,594,857,806.70","2,847,076,265.85","569,249,092.38","1,212,138,040.41","1,879,521,643.64","2,666,471,470.64","641,520,712.48","1,294,043,724.72","2,553,467,985.53","3,546,447,787.52","1,281,855,629.51","1,998,488,025.44","2,890,345,771.87","3,547,212,972.73","635,712,023.30","1,337,168,871.83","2,099,025,179.00","3,080,578,508.36","1,115,399,983.56","1,925,457,708.44","2,872,163,054.33","4,513,914,439.77","905,310,784.55","1,777,042,765.23","2,758,487,578.99","5,298,723,375.32","1,147,172,194.26","2,738,202,391.67","3,805,228,201.66","6,317,777,110.48","1,214,285,734.81","2,419,161,227.81","3,571,158,417.31","6,209,017,672.39","1,802,766,846.44","3,114,976,997.25","4,544,745,665.58","6,749,593,623.34","1,000,560,214.31","3,463,351,529.44","4,642,634,999.51","10,209,484,122.16","1,341,216,858.33"
二、营业利润,"7,230,789.48","35,919,442.35","122,365,882.96","237,848,571.36","15,557,960.07","34,861,916.22","-1,160,078.51","-133,655,444.61","47,915,637.16","35,735,305.90","85,089,730.42","68,553,989.89","-9,339,685.06","16,770,847.89","185,007,412.71","163,035,333.76","165,283,008.01","194,635,780.77","257,922,088.05","270,248,455.23","88,520,946.65","152,757,570.99","231,225,789.43","261,753,953.06","113,733,955.33","137,194,495.64","193,293,730.23","464,416,834.69","25,462,336.16","54,676,141.58","170,152,231.19","561,352,648.47","63,445,835.89","275,539,932.34","342,839,742.13","503,255,130.94","69,037,130.55","258,211,344.29","335,855,242.57","627,058,170.62","338,046,688.14","473,705,632.62","729,646,123.09","839,370,436.56","74,873,745.37","376,992,251.37","349,374,224.00","1,096,237,717.75","96,925,623.43"
减:营业成本,"387,486,980.28","908,605,607.38","1,583,511,986.52","2,265,670,722.33","519,463,386.80","967,113,594.04","1,447,640,740.15","2,570,266,318.73","513,532,599.95","1,089,328,698.58","1,661,041,375.68","2,413,964,377.45","603,173,551.20","1,168,097,880.93","2,096,503,069.66","2,987,283,307.88","928,678,944.68","1,526,293,306.29","2,223,227,325.53","2,789,106,842.72","487,679,577.58","1,016,821,554.83","1,582,704,864.56","2,393,018,632.30","854,042,350.33","1,541,221,587.79","2,302,487,366.41","3,436,713,179.30","777,976,188.64","1,475,177,623.90","2,309,618,122.32","4,232,578,939.41","955,238,108.71","2,152,203,528.38","2,998,738,135.81","4,982,500,517.86","955,634,388.78","1,934,820,511.13","2,768,285,895.99","4,831,796,441.45","1,083,098,536.32","2,021,332,304.34","3,156,678,249.16","4,989,465,809.07","744,910,183.93","2,777,477,129.82","3,815,473,471.78","7,999,246,202.32","1,057,627,767.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"21,717,444.00","41,149,394.88","101,696,762.98","210,601,906.43","31,743,978.04","55,273,675.10","73,689,683.12","152,364,269.08","25,766,723.89","58,257,325.21","99,561,507.19","149,736,967.28","22,485,107.29","51,365,296.00","158,529,371.50","194,326,047.15","126,699,841.36","166,823,950.28","229,777,482.81","234,932,563.02","53,808,436.02","112,233,176.88","181,782,735.52","257,909,048.50","106,545,562.28","159,256,388.01","229,855,096.82","396,240,881.33","38,898,655.35","118,512,983.86","156,220,028.13","356,125,029.81","73,485,401.86","188,890,495.46","251,975,380.12","494,787,764.62","86,719,903.60","157,448,345.72","298,322,076.58","454,671,334.89","271,767,480.48","403,355,850.41","404,430,108.22","451,316,304.22","23,352,067.26","6,091,974.63","54,963,856.90","438,910,163.01","79,566,762.50"
营业外收入,"365,477.37","501,726.91","861,441.21","1,169,625.46","62,828.62","250,869.98","7,567,184.03","23,736,508.13","2,143,558.40","4,461,080.61","6,349,245.12","18,555,058.10","1,586,216.98","3,635,909.22","4,560,005.95","3,842,979.35","1,040,998.58","9,271,546.40","9,176,669.05","11,290,505.49","37,886,959.99","39,007,710.27","40,518,693.84","41,843,212.12","1,154,135.78","1,662,282.27","2,183,970.72","8,059,767.53","239,598.01","990,482.24","2,169,117.45","3,906,140.27","1,190,820.67","10,406,137.96","11,009,625.25","19,281,756.72","1,951,099.54","3,886,709.72","5,417,107.85","28,766,335.73","13,585,228.79","18,007,177.37","24,552,914.39","17,241,112.65","1,222,014.46","1,594,207.55","2,634,516.24","3,450,205.32","1,210,662.33"
销售费用,"3,618,794.77","7,096,759.71","10,844,428.56","32,879,443.97","6,166,299.10","13,100,876.51","15,753,546.35","36,034,292.52","6,529,180.64","12,105,145.52","23,269,606.76","25,401,881.26","3,884,283.03","12,794,280.52","28,726,241.59","44,587,876.25","11,053,148.27","18,042,552.47","28,559,224.76","38,611,785.10","9,019,253.58","16,802,745.06","30,748,900.67","41,188,510.04","10,762,721.23","27,337,257.61","57,654,766.23","85,448,192.10","18,143,490.84","35,680,689.64","50,482,315.21","78,635,462.90","8,197,737.23","26,219,802.13","42,068,249.65","57,773,752.54","10,546,256.98","19,169,535.37","31,957,812.65","55,171,898.95","15,851,027.41","29,175,218.79","45,413,056.51","79,671,991.23","21,421,146.93","34,754,337.55","48,043,185.59","118,883,992.04","11,852,911.38"
减:营业外支出,"53,208.61","4,949,656.14","5,070,132.44","29,299,779.57","11,511.53","1,535,639.15","1,502,715.35","7,666,739.27","263,568.82","535,989.31","3,062,087.19","4,528,731.78","1,042.90","2,468,235.83","3,469,962.10","4,986,710.62",,"140,070.45","142,385.67","513,282.37","122,843.07","207,966.88","228,106.67","233,902.25","1,276,928.60","2,188,432.51","2,559,768.34","3,155,834.66","121,819.40","165,490.01","748,581.27","1,229,881.83","190,251.09","435,351.09","1,084,640.46","1,409,629.40","131,082.38","296,372.28","5,351,299.02","11,085,229.73","198,533.42","1,670,706.01","3,309,880.60","17,950,847.10","151,035.15","16,254,966.21","17,745,148.95","13,543,334.99","1,458,866.08"
管理费用,"20,282,805.63","41,010,967.08","71,418,509.93","101,031,272.77","22,910,969.24","54,170,574.02","76,908,041.02","118,117,676.86","26,694,849.11","61,691,300.37","100,920,508.34","183,911,328.08","21,561,988.89","49,782,062.74","79,666,929.23","118,220,209.82","28,590,813.07","62,661,035.89","99,220,458.40","136,620,992.67","29,273,109.01","61,550,700.57","94,502,574.30","135,467,525.23","29,938,762.45","63,183,084.81","93,935,497.19","132,913,430.64","35,604,441.70","73,787,572.09","108,463,082.13","142,721,593.31","34,688,808.52","69,853,908.34","115,292,373.09","153,932,441.28","37,334,745.21","72,833,068.15","113,330,408.92","164,112,029.84","53,476,381.15","102,001,859.64","147,138,131.29","223,699,477.70","54,905,111.69","117,802,829.93","175,834,378.23","279,123,212.84","62,753,071.37"
其中:非流动资产处置净损失,,,,,,,,,,"198,520.28",,"198,520.28",,,,"1,501,479.83",,"33,514.62",,"343,824.36","15,128.67","23,224.48","23,421.13","15,480.04","1,257,928.60","1,257,928.60","1,258,925.09","1,745,757.46",,,,511.67,661.09,661.09,661.09,"8,195.86",,,,"38,966.31","3,382.21","5,119.46","94,094.98","278,214.50",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
