科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"16,098,459.14","98,169,670.21","350,260,431.38","396,806,928.31","390,631,923.38","1,224,600,779.01","1,364,860,108.85","1,212,322,137.63","1,275,830,226.52","1,188,805,585.22","1,322,731,118.29","1,141,394,924.77","1,221,177,543.62","1,060,020,214.42","1,159,795,433.97","1,009,818,791.48","985,420,814.13","761,980,839.66","304,425,516.06","817,507,066.28","587,157,492.37","429,151,981.98","405,314,763.93","225,436,892.29","264,585,899.97","386,974,382.44","182,814,471.52","279,798,405.94","282,469,262.64","335,335,702.45","255,170,401.27"
短期借款,"20,000,000.00",,,,,"30,000,000.00",,,,,,,,,,"248,220,000.00","248,220,000.00",,"150,000,000.00","380,000,000.00","150,000,000.00",,"93,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","87,000,000.00",,,,"100,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,"289,570,000.00","240,130,000.00",,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,"15,000,000.00","4,146,549.20",,,,"21,891,614.00","15,614,786.00",,,,"4,030,050.00"
应收账款,"127,142.30","375,179.31","444,671.54","334,134.37","792,837.34","2,629,906.40","2,385,829.80","2,116,907.86","7,107,173.29","1,076,160.13","5,759,247.56","3,237,469.34","4,192,451.34","1,530,482.68","4,774,828.08","6,467,091.86","19,193,342.55","2,533,557.19","10,013,786.85","8,523,191.76","23,106,870.44","23,655,820.86","19,938,035.72","14,269,960.40","20,761,943.46","10,770,979.35","19,524,371.74","21,444,696.17","13,662,271.76","15,980,489.54","19,131,448.62"
应付账款,"32,434,217.71","49,869,436.76","68,385,906.74","60,754,372.48","88,186,349.05","83,188,507.33","71,791,826.86","55,328,175.05","93,035,479.35","143,221,571.63","97,078,490.17","90,912,866.86","59,286,914.09","165,700,819.69","127,109,872.47","140,826,455.68","100,820,595.25","128,004,484.87","130,172,033.96","92,625,461.90","161,064,506.76","213,071,635.37","151,873,429.44","175,418,174.06","185,506,189.64","281,867,974.70","200,835,330.75","169,923,994.32","170,173,485.66","203,049,230.88","166,270,342.90"
预付款项,"915,097.75","847,705.81","15,720,827.51","12,896,400.16","37,108,533.51","15,527,446.75","35,879,171.87","41,295,514.93","48,717,718.96","38,542,094.21","102,202,647.76","106,814,710.96","125,614,641.71","36,460,481.38","38,165,101.13","42,141,877.10","24,095,349.29","32,483,572.03","27,350,745.65","72,896,472.32","43,865,530.26","10,660,821.53","11,990,419.59","17,406,239.73","12,538,462.33","33,997,985.31","24,542,799.20","31,814,819.27","39,267,270.82","24,727,199.53","35,705,337.53"
预收款项,"1,317,189.89","1,433,707.64","1,471,916.53","2,347,581.11","1,529,861.51","4,356,951.79","15,876,340.78","22,650,959.90","50,347,139.98","77,082,560.52","26,027,877.51","26,189,512.66","43,278,510.58","49,831,666.75","23,118,011.97","14,821,079.50","9,315,257.41","10,206,616.02","10,671,299.88","8,686,989.46","26,024,588.21","27,668,415.23","17,080,299.57","12,034,824.90","17,606,369.38","62,964,688.90","18,938,528.41","20,343,854.02","18,695,359.77","14,811,508.76","13,340,828.76"
其他应收款,"38,431,939.39","27,946.26","89,300.00","227,382.40","1,567,607.22","312,349.90","1,745,714.07","1,503,873.36","1,804,142.99","158,616.52","4,807,560.89","2,492,519.50","5,691,395.58","627,117.50","3,161,703.44","2,921,844.41","4,072,320.97","2,963,898.19","4,481,377.80","3,965,565.28","26,823,214.70","3,487,110.27","5,441,733.33","5,617,461.33","7,101,398.44","4,992,204.71","6,501,353.85","4,468,881.54","6,197,945.18","2,839,134.40","5,186,153.30"
应付职工薪酬,"3,278,929.30","3,949,220.86","4,402,740.20","4,268,030.11","6,033,656.97","7,381,759.68","5,905,628.39","7,049,735.25","8,696,313.48","14,006,474.10","10,205,616.67","10,686,200.83","9,446,045.88","25,911,712.07","10,754,101.12","13,637,854.24","13,103,400.34","31,597,692.04","14,433,051.72","16,444,525.44","17,475,283.71","36,978,274.16","18,043,408.88","20,192,410.84","17,714,805.94","40,273,098.45","18,818,568.88","16,716,982.97","13,626,095.15","39,821,166.89","18,998,987.08"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"30,292,156.82","16,187,407.72","61,015,655.23","32,264,807.26","61,049,201.89","52,960,198.87","77,484,245.30","51,728,071.76","95,724,042.80","109,738,059.30","108,174,695.90","36,594,697.12","46,038,755.33","58,940,014.60","39,406,006.51","17,583,818.93","43,542,066.76","41,877,722.71","56,272,091.12","25,494,378.73","28,980,912.75","42,700,955.06","65,272,643.75","31,392,927.53","42,461,271.93","62,718,399.15","40,498,047.86","24,091,772.33","40,758,763.30","58,824,695.42","54,996,183.04"
应收利息,,,,,,,,,,"10,887,604.78","356,250.00","356,250.00",,"5,945,881.68","1,398,919.45","3,267,041.72","1,197,892.37","1,434,066.59","571,566.59","1,349,688.18",,"482,227.40","122,720.56","518,730.08","400,663.43","131,800.55","104,195.18","170,356.40","170,356.40",,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,"99,086.30",,"117,500.00",,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"24,000,000.00",,,,,,,,,,,,,"135,000,000.00",,,,"112,500,000.00",,,,"81,000,000.00",,,,,,,
存货,"113,179,427.62","127,042,011.61","174,722,839.98","163,808,870.03","204,811,639.77","294,203,277.91","236,768,201.09","255,801,664.18","292,097,454.71","420,970,417.89","342,229,787.68","382,689,080.89","386,677,709.90","460,138,941.92","412,883,101.48","478,992,325.42","459,058,724.06","546,870,416.34","461,773,473.60","485,415,846.66","566,521,351.20","661,528,151.55","567,408,021.11","559,227,346.39","581,168,517.58","656,821,996.57","611,677,793.77","606,949,224.75","620,674,617.54","677,029,390.12","647,023,501.58"
其他应付款,"19,260,857.72","14,679,796.04","10,973,060.48","10,984,800.68","11,326,664.81","16,036,953.84","15,800,464.51","23,315,509.40","27,235,642.91","11,615,088.57","19,182,012.25","42,146,294.94","55,675,766.89","23,924,294.73","30,491,598.54","39,382,246.36","45,008,548.26","44,281,765.89","31,607,433.41","30,121,994.12","58,569,423.53","38,678,063.19","38,958,548.55","37,531,887.05","31,748,125.88","28,445,686.20","22,487,475.03","24,579,540.88","31,946,784.23","29,622,345.39","33,798,455.93"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"50,000,000.00","40,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"155,000.00","589,166.67","1,465,249.99","5,251,500.00","5,291,393.89","20,350,443.76","3,794,111.38","2,849,632.11","172,279.49","55,834,069.13","855,009.67","25,591,755.50","1,195,288.85","46,349,334.95","11,505,714.56","19,397,526.28","2,592,889.78","182,843,967.00","974,109,494.07","554,358,045.48","306,177,627.67","257,733,775.58","506,320,405.98","735,431,048.11","617,145,151.57","558,166,131.11","619,515,097.68","259,176,233.01","258,115,227.93","214,335,226.79","455,226,086.71"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
