科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"467,367,977.81","558,880,244.44","668,629,934.65","194,915,772.41","350,518,226.18","514,119,859.79","766,342,469.00","217,503,958.77","344,409,494.32","525,327,678.62","717,451,648.56","151,521,615.19","470,035,564.09","775,977,060.34","1,003,537,375.83","238,081,743.89","427,478,451.36","702,453,534.92","1,056,132,930.76","185,907,039.68","321,719,308.01","550,226,670.74","764,245,539.66","204,942,564.34","387,696,805.42","568,897,791.93","753,418,527.55","176,938,887.27","339,809,496.81","576,831,461.66","793,088,998.82","183,468,834.48","438,083,692.26","731,938,001.67"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"507,102,507.80","507,102,507.80",,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,"88,782.62","1,776.10","2,701.58","9,164.65","15,063.38",,,,,,,,,,,,,,,"6,005.53"
支付其他与投资活动有关的现金,,,,,,"1,000.00","425,000.00","-20,196.00","-20,196.00","-20,196.00",,,"977,002.94","977,002.94",,,,,,"9,381,563.35","9,381,563.35","9,381,563.35",,,,,,,"214,000.00",,,,,
收到其他与经营活动有关的现金,"160,205,210.55","5,645,289.37","12,728,544.60","1,495,491.51","2,946,712.96","3,781,568.97","24,356,170.03","8,817,867.55","19,279,451.96","31,693,799.65","48,941,291.31","4,771,586.12","11,153,310.00","36,500,696.42","58,626,487.45","3,750,349.21","14,640,805.04","24,717,517.41","42,438,537.37","6,260,826.89","7,944,023.58","13,954,987.96","24,318,816.57","29,569,810.52","37,742,946.19","24,765,255.11","41,446,216.13","20,844,841.86","26,707,259.59","29,368,709.78","36,382,299.16","6,310,983.86","12,795,005.18","28,835,185.75"
投资活动现金流出小计,"370,229,070.05","95,860,308.54","17,596,309.17","10,581,030.29","39,569,147.28","64,396,210.72","112,889,630.07","25,513,718.32","73,786,473.77","108,370,498.19","170,179,231.71","57,207,695.84","618,143,387.22","668,463,678.14","253,786,878.82","47,212,043.74","116,888,082.28","205,343,243.82","313,107,436.73","59,091,710.83","114,026,543.28","220,795,834.66","290,647,387.64","95,536,214.52","125,489,102.32","168,497,617.82","204,602,511.23","83,895,013.04","166,257,113.98","176,536,058.21","212,199,239.30","18,817,995.80","35,198,124.69","51,792,496.89"
经营活动现金流入小计,"627,573,188.36","564,525,533.81","681,358,479.25","196,411,263.92","353,464,939.14","517,901,428.76","790,698,639.03","226,321,826.32","363,688,946.28","557,021,478.27","766,392,939.87","156,293,201.31","481,188,874.09","812,477,756.76","1,062,252,645.90","241,833,869.20","442,121,957.98","727,180,216.98","1,098,586,531.51","192,167,866.57","329,663,331.59","564,181,658.70","788,564,356.23","234,512,374.86","425,439,751.61","593,663,047.04","794,864,743.68","197,783,729.13","366,516,756.40","606,200,171.44","829,471,297.98","189,779,818.34","450,878,697.44","760,779,192.95"
投资活动产生的现金流量净额,"-94,224,998.18","-10,666,778.44","-14,817,114.78","-10,527,136.24","-36,705,347.36","-60,070,997.65","-108,213,527.68","84,995,786.88","38,974,980.07","-2,338,307.74","-49,401,440.44","-61,083,629.18","-585,990,137.46","-638,090,539.38","-204,841,662.57","-27,207,002.64","-74,350,711.93","-158,747,761.48","-257,011,331.36","-59,146,669.19","-103,802,699.38","-206,648,742.18","-277,119,757.35","-96,088,664.52","-114,947,666.12","-137,955,761.62","-173,982,252.90","-79,895,013.04","-160,090,951.71","-165,739,895.94","-186,466,679.04","-18,944,849.70","-35,324,978.59","-50,914,030.53"
购买商品、接受劳务支付的现金,"139,069,158.33","144,679,907.07","178,735,800.72","47,992,965.79","104,691,414.62","165,601,398.50","242,297,076.63","63,111,345.22","145,070,679.27","208,996,332.25","220,511,040.78","43,719,487.09","130,538,010.93","184,888,098.81","181,407,491.24","55,424,386.95","103,384,079.02","141,765,027.68","139,569,847.41","40,713,894.19","73,828,104.70","131,517,786.77","153,486,962.78","46,363,561.95","86,337,413.55","126,943,674.16","116,965,563.88","46,863,338.11","87,165,700.49","129,655,542.34","137,459,640.57","66,624,978.24","149,061,993.41","216,378,933.80"
吸收投资收到的现金,,,,,"2,000,005,870.12","2,000,005,870.12","2,012,740,000.00",,,,,,,,,,,,,,,,,"-1,250,514.74",,,,"1,250,514.74","1,250,514.74",,,,,
支付给职工以及为职工支付的现金,"80,212,703.64","94,619,778.69","109,221,017.35","29,231,283.51","70,750,247.10","101,795,616.42","128,515,526.39","37,317,098.09","76,705,268.86","110,638,938.84","139,510,935.73","36,692,548.42","98,235,592.84","146,617,549.35","203,077,000.05","53,367,310.74","122,203,787.90","174,568,519.69","208,687,665.94","65,672,947.70","119,154,257.38","173,149,932.45","216,936,608.21","28,532,630.14","48,680,215.00","151,412,188.15","214,008,845.32","38,776,468.21","69,027,158.09","111,600,726.41","216,605,401.52","46,020,017.19","93,452,552.71","147,723,342.01"
取得借款收到的现金,"160,000,000.00","357,950,000.00","381,195,000.00","86,000,000.00","70,000,000.00","70,000,000.00","90,000,000.00",,,,,,,,,,"28,500,000.00","118,500,000.00","138,000,000.00",,"28,500,000.00","28,500,000.00","48,500,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00","20,000,000.00","22,350,000.00","22,350,000.00","20,000,000.00","20,000,000.00","20,000,000.00","35,000,000.00"
支付的各项税费,"81,037,491.74","110,771,569.87","103,771,107.60","36,239,595.60","73,610,145.65","104,866,619.57","132,083,749.26","39,289,286.03","97,093,710.60","129,758,156.23","159,502,171.62","53,420,655.14","111,695,488.85","162,040,557.11","208,593,812.65","52,913,607.98","119,515,454.33","156,552,917.33","203,041,174.62","49,968,100.90","78,560,287.74","104,741,757.43","123,129,413.03","20,607,747.82","68,204,283.41","94,273,788.23","109,916,560.07","28,522,653.54","64,777,388.99","98,482,008.36","122,061,419.86","40,539,170.75","92,980,074.14","129,996,446.59"
收到其他与筹资活动有关的现金,,,,,,"1,000,000.00",,,,,,,,,"800,000.00",,"1,500,000.00","3,500,000.00","4,023,208.00",,"320,000.00","320,000.00","4,368,108.00","1,250,514.74","340,688.49","-231,755.95","1,100,000.00","-1,690,348.08","-1,129,627.59","-323,779.51","2,520,000.00",,"1,011,135.37","1,011,135.37"
支付其他与经营活动有关的现金,"152,311,015.76","87,867,568.41","93,488,003.90","15,252,888.81","16,944,968.56","25,553,814.11","101,250,362.76","14,179,297.61","23,981,949.88","28,720,973.34","112,285,332.77","12,611,332.21","60,875,217.86","80,892,527.56","218,451,559.25","36,709,298.94","82,275,812.62","114,885,920.63","257,672,437.93","40,284,409.37","65,923,125.96","76,485,567.09","222,772,491.78","65,525,885.30","132,579,148.81","111,910,393.54","155,845,133.93","51,443,687.62","114,579,847.68","156,571,686.05","179,748,575.20","48,877,425.14","98,555,219.85","153,728,570.67"
筹资活动现金流入小计,"160,000,000.00","357,950,000.00","381,195,000.00","86,000,000.00","2,070,005,870.12","2,071,005,870.12","2,102,740,000.00",,,,,,,,"800,000.00",,"30,000,000.00","122,000,000.00","142,023,208.00",,"28,820,000.00","28,820,000.00","52,868,108.00",,"30,340,688.49","29,768,244.05","31,100,000.00","19,560,166.66","22,470,887.15","22,026,220.49","22,520,000.00","20,000,000.00","21,011,135.37","36,011,135.37"
经营活动现金流出小计,"452,630,369.47","437,938,824.04","485,215,929.57","128,716,733.71","265,996,775.93","397,817,448.60","604,146,715.04","153,897,026.95","342,851,608.61","478,114,400.66","631,809,480.90","146,444,022.86","401,344,310.48","574,438,732.83","811,529,863.19","198,414,604.61","427,379,133.87","587,772,385.33","808,971,125.90","196,639,352.16","337,465,775.78","485,895,043.74","716,325,475.80","161,029,825.21","335,801,060.77","484,540,044.08","596,736,103.20","165,606,147.48","335,550,095.25","496,309,963.16","655,875,037.15","202,061,591.32","434,049,840.11","647,827,293.07"
偿还债务支付的现金,"102,225,000.00","401,110,000.00","367,065,000.00","156,000,000.00","246,000,000.00","246,000,000.00","250,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,"3,000,000.00","31,500,000.00","76,500,000.00","76,500,000.00","10,000,000.00","10,000,000.00","20,000,000.00","40,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","50,000,000.00","20,000,000.00","22,000,000.00","30,000,000.00"
经营活动产生的现金流量净额,"174,942,818.89","126,586,709.77","196,142,549.68","67,694,530.21","87,468,163.21","120,083,980.16","186,551,923.99","72,424,799.37","20,837,337.67","78,907,077.61","134,583,458.97","9,849,178.45","79,844,563.61","238,039,023.93","250,722,782.71","43,419,264.59","14,742,824.11","139,407,831.65","289,615,405.61","-4,471,485.59","-7,802,444.19","78,286,614.96","72,238,880.43","73,482,549.65","89,638,690.84","109,123,002.96","198,128,640.48","32,177,581.65","30,966,661.15","109,890,208.28","173,596,260.83","-12,281,772.98","16,828,857.33","112,951,899.88"
分配股利、利润或偿还利息支付的现金,"107,496,187.15","144,798,181.84","47,870,878.86","131,771,085.70","144,705,738.22","144,978,770.87","150,689,675.74","30,279,431.96","164,488,924.76","164,488,924.76","185,488,924.76","129,666.66","164,339,159.46","164,339,159.46","157,961,045.14","9,825,484.65","9,842,871.02","155,836,389.62","162,066,806.72","784,388.89","110,862,090.76","111,532,790.76","111,535,999.09","265,304.77","57,050,395.66","57,696,308.64","58,336,229.71","184,875.00","74,473,496.03","75,458,829.36","77,203,054.20","840,430.56","57,495,882.70","58,370,952.15"
收回投资收到的现金,"270,000,000.00","83,136,960.00",,,,,,,"41,471,840.00","41,471,840.00","41,896,840.00",,"30,000,000.00","30,000,000.00","40,000,000.00","20,000,000.00","20,000,000.00","23,930,000.00","20,000,000.00",,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"10,000,000.00",,,,,,"3,761,336.76",,,,"100,000.00",,,,"502,515,566.94","5,000,000.00","5,000,000.00","5,000,000.00","5,520,000.00",,,,"220,000.00",,,,"270,000.00",,,,,,,
取得投资收益收到的现金,"5,588,428.61","1,998,652.46","973,247.74",,"762,000.00","2,199,524.00","2,199,524.00","110,504,782.53","71,289,386.73","64,509,809.27","78,805,365.07","-3,875,933.34","2,153,009.76","153,009.76","8,242,907.10","5,041.10","17,561,518.10","17,561,518.10","17,556,477.00",,,"3,514,423.40","3,514,423.40","-560,000.00",,"10,533,886.20","10,533,886.21",,"2,166,142.27","2,166,142.27","16,211,324.27",,,"191,421.44"
筹资活动现金流出小计,"219,721,187.15","545,908,181.84","414,935,878.86","287,771,085.70","390,705,738.22","390,978,770.87","404,451,012.50","50,279,431.96","184,488,924.76","184,488,924.76","205,588,924.76","129,666.66","164,339,159.46","164,339,159.46","660,476,612.08","14,825,484.65","14,842,871.02","160,836,389.62","167,586,806.72","3,784,388.89","142,362,090.76","188,032,790.76","188,255,999.09","10,265,304.77","67,050,395.66","77,696,308.64","98,606,229.71","30,184,875.00","114,473,496.03","115,458,829.36","127,203,054.20","20,840,430.56","79,495,882.70","88,370,952.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,"415,643.26","57,917.64","1,805,946.65","53,894.05","2,101,799.92","2,098,991.61","2,476,578.39","4,722.67",227.11,"50,541.18","75,586.20",,240.00,"220,129.00","702,309.15",,"4,975,852.25","5,103,964.24","339,628.37","-54,958.36","223,843.90","632,669.08","13,206.89","7,550.00","10,541,436.20","7,970.00","86,372.12",,20.00,20.00,"921,235.99","-126,853.90","-126,853.90",620.00
筹资活动产生的现金流量净额,"-59,721,187.15","-187,958,181.84","-33,740,878.86","-201,771,085.70","1,679,300,131.90","1,680,027,099.25","1,698,288,987.50","-50,279,431.96","-184,488,924.76","-184,488,924.76","-205,588,924.76","-129,666.66","-164,339,159.46","-164,339,159.46","-659,676,612.08","-14,825,484.65","15,157,128.98","-38,836,389.62","-25,563,598.72","-3,784,388.89","-113,542,090.76","-159,212,790.76","-135,387,891.09","-10,265,304.77","-36,709,707.17","-47,928,064.59","-67,506,229.71","-10,624,708.34","-92,002,608.88","-93,432,608.87","-104,683,054.20","-840,430.56","-58,484,747.33","-52,359,816.78"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-5,183.83",,"-10,187.94",,,,,-0.01,,,,,,,,,,,658.57,,,
收到其他与投资活动有关的现金,,,,,,"26,697.46",,,,,,,,,,,,,"18,200,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,,"20,000,000.00","20,000,000.00","4,000,000.00","4,000,000.00","8,630,000.00","8,600,000.00",,,"686,424.92"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"276,004,071.87","85,193,530.10","2,779,194.39","53,894.05","2,863,799.92","4,325,213.07","4,676,102.39","110,509,505.20","112,761,453.84","106,032,190.45","120,777,791.27","-3,875,933.34","32,153,249.76","30,373,138.76","48,945,216.25","20,005,041.10","42,537,370.35","46,595,482.34","56,096,105.37","-54,958.36","10,223,843.90","14,147,092.48","13,527,630.29","-552,450.00","10,541,436.20","30,541,856.20","30,620,258.33","4,000,000.00","6,166,162.27","10,796,162.27","25,732,560.26","-126,853.90","-126,853.90","878,466.36"
五、现金及现金等价物净增加额,"20,996,633.56","-72,038,250.51","147,584,556.04","-144,603,691.73","1,730,062,947.75","1,740,040,081.76","1,776,627,383.81","107,141,154.29","-124,676,607.02","-107,920,154.89","-120,406,906.23","-51,364,117.39","-670,489,917.14","-564,390,674.91","-613,805,679.88","1,386,777.30","-44,450,758.84","-58,176,319.45","7,040,475.53","-67,402,543.68","-225,147,234.33","-287,574,917.98","-340,268,768.01","-32,871,419.64","-62,018,682.45","-76,760,823.25","-43,359,842.13","-58,342,139.73","-221,126,899.44","-149,282,296.53","-117,552,813.84","-32,067,053.24","-76,980,868.59","9,678,052.57"
购建固定资产、无形资产和其他长期资产支付的现金,"13,921,211.06","64,860,308.54","17,596,309.17","10,581,030.29","17,208,659.28","42,034,722.72","69,686,828.07","25,533,914.32","73,806,669.77","108,390,694.19","165,942,082.36","51,173,218.04","110,063,876.48","160,384,167.40","224,346,189.02","47,212,043.74","116,888,082.28","205,343,243.82","313,107,436.73","49,710,147.48","104,644,979.93","211,414,271.31","290,647,387.64","95,536,214.52","125,489,102.32","168,497,617.82","204,602,511.23","83,895,013.04","91,043,113.98","101,536,058.21","137,199,239.30","18,817,995.80","35,198,124.69","51,792,496.89"
期初现金及现金等价物余额,"171,153,600.96","192,150,234.52","120,111,984.01","266,917,110.05","267,696,540.05","267,696,540.05","267,696,540.05","2,044,323,923.86","2,044,323,923.86","2,044,323,923.86","2,044,323,923.86","1,925,786,224.59","1,971,076,945.51","1,971,076,945.51","1,971,076,945.51","1,357,271,265.63","1,357,271,265.63","1,357,271,265.63","1,357,271,265.63","1,364,311,741.16","1,364,311,741.16","1,364,311,741.16","1,364,311,741.16","1,075,785,225.04","1,024,042,973.15","1,024,042,973.15","1,024,042,973.15","987,818,151.64","987,818,151.64","987,818,151.64","980,683,131.02","881,234,358.25","863,130,317.18","882,248,807.75"
投资支付的现金,"356,307,858.99","31,000,000.00",,,"22,360,488.00","22,360,488.00","42,777,802.00",,,,"4,237,149.35","6,034,477.80",,,"29,440,689.80",,,,,,,,,,,,,,"75,000,000.00","75,000,000.00","75,000,000.00",,,
