科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"709,082,059.15","782,178,002.55","382,227,915.16","580,218,237.75","767,640,789.43","218,561,719.72","387,501,915.23","587,243,356.05","809,249,524.41","255,738,215.88","456,581,329.03","697,625,992.33","934,768,439.29","213,577,533.61","424,023,288.95","649,594,661.65","886,111,210.75","237,391,707.56","437,915,665.10","636,381,534.39","847,876,120.03","205,826,469.20","389,120,644.60","579,128,746.16","772,288,333.13","187,795,299.04","362,740,473.39","527,035,265.92","755,549,672.34","172,403,743.20","349,899,427.50","539,816,773.15","788,670,325.94","290,643,494.80","487,889,552.42","741,433,529.91","1,017,028,975.91","240,276,504.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"-1,499,014.62",,,,,"9,260,760.00","3,524,441.49","3,524,441.49","3,524,441.49",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"5,764,040.73","4,824,358.71","2,236,579.28","4,759,795.25","6,658,469.60","2,680,964.57","5,271,927.14","8,213,405.07","9,990,072.95","4,111,711.63","4,328,488.02","4,328,488.02","4,021,675.35","472,818.90","4,573,124.18","10,815,507.59","12,052,403.52","2,302,699.49","5,123,291.60","5,128,331.23","5,148,621.42","1,815,031.58","2,298,615.83","3,148,628.86","3,154,074.73","961,548.79","1,388,735.67","1,389,069.70","1,389,069.70","2,784,192.17","2,896,596.51","2,896,596.51","2,924,722.66","3,005,637.26","3,005,637.26","3,863,035.80","3,863,035.80","2,657,089.47"
支付其他与投资活动有关的现金,"13,812,333.00",,,,,,,,"775,197,970.00","71,549,987.20","151,549,987.20","194,625,734.39","150,000,000.00","360,000,000.00","590,000,000.00","855,000,000.00","955,000,000.00","605,800,000.00","954,800,000.00","1,927,800,000.00","2,092,800,000.00","903,000,000.00","1,322,000,000.00","2,085,500,000.00","2,791,500,000.00","630,900,000.00","1,615,000,000.00","2,287,000,000.00","3,053,900,000.00","322,000,000.00","1,147,000,000.00","1,552,800,000.00","2,279,900,000.00","610,000,000.00","1,354,500,000.00","2,234,500,000.00","2,741,500,000.00","490,000,000.00"
收到其他与经营活动有关的现金,"93,803,159.17","8,864,431.46","7,030,609.15","11,847,452.33","7,771,779.61","2,468,248.84","4,751,037.76","8,663,540.42","11,754,003.12","1,780,865.54","6,255,145.37","9,324,953.51","133,217,643.59","22,196,082.86","25,811,996.32","269,676,247.76","209,680,405.03","245,915,523.34","248,915,326.62","531,483,257.26","534,099,150.04","9,538,349.14","16,781,690.47","27,307,364.99","33,457,312.57","6,393,561.76","12,113,718.38","13,084,293.10","14,417,776.46","908,356.78","2,967,151.84","4,343,436.20","11,412,233.63","25,528,346.63","82,963,111.02","130,114,021.26","151,088,624.87","49,261,974.96"
投资活动现金流出小计,"91,623,413.65","126,960,921.36","34,799,493.00","43,187,637.08","54,300,179.87","13,677,129.88","31,392,460.01","47,259,900.89","831,174,808.27","87,282,193.28","225,274,729.16","795,690,930.93","188,689,331.79","383,710,374.85","610,433,448.36","877,003,187.04","978,336,002.44","610,805,524.71","965,071,151.28","1,940,827,850.79","2,122,101,418.86","905,019,495.24","1,330,492,510.76","2,098,542,049.79","2,821,755,788.21","651,693,183.98","1,647,803,360.36","2,343,332,863.35","3,138,714,605.51","331,769,861.17","1,170,088,186.66","1,617,276,096.22","2,366,334,010.92","624,445,978.10","1,382,176,512.16","2,278,758,260.32","2,792,877,206.13","501,507,534.66"
经营活动现金流入小计,"808,649,259.05","795,866,792.72","391,495,103.59","596,825,485.33","782,071,038.64","223,710,933.13","397,524,880.13","604,120,301.54","830,993,600.48","261,630,793.05","467,164,962.42","711,279,433.86","1,072,007,758.23","236,246,435.37","454,408,409.45","930,086,417.00","1,107,844,019.30","485,609,930.39","691,954,283.32","1,172,993,122.88","1,387,123,891.49","217,179,849.92","408,200,950.90","609,584,740.01","808,899,720.43","195,150,409.59","376,242,927.44","541,508,628.72","771,356,518.50","176,096,292.15","355,763,175.85","547,056,805.86","803,007,282.23","319,177,478.69","573,858,300.70","875,410,586.97","1,171,980,636.58","292,195,569.05"
投资活动产生的现金流量净额,"-91,423,961.08","-80,059,783.99","-34,799,493.00","-43,187,637.08","-54,290,372.18","-13,677,129.88","-31,092,460.01","-46,097,862.46","-829,318,137.10","-73,428,503.43","-108,765,996.58","-131,584,688.64","-180,929,679.12","-231,040,169.38","-92,260,787.10","-225,300,609.84","-22,752,305.12","-538,320,630.44","-527,042,436.16","-863,056,527.46","-921,577,657.17","67,947,266.41","49,535,260.02","2,915,690.85","-99,139,803.47","77,234,731.64","49,153,804.60","48,794,860.64","74,235,353.37","172,392,789.62","139,853,043.18","246,600,584.22","189,287,004.87","-170,707,134.35","-106,921,644.20","-75,180,583.13","-33,561,831.48","18,910,851.36"
购买商品、接受劳务支付的现金,"508,745,695.87","553,912,439.67","233,487,179.25","350,659,302.41","468,960,919.13","125,901,329.75","267,731,754.88","394,345,104.71","487,895,839.97","158,805,498.28","313,527,873.49","478,192,232.66","621,887,008.85","136,535,713.96","267,118,819.96","400,580,255.39","548,807,330.01","166,242,744.19","273,270,338.36","385,116,172.99","508,039,287.95","151,822,751.77","243,167,047.16","342,770,458.25","451,819,608.28","125,632,920.43","213,925,494.33","310,736,724.25","433,809,928.81","142,284,090.53","239,629,165.44","328,398,382.08","472,372,804.58","176,726,246.80","329,114,681.70","497,994,599.55","694,248,919.46","198,485,588.66"
吸收投资收到的现金,,,,,,"1,176,129,959.68","1,176,321,452.72","1,176,661,545.30","1,175,182,500.00",,,,,,,,,,,,,,,"656,000.00","656,000.00",,,"236,065.57","236,065.57",,"131,147.54","131,147.54","131,147.54",,,,,"36,039,300.00"
支付给职工以及为职工支付的现金,"56,550,949.37","74,690,479.83","42,479,124.57","62,439,036.06","83,367,394.52","26,285,603.27","51,104,011.77","78,915,972.23","111,351,010.50","32,606,664.10","66,279,327.66","100,155,549.75","135,017,451.93","37,373,765.90","71,972,227.10","108,560,131.83","149,622,772.89","41,262,425.35","77,945,934.31","113,752,589.12","154,399,739.39","44,880,014.16","84,830,406.86","122,969,681.49","164,714,778.91","42,448,378.01","80,930,021.42","116,928,103.96","161,225,880.48","44,482,408.59","83,157,103.08","122,199,724.83","168,974,262.30","49,438,173.83","100,302,330.93","146,412,483.44","203,655,245.28","63,735,454.58"
取得借款收到的现金,"60,000,000.00","61,125,934.92","40,000,000.00","40,000,000.00","80,000,000.00",,,,,,,,,,,,,,"1,252,000.00","1,252,000.00","1,252,000.00",,,,,"8,208,000.00","12,252,000.00","12,252,000.00","12,791,000.00",,,,,,,,,
支付的各项税费,"17,828,028.55","30,876,750.78","36,551,927.07","51,877,633.70","66,500,987.02","17,290,893.83","33,973,461.70","49,214,518.02","62,268,324.97","13,588,559.79","33,912,854.93","44,548,574.94","56,863,700.28","17,079,691.23","31,073,584.36","48,436,909.97","65,322,691.08","18,366,321.91","37,958,540.99","51,858,547.24","66,049,678.86","11,154,481.56","30,954,016.88","47,598,313.37","67,396,699.86","12,039,558.73","31,557,997.17","52,377,751.08","69,285,652.73","14,337,365.30","26,894,411.56","45,200,469.90","57,911,486.76","23,487,243.11","40,794,593.01","52,000,169.60","71,337,445.07","11,997,057.14"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"148,254,895.68","56,883,413.06","21,054,054.37","37,167,983.52","48,187,070.93","15,947,451.75","23,213,233.79","29,821,260.49","74,458,445.78","10,346,103.73","26,567,872.23","43,184,539.82","70,876,947.02","60,501,434.14","80,925,003.05","102,284,566.95","64,032,865.86","14,284,665.54","30,243,717.82","55,742,049.31","74,639,234.42","15,569,341.02","31,893,231.70","49,194,403.80","65,422,766.72","13,229,035.10","26,045,434.60","38,481,197.14","64,901,577.32","14,567,656.65","29,389,286.24","90,343,259.81","166,579,466.93","46,333,562.61","89,314,852.57","159,819,637.89","234,612,712.60","52,547,873.55"
筹资活动现金流入小计,"60,000,000.00","61,125,934.92","40,000,000.00","40,000,000.00","80,000,000.00","1,176,129,959.68","1,176,321,452.72","1,176,661,545.30","1,175,182,500.00",,,,,,,,,,"1,252,000.00","1,252,000.00","1,252,000.00",,,"656,000.00","656,000.00","8,208,000.00","12,252,000.00","12,488,065.57","13,027,065.57",,"131,147.54","131,147.54","131,147.54",,,,,"36,039,300.00"
经营活动现金流出小计,"731,379,569.47","716,363,083.34","333,572,285.26","502,143,955.69","667,016,371.60","185,425,278.60","376,022,462.14","552,296,855.45","735,973,621.22","215,346,825.90","440,287,928.31","666,080,897.17","884,645,108.08","251,490,605.23","451,089,634.47","659,861,864.14","827,785,659.84","240,156,156.99","419,418,531.48","606,469,358.66","803,127,940.62","223,426,588.51","390,844,702.60","562,532,856.91","749,353,853.77","193,349,892.27","352,458,947.52","518,523,776.43","729,223,039.34","215,671,521.07","379,069,966.32","586,141,836.62","865,838,020.57","295,985,226.35","559,526,458.21","856,226,890.48","1,203,854,322.41","326,765,973.93"
偿还债务支付的现金,"20,000,000.00","40,000,000.00","40,000,000.00","61,000,000.00","101,017,392.94","40,004,733.32","40,009,532.07","40,014,234.62","40,000,000.00","4,815.51","9,666.57","14,403.16","109,974.14",,"203,122.54","468,460.24","970,312.20","451,729.50","800,881.20","1,855,533.20","2,102,249.00","101,221.90","146,658.40","276,420.60","399,793.20","52,649.30","551,617.40","178,662.40","313,277.80","418,086.50","868,824.50","1,346,567.50","1,801,970.00","450,247.00","903,194.50","1,199,513.00","1,774,877.00","432,571.00"
