科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"101,307,507.16","122,619,769.41","175,362,149.40","234,980,719.84","454,197,511.36","348,558,188.43","336,633,253.97","387,092,323.25","347,887,686.56","321,584,781.44","376,539,759.43"
短期借款,"3,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"1,200,000.00","1,385,958.10","2,235,368.00","620,000.00","773,007.00","1,567,443.74","2,366,444.20","1,103,772.33","1,868,420.00","1,289,538.70","2,518,386.38"
应付票据,,,,,,,,,,,
应收账款,"32,085,193.66","41,997,295.61","32,008,537.83","13,887,488.25","21,215,269.15","23,252,191.83","34,680,025.71","14,757,093.00","19,783,325.39","28,994,042.21","27,683,169.45"
应付账款,"24,583,789.10","22,350,248.29","24,124,543.53","25,006,085.85","31,964,738.63","16,270,812.72","31,956,681.29","26,112,617.44","29,193,824.48","32,522,065.96","42,041,931.30"
预付款项,"20,321.00","2,325,102.00","4,227,145.00","1,086,182.13","3,124,171.42","2,526,472.16","4,378,625.64","155,065.73","2,135,447.00","5,607,383.15","2,155,372.50"
预收款项,"352,066.91",422.80,"16,886.86","117,655.59","1,089,710.78","761,396.82","637,836.86","148,524.81","436,492.00","200,024.30","128,602.43"
其他应收款,"4,858.30","488,232.91","820,257.09","279,946.92","481,673.66","102,578.05","121,049.14","191,236.08","1,254,424.56","342,722.11","261,523.49"
应付职工薪酬,"2,671,343.05","2,753,546.81","2,152,194.89","479,837.72","1,822,644.72","635,908.74","2,271,621.76","580,887.89","617,783.16","652,928.84","2,672,078.03"
应收关联公司款,,,,,,,,,,,
应交税费,"9,528,293.22","14,193,797.85","13,319,488.89","12,320,558.00","6,805,813.71","10,929,621.41","11,985,686.40","8,918,038.70","7,378,153.31","10,953,671.85","10,804,012.90"
应收利息,,,,,,,,,,,
应付利息,"5,500.00","2,016.67",412.50,"1,512.50",412.50,412.50,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,"30,000,000.00",,
存货,"28,375,112.37","27,993,724.24","30,661,632.44","30,118,791.97","31,580,602.83","30,946,320.91","40,979,018.51","35,852,308.52","39,400,844.65","41,865,969.31","43,273,121.75"
其他应付款,"220,869.14","2,226,733.47","1,080,641.52","1,499,699.10","802,293.56","840,635.67","2,101,595.12","764,735.20","1,669,977.48","856,091.39","2,261,864.73"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
