科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"205,721,662.25","229,579,316.32","197,286,027.61","48,577,941.79","98,047,392.19","156,017,814.19","200,769,043.80","42,906,225.02","100,996,003.06","151,835,150.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"335,294.25","335,294.25"
收到的税费返还,"21,054,195.89","23,486,662.34","8,678,368.64",,"3,884,020.00","3,884,020.00","9,868,259.13","1,168,108.70","1,837,501.03","3,097,758.49"
支付其他与投资活动有关的现金,,,,,,,,,"368,959,314.08","488,770,370.71"
收到其他与经营活动有关的现金,"7,474,035.07","3,367,677.51","6,342,483.03","4,282,209.62","5,772,138.46","8,522,757.73","13,908,343.83","2,869,494.67","6,549,331.96","8,407,908.27"
投资活动现金流出小计,"15,848,536.14","58,724,914.09","43,586,456.23","41,433,344.50","44,921,771.26","107,232,204.76","176,289,329.57","13,008,241.07","399,676,535.16","680,655,559.71"
经营活动现金流入小计,"234,249,893.21","256,433,656.17","212,306,879.28","52,860,151.41","107,703,550.65","168,424,591.92","224,545,646.76","46,943,828.39","109,382,836.05","163,340,817.23"
投资活动产生的现金流量净额,"-15,848,536.14","-57,111,747.72","-43,578,356.23","-41,388,045.35","-44,876,472.11","-107,186,905.61","-176,051,633.16","88,004,909.62","-298,534,617.35","-579,513,641.90"
购买商品、接受劳务支付的现金,"54,209,699.81","22,162,193.04","637,947.71","1,889,253.69","4,097,151.16","8,059,500.85","10,766,252.40","2,415,131.94","21,045,502.91","21,912,309.93"
吸收投资收到的现金,,,,,"518,614,800.00","518,614,800.00","518,614,800.00",,,
支付给职工以及为职工支付的现金,"41,659,469.09","68,755,033.61","68,780,668.13","22,104,554.34","39,641,959.02","53,087,075.57","66,577,905.61","18,751,932.33","37,071,377.16","50,181,776.63"
取得借款收到的现金,,,,"36,000,000.00","36,000,000.00","46,000,000.00","51,000,000.00","12,000,000.00","24,025,814.48","189,780,814.48"
支付的各项税费,"17,888,939.97","16,260,553.35","25,229,392.70","11,366,142.00","15,962,187.38","22,193,253.70","28,702,447.30","11,003,253.72","16,357,584.49","22,256,254.87"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"11,905,634.17","19,388,884.96","29,216,690.82","9,704,863.91","17,272,986.85","34,174,692.67","30,084,214.26","6,352,380.96","6,748,856.73","20,546,223.21"
筹资活动现金流入小计,,,,"36,000,000.00","554,614,800.00","564,614,800.00","569,614,800.00","12,000,000.00","24,025,814.48","189,780,814.48"
经营活动现金流出小计,"125,663,743.04","126,566,664.96","123,864,699.36","45,064,813.94","76,974,284.41","117,514,522.79","136,130,819.57","38,522,698.95","81,223,321.29","114,896,564.64"
偿还债务支付的现金,,,,,,"500,000.00","500,000.00","500,000.00","500,000.00","1,000,000.00"
经营活动产生的现金流量净额,"108,586,150.17","129,866,991.21","88,442,179.92","7,795,337.47","30,729,266.24","50,910,069.13","88,414,827.19","8,421,129.44","28,159,514.76","48,444,252.59"
分配股利、利润或偿还利息支付的现金,,,,"334,993.75","793,843.75","1,352,582.29","1,946,302.61","747,501.57","17,005,261.51","19,931,782.40"
收回投资收到的现金,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,,,"45,137,170.00","57,600,000.00","57,600,000.00",,,
取得投资收益收到的现金,,,,,,,"192,397.26","1,013,150.69","1,141,917.81","1,141,917.81"
筹资活动现金流出小计,,,,"334,993.75","45,931,013.75","59,452,582.29","60,046,302.61","1,247,501.57","17,505,261.51","20,931,782.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,613,166.37","8,100.00","45,299.15","45,299.15","45,299.15","45,299.15",,,
筹资活动产生的现金流量净额,,,,"35,665,006.25","508,683,786.25","505,162,217.71","509,568,497.39","10,752,498.43","6,520,552.97","168,849,032.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-116,700.86","10,165.13","-39,996.58",-201.97,-3.69,-3.69,353.05,321.41,"-5,023.52","-3,437.81"
收到其他与投资活动有关的现金,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,,"1,613,166.37","8,100.00","45,299.15","45,299.15","45,299.15","237,696.41","101,013,150.69","101,141,917.81","101,141,917.81"
五、现金及现金等价物净增加额,"92,620,913.17","72,765,408.62","44,823,827.11","2,072,096.40","494,536,576.69","448,885,377.54","421,932,044.47","107,178,858.90","-263,859,573.14","-362,223,795.04"
购建固定资产、无形资产和其他长期资产支付的现金,"15,848,536.14","58,724,914.09","43,586,456.23","41,433,344.50","44,921,771.26","57,232,204.76","68,039,329.57","12,008,241.07","27,701,926.83","47,369,894.75"
期初现金及现金等价物余额,"99,696,309.45","192,317,222.62","265,082,631.24","309,906,458.35","309,906,458.35","309,906,458.35","309,906,458.35","731,838,502.82","731,838,502.82","731,838,502.82"
投资支付的现金,,,,,,"50,000,000.00","108,250,000.00","1,000,000.00","2,680,000.00","144,180,000.00"
期末现金及现金等价物余额,"192,317,222.62","265,082,631.24","309,906,458.35","311,978,554.75","804,443,035.04","758,791,835.89","731,838,502.82","839,017,361.72","467,978,929.68","369,614,707.78"
