科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"996,436,892.17","1,249,077,924.51","1,408,452,858.35","491,741,297.79","1,435,354,196.16","227,750,359.49","537,410,882.73","940,798,024.56","1,806,161,553.61","336,973,162.09","791,110,690.98","1,340,985,087.38","2,319,445,789.86","458,234,137.42","993,134,034.28","1,731,791,962.89","2,931,274,070.08","593,716,584.29","1,253,654,852.18","2,090,190,638.01","3,319,719,817.09","571,006,628.32","1,221,470,460.57","1,968,614,524.96","3,278,051,209.70","628,422,434.62","1,305,733,784.15","2,149,874,304.29","3,517,585,155.78","665,504,660.76","1,456,953,689.31","2,376,202,496.47","3,730,817,258.74","757,751,204.37"
取得子公司及其他营业单位支付的现金净额,,,,,"14,922,886.00",,,,"19,000,000.00","22,120,350.00","321,418,407.87","343,275,788.31","400,819,762.82",,,,"32,027,658.79",,,"12,162,422.77",,,,"25,374,034.75",,,,"1,377,317.09",,,,,,
收到的税费返还,"44,692,268.39","50,104,162.85","48,718,261.94","18,193,317.45","53,868,979.23","9,232,849.47","11,245,282.90","19,366,870.35","81,610,654.13","5,842,608.34","24,794,734.76","54,885,499.45","93,569,134.54","8,531,178.82","26,943,445.25","65,941,327.64","108,934,821.30","4,738,045.11","26,647,652.94","69,410,785.20","87,735,554.57","33,401,517.71","56,935,175.02","104,626,670.14","137,629,933.55","16,380,623.19","47,285,357.96","78,430,246.26","95,532,372.60","17,696,500.91","29,461,375.21","87,816,026.91","92,598,343.12","23,429,294.92"
支付其他与投资活动有关的现金,,,,,"862,000,000.00",,,"221,000,000.00","20,000,000.00","322,624,300.00","284,014,841.00","98,014,841.00","108,594,763.09","29,000,000.00","31,956,393.55","61,906,868.54","33,873,809.00",,,,,"46,024,945.00",,,,,,,"18,615.40",,,,,
收到其他与经营活动有关的现金,"100,550,643.96","105,829,897.39","68,702,657.68","33,030,707.28","79,682,897.00","24,314,917.87","44,671,112.18","72,138,926.57","96,296,973.67","24,995,863.44","50,234,677.21","95,085,820.59","111,316,550.23","43,852,018.86","133,508,552.30","178,725,027.14","151,880,633.15","28,486,949.77","63,649,164.09","102,497,794.74","154,710,091.11","29,404,088.18","63,869,265.55","102,596,077.88","149,390,539.51","25,320,246.83","101,809,964.86","135,601,507.13","189,420,293.56","31,586,181.68","82,131,079.19","118,070,083.82","163,294,135.58","36,484,007.52"
投资活动现金流出小计,"26,754,586.61","40,011,687.57","24,048,931.19","65,295,868.26","901,015,022.44","28,219,332.11","36,136,185.81","258,346,978.46","97,195,670.86","383,752,681.35","696,746,692.34","587,590,899.50","686,444,361.48","52,611,714.96","67,400,784.31","134,240,232.10","192,709,587.89","51,220,065.62","94,808,736.85","187,238,540.39","278,976,753.19","107,733,399.15","133,486,709.93","189,659,584.07","311,413,749.04","51,510,572.40","82,186,470.12","99,505,176.01","139,248,362.42","28,082,836.15","58,059,450.64","100,977,497.19","104,728,308.50","12,057,556.29"
经营活动现金流入小计,"1,141,679,804.52","1,405,011,984.75","1,525,873,777.97","542,965,322.52","1,568,906,072.39","261,298,126.83","593,327,277.81","1,032,303,821.48","1,984,069,181.41","367,811,633.87","866,140,102.95","1,490,956,407.42","2,524,331,474.63","510,617,335.10","1,153,586,031.83","1,976,458,317.67","3,192,089,524.53","626,941,579.17","1,343,951,669.21","2,262,099,217.95","3,562,165,462.77","633,812,234.21","1,342,274,901.14","2,175,837,272.98","3,565,071,682.76","670,123,304.64","1,454,829,106.97","2,363,906,057.68","3,802,537,821.94","714,787,343.35","1,568,546,143.71","2,582,088,607.20","3,986,709,737.44","817,664,506.81"
投资活动产生的现金流量净额,"-26,315,646.45","-30,419,592.84","-23,912,765.74","-64,971,023.95","-900,560,180.38","-28,208,690.11","324,348,250.26","106,477,829.73","425,425,641.90","-377,681,366.13","-685,909,284.06","-573,853,493.88","-662,157,211.66","-51,111,618.58","92,025,719.82","60,382,562.21","117,508,178.33","-5,210,745.08","-52,655,077.31","-81,207,605.78","-131,845,918.39","-107,628,203.01","-40,160,123.37","-96,164,227.18","-180,341,932.51","-51,507,900.90","-49,543,768.43","-54,146,344.32","-93,887,910.73","-28,067,286.15","-8,159,362.33","-50,480,402.55","-53,014,593.86","-12,057,006.29"
购买商品、接受劳务支付的现金,"553,467,386.60","687,486,044.75","640,727,345.52","306,439,320.91","612,316,989.96","219,257,704.82","409,422,030.35","707,405,657.29","1,005,325,368.42","275,960,605.83","610,205,944.14","1,030,722,798.91","1,340,385,969.61","369,018,219.46","758,942,115.09","1,209,818,032.72","1,741,613,826.03","463,333,493.83","908,517,870.33","1,437,593,442.83","2,039,732,329.31","434,974,985.82","843,536,732.78","1,365,879,605.67","1,945,009,754.38","412,791,308.65","894,137,644.80","1,387,067,579.33","1,979,103,452.24","522,476,391.43","922,278,659.88","1,375,676,342.57","1,964,943,625.15","463,497,044.39"
吸收投资收到的现金,,"16,800,000.00","5,000,000.00",,"1,778,180,000.00",,,"100,863,500.00","100,863,500.00",,,,,,,,"9,800,000.00",,,,,,"11,600,000.00","11,600,000.00","11,600,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","250,000.00","7,618,400.00","7,618,400.00","7,618,400.00",
