科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"2,474,420,923.69","1,604,384,127.97","2,066,726,722.26","3,039,577,606.32","447,276,145.00","1,142,761,313.81","1,621,706,665.32","2,560,635,219.25","523,584,621.11","1,067,835,092.40","1,931,071,286.70","3,392,574,988.13","798,360,591.79","1,936,859,994.24","3,302,596,890.66","4,465,297,089.89","1,002,223,776.02","1,949,087,812.16","2,989,543,272.50","4,154,669,751.96","1,050,011,678.57","2,138,360,846.76","3,338,937,082.39","4,870,897,183.14","1,107,688,162.34","2,373,874,823.46","3,571,690,874.19","4,767,615,018.47","1,055,889,190.76","2,365,238,484.41","3,534,610,012.39","4,344,989,793.06","965,984,904.40","2,033,375,512.92","3,029,520,433.08","4,770,105,782.73","1,454,943,446.01","3,028,769,953.53","4,380,264,343.02","3,270,079,093.54","826,558,435.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"143,830.77","1,215,655.97","14,393,409.25","50,839.24","168,383.48","451,899.29","572,598.69","505,933.94","566,515.58","1,356,734.03","1,510,420.45","24,350.75","88,910.55","292,160.80","508,189.08","205,319.35","418,515.21","575,795.46","767,299.95","198,948.89","450,161.29","667,636.13","488,698.13","291,662.12","453,108.63","776,622.26","643,641.13","262,716.27","262,716.27","429,690.93","445,808.52",,"21,884.45","1,772,371.46","2,530,413.53","69,737.74"
支付其他与投资活动有关的现金,"6,067,772.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,844,364.85","14,844,364.85","14,844,364.85",,,,,"2,499,000.00",
收到其他与经营活动有关的现金,"132,428,146.46","31,738,300.59","65,265,520.29","11,242,461.12","20,883,811.04","22,823,025.23","71,767,224.05","30,956,210.31","41,195,676.96","44,270,063.63","48,967,567.77","199,505,278.80","-14,343,276.50","-28,220,919.49","-54,095,915.29","10,907,464.62","521,311.78","20,153,026.25","53,070,060.14","42,225,520.27","-33,797,616.35","3,610,101.41","8,828,448.30","98,517,504.68","-16,447,018.39","41,135,298.87","45,758,849.30","67,252,571.80","1,654,299.66","6,384,738.30","9,404,041.76","235,948,904.21","24,520,561.78","2,689,619.71","8,460,489.81","12,987,899.96","1,572,500.43","57,221,877.21","61,451,539.47","50,142,906.05","2,858,920.62"
投资活动现金流出小计,"362,473,234.48","157,292,684.39","172,899,067.11","294,939,857.14","33,591,758.87","51,610,522.67","80,020,798.69","218,144,867.83","49,627,095.93","90,220,809.19","118,651,827.26","184,399,436.79","30,044,559.64","78,256,514.64","118,339,506.90","349,419,209.56","51,226,287.64","86,906,640.26","121,783,773.65","449,717,487.52","147,533,195.39","277,323,534.81","645,283,573.80","904,107,123.79","245,108,022.56","468,340,891.19","653,529,120.35","990,559,671.33","183,456,728.72","288,087,005.78","395,371,538.03","427,993,813.67","146,601,927.82","232,315,761.62","315,274,742.59","479,640,864.26","212,550,631.65","334,044,059.70","582,182,901.53","185,060,436.29","99,706,084.21"
经营活动现金流入小计,"2,606,849,070.15","1,636,122,428.56","2,131,992,242.55","3,050,820,067.44","468,159,956.04","1,165,728,169.81","1,694,689,545.34","2,605,984,838.81","564,831,137.31","1,112,273,539.51","1,980,490,753.76","3,592,652,865.62","784,523,249.23","1,909,205,590.33","3,249,857,709.40","4,477,714,974.96","1,002,769,438.55","1,969,329,748.96","3,042,905,493.44","4,197,403,461.31","1,016,419,381.57","2,142,389,463.38","3,348,341,326.15","4,970,181,987.77","1,091,440,092.84","2,415,460,283.62","3,618,117,359.62","4,835,356,288.40","1,057,835,152.54","2,372,076,331.34","3,544,790,676.41","4,581,582,338.40","990,768,182.45","2,036,327,848.90","3,038,410,613.82","4,783,539,491.21","1,456,515,946.44","3,086,013,715.19","4,443,488,253.95","3,322,752,413.12","829,487,093.79"
投资活动产生的现金流量净额,"-298,368,124.62","-153,045,584.05","-167,930,276.77","-285,259,538.40","-33,591,758.87","-51,610,522.67","-80,020,798.69","-210,099,370.39","-43,860,595.93","-84,454,309.19","-112,885,327.26","-162,621,643.52","-29,821,334.53","-76,890,036.54","-115,450,725.75","-309,812,694.49","-32,966,588.17","-67,030,324.93","-62,748,335.55","-389,258,749.83","-145,380,800.94","-273,134,790.34","-638,681,430.97","-897,358,912.15","-244,713,961.26","-462,292,911.00","-645,222,985.14","-980,393,318.23","-182,358,123.23","-283,981,009.85","-139,246,988.37","168,114,706.50","-146,392,883.93","-200,701,182.79","-125,128,195.64","-182,540,438.27","-195,766,685.09","-311,089,685.92","-557,013,906.82","-156,649,120.83","-94,420,656.60"
购买商品、接受劳务支付的现金,"2,018,994,878.58","1,212,025,535.46","1,695,217,999.36","2,481,076,168.96","149,042,183.93","834,277,312.97","1,226,435,987.88","1,988,903,483.71","467,583,051.36","978,204,058.20","1,713,513,679.58","3,066,483,437.14","783,806,584.50","1,689,821,120.03","2,893,833,015.42","3,890,827,477.18","935,166,903.52","1,835,044,621.54","2,827,767,440.25","3,778,383,492.91","884,111,531.95","1,746,003,194.19","2,690,320,718.14","4,021,932,379.64","868,405,088.77","2,014,636,828.72","3,113,262,891.12","4,083,818,762.83","806,241,641.96","1,848,271,960.33","2,736,906,437.57","3,866,935,876.25","869,804,518.80","1,562,951,354.51","2,327,245,081.32","3,792,823,951.02","1,197,614,419.65","2,520,571,490.99","3,549,204,519.45","2,695,344,656.79","699,790,688.45"
吸收投资收到的现金,,,"489,188,466.79","480,239,600.00",,,,,,,,"500,000.00",,,,,,,,,,,"438,556,667.43","459,520,000.00",,,,,,,"927,450,000.00","896,512,221.39",,,,"26,110,000.00","1,500,000.00","1,500,000.00","1,500,000.00","2,000,000.00","900,000.00"
