科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"197,880,467.72","209,434,299.09","107,833,116.69","232,543,313.57","53,756,359.78","122,849,452.66","179,310,287.94","252,144,074.13","66,476,117.50","148,568,875.34","202,559,745.94","241,226,239.62","60,665,719.85","129,421,322.98","203,444,712.56","316,505,558.36","99,247,263.58","213,410,590.62","309,888,879.31","490,537,682.67","171,305,851.36","433,259,568.57","667,060,747.25","918,637,819.81","239,066,596.97","494,830,819.40","755,174,684.46","1,049,836,364.32","239,936,271.26","527,515,945.36","920,119,969.38","1,306,332,067.28","390,930,092.32","844,769,636.94","1,245,974,213.45"
二、营业利润,"24,677,192.64","23,208,364.65","14,608,946.97","32,370,762.29","7,434,930.05","18,996,967.58","26,692,544.65","36,302,172.81","11,092,435.74","24,181,322.69","36,055,789.86","47,244,310.90","12,533,323.84","26,514,986.51","42,234,895.83","67,207,490.01","16,580,965.51","39,136,497.37","58,036,314.54","88,726,258.07","35,056,653.45","86,203,967.79","129,656,118.07","168,130,201.20","49,285,193.54","98,121,694.91","151,693,173.01","207,830,748.26","53,130,456.51","126,483,065.95","214,919,193.38","294,130,591.57","87,962,148.82","187,691,323.00","271,187,325.40"
减:营业成本,"170,065,215.58","175,493,472.06","88,757,129.58","192,352,185.40","44,208,746.41","100,264,826.16","146,943,443.80","206,140,664.19","53,995,424.54","122,925,873.04","165,546,627.65","194,144,025.17","48,781,724.91","102,940,541.70","153,877,860.48","231,830,101.45","71,932,357.34","151,298,177.79","220,224,494.23","340,948,603.66","118,529,822.31","297,739,229.98","455,181,098.47","628,212,945.03","155,439,297.01","324,557,092.73","499,666,096.19","694,824,168.14","151,641,525.63","329,167,998.74","575,053,962.25","820,984,786.65","248,997,924.35","538,238,467.70","789,035,955.96"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"474,315.23","503,992.72","389,735.22","659,205.31","80,327.15","150,357.70","207,950.97","283,440.13","66,476.12","149,415.49","204,277.49","204,277.49",,"576,654.97","1,116,749.70","1,469,962.07","648,578.46","1,574,928.91","2,181,820.59","3,786,306.13","574,058.25","1,929,963.50","2,747,462.25","4,871,280.29","1,710,762.65","4,355,180.14","5,828,616.74","7,682,424.63","1,775,168.29","6,423,233.15","9,359,696.57","14,724,884.10","3,329,220.37","7,836,236.24","12,079,645.02"
营业外收入,"4,541,879.80","11,139,388.78","5,302,287.34","13,460,000.00","1,506,500.00","8,609,780.00","10,714,107.19","14,506,763.19","1,427,000.00","6,299,000.00","9,629,505.21","13,837,105.21","900,000.00","1,380,000.00","3,734,176.19","13,429,576.19","3,167,000.00","5,988,000.00","6,499,615.91","14,079,465.01","1,334,754.75","3,227,457.76","5,002,957.64","16,466,615.85","1,961,757.10","4,260,278.73","8,117,295.20","11,189,962.56","1,175,683.46","2,862,556.37","8,921,262.36","15,464,886.35","3,536,245.04","5,245,373.05","8,449,222.45"
销售费用,"3,564,474.63","5,025,247.65","1,517,329.27","3,285,791.43","1,122,280.96","2,084,417.92","3,170,436.11","4,010,237.61","1,088,633.93","2,220,754.88","3,609,093.28","5,881,942.39","1,245,579.33","2,970,686.84","5,319,646.49","8,146,840.39","2,080,441.69","4,870,598.31","8,063,487.67","15,539,948.07","6,689,865.26","16,079,087.13","25,617,995.14","39,465,512.74","9,441,721.27","21,034,467.25","32,408,484.35","45,571,393.12","10,707,495.35","21,595,529.34","35,755,860.16","55,481,595.96","14,704,925.35","33,570,195.30","50,767,362.88"
减:营业外支出,"876,702.42","10,000.00",,"221,133.00","23,920.03","142,251.02","178,751.02","178,751.02","16,650.00","16,650.00","16,650.00","248,150.00","10,000.00","10,000.00","111,054.81","111,054.81","20,644.51","25,297.51","25,297.51","286,267.91","12,104.16","149,391.65","375,603.04","628,632.48","289,494.42","529,855.55","529,855.55","535,121.79",,"281,322.08","1,284,115.66","1,299,461.44","401,026.31","898,931.07","1,406,390.96"
管理费用,"6,665,198.13","6,676,127.77","3,011,489.20","6,126,287.45","2,258,681.35","4,482,070.19","7,116,055.83","12,605,351.99","2,193,217.09","4,695,002.49","7,092,593.99","10,472,491.01","3,096,943.94","7,059,521.65","14,626,829.84","24,608,512.19","11,116,770.14","22,503,413.75","31,038,612.27","48,536,992.55","14,356,263.54","35,131,968.79","55,876,076.08","83,014,349.55","22,897,961.11","45,996,081.36","69,651,398.62","100,120,150.05","21,560,260.39","54,699,925.17","97,398,756.03","149,068,920.59","36,153,893.44","81,432,892.43","126,336,528.03"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,"13,644.50","257,381.43","257,381.43",,"262,647.67",,"208,837.64","529,570.89","553,876.74",,"225,133.65","277,405.87"
