科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"99,471,456.03","171,874,379.44","184,778,725.33","114,247,704.14","84,666,020.79","541,738,554.20","381,401,718.89","384,602,032.41","387,327,624.69","459,842,518.25","128,197,453.83","169,901,041.69","334,794,934.24","211,199,781.81","127,772,088.26","166,859,463.10","115,999,390.10","235,322,688.92","131,679,910.62","127,326,220.55","78,055,607.37","207,199,523.38","231,512,716.83"
短期借款,,,,,,,,,,"100,000,000.00","100,000,000.00","100,000,000.00",,,,,,,,,,,"76,981,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,474,279.88","1,874,632.07","6,002,180.50","42,071,702.28","12,244,269.00","40,782,074.24","26,660,000.00","34,877,675.95","23,355,572.21","70,489,255.78","38,586,138.85","33,398,454.85","10,237,190.60","20,116,790.37","5,823,276.00","3,421,776.00","17,265,435.56","46,396,955.69","35,189,671.74","37,609,715.66","61,857,987.70","91,803,202.61","124,662,676.68"
应付票据,,,,,,,,,,,"10,000,000.00","10,000,000.00",,"5,200,000.00","14,200,000.00","20,226,300.00","14,685,174.00","19,207,300.00","13,338,426.00","7,223,000.00",,"33,761,000.00",
应收账款,"52,780,870.12","81,219,673.43","168,650,435.19","102,823,655.27","104,518,435.87","93,229,560.73","104,323,870.92","182,989,486.26","200,983,351.95","319,781,053.21","340,107,810.82","417,125,041.34","407,457,164.66","460,119,730.19","436,148,321.94","502,390,728.72","542,522,796.49","641,795,594.64","636,871,435.42","738,378,724.76","754,395,550.15","858,421,385.13","746,700,915.63"
应付账款,"42,909,421.51","58,744,560.23","119,995,921.51","108,429,882.92","77,182,789.65","106,790,179.69","54,392,182.56","109,005,909.68","101,485,705.43","232,828,119.40","161,287,144.10","206,745,572.60","209,785,329.51","233,524,340.80","129,096,119.88","185,841,518.43","202,689,367.22","333,103,799.07","289,608,049.66","360,634,193.82",,"571,374,418.96",
预付款项,"1,001,350.00","1,681,600.00","1,200,298.86","3,035,921.75","5,637,581.47","11,840,796.35","11,667,016.37","9,912,964.25","19,643,440.14","18,360,383.93","26,334,615.82","30,297,032.91","30,387,026.07","37,366,071.31","57,168,653.12","60,864,575.43","40,098,982.76","28,148,583.45","36,650,663.75","40,340,424.35","46,356,445.31","33,122,953.73","44,375,339.41"
预收款项,"23,067,870.59","22,378,717.70","41,272,581.00","43,234,028.42","30,228,900.26","33,742,332.55","31,618,198.12","21,885,761.42","24,793,323.33","71,986,941.40","82,406,534.76","72,022,530.16","57,347,512.26","105,071,161.13","125,945,159.99","91,193,912.46","141,080,720.84","96,991,001.69","119,691,075.86","144,767,767.69","207,695,133.58","163,590,486.82","230,144,938.41"
其他应收款,"2,283,796.67","2,970,631.15","5,572,433.24","7,614,167.82","14,440,684.90","15,842,476.74","22,204,747.29","23,604,944.96","24,530,130.71","28,452,740.92","29,130,346.93","33,878,771.08","38,781,908.26","33,977,306.38","42,901,711.46","61,976,469.73","69,080,136.78","80,146,575.29","91,214,833.96","95,888,379.61","114,396,908.01","113,651,139.01","118,880,596.83"
应付职工薪酬,"35,000,000.00","47,273,630.00","62,362,892.80","27,385,938.51","37,420,858.31","65,646,181.47","5,002,245.01","23,476,261.28","27,159,000.00","111,646,884.45","33,782,637.19","78,295,830.56","82,564,072.98","171,149,403.33","88,164,932.62","86,142,394.45","113,102,575.22","234,816,338.65","82,628,761.46","94,133,205.89","111,108,221.52","246,715,972.01","43,899,143.11"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,111,751.46","9,300,150.96","9,628,598.45","8,486,132.82","7,938,982.80","6,261,929.82","2,792,633.23","8,049,938.66","6,790,267.79","86,804,217.79","32,923,682.24","39,056,878.74","38,724,619.41","50,077,667.18","45,297,997.14","41,873,972.22","48,160,481.68","46,433,418.59","36,500,085.76","36,211,655.14","34,431,631.24","43,823,370.29","32,638,470.26"
应收利息,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"296,107.93","296,107.93","296,107.93",,,,,,,,,,,"126,011.67"
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"725,000.00",,,,,,,,,"19,300,000.00","19,300,000.00","22,054,000.00","6,541,500.00","29,332,884.99","29,332,884.99","29,503,464.99","29,503,464.99","29,425,469.85","29,425,469.85","29,940,344.85","29,020,784.85","30,323,716.97","30,323,716.97"
存货,,,,,,,,,,,,,,"71,668,646.93","87,392,452.47","108,734,958.36","66,152,590.97","36,912,398.01","36,974,683.96","96,715,813.00","137,814,595.12","187,698,730.00","185,753,922.34"
其他应付款,"1,496,247.76","3,004,895.83","1,350,714.61","1,904,899.84","1,627,159.70","11,175,050.57","808,190.83","716,075.40","9,365,430.57","352,287,553.21","345,418,888.34","336,025,052.91","323,995,819.15","368,879,632.87","343,320,312.64","295,233,777.85","312,007,685.54","337,074,008.82","309,817,982.45","131,666,680.77","157,525,024.70","183,467,823.74","189,515,315.62"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,"35,000,000.00","35,000,000.00","35,000,000.00",,,,,,,,,,,
其他流动资产,,,,,"23,691.81","84,588.72",,,,"25,068,012.38","198,000,000.00","198,000,000.00","332,200,000.00","545,791,192.76","460,950,000.00","232,830,000.00","424,820,000.00","512,438,370.63","419,912,498.21","167,927,393.64","218,376,834.18","308,612,521.30","166,455,511.13"
其他流动负债,,,,,,,,,,,,,,"12,326,900.30","13,431,759.12","14,212,809.37","13,932,325.53","17,911,396.71","11,687,510.09","15,958,621.12","10,608,814.45","23,080,520.75","12,574,386.13"
流动资产合计,"157,011,752.70","259,620,916.09","366,204,073.12","269,793,151.26","221,530,683.84","703,518,050.98","546,257,353.47","635,987,103.83","655,840,119.70","921,993,964.47","760,356,366.25","882,600,341.87","1,153,858,223.83","1,380,239,519.75","1,218,156,503.25","1,137,077,971.34","1,275,939,332.66","1,581,161,166.63","1,388,493,697.66","1,304,186,671.57","1,411,253,927.84","1,800,509,455.16","1,618,341,678.85"
流动负债合计,"107,310,291.32","140,701,954.72","234,610,708.37","189,440,882.51","154,398,690.72","223,615,674.10","94,613,449.75","163,133,946.44","169,593,727.12","1,010,149,824.18","820,414,994.56","899,495,972.90","718,958,853.31","975,561,990.60","788,789,166.38","764,228,149.77","875,161,795.02","1,114,962,733.38","892,697,361.13","820,535,469.28","944,024,568.99","1,265,813,592.57","1,083,630,576.62"
可供出售金融资产,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00","8,800,000.00","8,800,000.00","28,800,000.00","28,800,000.00","28,800,000.00","28,800,000.00","28,800,000.00","28,800,000.00","26,716,000.00",
长期借款,,,,,,,,,,"110,180,000.00","110,180,000.00","140,180,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"64,122,802.57","20,938,485.04","21,014,265.20","20,000,000.00","1,624,206.60","2,189,605.76","2,180,156.66","2,096,944.05","2,066,971.00","2,018,480.03","2,113,921.79","7,140,175.21","11,371,767.06","15,231,850.09","16,938,360.76","15,099,417.38","18,940,625.93","19,231,809.90","18,590,484.91","17,424,363.56","37,959,551.43","40,609,747.66","70,277,204.68"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,"65,164,192.25","64,558,335.73","63,952,479.22","63,346,622.71","71,327,501.74","70,659,856.27","69,992,210.80","69,324,565.33","68,656,919.86","67,989,274.39"
预计负债,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"34,911,200.81","33,953,626.16","30,757,996.32","29,342,916.33","28,269,170.49","28,524,442.60","27,403,059.97","26,598,018.36","26,294,385.65","436,093,551.05","431,823,957.36","427,232,530.98","423,015,324.79","357,887,335.03","353,555,510.64","382,496,731.14","379,108,705.12","377,562,755.96","376,059,724.55","374,509,630.03","375,319,945.59","371,601,989.81","368,481,244.18"
递延所得税负债,,,,,,,,,,"968,673.61","942,792.22","813,385.24","735,741.06","1,363,594.14","1,229,545.01","8,046,600.05","7,856,942.62","7,649,068.60","7,493,122.51","7,330,260.23","7,199,145.65","6,925,931.83","6,797,213.13"
在建工程,"8,378,565.05","49,420,520.69","99,162,912.87","152,955,332.24","182,869,429.38","216,195,683.30","257,842,428.84","280,749,734.67","289,290,733.10",,,,"4,234,234.23","7,837,837.83","9,006,430.06","9,207,796.92","8,271,877.00",,"293,693.70","552,784.61","984,602.79",,
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,"9,885,802.01"
工程物资,,,"546,061.35",,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,,"111,148,673.61","111,122,792.22","140,993,385.24","735,741.06","1,363,594.14","1,229,545.01","8,046,600.05","7,856,942.62","7,649,068.60","7,493,122.51","7,330,260.23","7,199,145.65","16,811,733.84","16,683,015.14"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"107,310,291.32","140,701,954.72","234,610,708.37","189,440,882.51","154,398,690.72","223,615,674.10","94,613,449.75","163,133,946.44","169,593,727.12","1,121,298,497.79","931,537,786.78","1,040,489,358.14","719,694,594.37","976,925,584.74","790,018,711.39","772,274,749.82","883,018,737.64","1,122,611,801.98","900,190,483.64","827,865,729.51","951,223,714.64","1,282,625,326.41","1,100,313,591.76"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","60,000,000.00","60,000,000.00","122,340,000.00","122,340,000.00","122,340,000.00","122,340,000.00","245,160,000.00","275,373,728.00","275,373,728.00","275,373,728.00","275,373,728.00","275,373,728.00","275,289,728.00","275,289,728.00","275,289,728.00","275,289,728.00","275,178,728.00","275,178,728.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"151,909,074.89","152,837,199.59","152,837,199.59","152,837,199.59","152,837,199.59","555,284,719.47","555,284,719.47","540,406,469.38","553,069,264.46","565,732,059.54","571,193,199.62","441,699,994.33","979,152,931.41","985,136,636.37","989,260,508.80","993,376,960.75","999,641,353.96","1,004,018,350.49","1,006,907,781.24","1,007,083,971.15","1,005,571,658.40","1,013,910,605.52","1,018,855,565.89"
无形资产,"79,297,866.87","78,191,723.39","74,900,323.74","73,803,840.33","73,385,314.44","72,965,652.04","73,748,059.80","73,261,327.70","75,713,813.81","76,428,958.15","75,415,053.94","74,913,220.38","74,256,075.78","74,106,498.50","73,328,848.36","83,133,248.07","82,882,727.77","82,394,974.58","81,546,478.86","81,593,668.92","80,923,847.97","80,689,184.54","79,471,103.92"
盈余公积,"7,287,367.93","14,544,944.59","22,500,000.00","22,500,000.00","22,500,000.00","31,260,728.75","31,260,728.75","31,260,728.75","31,260,728.75","38,064,291.97","38,064,291.97","38,064,291.97","38,064,291.97","48,887,039.33","48,887,039.33","48,887,039.33","48,887,039.33","58,131,812.17","58,131,812.17","58,131,812.17","58,131,812.17","73,468,112.10","73,468,112.10"
开发支出,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,"44,366,400.00","44,366,400.00","48,792,000.00","34,951,200.00","34,951,200.00","34,951,200.00","19,798,200.00","19,798,200.00","18,604,345.00","18,604,345.00","1,656,140.00","43,562,032.60","51,477,048.50","54,965,728.93"
商誉,,,,,,,,,,"535,497,766.57","535,497,766.57","535,497,766.57","535,497,766.57","600,926,431.20","600,926,431.20","658,814,822.46","658,814,822.46","657,891,993.98","657,891,993.98","657,891,993.98","657,891,993.98","657,891,993.98","657,891,993.98"
未分配利润,"30,479,089.50","85,463,691.48","132,578,076.40","127,974,063.06","145,919,623.80","165,239,400.87","177,472,600.61","175,490,530.62","186,682,963.50","190,118,077.20","206,313,991.68","234,458,464.17","252,872,040.22","282,201,259.25","299,978,235.24","316,520,022.18","353,365,924.16","386,337,741.49","406,696,715.08","377,172,150.79","418,505,996.71","456,703,260.65","479,266,508.33"
长期待摊费用,"150,020.00","444,815.67","323,986.35","291,696.69","255,864.36","220,032.03","184,199.70","148,367.37","112,535.00","3,358,659.74","2,999,891.80","2,510,076.34","5,751,716.47","9,222,260.98","8,661,688.86","8,110,942.27","19,739,419.22","20,924,107.08","20,976,184.38","20,865,567.21","20,915,655.37","20,476,329.23","19,159,444.73"
少数股东权益,"2,377,122.04","4,843,338.11","7,647,860.67","9,941,596.46","8,942,345.90","9,904,405.36","10,681,965.15","8,454,475.33","8,624,625.03","9,856,489.77","10,739,094.09","8,554,660.57","8,116,859.79","19,246,901.07","19,877,043.85","42,352,495.34","45,151,097.75","51,574,684.27","53,837,439.91","54,283,012.51","57,613,375.70","61,001,513.62","61,449,093.54"
递延所得税资产,"490,737.68","821,041.45","2,264,226.08","1,506,804.77","1,663,190.90","1,691,461.84","1,698,205.29","2,244,654.54","2,252,750.60","13,011,281.70","12,974,651.87","12,893,105.27","13,490,584.47","28,297,020.20","29,404,954.82","30,880,829.10","34,470,581.57","25,498,240.10","24,570,277.30","27,773,939.27","27,488,285.57","25,774,918.59","24,463,677.99"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,"2,640,354.56","2,640,354.56","4,847,552.56","4,847,552.56","5,197,552.56","5,197,552.56","11,503,107.15","15,415,516.03","14,567,775.94","14,567,775.94","14,579,986.69","11,912,429.66","18,483,958.97","20,774,247.97"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"187,351,192.98","183,770,212.40","228,969,771.91","277,900,590.36","308,067,176.17","341,786,877.57","383,056,110.26","405,099,046.69","415,731,189.16","1,081,049,051.80","1,075,465,597.89","1,077,034,427.31","1,084,465,021.93","1,172,670,978.64","1,170,378,112.99","1,291,999,373.71","1,309,790,897.81","1,298,199,159.28","1,293,956,469.89","1,293,984,145.07","1,311,520,877.69","1,310,901,042.64","1,335,224,191.84"
所有者权益(或股东权益)合计,"237,052,654.36","302,689,173.77","360,563,136.66","358,252,859.11","375,199,169.29","821,689,254.45","834,700,013.98","877,952,204.08","901,977,581.74","881,744,518.48","904,284,177.36","919,145,411.04","1,518,628,651.39","1,575,984,913.65","1,598,515,904.85","1,656,802,595.23","1,702,711,492.83","1,756,748,523.93","1,782,259,683.91","1,770,305,087.13","1,771,551,090.89","1,828,785,171.39","1,853,252,278.93"
资产总计,"344,362,945.68","443,391,128.49","595,173,845.03","547,693,741.62","529,597,860.01","1,045,304,928.55","929,313,463.73","1,041,086,150.52","1,071,571,308.86","2,003,043,016.27","1,835,821,964.14","1,959,634,769.18","2,238,323,245.76","2,552,910,498.39","2,388,534,616.24","2,429,077,345.05","2,585,730,230.47","2,879,360,325.91","2,682,450,167.55","2,598,170,816.64","2,722,774,805.53","3,111,410,497.80","2,953,565,870.69"
负债和所有者(或股东权益)合计,"344,362,945.68","443,391,128.49","595,173,845.03","547,693,741.62","529,597,860.01","1,045,304,928.55","929,313,463.73","1,041,086,150.52","1,071,571,308.86","2,003,043,016.27","1,835,821,964.14","1,959,634,769.18","2,238,323,245.76","2,552,910,498.39","2,388,534,616.24","2,429,077,345.05","2,585,730,230.47","2,879,360,325.91","2,682,450,167.55","2,598,170,816.64","2,722,774,805.53","3,111,410,497.80","2,953,565,870.69"
