科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"142,532,624.90","159,318,897.36","33,754,638.11","132,672,458.02","28,974,403.22","77,316,474.63","91,670,752.81","130,560,975.33","19,629,664.44","54,732,639.10","91,280,897.13","151,552,022.45","16,679,154.65","44,118,418.56","76,864,499.53","106,734,620.26","40,168,605.41","252,888,062.03","387,151,335.62","720,373,843.81","80,449,495.81","315,900,253.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"4,978,755.69","4,153,338.08",,"4,089,171.34",,"1,977,502.26","3,047,920.15","4,097,921.35","1,017,917.83","2,015,418.97","3,007,086.77","3,981,254.55","947,917.75","1,560,418.45","2,937,378.45","6,548,898.45","697,680.00","1,642,292.34","2,133,356.30","9,763,669.30","1,142,727.00","2,518,643.05"
支付其他与投资活动有关的现金,,"7,585,858.89",,"3,023,191.89",,,,,,,,,,,,,"2,275,000.00","67,707.00",,,,
收到其他与经营活动有关的现金,"4,285,800.59","4,283,913.33","1,241,081.97","5,449,912.90","2,172,257.15","3,823,770.67","4,429,376.73","9,249,567.05","2,568,778.69","4,488,943.57","4,817,614.02","8,907,388.42","3,040,756.96","7,757,443.87","8,156,875.23","9,849,456.07","2,420,509.97","3,585,918.04","4,231,350.06","14,862,635.29","2,998,303.62","15,824,393.01"
投资活动现金流出小计,"31,453,590.19","51,172,089.88","1,596,956.61","62,732,966.87","11,539,374.77","26,167,508.15","32,207,708.87","32,832,954.41","5,028,583.68","11,673,947.31","16,032,387.66","23,860,524.44","191,621.25","369,216.75","425,960.10","13,814,755.54","3,634,912.55","1,841,157.62","2,845,909.68","4,047,023.56","387,652,213.39","390,823,968.22"
经营活动现金流入小计,"151,797,181.18","167,756,148.77","34,995,720.08","142,211,542.26","31,146,660.37","83,117,747.56","99,148,049.69","143,908,463.73","23,216,360.96","61,237,001.64","99,105,597.92","164,440,665.42","20,667,829.36","53,436,280.88","87,958,753.21","123,132,974.78","43,286,795.38","258,116,272.41","393,516,041.98","745,000,148.40","84,590,526.43","334,243,290.04"
投资活动产生的现金流量净额,"-26,412,407.19","-50,114,089.88","-1,596,956.61","-61,435,356.65","-10,379,374.77","-23,158,908.15","-29,199,108.87","-32,324,354.41","-5,023,783.68","-11,602,675.21","-15,550,115.56","-23,378,252.34","-191,621.25","-369,216.75","-425,960.10","-9,077,110.94","-3,634,912.55","-417,157.62","-1,421,909.68","43,577,215.64","-387,652,213.39","-390,823,968.22"
购买商品、接受劳务支付的现金,"52,641,312.24","59,142,078.75","6,691,502.63","41,407,963.83","29,907,809.79","26,821,475.35","52,519,178.99","96,261,986.14","16,609,949.66","21,964,406.12","28,108,451.11","40,051,403.38","7,169,691.97","40,364,742.35","37,353,387.72","55,492,809.16","6,426,819.86","176,338,072.30","268,954,809.92","541,670,263.46","77,940,489.87","179,950,513.38"
吸收投资收到的现金,,,,,,,"149,190,832.00","149,190,832.00",,,,,,,,,,,,,"391,647,997.47","393,647,997.47"
支付给职工以及为职工支付的现金,"26,083,595.27","31,850,226.08","9,153,995.15","36,874,001.04","11,630,485.17","23,152,816.70","34,779,013.14","44,180,471.94","11,237,769.46","23,408,201.64","36,940,192.50","49,578,405.02","13,318,178.26","27,319,755.70","41,741,678.50","52,973,760.30","15,045,218.51","36,809,610.10","57,033,904.01","87,375,299.71","27,611,268.17","52,360,068.87"
取得借款收到的现金,"104,500,000.00","101,000,000.00","50,000,000.00","217,921,088.00","119,322,924.54","138,999,585.54","199,642,927.25","302,320,002.71","146,000,000.00","166,000,000.00","195,927,818.57","245,500,000.00","36,000,000.00","66,000,000.00","126,000,000.00","211,500,000.00",,"69,855,886.75","89,855,886.75","255,500,000.00","20,000,000.00","50,000,000.00"
支付的各项税费,"21,528,449.44","23,303,010.27","7,604,328.56","23,910,669.42","7,061,619.12","13,817,044.57","18,707,865.00","22,381,197.84","6,937,721.13","9,199,933.03","10,722,104.98","12,244,672.19","1,863,503.06","7,891,379.38","9,319,777.81","11,616,226.98","5,152,369.15","12,475,493.48","19,891,089.41","32,150,982.59","6,337,118.95","13,442,105.41"
收到其他与筹资活动有关的现金,"2,200,000.00",,"3,000,000.00","10,200,000.00",,,,"2,500,000.00","17,800,000.00","17,800,000.00","17,800,000.00","26,884,319.85",,,,,,,,,,
