科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"641,343,447.55","517,912,688.03","509,003,567.33","192,051,705.15","357,761,624.27","466,029,296.37","708,706,332.31","189,703,511.43","366,394,661.48","620,379,938.49","634,372,324.08","151,890,296.55","315,602,474.09","532,779,902.98","408,420,441.59","150,900,275.63","323,684,368.16","537,313,727.36","456,793,280.64","144,124,447.35","328,304,141.48","501,940,174.28","412,086,733.56","109,444,272.67","275,407,757.28","242,251,528.79","619,141,049.24","191,963,237.41","331,718,545.77","399,177,543.45","716,256,040.47","199,480,094.21","421,716,827.56","503,812,830.54"
取得子公司及其他营业单位支付的现金净额,"17,886,122.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-677,049.47",,,
收到的税费返还,"6,566,698.12","14,202,433.73","9,937,156.87",,,,,,,,,,,,,,"82,030.09",,"82,030.09",,,,,"164,152.94","164,152.94","360,093.49","186,137.77",,"2,884.52","2,884.52",,"986,996.81","986,996.81","7,292,908.30"
支付其他与投资活动有关的现金,,,,,,,,"10,000,000.00",,,,"2,000.00","2,000.00",,"13,029,686.38",,,,"156,366.49",,,,,,,,,,,"9,340.00",,,,
收到其他与经营活动有关的现金,"241,001.25","3,512,285.11","2,370,458.00","261,218.30","2,154,721.86","2,796,455.50","6,492,243.13","284,708.79","9,872,066.12","6,283,933.94","14,582,473.49","10,752,957.11","11,467,738.76","17,338,153.11","9,622,027.08","2,382,192.31","8,162,930.18","10,529,509.49","8,906,687.39","2,239,467.29","7,854,291.61","12,517,654.29","13,017,091.25","2,610,677.83","5,469,619.70","41,296,931.29","27,304,795.26","2,475,296.52","12,914,537.45","64,765,931.11","80,034,151.14","12,174,343.38","23,401,621.72","45,701,630.76"
投资活动现金流出小计,"48,176,556.02","19,423,880.03","11,955,158.55","3,558,537.44","11,062,850.04","34,272,909.02","44,815,727.52","36,262,432.51","127,233,915.51","167,185,992.99","162,612,625.19","34,198,232.32","42,760,459.92","52,103,924.42","33,225,145.20","8,036,258.00","22,986,604.12","77,952,583.74","72,183,883.53","5,374,225.66","10,386,739.12","15,248,081.75","6,207,435.80","2,277,847.15","3,993,435.45","96,426,442.51","338,383,266.40","60,813,610.40","88,738,196.06","201,227,320.41","335,941,152.30","179,613,039.45","239,237,880.35","222,256,314.19"
经营活动现金流入小计,"648,151,146.92","535,627,406.87","521,311,182.20","192,312,923.45","359,916,346.13","468,825,751.87","715,198,575.44","189,988,220.22","376,266,727.60","626,663,872.43","648,954,797.57","162,643,253.66","327,070,212.85","550,118,056.09","418,042,468.67","153,282,467.94","331,929,328.43","547,843,236.85","465,781,998.12","146,363,914.64","336,158,433.09","514,457,828.57","425,103,824.81","112,219,103.44","281,041,529.92","283,908,553.57","646,631,982.27","194,438,533.93","344,635,967.74","463,946,359.08","796,290,191.61","212,641,434.40","446,105,446.09","556,807,369.60"
投资活动产生的现金流量净额,"-48,059,219.13","-19,414,648.03","-10,264,662.69","-3,558,537.44","-11,062,850.04","-34,087,109.02","-44,605,602.14","-36,262,432.51","-127,014,171.51","-166,814,666.99","-159,823,504.27","-22,168,232.32","-30,730,459.92","-36,873,924.42","-12,555,145.20","-8,036,258.00","-22,986,604.12","-77,952,583.74","-72,059,516.59","-5,266,225.66","54,628,229.58","49,766,886.95","58,807,532.90","-2,277,847.15","-3,988,635.45","-96,426,442.51","-76,037,868.49","-60,813,610.40","-88,738,196.06","-201,227,320.41","-335,941,152.30","-179,613,039.45","-239,237,880.35","-222,239,314.19"
购买商品、接受劳务支付的现金,"507,055,413.77","374,171,334.02","286,649,279.43","160,706,421.62","419,742,545.30","507,620,653.35","718,548,896.32","138,583,145.20","300,339,752.70","470,864,154.43","496,053,183.12","132,727,892.46","268,894,234.05","416,625,886.67","248,350,587.68","104,265,532.23","239,096,366.90","367,033,268.69","226,010,554.87","109,076,279.18","258,346,378.08","410,438,817.56","284,012,959.36","72,690,088.29","182,151,346.00","218,972,294.35","218,392,711.48","48,857,324.45","120,553,034.35","279,595,344.42","402,905,933.29","75,970,839.67","138,936,866.89","306,088,310.90"
吸收投资收到的现金,"18,440,000.00",,,"502,500,000.00","471,500,000.00","471,500,000.00","471,500,000.00",,,"49,000,000.00","49,000,000.00",,,,,,,,,,,,,,,"300,000,000.00","267,867,234.75","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,
支付给职工以及为职工支付的现金,"39,751,197.18","33,468,692.13","39,947,571.79","14,197,127.86","29,875,040.11","43,224,785.12","58,383,828.73","15,224,910.30","30,174,890.94","46,948,732.84","61,542,610.62","15,252,252.36","32,951,423.45","50,872,403.56","68,866,032.93","19,369,506.61","35,360,881.61","51,611,199.45","65,752,268.17","18,582,542.15","37,661,327.37","54,763,514.85","67,901,527.21","17,521,547.27","33,730,708.99","62,287,081.93","77,951,500.08","21,667,111.06","44,303,229.94","70,343,803.36","102,036,707.87","29,871,565.69","62,641,588.01","100,206,553.12"
取得借款收到的现金,,"11,000,000.00","810,000.00",,,,,,,,,"39,170,656.11","39,170,656.11","82,269,534.11","12,000,000.00",,,,,,,,,,,"1,038,700,340.00","2,494,314,559.10","225,800,000.00","948,700,000.00","730,349,879.18","2,219,090,985.55","699,001,726.00","1,541,500,000.00","2,535,500,000.00"
