科目,2003-09-30
货币资金,"690,096,556.28"
短期借款,"405,510.33"
交易性金融资产,
交易性金融负债,
应收票据,"2,380,446,036.78"
应付票据,"640,193,875.79"
应收账款,"179,828,187.71"
应付账款,"1,007,589,659.25"
预付款项,"355,778,195.69"
预收款项,"1,304,227,431.80"
其他应收款,"79,911,109.40"
应付职工薪酬,"20,085,992.29"
应收关联公司款,
应交税费,"33,711,961.64"
应收利息,
应付利息,
应收股利,
应付股利,"2,317,348.04"
存货,"1,285,646,992.64"
其他应付款,"228,202,220.78"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"3,348,764.33"
其他流动资产,
其他流动负债,"151,240,706.57"
流动资产合计,"4,971,707,078.50"
流动负债合计,"3,391,323,470.82"
可供出售金融资产,
长期借款,"78,632,643.08"
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,"396,819.72"
专项应付款,
投资性房地产,
预计负债,
固定资产,"282,500,307.10"
递延所得税负债,"2,208.00"
在建工程,"11,244,235.07"
其他非流动负债,
工程物资,
非流动负债合计,"78,634,851.08"
固定资产清理,"449,909.21"
负债合计,"3,469,958,321.90"
生产性生物资产,
实收资本(或股本),"188,108,800.00"
油气资产,
资本公积,"237,615,374.05"
无形资产,"14,359,108.69"
盈余公积,"56,393,668.53"
开发支出,
减:库存股,
商誉,
未分配利润,"137,536,402.23"
长期待摊费用,"54,070,350.51"
少数股东权益,"1,245,115,242.09"
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"363,020,730.30"
所有者权益(或股东权益)合计,"619,654,244.81"
资产总计,"5,334,727,808.80"
负债和所有者(或股东权益)合计,"5,334,727,808.80"
