科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"22,189,554,000.00","58,896,098,000.00","57,289,900,498.04","53,515,255,000.00","50,106,629,000.00","49,376,246,000.00","58,852,396,000.00","54,459,093,000.00","48,190,978,000.00","51,605,796,000.00","59,126,805,000.00","47,728,727,000.00","42,671,279,000.00","57,150,920,000.00","57,834,687,000.00","59,823,420,000.00","47,786,178,000.00","63,582,878,000.00","61,406,517,000.00","58,575,548,000.00","65,860,009,000.00","72,490,809,000.00","73,920,508,000.00","82,328,095,000.00","79,369,513,000.00","81,423,526,000.00","76,688,848,000.00","80,686,963,000.00","77,108,702,000.00","77,354,348,000.00","71,269,860,000.00","67,286,659,000.00","87,875,506,000.00","100,717,851,000.00","83,634,607,000.00","83,952,744,000.00","88,467,954,000.00","124,084,537,000.00","96,663,485,000.00","90,701,799,000.00","92,303,281,000.00","130,392,403,000.00","91,094,670,000.00","104,743,253,000.00","99,897,318,000.00","134,476,377,000.00","99,064,413,000.00"
短期借款,"24,873,942,000.00","24,235,000,000.00","25,937,690,990.87","29,364,517,000.00","34,072,381,000.00","32,511,544,000.00","37,277,884,000.00","33,759,303,000.00","25,306,212,000.00","20,771,560,000.00","23,090,465,000.00","20,090,276,000.00","23,738,738,000.00","25,403,691,000.00","32,627,277,000.00","42,552,361,000.00","47,294,236,000.00","51,013,315,000.00","54,103,227,000.00","55,262,883,000.00","61,167,414,000.00","60,259,241,000.00","66,011,234,000.00","68,605,442,000.00","66,356,404,000.00","62,761,372,000.00","71,798,998,000.00","71,793,254,000.00","66,442,891,000.00","60,757,488,000.00","61,351,023,000.00","65,521,874,000.00","64,755,336,000.00","55,478,008,000.00","51,759,841,000.00","54,932,009,000.00","55,169,848,000.00","56,183,715,000.00","52,451,732,000.00","51,648,522,000.00","58,506,535,000.00","54,469,634,000.00","53,880,277,000.00","70,013,833,000.00","80,627,149,000.00","72,655,690,000.00","82,783,411,000.00"
交易性金融资产,"192,480,000.00","165,792,000.00","165,487,189.30","160,403,000.00","257,901,000.00","141,206,000.00","75,625,000.00","100,595,000.00","91,699,000.00","80,715,000.00","82,955,000.00","124,476,000.00","60,102,000.00","152,990,000.00","159,551,000.00","138,544,000.00","124,681,000.00","60,169,000.00","60,758,000.00","74,426,000.00","73,815,000.00","205,222,000.00","209,107,000.00","216,011,000.00","195,043,000.00","132,341,000.00","122,018,000.00","190,944,000.00","106,695,000.00","108,753,000.00","105,192,000.00","108,508,000.00","685,806,000.00","144,232,000.00","95,958,000.00","76,298,000.00","63,297,000.00","123,465,000.00","1,924,984,000.00","1,007,400,000.00","1,626,060,000.00","2,962,726,000.00","5,904,798,000.00",,"3,045,613,000.00","4,294,866,000.00","1,819,260,000.00"
交易性金融负债,"2,651,437,000.00","2,656,765,000.00",,"2,087,176,000.00","1,602,713,000.00","680,144,000.00","842,450,000.00","2,992,622,000.00","3,701,995,000.00","98,000,000.00","104,642,000.00","121,190,000.00","96,481,000.00","92,778,000.00","99,310,000.00","100,761,000.00","78,441,000.00","141,887,000.00","115,904,000.00","141,887,000.00","141,887,000.00","203,263,000.00","176,291,000.00","203,263,000.00","175,315,000.00","186,450,000.00","160,518,000.00","186,450,000.00","172,549,000.00","303,830,000.00","259,873,000.00","233,489,000.00","207,837,000.00","185,401,000.00","158,540,000.00","130,945,000.00","117,364,000.00","156,562,000.00","132,440,000.00","89,215,000.00","46,489,000.00","56,580,000.00","35,190,000.00",,,"69,340,000.00","90,588,000.00"
应收票据,"149,935,000.00","508,611,000.00","385,157,155.34","309,036,000.00","264,751,000.00","487,819,000.00","525,650,000.00","385,147,000.00","340,970,000.00","765,052,000.00","450,173,000.00","603,710,000.00","484,910,000.00","884,936,000.00","443,238,000.00","1,395,830,000.00","1,518,731,000.00","1,475,666,000.00","1,518,801,000.00","1,675,846,000.00","1,115,049,000.00","1,227,676,000.00","1,401,328,000.00","1,234,233,000.00","1,558,582,000.00","1,746,532,000.00","2,578,210,000.00","1,897,132,000.00","1,755,475,000.00","1,567,393,000.00","2,074,134,000.00","2,124,887,000.00","1,700,616,000.00","1,971,146,000.00","2,075,096,000.00","1,515,337,000.00","1,886,947,000.00","11,771,142,000.00","7,551,501,000.00","5,169,535,000.00","4,611,203,000.00","24,794,759,000.00","23,311,467,000.00",,"9,693,596,000.00","3,580,643,000.00","5,176,955,000.00"
应付票据,"2,288,170,000.00","3,297,315,000.00","3,532,149,900.50","3,764,349,000.00","4,150,055,000.00","3,530,336,000.00","6,027,259,000.00","5,599,955,000.00","5,474,708,000.00","5,460,916,000.00","6,985,151,000.00","8,171,773,000.00","9,761,192,000.00","9,669,320,000.00","12,070,069,000.00","14,008,254,000.00","14,506,626,000.00","13,504,013,000.00","15,047,499,000.00","16,951,103,000.00","19,468,336,000.00","19,617,265,000.00","21,249,028,000.00","25,317,524,000.00","27,197,188,000.00","24,950,040,000.00","25,957,358,000.00","27,079,649,000.00","26,439,921,000.00","27,239,446,000.00","26,612,712,000.00","21,804,025,000.00","19,329,280,000.00","22,460,054,000.00","24,440,646,000.00","26,029,333,000.00","26,254,793,000.00","34,273,250,000.00","37,929,903,000.00","41,748,588,000.00","43,905,396,000.00","47,980,530,000.00","49,755,585,000.00","53,700,753,000.00",,"58,548,739,000.00",
应收账款,"31,312,727,000.00","40,212,665,000.00","33,738,222,423.37","36,760,816,000.00","39,348,718,000.00","50,197,476,000.00","41,748,632,000.00","43,876,682,000.00","52,647,541,000.00","65,998,917,000.00","55,174,207,000.00","66,426,002,000.00","71,839,430,000.00","81,472,233,000.00","84,479,918,000.00","90,784,299,000.00","96,154,847,000.00","96,344,763,000.00","89,824,384,000.00","96,358,326,000.00","93,765,798,000.00","100,972,076,000.00","98,538,163,000.00","110,845,395,000.00","114,931,491,000.00","123,089,507,000.00","122,399,927,000.00","127,072,963,000.00","126,398,595,000.00","145,830,995,000.00","141,067,950,000.00","154,542,481,000.00","157,952,369,000.00","131,660,359,000.00","135,830,289,000.00","161,600,557,000.00","160,435,150,000.00","140,532,460,000.00","151,152,492,000.00","160,473,724,000.00","162,020,818,000.00","157,804,847,000.00","112,930,879,000.00","136,572,080,000.00","131,080,166,000.00","105,909,473,000.00","117,666,621,000.00"
应付账款,"41,778,861,000.00","50,822,564,000.00","43,017,028,418.19","48,910,545,000.00","50,736,398,000.00","63,545,071,000.00","57,788,062,000.00","74,321,728,000.00","80,540,423,000.00","89,041,112,000.00","80,072,451,000.00","100,677,078,000.00","104,028,767,000.00","127,046,546,000.00","123,268,027,000.00","137,483,298,000.00","138,470,768,000.00","145,585,488,000.00","124,215,458,000.00","142,280,049,000.00","141,957,985,000.00","160,441,086,000.00","141,902,900,000.00","164,004,100,000.00","168,486,286,000.00","181,343,151,000.00","167,752,442,000.00","189,634,764,000.00","200,586,938,000.00","218,207,469,000.00","205,903,471,000.00","215,412,471,000.00","223,414,356,000.00","236,419,392,000.00","239,830,665,000.00","247,812,214,000.00","250,636,748,000.00","264,441,398,000.00","254,556,202,000.00","253,128,227,000.00","254,276,569,000.00","288,407,182,000.00","261,622,878,000.00","266,649,115,000.00",,"285,252,004,000.00","275,045,323,000.00"
预付款项,"10,133,459,000.00","10,540,177,000.00","15,596,960,467.47","16,206,040,000.00","19,335,331,000.00","14,258,150,000.00","18,645,075,000.00","19,168,717,000.00","19,444,440,000.00","17,664,146,000.00","22,425,336,000.00","22,420,627,000.00","24,241,456,000.00","20,769,004,000.00","26,244,320,000.00","26,629,820,000.00","29,449,051,000.00","24,745,510,000.00","31,205,810,000.00","31,099,676,000.00","34,825,550,000.00","28,575,613,000.00","33,772,622,000.00","34,679,443,000.00","38,317,837,000.00","31,311,851,000.00","36,915,362,000.00","34,370,681,000.00","35,291,458,000.00","31,640,331,000.00","35,010,786,000.00","30,713,175,000.00","32,298,612,000.00","32,453,080,000.00","34,435,710,000.00","32,272,073,000.00","32,853,521,000.00","43,531,404,000.00","46,923,313,000.00","30,763,268,000.00","38,355,705,000.00","29,181,925,000.00","31,122,362,000.00","32,530,292,000.00","39,904,292,000.00","41,612,959,000.00","30,022,787,000.00"
预收款项,"31,483,796,000.00","33,288,851,000.00","42,314,158,846.60","42,368,376,000.00","46,317,180,000.00","39,627,597,000.00","47,550,940,000.00","43,525,916,000.00","50,257,056,000.00","56,773,365,000.00","62,202,081,000.00","55,966,610,000.00","61,558,913,000.00","53,153,966,000.00","52,408,176,000.00","48,905,466,000.00","51,827,769,000.00","49,888,012,000.00","63,322,876,000.00","58,954,540,000.00","68,076,458,000.00","64,712,653,000.00","82,259,541,000.00","78,887,569,000.00","84,774,678,000.00","80,247,567,000.00","93,402,638,000.00","86,603,200,000.00","89,164,547,000.00","80,745,204,000.00","82,188,519,000.00","82,191,823,000.00","87,462,829,000.00","69,636,892,000.00","69,704,401,000.00","77,580,107,000.00","76,235,992,000.00","67,494,240,000.00","70,623,316,000.00","74,974,039,000.00","81,277,137,000.00","84,571,421,000.00","91,913,921,000.00","247,855,000.00","39,734,000.00","282,735,000.00","298,266,000.00"
其他应收款,"12,999,537,000.00","12,324,230,000.00","13,112,124,221.75","14,133,687,000.00","16,789,487,000.00","13,293,129,000.00","15,064,978,000.00","17,325,771,000.00","19,105,582,000.00","17,911,720,000.00","20,379,748,000.00","20,817,058,000.00","13,950,205,000.00","18,313,981,000.00","24,087,662,000.00","23,661,501,000.00","21,761,287,000.00","20,596,894,000.00","21,160,521,000.00","25,154,430,000.00","26,735,989,000.00","29,551,266,000.00","31,870,142,000.00","34,398,421,000.00","35,867,576,000.00","34,258,378,000.00","34,920,078,000.00","37,172,671,000.00","37,241,297,000.00","37,901,654,000.00","39,320,239,000.00","42,078,225,000.00","40,632,657,000.00","37,120,053,000.00","39,886,241,000.00","40,330,235,000.00","40,907,838,000.00","36,648,346,000.00","43,284,438,000.00","41,799,221,000.00","43,436,601,000.00","44,422,706,000.00","47,712,781,000.00","36,003,510,000.00","40,050,695,000.00","30,514,802,000.00","33,404,709,000.00"
应付职工薪酬,"2,695,144,000.00","1,982,115,000.00","1,753,325,622.01","1,824,409,000.00","1,798,174,000.00","1,942,367,000.00","1,713,790,000.00","1,730,934,000.00","1,807,484,000.00","1,731,436,000.00","1,668,768,000.00","1,812,992,000.00","1,828,909,000.00","1,894,648,000.00","1,893,178,000.00","2,145,601,000.00","2,313,645,000.00","2,438,860,000.00","2,215,500,000.00","2,452,280,000.00","2,335,673,000.00","2,628,791,000.00","2,270,558,000.00","2,452,231,000.00","2,398,240,000.00","2,606,865,000.00","2,324,015,000.00","2,497,495,000.00","2,544,403,000.00","2,741,496,000.00","2,486,443,000.00","2,732,231,000.00","2,705,542,000.00","2,877,886,000.00","3,021,341,000.00","2,808,577,000.00","2,614,105,000.00","2,688,403,000.00","2,456,598,000.00","2,717,884,000.00","2,587,151,000.00","3,016,970,000.00","2,547,066,000.00","2,994,316,000.00","3,042,948,000.00","3,608,830,000.00","2,914,410,000.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
