科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
应付利息,"89,419.35","137,367.12","57,526.84","97,695.22","159,678.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"96,943,908.00",,,,,,,,,,,,,,,,,,,,,,,
存货,"24,716,169.79","28,312,960.15","29,479,466.98","45,852,951.68","49,083,165.72","53,428,755.60","74,277,608.33","93,334,871.62","65,274,132.25","47,508,618.93","35,994,673.80","61,292,316.86","65,247,864.44","47,734,220.59","69,538,820.83","87,410,259.50","121,411,383.46","96,372,870.90","87,264,475.64","84,057,441.68","85,743,161.02","92,327,537.04","95,744,577.50","95,049,854.75","89,086,824.83","91,016,409.91","80,963,734.67","100,169,486.26","102,673,302.30","113,246,211.77","119,278,552.85","113,434,466.21","121,018,481.56","118,273,453.73"
其他应付款,"4,661,825.99","4,776,488.18","3,914,467.83","3,918,526.85","4,113,625.35","6,440,319.92","6,525,646.45","6,471,226.50","6,501,793.54","6,295,740.31","3,786,036.52","3,843,575.40","3,861,284.41","3,723,749.68","3,741,270.17","3,739,247.32","3,729,743.62","11,309,191.59","11,274,769.06","11,262,794.60","11,365,769.06","11,396,366.32","11,380,010.54","11,367,776.88","11,370,708.58","11,353,778.04","11,368,047.53","11,301,033.54","11,255,188.66","11,316,355.55","11,305,975.30","11,304,149.32","11,308,722.96","11,290,988.34"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,"370,000,000.00",,,,,,,,,
一年内到期的非流动负债,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,"2,086,738.94","172,230,216.01","372,733,547.09",,"461,471,576.47","470,918,552.69","390,090,110.08","442,257,732.07","452,223,556.35","451,847,382.13","400,306,264.20","601,210,972.95","600,000,000.00"
其他流动负债,,,,,,,,,,,,,,,,,,"295,000.00","177,557.13","74,073.21","40,338.09",,,,,,,,,,,,,
流动资产合计,"145,815,070.82","128,014,461.14","153,688,012.48","207,089,944.82","886,601,632.59","810,717,271.28","845,002,838.34","830,865,483.22","863,971,404.48","873,598,030.29","904,250,368.47","881,589,372.16","873,645,845.56","831,508,395.18","852,123,896.38","783,805,582.86","826,338,571.25","819,561,597.22","839,242,149.85","811,837,552.90","837,021,217.40","856,163,280.96","865,466,374.56","828,430,709.49","852,673,454.13","888,816,940.81","899,420,548.66","885,418,838.01","894,801,865.95","981,184,062.51","998,266,306.53","1,008,716,553.07","1,032,135,973.84","1,091,696,279.27"
流动负债合计,"117,313,035.51","94,314,546.88","102,367,764.32","162,167,005.44","132,980,806.00","46,272,071.06","65,842,482.04","81,786,414.74","43,130,722.91","54,189,728.07","172,952,068.58","118,689,780.31","97,551,179.38","60,015,110.03","67,728,713.00","58,033,828.85","91,200,002.49","73,324,640.32","74,806,110.24","75,621,703.71","80,850,986.46","89,927,367.66","80,614,464.28","74,138,654.47","67,759,118.89","74,165,970.23","59,868,759.25","78,218,618.14","55,012,497.84","75,365,451.61","59,250,874.61","69,453,035.62","52,991,240.99","69,480,445.48"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,"4,490,000.00","4,490,000.00",,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
