科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"361,492,998.50","400,073,652.58","362,028,382.75","471,614,537.36","207,564,349.71","348,246,993.41","501,156,714.75","112,561,181.53","230,433,018.17","370,877,530.78","548,756,404.16","145,922,756.74","305,880,074.37","481,114,379.06","750,275,168.60","224,127,150.44","530,085,347.31","806,685,271.18","1,253,128,170.48","275,711,918.76","605,719,844.59","859,775,685.47","1,175,779,671.81","332,003,996.00","601,242,499.74","1,053,643,334.06","1,438,525,503.31","426,592,567.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"29,259,163.30",,"124,144,549.60","124,144,549.60","131,754,187.14","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","9,706,887.36","78,369,887.36","78,369,887.36","87,713,309.72","72,583,345.07","77,030,419.17","78,952,797.09","84,830,241.20",
收到的税费返还,,,,,,,,,,,,"190,896.02","190,896.02","974,869.57",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"588,000,000.00","88,345.93","4,000,000.00","4,000,000.00","107,000,000.00",,"154,000,000.00","154,000,000.00","154,000,000.00",,,,,"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",
收到其他与经营活动有关的现金,"28,965,225.90","7,631,778.77","12,726,981.09","23,175,587.33","10,020,954.33","10,117,200.37","34,555,260.23","2,923,278.67","9,648,127.69","15,730,966.84","23,335,994.44","3,533,551.90","7,204,079.20","19,402,877.32","55,120,011.67","13,869,244.05","25,400,238.51","35,583,110.77","45,416,553.15","7,427,098.38","22,354,687.06","35,020,206.59","45,791,242.32","20,641,597.88","63,842,580.24","193,910,244.09","73,919,695.22","60,552,133.21"
投资活动现金流出小计,"80,571,753.23","57,134,240.99","39,717,835.35","64,045,776.66","44,985,336.41","69,789,232.08","96,948,735.54","22,339,716.67","271,730,415.87","508,394,586.32","736,243,839.92","206,846,027.54","287,221,139.06","342,848,291.02","427,208,550.28","183,429,992.65","270,191,279.57","343,613,142.83","421,330,536.26","58,066,818.45","204,913,069.60","376,405,381.14","525,692,309.66","235,764,100.42","402,727,899.01","907,562,895.86","1,008,256,108.72","64,712,887.83"
经营活动现金流入小计,"390,458,224.40","407,705,431.35","374,755,363.84","494,790,124.69","217,585,304.04","358,364,193.78","535,711,974.98","115,484,460.20","240,081,145.86","386,608,497.62","572,092,398.60","149,647,204.66","313,275,049.59","501,492,125.95","805,395,180.27","237,996,394.49","555,485,585.82","842,268,381.95","1,298,544,723.63","283,139,017.14","628,074,531.65","894,795,892.06","1,221,570,914.13","352,645,593.88","665,085,079.98","1,247,553,578.15","1,512,445,198.53","487,144,700.68"
投资活动产生的现金流量净额,"-80,119,368.63","-55,119,992.52","-39,694,922.35","-64,005,654.70","-43,813,367.45","-68,617,263.12","-91,584,632.91","-22,338,176.67","-99,971,989.16","-178,456,316.18","-171,471,659.46","-161,889,461.68","-200,210,369.35","-228,159,036.49","-296,158,551.44","-108,011,841.34","-129,517,999.00","-184,842,807.00","-252,332,473.54","-57,333,000.50","-173,059,383.32","-344,100,802.25","-492,805,505.92","-77,878,406.38","93,026,870.03","-411,808,126.82","-512,499,359.68","-64,712,887.83"
购买商品、接受劳务支付的现金,"293,316,822.51","260,708,087.70","155,385,398.23","228,843,893.70","130,340,423.61","212,343,950.19","290,072,870.59","52,242,847.71","131,893,359.72","220,426,032.72","311,618,068.93","70,572,604.04","157,854,788.37","253,158,196.09","451,745,261.71","136,847,741.07","262,663,580.58","377,073,041.85","569,996,925.94","194,731,312.31","381,646,297.58","574,504,137.46","754,310,094.67","299,014,243.33","494,396,321.39","885,648,712.37","1,175,703,046.09","186,877,556.19"
吸收投资收到的现金,"119,380,000.00",,,,,,,"274,236,312.00","274,236,312.00","274,236,312.00","274,236,312.00",,,"38,887,455.00","287,887,425.00","4,320,780.00","4,320,780.00","4,320,780.00","4,320,780.00",,,"599,912,854.16","603,619,991.82","300,000.00","135,682,809.00","42,300,000.00","42,300,000.00","36,209,600.00"
