科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"871,837,011.01","868,383,351.11","1,284,064,299.22","763,895,604.92","1,219,290,849.20","365,188,561.50","538,115,114.37","812,684,020.90","1,132,518,716.91","425,484,392.84","640,184,919.25","960,786,955.66","1,365,839,944.30","540,188,702.58","862,232,158.35","1,264,304,152.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"30,748,720.69","30,748,720.69","30,748,720.69",,,
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"79,159,496.20","88,756,763.13","109,278,057.85","65,029,021.70","88,961,053.28","17,194,237.93","32,373,411.10","53,609,634.72","77,750,600.88","55,346,892.68","79,520,108.94","112,462,700.69","206,394,901.65","49,516,493.79","68,501,187.34","100,894,976.32"
投资活动现金流出小计,"28,951,675.77","33,967,330.32","8,322,213.03","5,249,836.31","5,608,950.59","217,850,523.00","298,236,477.22","597,838,568.56","1,002,974,716.34","139,826,479.86","320,577,992.57","581,015,123.82","786,435,021.70","272,960,582.43","514,389,952.74","677,900,383.10"
经营活动现金流入小计,"950,996,507.21","957,140,114.24","1,393,342,357.07","828,924,626.62","1,308,251,902.48","382,382,799.43","570,488,525.47","866,293,655.62","1,210,269,317.79","480,831,285.52","719,705,028.19","1,073,249,656.35","1,572,234,845.95","589,705,196.37","930,733,345.69","1,365,199,128.94"
投资活动产生的现金流量净额,"-26,071,934.77","-33,857,650.32","-8,258,713.03","-5,249,836.31","-5,608,950.59","-217,850,523.00","-130,342,532.01","-218,187,448.01","-222,608,262.06","111,076,661.25","-44,514,365.16","-134,825,730.67","-200,156,652.78","-72,828,219.42","-203,468,603.43","-223,183,658.16"
购买商品、接受劳务支付的现金,"600,878,445.71","542,205,369.63","887,871,946.72","674,700,390.25","847,730,732.80","418,617,014.82","537,688,905.77","736,312,013.18","909,815,053.34","345,671,370.19","487,375,971.49","696,666,873.28","870,495,678.97","370,869,427.86","570,061,506.56","892,181,545.65"
吸收投资收到的现金,,,,,,"491,520,000.00","576,455,400.00","576,455,400.00","576,455,400.00",,,"16,087,250.00","6,287,250.00",,,"4,904,900.00"
