科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"331,109,234.92","1,026,565,698.98","699,328,062.23","895,788,030.82","1,683,112,148.81","2,221,318,762.09","395,376,638.14","985,549,773.51","1,353,717,062.44","1,765,543,849.39","250,178,502.85","606,421,672.63","720,352,522.91","1,538,532,152.25","180,287,103.33","533,475,165.72","731,049,991.04","876,466,337.16","396,181,234.95","449,070,343.76","705,068,616.09","919,597,138.29","378,997,938.26","506,937,889.09","683,107,065.05","1,246,185,732.57","360,323,504.49","859,787,872.82","968,182,669.07","1,292,303,025.57","159,110,698.91","573,543,486.62","725,246,647.47","936,701,246.61","163,562,284.33"
取得子公司及其他营业单位支付的现金净额,,,,,,"148,000,000.00",,,,"687,411.70",,"510,329.96","5,339,996.34","8,695,754.03","18,365,534.00","17,881,823.60","17,773,549.35","17,881,823.60",,,,,,,,,,,,,,,,,
收到的税费返还,"38,630,876.80","124,878,983.73","100,276,134.10","87,226,703.44","161,004,423.42","256,413,871.85","129,535,447.72","234,729,439.76","324,008,717.13","371,542,676.61","35,727,334.67","79,365,303.25","116,333,837.59","142,055,161.39","16,383,014.75","35,145,005.83","58,265,130.54","68,685,246.95","30,775,587.13","60,145,271.14","71,805,761.92","95,738,391.40","12,664,739.94","51,149,026.57","68,250,289.95","81,365,121.89","18,137,419.77","32,729,743.18","58,584,393.61","68,166,202.06","9,690,968.85","25,327,540.48","39,945,191.09","42,474,542.17","4,892,375.54"
支付其他与投资活动有关的现金,,"130,220,897.79","14,763,918.28","11,108,216.10","32,567,560.33","39,976,488.39","20,381,717.12","2,205,955.81",,,"6,102,740.00","2,911,484.32",,,,,,,,,,"29,846,432.91","22,655,888.39","4,245,136.40","2,545,136.40",,,"490,000.00","716,814.79",,"791,000.00","892,029.32","4,080,290.12","22,421,507.44",
收到其他与经营活动有关的现金,"109,190,733.33","23,996,603.17","9,077,644.69","55,249,583.51","70,080,614.23","158,498,182.41","2,892,986.09","2,891,791.29","9,052,899.59","135,970,241.16","12,561,087.50","32,715,805.94","59,148,666.25","46,179,702.92","4,775,787.55","10,384,824.75","65,922,077.92","16,646,741.67","21,324,391.78","79,206,660.72","87,118,945.85","15,422,291.41","3,913,537.66","11,451,743.68","12,663,801.52","16,877,378.07","8,978,034.60","3,992,567.47","8,584,174.33","11,102,228.32","6,115,411.10","14,905,489.25","23,693,370.68","18,839,181.05","1,913,924.48"
投资活动现金流出小计,"69,137,057.18","433,350,887.89","361,956,541.06","23,338,353.26","264,555,398.50","692,402,871.88","232,609,255.76","286,014,708.45","320,926,549.04","757,281,186.89","65,961,776.19","110,963,878.50","143,416,904.80","257,896,091.25","53,182,766.14","65,193,859.81","177,380,047.01","195,838,109.63","17,560,343.90","103,529,681.23","105,754,741.64","183,621,498.35","23,648,912.75","10,221,791.92","8,322,705.05","39,265,788.12","3,184,980.20","20,903,144.05","26,557,129.94","56,189,812.56","8,753,456.97","11,303,927.93","22,247,571.32","69,682,148.02","43,400.00"
经营活动现金流入小计,"478,930,845.05","1,175,441,285.88","808,681,841.02","1,038,264,317.77","1,914,197,186.46","2,636,230,816.35","527,805,071.95","1,223,171,004.56","1,686,778,679.16","2,273,056,767.16","298,466,925.02","718,502,781.82","895,835,026.75","1,726,767,016.56","201,445,905.63","579,004,996.30","855,237,199.50","961,798,325.78","448,281,213.86","588,422,275.62","863,993,323.86","1,030,757,821.10","395,576,215.86","569,538,659.34","764,021,156.52","1,344,428,232.53","387,438,958.86","896,510,183.47","1,035,351,237.01","1,371,571,455.95","174,917,078.86","613,776,516.35","788,885,209.24","998,014,969.83","170,368,584.35"
投资活动产生的现金流量净额,"-69,137,057.18","-431,738,585.75","-201,768,342.06","-17,937,603.26","-259,154,648.50","-687,002,136.30","-232,609,255.76","-263,883,903.91","-247,367,351.26","-593,343,462.85","36,531,655.88","-12,281,308.14","-1,848,857.26","-151,077,909.71","-31,924,842.60","-32,227,922.05","-128,718,990.37","-39,304,820.80","-15,560,637.36","-99,381,164.77","-96,230,371.23","-173,087,923.99","37,119,359.62","54,492,007.20","58,619,983.31","30,363,939.73","-3,141,980.20","-14,207,790.14","-26,420,112.84","-33,054,078.08","-8,753,456.97","-11,096,786.09","-21,939,001.47","-68,690,020.67","-43,400.00"
购买商品、接受劳务支付的现金,"574,781,229.98","1,241,580,390.00","636,186,630.94","798,755,686.98","1,634,261,757.22","2,236,883,571.65","471,235,940.62","1,124,629,126.88","1,684,778,136.94","1,849,369,695.59","228,037,339.34","658,057,315.36","796,859,188.44","1,106,890,193.48","124,114,262.60","411,749,853.22","635,475,896.30","697,215,951.62","377,704,171.79","391,340,845.43","623,999,039.69","731,900,973.64","315,641,489.66","252,529,912.46","409,766,292.30","838,719,586.46","268,679,484.93","531,463,743.06","613,580,278.62","689,254,055.18","149,946,667.70","369,642,173.66","509,862,608.90","504,527,566.98","33,324,306.15"
吸收投资收到的现金,"33,477,465.00","235,475,500.00","192,721,413.63",,"831,107,550.00","835,167,550.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"980,000.00",
支付给职工以及为职工支付的现金,"6,944,222.07","14,127,427.55","22,611,118.16","15,612,795.94","25,252,421.80","42,053,961.01","14,536,875.65","30,871,788.81","51,177,143.29","68,542,406.31","14,222,815.26","35,028,422.84","52,865,089.15","68,909,972.68","12,560,667.92","31,184,803.84","47,571,213.12","68,736,936.47","19,110,611.73","42,309,194.78","66,043,194.70","94,950,843.07","24,106,361.54","49,948,260.99","73,406,120.70","104,865,724.43","25,892,007.63","49,435,094.95","73,108,076.24","97,796,471.07","22,124,735.26","43,856,392.80","67,412,101.49","92,187,423.14","19,907,889.14"
取得借款收到的现金,"444,631,630.38","1,462,476,763.94","1,486,699,218.69","1,140,797,755.00","1,622,084,005.00","2,003,930,529.00","253,446,534.00","996,270,741.88","1,753,324,815.88","2,381,955,537.35","338,549,407.95","1,159,266,847.37","1,631,815,960.17","1,940,508,938.49","340,726,653.92","930,281,739.40","1,164,066,224.02","1,823,772,737.59","373,380,519.71","771,610,644.99","1,166,676,586.23","1,393,517,943.96","618,150,780.07","1,117,223,466.99","1,591,871,446.05","1,489,524,474.23","152,804,504.01","444,630,727.62","820,694,504.01","889,745,209.62","251,570,076.00","499,426,146.00","1,442,046,333.75","1,323,543,015.43","386,400,000.00"
支付的各项税费,"597,778.80","10,860,502.25","12,895,253.83","12,616,687.09","24,663,221.52","32,031,415.07","14,764,391.57","27,983,837.81","39,837,781.46","53,831,666.70","16,010,807.79","12,415,383.92","4,696,948.92","32,189,852.97","3,550,847.99","16,648,741.03","9,366,754.56","29,411,335.50","9,544,254.66","16,562,827.52","22,135,861.01","10,407,324.74","11,082,698.28","17,375,857.10","68,214,090.43","97,817,115.81","60,789,683.69","108,157,375.37","129,882,559.37","136,581,033.88","68,654,697.35","85,078,417.64","113,398,364.93","117,662,897.85","40,139,477.30"
收到其他与筹资活动有关的现金,,"294,836,215.16",,,,"71,500,000.00",,"6,000,000.00","6,000,000.00","57,782,184.63",,,,,"7,933,202.70",,"62,966,188.80","200,000,000.00",,,,"283,435,812.92",,,,"956,238,478.98","14,735.41",,"14,735.41","588,500,000.00",,,,"236,700,000.00",
支付其他与经营活动有关的现金,"20,427,668.43","40,832,542.92","54,595,026.90","33,823,871.83","36,414,834.59","88,246,134.88","11,280,058.08","70,290,075.22","103,718,728.88","185,597,700.28","15,993,242.89","51,146,116.27","93,657,927.92","114,058,785.99","46,960,040.77","44,511,130.22","75,237,542.19","96,616,161.26","21,277,602.41","123,123,650.50","145,686,505.13","79,895,090.97","41,527,285.28","55,245,401.91","90,981,057.95","76,807,305.66","27,663,382.41","36,731,259.29","83,839,349.88","82,795,382.41","23,380,946.05","41,525,521.37","87,772,527.46","78,173,192.84","14,034,475.71"
筹资活动现金流入小计,"478,109,095.38","1,992,788,479.10","1,679,420,632.32","1,140,797,755.00","2,453,191,555.00","2,910,598,079.00","253,446,534.00","1,002,270,741.88","1,759,324,815.88","2,439,737,721.98","338,549,407.95","1,455,216,847.37","1,927,765,960.17","2,240,508,938.49","348,659,856.62","930,281,739.40","1,227,032,412.82","2,023,772,737.59","373,380,519.71","771,610,644.99","1,166,676,586.23","1,676,953,756.88","618,150,780.07","1,117,223,466.99","1,591,871,446.05","2,445,762,953.21","152,819,239.42","444,630,727.62","820,709,239.42","1,478,245,209.62","251,570,076.00","499,426,146.00","1,442,046,333.75","1,561,223,015.43","386,400,000.00"
